@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
6.1348634,25.241125,5.0240545,20.583546,-0.41718027,2.1141505,12.286316,3.5051842,13.015135,-0.24717426,6.1348634,25.241125,5.0240545,20.583546,-0.41718027,10.654732,28.98801,5.3840513,19.44135,0.057637405,2.9018102,1.0,0.57578766,0.34461248,0.19842362,0.57578766,1.4333211,1.0,0.93313646,0.69768035,0.65103096,0.93313646,2.0544095,1.0,0.87074363,0.48675784,0.4238413,0.87074363,2.3490598,1.0,-5.0957255,0.4257022,-2.1692617,-5.0957255,1.3917896,1.0,0.70402277,0.7184994,0.50583994,0.70402277,1.5815084,1.0,1.0587507,0.6323077,0.6694563,1.0587507,0.089298785,15.708151,-0.8165617,1.0,-0.8165617,TASCA_DESTRA_DAVANTI_PANTALONI
5.529801,31.27239,5.592172,21.298908,-0.16066302,2.1871765,16.55172,4.0683804,14.423556,-0.50899696,5.529801,31.27239,5.592172,21.298908,-0.16066302,10.391321,37.05809,6.087536,22.384497,0.14855023,2.5282829,1.0,0.5321557,0.39552537,0.21048108,0.5321557,1.3745451,1.0,0.91862655,0.72751343,0.66831315,0.91862655,1.8893741,1.0,0.8438749,0.52927583,0.44664255,0.8438749,0.6059935,1.0,-0.754928,1.6501827,-1.2457691,-0.754928,1.9198496,1.0,0.698012,0.52087414,0.3635764,0.698012,1.4766753,1.0,0.9515027,0.677197,0.6443547,0.9515027,0.081204146,15.799053,-0.8522015,0.9999997,-0.8522015,TASCA_DESTRA_DAVANTI_PANTALONI
2.362145,2.58621,1.6081698,6.411168,-0.1830838,6.702887,3.5079584,1.8729545,7.711364,0.29643136,2.362145,2.58621,1.6081698,6.411168,-0.1830838,7.699677,5.4835024,2.341688,9.422939,0.29542327,0.3524071,1.0,0.30678493,2.8376274,0.87054133,0.30678493,0.85862726,1.0,0.6867567,1.1646497,0.799831,0.6867567,0.7372408,1.0,0.47163472,1.356409,0.63972956,0.47163472,-0.30536744,1.0,-0.25111273,-3.2747436,0.8223298,-0.25111273,0.494421,1.0,0.4051945,2.0225677,0.8195333,0.4051945,0.8313922,1.0,0.6803788,1.2028017,0.81836075,0.6803788,0.07489202,11.545025,0.53322107,1.0000006,0.53322107,TASCA_DESTRA_DAVANTI_PANTALONI
2.0026703,2.863573,1.6922095,10.694061,-0.13946219,5.179772,5.417715,2.3275986,10.876083,0.1396431,2.0026703,2.863573,1.6922095,10.694061,-0.13946219,6.151376,8.156837,2.8560178,15.460175,0.15653735,0.38663292,1.0,0.32556462,2.5864327,0.84205097,0.32556462,0.7270195,1.0,0.59250665,1.375479,0.8149804,0.59250665,0.52855736,1.0,0.35106415,1.8919423,0.6641931,0.35106415,-0.7414568,1.0,-0.45617628,-1.3486962,0.61524326,-0.45617628,0.74241865,1.0,0.5120286,1.3469489,0.68967634,0.5120286,0.983264,1.0,0.69171673,1.0170208,0.7034903,0.69171673,0.059035085,9.4127655,0.5298032,1.0000002,0.5298032,TASCA_DESTRA_DAVANTI_PANTALONI
4.395092,15.779161,3.9722993,14.087804,-0.018109044,2.015543,17.140139,4.140065,13.320201,-0.6008995,4.395092,15.779161,3.9722993,14.087804,-0.018109044,8.411445,20.642088,4.5433564,16.118416,0.17853874,2.1805995,1.0,0.52251333,0.4585895,0.23961912,0.52251333,0.9594775,1.0,0.8743094,1.042234,0.911235,0.8743094,0.9205971,1.0,0.76441693,1.0862515,0.8303491,0.76441693,0.050118256,1.0,-0.071528114,19.952808,-1.4271868,-0.071528114,1.6630385,1.0,0.70520234,0.601309,0.42404452,0.70520234,1.057627,1.0,0.87401915,0.94551295,0.8263964,0.87401915,0.06534224,13.02612,-0.6174942,0.9999996,-0.6174942,TASCA_DESTRA_DAVANTI_PANTALONI
5.5157795,21.832983,4.672578,15.883619,-0.010869772,3.6465523,10.03361,3.1675875,13.080549,-0.16516441,5.5157795,21.832983,4.672578,15.883619,-0.010869772,9.9100685,29.635117,5.4438148,18.600328,0.16584899,1.5126013,1.0,0.5565834,0.6611128,0.3679644,0.5565834,1.475122,1.0,0.85832787,0.67791003,0.58186907,0.85832787,2.1759849,1.0,0.73672676,0.45956203,0.33857164,0.73672676,0.0921127,1.0,-0.046183404,10.856266,-0.5013794,-0.046183404,1.3996373,1.0,0.7046579,0.7144708,0.5034575,0.7046579,1.214293,1.0,0.85394293,0.8235245,0.7032429,0.85394293,0.086107485,14.995645,-0.7026764,1.0000004,-0.7026764,TASCA_DESTRA_DAVANTI_PANTALONI
3.80652,12.482831,3.533105,11.242821,-3.3296485E-4,2.6465662,11.49708,3.3907344,13.436209,-0.87922114,3.80652,12.482831,3.533105,11.242821,-3.3296485E-4,7.718546,12.8702755,3.5875165,12.804352,0.25087652,1.4382863,1.0,0.49316543,0.69527185,0.34288403,0.49316543,1.0419881,1.0,0.98483306,0.95970386,0.9451481,0.98483306,1.0857393,1.0,0.9698962,0.9210314,0.8933049,0.9698962,5.952948E-4,1.0,-8.7269983E-4,1679.84,-1.465996,-8.7269983E-4,1.571925,1.0,0.6575466,0.63616264,0.41830656,0.6575466,0.83675545,1.0,0.8780469,1.1950923,1.049347,0.8780469,0.05998625,11.677742,-0.8591261,0.9999998,-0.8591261,TASCA_DESTRA_DAVANTI_PANTALONI
6.0751534,21.51976,4.6389394,18.111053,-0.049517874,-0.5887454,31.092573,5.5760713,17.06369,-0.9134513,6.0751534,21.51976,4.6389394,18.111053,-0.049517874,10.570602,36.55606,6.0461607,24.797682,0.013572902,-10.318812,1.0,0.5747216,-0.09691038,-0.055696487,0.5747216,0.8319369,1.0,0.76725376,1.2020142,0.9222499,0.76725376,0.692119,1.0,0.5886783,1.4448383,0.8505449,0.5886783,0.10489986,1.0,-2.5043616,9.532901,-23.873833,-2.5043616,1.9350773,1.0,0.6864482,0.5167752,0.35473943,0.6864482,1.0613797,1.0,0.7303527,0.94216996,0.6881164,0.7303527,0.09064961,17.481968,-0.7309101,1.0000001,-0.7309101,TASCA_DESTRA_DAVANTI_PANTALONI
5.986447,42.74853,6.538236,25.5997,-0.21327579,-0.36434245,40.61668,6.3731217,25.863922,-0.74269825,5.986447,42.74853,6.538236,25.5997,-0.21327579,11.566346,64.141266,8.008824,29.645979,0.047638077,-16.430824,1.0,0.5175746,-0.06086122,-0.03150022,0.5175746,1.0259079,1.0,0.816379,0.97474635,0.7957625,0.816379,1.0524871,1.0,0.6664747,0.9501304,0.6332379,0.6664747,0.4082558,1.0,-3.0345824,2.4494448,-7.4330416,-3.0345824,1.4216843,1.0,0.6778156,0.7033911,0.47676945,0.6778156,0.9897842,1.0,0.8635134,1.0103213,0.872426,0.8635134,0.087360315,18.59211,-0.7794928,0.9999994,-0.7794928,TASCA_DESTRA_DAVANTI_PANTALONI
3.8034356,21.656708,4.653677,17.675446,-0.16679409,2.0196803,29.252443,5.4085526,20.502136,-0.8671666,3.8034356,21.656708,4.653677,17.675446,-0.16679409,9.020792,24.202538,4.9196076,21.00107,0.0331383,1.8831869,1.0,0.4216299,0.53101474,0.22389168,0.4216299,0.8604293,1.0,0.9459447,1.1622106,1.099387,0.9459447,0.74033844,1.0,0.89481145,1.3507336,1.2086519,0.89481145,0.2653617,1.0,-3.5103421,3.7684414,-13.228519,-3.5103421,1.379622,1.0,0.6974275,0.72483623,0.5055207,0.6974275,0.862127,1.0,0.841645,1.1599219,0.9762425,0.841645,0.06112288,13.664473,-0.6590067,0.99999994,-0.6590067,TASCA_DESTRA_DAVANTI_PANTALONI
