@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
2.1100454,6.760795,2.600153,19.02623,-1.9625504,1.0160674,4.015784,2.003942,9.1633625,-0.3877718,1.3111558,25.654507,5.0650277,20.359062,-0.7452413,6.027268,7.306939,2.703135,15.26111,0.05528204,2.0766788,1.6093018,0.35008323,0.77494025,0.16857843,0.21753733,1.2975191,0.5133541,0.96190274,0.39564285,0.74134,1.8737606,1.6835556,0.26353246,0.9252568,0.15653327,0.5495849,3.5109785,4.9226027,1.4498017,-14.113664,0.29451934,-2.8671143,-9.734893,0.9726356,0.55053467,0.39756033,0.5660235,0.40874538,0.72213495,2.076337,0.9345337,1.2467134,0.45008767,0.6004388,1.3340485,0.026839921,8.953673,-0.106712945,0.32007903,-0.47215337,TASCA_DESTRA_DAVANTI_PANTALONI
2.1790257,10.721889,3.2744296,11.102032,-0.5336105,-0.09596921,1.962231,1.4007965,6.9054375,-0.98354846,1.5603565,21.02151,4.584922,18.631136,-0.35510606,5.721491,8.162236,2.8569627,13.165515,0.072200604,-22.705467,1.3964921,0.38084927,-0.061504666,-0.016773462,0.27271852,2.3375483,0.7141735,1.1461226,0.30552244,0.49030972,1.6048238,5.4641314,0.51004374,1.313597,0.093343966,0.24040361,2.5754595,1.1281521,0.79120255,-3.770398,0.70132613,-3.3421006,-4.765402,2.0794048,0.5265279,0.51015675,0.25321087,0.24533789,0.9689074,1.6077231,0.59588593,0.84326607,0.37063965,0.5245095,1.4151468,0.026818044,7.833975,0.060655545,-0.005534016,-0.54308754,TASCA_DESTRA_DAVANTI_PANTALONI
0.38318676,2.3714025,1.5399358,8.562349,-0.616085,0.54744315,2.3993967,1.5489986,6.602687,-0.82487607,0.62732756,14.570484,3.8171303,17.64658,-0.61893594,3.990341,4.2585335,2.0636215,10.109059,0.09980716,0.6999572,0.61082405,0.096028574,0.87265915,0.13719207,0.15721151,0.99414927,0.40342763,0.74622977,0.40580186,0.75062144,1.849724,0.9883328,0.16275385,0.55685896,0.16467515,0.56343263,3.4214792,1.0936878,0.48382998,-2.9122756,0.442384,-2.6628034,-6.0192127,1.4643383,0.48606893,0.47179523,0.33193758,0.32219005,0.9706344,1.2967978,0.48521298,0.8469976,0.3741624,0.65314555,1.7456204,0.0091655115,5.7698207,-0.17886281,0.50202173,-0.5586527,TASCA_DESTRA_DAVANTI_PANTALONI
-0.07724235,3.1866696,1.7851245,13.274571,-0.4988235,0.1833626,1.4135283,1.188919,6.539007,-1.2655071,0.81303006,20.47439,4.5248637,18.253906,-0.5617747,4.3518767,6.8363733,2.614646,11.382836,0.040490728,-0.42125466,-0.09500553,-0.017749205,0.22552992,0.042134143,0.18682286,1.5014687,0.39451453,0.68274045,0.26275244,0.45471507,1.7305837,2.2544081,0.15564173,0.46613452,0.069038846,0.20676582,2.9949198,1.2095002,0.6728485,-9.197293,0.5563029,-7.60421,-13.669189,3.0684824,0.75776154,0.7465669,0.24694993,0.24330166,0.9852267,2.030059,0.72721815,1.1661919,0.35822508,0.574462,1.6036342,0.008370222,5.9473114,-0.017150732,-0.21206157,-0.47169605,TASCA_DESTRA_DAVANTI_PANTALONI
0.7245756,1.6392102,1.2803165,7.2828064,-0.82806855,-1.2359953,13.190514,3.6318746,12.910931,-2.2558386,1.4019965,21.49426,4.6361904,17.99303,-0.7619307,5.729191,7.518649,2.7420156,9.6856165,0.060830276,-0.58622843,0.516817,0.12647083,-0.88159657,-0.21573645,0.24471109,0.35252222,0.27615702,0.4669253,0.7833748,1.3245273,1.6907965,0.1242719,0.07626269,0.21801925,0.6136761,1.7543728,2.858793,0.36878216,0.42397636,-5.2585936,1.1496662,-14.259349,-12.403035,1.0046427,0.39011338,0.38629857,0.38831055,0.38451338,0.9902213,0.56408066,0.40475708,0.75191975,0.71755177,1.3330004,1.8577063,0.020045668,8.084606,0.2013173,0.29087248,-0.042879257,TASCA_DESTRA_DAVANTI_PANTALONI
1.9392908,2.7913537,1.6707345,6.908247,-0.26424894,-1.1030953,2.7328157,1.653123,8.412651,-2.0987241,0.9110238,22.937628,4.7893243,18.927368,-0.46373925,5.2664657,6.533751,2.5561204,13.054223,0.056925666,-1.7580446,2.1286938,0.36823383,-1.2108303,-0.20945647,0.1729858,1.0106535,0.34884557,0.6536212,0.34516832,0.64673126,1.8736693,1.0214204,0.121693216,0.4272207,0.11914117,0.41826138,3.510637,0.25342137,0.24079539,-1.8324634,0.9501779,-7.2308955,-7.610044,2.0127292,0.42257982,0.3947573,0.20995367,0.19613037,0.9341603,0.8211736,0.3649872,0.5291963,0.4444702,0.64443904,1.4499038,0.02409903,7.6382756,-0.1590957,0.09193348,-0.5324757,TASCA_DESTRA_DAVANTI_PANTALONI
-0.43418926,3.1068265,1.7626193,7.394964,-3.7006037,-2.2076538,4.7091985,2.1700687,6.8173203,-15.762778,1.1085734,7.1455016,2.6731071,10.279245,-0.2625561,3.7350526,7.3021045,2.7022407,9.260329,0.030566173,0.19667453,-0.39166486,-0.11624716,-1.9914366,-0.5910636,0.29680264,0.8122412,0.6593897,0.6522806,0.8118151,0.80306274,0.9892187,0.65973574,0.43479475,0.42547002,0.6590438,0.64490974,0.9785537,0.90814364,2.7234685,-19.939106,2.99894,-21.955894,-7.321218,3.868252,0.19322881,0.16469264,0.04995249,0.042575467,0.85231924,1.0847318,0.7194073,0.79856384,0.6632121,0.73618555,1.1100302,0.025082245,5.453909,0.22437523,-0.7494824,-0.28532282,TASCA_DESTRA_DAVANTI_PANTALONI
2.1244879,9.18427,3.030556,12.297381,-0.21335666,1.0947008,5.391124,2.3218794,12.838949,-0.4196192,1.275703,24.953611,4.995359,20.663301,-0.58980346,5.6942496,14.4437475,3.800493,12.67303,0.0340314,1.9407018,1.6653469,0.37309358,0.8581158,0.19224672,0.22403355,1.3052168,0.6066743,0.79741126,0.46480733,0.61094165,1.3143976,1.703591,0.36805373,0.63586473,0.21604583,0.37324965,1.7276411,0.5697934,0.28207642,-4.8432083,0.49505034,-8.499937,-17.169844,1.1206411,0.77977246,0.77251464,0.69582707,0.6893506,0.9906924,0.9578184,0.5951315,0.97035843,0.62134063,1.0130923,1.6304942,0.028516868,8.286053,0.023647962,-0.14200638,-0.23622032,TASCA_DESTRA_DAVANTI_PANTALONI
2.7152562,12.229854,3.4971209,15.956787,-0.4860748,-0.6588213,9.329099,3.0543573,16.855965,-1.0722378,1.2719986,55.898647,7.4765396,28.836445,-0.5821978,8.310369,17.819958,4.2213693,16.339462,0.11436703,-4.121385,2.1346376,0.32673115,-0.51794183,-0.07927702,0.15306164,1.1449612,0.4677459,0.8284328,0.40852553,0.72354656,1.7711172,1.3109362,0.21878622,0.68630093,0.16689311,0.5235197,3.1368563,0.5984154,0.49187684,-2.4735634,0.8219655,-4.133522,-5.0288267,1.3200512,0.5891472,0.58199704,0.44630632,0.44088975,0.98786354,0.9466552,0.55335486,0.9765797,0.58453685,1.0316107,1.7648344,0.031649053,11.968696,-0.0478256,-0.26380333,-0.3730084,TASCA_DESTRA_DAVANTI_PANTALONI
1.9120724,5.663942,2.3799038,9.15557,-0.4358119,-1.4001199,13.852558,3.7219024,18.014076,-1.5705903,1.5851145,22.680092,4.762362,18.731861,-0.55641955,6.4030633,9.326317,3.053902,12.923584,0.06259451,-1.3656491,1.2062677,0.29861838,-0.8832926,-0.21866408,0.24755564,0.6394321,0.4997318,0.7792994,0.7815245,1.2187368,1.5594351,0.40887335,0.24973187,0.6073075,0.61078054,1.4853193,2.431838,0.2524904,0.414983,-3.2202916,1.6435596,-12.754116,-7.760057,0.9099314,0.5298264,0.46252197,0.5822707,0.5083042,0.8729689,0.50824535,0.48876992,0.70843893,0.96168107,1.3938917,1.4494324,0.030331174,9.709461,0.38819396,0.21712787,-0.43368226,TASCA_DESTRA_DAVANTI_PANTALONI
