@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1109.3068,157164.81,396.4402,1398.83,0.104085855,TASCA_DESTRA_DAVANTI_PANTALONI
1548.1969,214519.58,463.1626,2204.11,0.12704062,TASCA_DESTRA_DAVANTI_PANTALONI
1139.7404,199451.22,446.5996,1548.9763,0.04220526,TASCA_DESTRA_DAVANTI_PANTALONI
482.53622,45134.49,212.44879,682.53235,0.0068584373,TASCA_DESTRA_DAVANTI_PANTALONI
1798.5468,231986.12,481.64938,1917.0475,0.10531324,TASCA_DESTRA_DAVANTI_PANTALONI
840.0075,212810.72,461.31412,1290.1682,0.0032010681,TASCA_DESTRA_DAVANTI_PANTALONI
4.0614944,4.7829657E-4,0.021869993,0.047724247,0.98834544,TASCA_DESTRA_DAVANTI_PANTALONI
38.80475,102.84854,10.141427,32.0,0.4181818,TASCA_DESTRA_DAVANTI_PANTALONI
333.31525,17942.854,133.95094,350.0,0.39965695,TASCA_DESTRA_DAVANTI_PANTALONI
245.48534,30032.992,173.3003,497.0,0.19055374,TASCA_DESTRA_DAVANTI_PANTALONI
279.40683,8321.57,91.22264,301.0,0.3568376,TASCA_DESTRA_DAVANTI_PANTALONI
202.03656,2693.549,51.899414,262.0,0.054151624,TASCA_DESTRA_DAVANTI_PANTALONI
29.721485,24.50337,4.950088,22.0,0.5,TASCA_DESTRA_DAVANTI_PANTALONI
20.31579,13.747643,3.7077816,21.0,0.3,TASCA_DESTRA_DAVANTI_PANTALONI
247.91667,1088.9098,32.998634,250.0,0.18566775,TASCA_DESTRA_DAVANTI_PANTALONI
2.0,0.0,0.0,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
3.0,1.4742268,1.2141775,4.0,0.33333334,TASCA_DESTRA_DAVANTI_PANTALONI
2.0,0.0,0.0,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
13.235632,39.45601,6.2814016,18.0,0.05263158,TASCA_DESTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
1.0,0.0,0.0,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
16.741379,63.226208,7.951491,21.0,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.1431847,3.274181E-11,5.722046E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.1431847,3.274181E-11,5.722046E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.1110115,0.0071381577,0.08448762,1.0569038,0.79099786,TASCA_DESTRA_DAVANTI_PANTALONI
4.1297708,3.3292181,1.8246145,7.0,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.0471754,5.820766E-11,7.6293945E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.0107975,3.9263454E-4,0.019815007,0.047167778,0.9883455,TASCA_DESTRA_DAVANTI_PANTALONI
4.1431847,3.274181E-11,5.722046E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.1431847,3.274181E-11,5.722046E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.1431847,3.274181E-11,5.722046E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
8.42287,44.12429,6.6426115,22.892126,0.15325068,TASCA_DESTRA_DAVANTI_PANTALONI
4.249359,0.08993953,0.2998992,2.5568137,0.6183856,TASCA_DESTRA_DAVANTI_PANTALONI
10.721865,9.206834,3.0342765,11.439541,0.2658829,TASCA_DESTRA_DAVANTI_PANTALONI
4.094895,8.185452E-12,2.861023E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.0471754,5.820766E-11,7.6293945E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
15.541491,27.940544,5.2858815,18.532629,0.18271361,TASCA_DESTRA_DAVANTI_PANTALONI
15.014455,195.99155,13.999698,51.77948,0.07408766,TASCA_DESTRA_DAVANTI_PANTALONI
59.866673,701.57416,26.487246,140.39346,0.02866525,TASCA_DESTRA_DAVANTI_PANTALONI
0.13793103,0.11890564,0.34482697,1.0,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
