@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
3.839917,26.91192,5.18767,21.298908,-0.16066302,3.3074536,14.711168,3.835514,14.423556,-0.50899696,3.839917,26.91192,5.18767,21.298908,-0.16066302,108.96418,22764.377,150.87868,678.59357,0.018177066,1.1609889,1.0,0.035240177,0.8613347,0.030353587,0.035240177,1.3525358,1.0,0.03438306,0.7393519,0.02542118,0.03438306,1.8293531,1.0,0.0011821944,0.54664135,6.4623635E-4,0.0011821944,0.6059935,1.0,-0.23467496,1.6501827,-0.38725656,-0.23467496,1.9198496,1.0,0.026550617,0.52087414,0.013829529,0.026550617,1.4766753,1.0,0.03138684,0.677197,0.021255074,0.03138684,0.042389292,12.925116,-0.8367811,0.99999976,-0.8367811,TASCA_DESTRA_DAVANTI_PANTALONI
3.3729594,12.850378,3.5847423,14.465918,-0.045434877,2.9736295,14.154292,3.762219,14.045293,-0.5527313,3.3729594,12.850378,3.5847423,14.465918,-0.045434877,71.45122,8123.9316,90.13286,374.29584,0.027824773,1.1342905,1.0,0.047206465,0.8816084,0.041617617,0.047206465,0.9528266,1.0,0.039771758,1.0495089,0.041740816,0.039771758,0.9078785,1.0,0.001581793,1.1014689,0.0017422958,0.001581793,0.12574473,1.0,-0.05868624,7.952619,-0.46670932,-0.05868624,1.529729,1.0,0.03594004,0.65371054,0.023494383,0.03594004,1.0299478,1.0,0.038648352,0.97092307,0.037524577,0.038648352,0.037473653,11.234507,-0.6471616,1.0,-0.6471616,TASCA_DESTRA_DAVANTI_PANTALONI
3.8561187,20.227367,4.4974847,16.92201,-0.07695532,4.9442444,12.766201,3.572982,14.425352,-0.14749588,3.8561187,20.227367,4.4974847,16.92201,-0.07695532,107.4058,14346.673,119.777596,484.73157,0.025123866,0.77992076,1.0,0.035902333,1.2821816,0.046033308,0.035902333,1.2587482,1.0,0.03754863,0.7944401,0.029830137,0.03754863,1.5844469,1.0,0.0014098996,0.63113505,8.8983704E-4,0.0014098996,0.6521353,1.0,-0.09679537,1.5334241,-0.14842835,-0.09679537,1.2499107,1.0,0.031601116,0.8000572,0.0252827,0.031601116,1.1730744,1.0,0.034910064,0.8524609,0.029759465,0.034910064,0.049073577,12.9694,-0.7078576,1.0,-0.7078576,TASCA_DESTRA_DAVANTI_PANTALONI
4.455327,20.253769,4.5004187,17.83374,-0.050326623,1.4622082,29.64024,5.444285,16.80899,-0.9869878,4.455327,20.253769,4.5004187,17.83374,-0.050326623,111.98571,17880.578,133.71828,616.18146,4.734349E-4,3.0469854,1.0,0.03978478,0.32819322,0.013057096,0.03978478,0.8266317,1.0,0.03365597,1.2097286,0.04071459,0.03365597,0.68332,1.0,0.0011327245,1.4634432,0.0016576779,0.0011327245,0.10234288,1.0,-2.9277992,9.771075,-28.607748,-2.9277992,2.007112,1.0,0.027542526,0.49822825,0.013722465,0.027542526,1.0609643,1.0,0.028942352,0.9425387,0.027279286,0.028942352,0.04523234,14.245176,-0.77621686,0.99999964,-0.77621686,TASCA_DESTRA_DAVANTI_PANTALONI
4.3625484,34.527145,5.8759804,24.233368,-0.14169317,1.9628487,39.744423,6.304318,23.976288,-0.78689533,4.3625484,34.527145,5.8759804,24.233368,-0.14169317,150.71512,46889.63,216.54013,961.452,0.0011852493,2.2225597,1.0,0.028945658,0.44993168,0.013023568,0.028945658,0.9320565,1.0,0.027135758,1.0728964,0.029113855,0.027135758,0.8687293,1.0,7.363493E-4,1.1511066,8.476165E-4,7.363493E-4,0.2848482,1.0,-2.636094,3.5106416,-9.254382,-2.636094,1.5819092,1.0,0.022050666,0.63214755,0.013939274,0.022050666,1.0107223,1.0,0.025204968,0.9893915,0.024937581,0.025204968,0.04434445,15.360136,-0.7984301,0.99999964,-0.7984301,TASCA_DESTRA_DAVANTI_PANTALONI
2.1411557,20.632809,4.542335,19.2453,-0.27042356,3.3905323,24.698208,4.969729,20.631866,-0.8570408,2.1411557,20.632809,4.542335,19.2453,-0.27042356,86.628654,9524.87,97.59544,471.27783,0.001098147,0.6315102,1.0,0.024716483,1.5835056,0.039138693,0.024716483,0.9140006,1.0,0.04654249,1.0940912,0.05092173,0.04654249,0.835397,1.0,0.0021662037,1.1970357,0.002593023,0.0021662037,0.4302314,1.0,-7.906896,2.3243306,-18.37824,-7.906896,1.3635124,1.0,0.032108642,0.7334,0.02354848,0.032108642,0.9327949,1.0,0.04083642,1.072047,0.043778565,0.04083642,0.03224011,12.1814575,-0.6935851,1.0000002,-0.6935851,TASCA_DESTRA_DAVANTI_PANTALONI
4.518707,29.936066,5.471386,21.113892,-0.13238584,1.8352526,40.17973,6.3387485,24.88321,-0.96388346,4.518707,29.936066,5.471386,21.113892,-0.13238584,144.25745,40831.984,202.06926,817.86017,0.00652658,2.4621716,1.0,0.031323906,0.40614554,0.012722066,0.031323906,0.863165,1.0,0.027076785,1.158527,0.031369187,0.027076785,0.74505395,1.0,7.331524E-4,1.3421847,9.840259E-4,7.331524E-4,0.20211574,1.0,-0.4594168,4.94766,-2.2730381,-0.4594168,1.4715776,1.0,0.022649106,0.6795428,0.015391036,0.022649106,0.8485196,1.0,0.025816016,1.1785231,0.030424772,0.025816016,0.046494596,15.220904,-0.81307393,0.99999994,-0.81307393,TASCA_DESTRA_DAVANTI_PANTALONI
3.483991,27.135227,5.2091484,22.884888,-0.19763027,4.446345,14.373276,3.7912104,15.915161,-0.1918276,3.483991,27.135227,5.2091484,22.884888,-0.19763027,112.69011,19265.768,138.80118,726.1412,0.0057222266,0.7835629,1.0,0.030916564,1.2762218,0.03945639,0.030916564,1.3740066,1.0,0.03752957,0.7277985,0.027313964,0.03752957,1.8878944,1.0,0.0014084685,0.5296906,7.460526E-4,0.0014084685,1.4742489,1.0,-0.9036517,0.6783115,-0.61295736,-0.9036517,1.430963,1.0,0.026164515,0.69883007,0.01828455,0.026164515,1.43793,1.0,0.031515755,0.69544417,0.021917447,0.031515755,0.046088498,12.705732,-0.64230645,1.0000001,-0.64230645,TASCA_DESTRA_DAVANTI_PANTALONI
2.631453,13.93017,3.7323143,16.6745,-0.4070449,4.10803,8.432861,2.903939,13.031342,-0.4844605,2.631453,13.93017,3.7323143,16.6745,-0.4070449,67.0182,3400.9243,58.317444,286.79666,4.4409157E-4,0.64056325,1.0,0.03926475,1.561126,0.061297223,0.03926475,1.2852592,1.0,0.063999966,0.77805316,0.049795374,0.063999966,1.6518912,1.0,0.0040959953,0.6053667,0.0024795793,0.0040959953,1.1342487,1.0,-37.85713,0.88164085,-33.37639,-37.85713,1.3499708,1.0,0.041302647,0.74075675,0.030595213,0.041302647,1.2795689,1.0,0.058140494,0.7815132,0.045437563,0.058140494,0.039035305,10.476299,-0.65998054,1.0000001,-0.65998054,TASCA_DESTRA_DAVANTI_PANTALONI
2.294291,16.287153,4.0357347,18.169373,-0.41325176,5.3764024,10.801686,3.286592,14.847565,-0.2628124,2.294291,16.287153,4.0357347,18.169373,-0.41325176,82.80925,6289.0513,79.303535,368.9202,0.008525527,0.4267335,1.0,0.027705733,2.3433828,0.06492514,0.027705733,1.227939,1.0,0.05088972,0.81437266,0.041443195,0.05088972,1.5078343,1.0,0.0025897631,0.6632028,0.0017175382,0.0025897631,1.719384,1.0,-1.6748002,0.58160365,-0.97406995,-1.6748002,1.0934628,1.0,0.034551706,0.91452587,0.03159843,0.034551706,1.2237275,1.0,0.049250145,0.81717545,0.040246006,0.049250145,0.043913215,11.7211075,-0.2618999,0.99999976,-0.2618999,TASCA_DESTRA_DAVANTI_PANTALONI
