@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
2.1100454,6.760795,2.600153,19.02623,-1.9625504,1.0160674,4.015784,2.003942,9.1633625,-0.3877718,1.3111558,25.654507,5.0650277,20.359062,-0.7452413,6.027268,7.306939,2.703135,15.26111,0.05528204,2.0766788,1.6093018,0.35008323,0.77494025,0.16857843,0.21753733,1.2975191,0.5133541,0.96190274,0.39564285,0.74134,1.8737606,1.6835556,0.26353246,0.9252568,0.15653327,0.5495849,3.5109785,4.9226027,1.4498017,-14.113664,0.29451934,-2.8671143,-9.734893,0.9726356,0.55053467,0.39756033,0.5660235,0.40874538,0.72213495,2.076337,0.9345337,1.2467134,0.45008767,0.6004388,1.3340485,0.026839921,8.953673,-0.106712945,0.32007903,-0.47215337,TASCA_DESTRA_DAVANTI_PANTALONI
2.1790257,10.721889,3.2744296,11.102032,-0.5336105,-0.09596921,1.962231,1.4007965,6.9054375,-0.98354846,1.5603565,21.02151,4.584922,18.631136,-0.35510606,5.721491,8.162236,2.8569627,13.165515,0.072200604,-22.705467,1.3964921,0.38084927,-0.061504666,-0.016773462,0.27271852,2.3375483,0.7141735,1.1461226,0.30552244,0.49030972,1.6048238,5.4641314,0.51004374,1.313597,0.093343966,0.24040361,2.5754595,1.1281521,0.79120255,-3.770398,0.70132613,-3.3421006,-4.765402,2.0794048,0.5265279,0.51015675,0.25321087,0.24533789,0.9689074,1.6077231,0.59588593,0.84326607,0.37063965,0.5245095,1.4151468,0.026818044,7.833975,0.060655545,-0.005534016,-0.54308754,TASCA_DESTRA_DAVANTI_PANTALONI
0.38318676,2.3714025,1.5399358,8.562349,-0.616085,0.54744315,2.3993967,1.5489986,6.602687,-0.82487607,0.62732756,14.570484,3.8171303,17.64658,-0.61893594,3.990341,4.2585335,2.0636215,10.109059,0.09980716,0.6999572,0.61082405,0.096028574,0.87265915,0.13719207,0.15721151,0.99414927,0.40342763,0.74622977,0.40580186,0.75062144,1.849724,0.9883328,0.16275385,0.55685896,0.16467515,0.56343263,3.4214792,1.0936878,0.48382998,-2.9122756,0.442384,-2.6628034,-6.0192127,1.4643383,0.48606893,0.47179523,0.33193758,0.32219005,0.9706344,1.2967978,0.48521298,0.8469976,0.3741624,0.65314555,1.7456204,0.0091655115,5.7698207,-0.17886281,0.50202173,-0.5586527,TASCA_DESTRA_DAVANTI_PANTALONI
-0.07724235,3.1866696,1.7851245,13.274571,-0.4988235,0.1833626,1.4135283,1.188919,6.539007,-1.2655071,0.81303006,20.47439,4.5248637,18.253906,-0.5617747,4.3518767,6.8363733,2.614646,11.382836,0.040490728,-0.42125466,-0.09500553,-0.017749205,0.22552992,0.042134143,0.18682286,1.5014687,0.39451453,0.68274045,0.26275244,0.45471507,1.7305837,2.2544081,0.15564173,0.46613452,0.069038846,0.20676582,2.9949198,1.2095002,0.6728485,-9.197293,0.5563029,-7.60421,-13.669189,3.0684824,0.75776154,0.7465669,0.24694993,0.24330166,0.9852267,2.030059,0.72721815,1.1661919,0.35822508,0.574462,1.6036342,0.008370222,5.9473114,-0.017150732,-0.21206157,-0.47169605,TASCA_DESTRA_DAVANTI_PANTALONI
0.7245756,1.6392102,1.2803165,7.2828064,-0.82806855,-1.2359953,13.190514,3.6318746,12.910931,-2.2558386,1.4019965,21.49426,4.6361904,17.99303,-0.7619307,5.729191,7.518649,2.7420156,9.6856165,0.060830276,-0.58622843,0.516817,0.12647083,-0.88159657,-0.21573645,0.24471109,0.35252222,0.27615702,0.4669253,0.7833748,1.3245273,1.6907965,0.1242719,0.07626269,0.21801925,0.6136761,1.7543728,2.858793,0.36878216,0.42397636,-5.2585936,1.1496662,-14.259349,-12.403035,1.0046427,0.39011338,0.38629857,0.38831055,0.38451338,0.9902213,0.56408066,0.40475708,0.75191975,0.71755177,1.3330004,1.8577063,0.020045668,8.084606,0.2013173,0.29087248,-0.042879257,TASCA_DESTRA_DAVANTI_PANTALONI
1.9392908,2.7913537,1.6707345,6.908247,-0.26424894,-1.1030953,2.7328157,1.653123,8.412651,-2.0987241,0.9110238,22.937628,4.7893243,18.927368,-0.46373925,5.2664657,6.533751,2.5561204,13.054223,0.056925666,-1.7580446,2.1286938,0.36823383,-1.2108303,-0.20945647,0.1729858,1.0106535,0.34884557,0.6536212,0.34516832,0.64673126,1.8736693,1.0214204,0.121693216,0.4272207,0.11914117,0.41826138,3.510637,0.25342137,0.24079539,-1.8324634,0.9501779,-7.2308955,-7.610044,2.0127292,0.42257982,0.3947573,0.20995367,0.19613037,0.9341603,0.8211736,0.3649872,0.5291963,0.4444702,0.64443904,1.4499038,0.02409903,7.6382756,-0.1590957,0.09193348,-0.5324757,TASCA_DESTRA_DAVANTI_PANTALONI
-0.43418926,3.1068265,1.7626193,7.394964,-3.7006037,-2.2076538,4.7091985,2.1700687,6.8173203,-15.762778,1.1085734,7.1455016,2.6731071,10.279245,-0.2625561,3.7350526,7.3021045,2.7022407,9.260329,0.030566173,0.19667453,-0.39166486,-0.11624716,-1.9914366,-0.5910636,0.29680264,0.8122412,0.6593897,0.6522806,0.8118151,0.80306274,0.9892187,0.65973574,0.43479475,0.42547002,0.6590438,0.64490974,0.9785537,0.90814364,2.7234685,-19.939106,2.99894,-21.955894,-7.321218,3.868252,0.19322881,0.16469264,0.04995249,0.042575467,0.85231924,1.0847318,0.7194073,0.79856384,0.6632121,0.73618555,1.1100302,0.025082245,5.453909,0.22437523,-0.7494824,-0.28532282,TASCA_DESTRA_DAVANTI_PANTALONI
2.1279635,8.945979,2.990983,12.467365,-0.23012859,1.061432,5.9901547,2.4474792,12.838949,-0.4196192,1.2669003,25.462873,5.046075,21.913094,-0.66649556,5.8105397,13.896524,3.7278042,13.081131,0.017244622,2.0048044,1.6796614,0.36622477,0.8378181,0.18267356,0.21803488,1.2220668,0.5927346,0.80234444,0.48502636,0.6565472,1.353632,1.4934471,0.35133424,0.64375657,0.23525055,0.43105417,1.8323195,0.61458474,0.26613253,-10.161112,0.4330282,-16.533297,-38.180645,1.1206411,0.7707697,0.7614201,0.6877935,0.6794504,0.98786974,0.9710581,0.56894594,0.95308006,0.5859031,0.9814862,1.6751682,0.014181162,8.463681,0.03128627,-0.12226878,-0.18186286,TASCA_DESTRA_DAVANTI_PANTALONI
2.734458,11.855852,3.4432328,15.956787,-0.4860748,-0.6240796,9.938127,3.1524794,18.731512,-0.87132996,1.2691622,56.315292,7.5043516,28.836445,-0.5821978,8.33438,18.124891,4.2573338,17.831945,0.03347136,-4.381585,2.154538,0.32809374,-0.49172565,-0.074880145,0.15228033,1.0922301,0.4588315,0.8087768,0.42008686,0.7404821,1.7626882,1.1929665,0.21052633,0.6541199,0.17647296,0.54831374,3.1070693,0.5984154,0.49187684,-8.451825,0.8219655,-14.123675,-17.182808,1.0727099,0.5891472,0.58199704,0.5492139,0.54254836,0.98786354,0.8518686,0.55335486,0.89484274,0.64957774,1.0504469,1.6171228,0.015868846,12.022684,-0.060753375,-0.28238878,-0.35314956,TASCA_DESTRA_DAVANTI_PANTALONI
1.9069989,6.02655,2.4549031,9.67066,-0.46358675,-1.415943,13.630648,3.6919706,18.15842,-1.5911881,1.5990071,22.93633,4.789189,20.348137,-0.6907149,6.445418,9.248469,3.0411296,12.923584,0.06259451,-1.3468049,1.1926143,0.29586893,-0.8855139,-0.21968211,0.24808432,0.6649303,0.5125927,0.807234,0.77089685,1.2140129,1.5748059,0.44213232,0.26275125,0.6516267,0.594282,1.4738274,2.4800136,0.27470592,0.3684814,-3.5495799,1.3413669,-12.921382,-9.632996,0.94288445,0.549014,0.47927213,0.5822707,0.5083042,0.8729689,0.5325717,0.47526023,0.74829555,0.8923874,1.4050608,1.5744964,0.015230204,9.781635,0.37642807,0.22789285,-0.45055684,TASCA_DESTRA_DAVANTI_PANTALONI
