@RELATION WhereIsSmartphone
@ATTRIBUTE G_R_AVERAGE NUMERIC 
@ATTRIBUTE G_R_VARIANCE NUMERIC 
@ATTRIBUTE G_R_STD NUMERIC 
@ATTRIBUTE G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_G_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_G_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_G_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_G_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_G_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.06815663,6.26891,2.5037792,9.508348,-1.943817,-0.53464293,1.6310475,1.2771246,6.043639,-1.2725784,10.219839,20.699286,4.549647,17.649584,0.20820217,133.33482,14666.452,121.105125,513.5085,0.046869304,0.12748066,-0.006669051,-5.11169E-4,-0.05231422,-0.004009777,0.07664794,1.9604814,0.55032384,0.020674428,0.28070852,0.010545587,0.03756775,3.843487,0.30285636,4.2743192E-4,0.07879728,1.1120941E-4,0.0014113355,1.8551775,-1.3528333,-0.24863714,-0.7292204,-0.13402337,0.18378994,1.2145479,0.14490192,0.005995137,0.11930523,0.004936106,0.04137376,1.573282,0.5387293,0.018516438,0.3424239,0.011769308,0.03437058,0.102340415,13.25905,0.14163238,-0.5539525,-0.49945635,TASCA_DESTRA_DAVANTI_PANTALONI
0.04129962,1.789846,1.3378513,7.641183,-1.2651552,0.1378376,15.17807,3.8959043,15.81019,-0.6070298,10.338493,18.573196,4.3096633,15.265186,0.13514392,142.44624,10794.755,103.89781,336.6321,0.04073465,0.2996252,0.0039947424,2.8993125E-4,0.013332466,9.676465E-4,0.07257821,0.34339944,0.3104306,0.012876607,0.9039927,0.03749746,0.041479826,0.117923155,0.09636714,1.65807E-4,0.8172029,0.0014060597,0.001720576,0.7146333,-1.78917,-0.2985559,-2.5036197,-0.41777498,0.16686839,0.3428858,0.19111921,0.00961271,0.5573845,0.028034728,0.05029693,0.48330745,0.5005627,0.022698913,1.0357023,0.04696578,0.045346793,0.10339495,14.295645,0.33007097,0.11618268,0.33020204,TASCA_DESTRA_DAVANTI_PANTALONI
0.3704134,4.6065044,2.146277,10.13078,-0.9189131,-0.093249835,2.4595633,1.5682995,8.129757,-1.823412,10.009758,20.488985,4.526476,17.338062,0.16842966,127.89618,11573.768,107.58144,455.8682,0.02867389,-3.9722686,0.03700523,0.0028962037,-0.009315893,-7.291057E-4,0.07826471,1.3685377,0.4741607,0.019950252,0.34647253,0.014577788,0.042074878,1.8728952,0.22482833,3.9801252E-4,0.120043196,2.1251189E-4,0.0017702952,0.9240041,-1.3814714,-0.36049664,-1.4950923,-0.39014614,0.2609512,1.8335141,0.253213,0.011248985,0.13810256,0.0061352053,0.044424992,1.2461357,0.5843087,0.022223046,0.4688965,0.017833568,0.03803306,0.10017043,12.906045,-0.08799716,-0.38532752,-0.42264777,TASCA_DESTRA_DAVANTI_PANTALONI
0.034566384,11.320049,3.3645282,13.2817955,-0.6979614,-0.11772547,6.141625,2.4782302,12.819132,-0.8189809,9.74349,21.195414,4.6038475,20.482506,-0.0250617,133.60776,9588.841,97.92263,422.10535,0.0018269616,-0.29361856,0.003547639,2.587154E-4,-0.012082474,-8.811275E-4,0.07292608,1.3576335,0.7308079,0.034359045,0.53829545,0.025308045,0.047015153,1.8431685,0.53408015,0.001180544,0.289762,6.4049714E-4,0.002210425,0.94592375,10.902266,-7.066688,11.525523,-7.470674,-0.64818525,1.1099374,0.39146766,0.018497538,0.35269347,0.01666539,0.04725177,1.0360917,0.64844584,0.031465594,0.6258576,0.030369509,0.04852463,0.051285595,14.173658,-0.14871515,-0.4511774,-0.13750221,TASCA_DESTRA_DAVANTI_PANTALONI
-0.038988125,8.824366,2.9705834,14.592661,-0.9947193,-0.3351785,12.693728,3.562826,22.569183,-0.6509946,9.6688795,43.36557,6.585254,25.233194,-0.052800935,158.48477,25548.965,159.84044,624.35297,0.0020238122,0.11632048,-0.004032331,-2.4600548E-4,-0.0346657,-0.002114894,0.061008256,0.8337717,0.45109624,0.01858468,0.5410309,0.02228989,0.041198924,0.69517523,0.20348783,3.4539035E-4,0.29271445,4.9683923E-4,0.0016973513,0.81772196,5.750236,-5.7474217,7.0320187,-7.0285773,-0.9995106,0.5351586,0.30522966,0.011693452,0.5703537,0.021850443,0.038310338,0.6465746,0.5783121,0.023372455,0.8944243,0.036148116,0.04041495,0.04986993,14.508524,-0.16197349,-0.41913137,-0.2488845,TASCA_DESTRA_DAVANTI_PANTALONI
0.1282921,5.5488906,2.3556082,10.239681,-1.034638,-0.2675978,11.134315,3.336812,16.825962,-1.0580701,9.566247,15.173709,3.8953445,16.524326,0.035156712,123.4581,6147.4062,78.405396,291.22162,0.023094485,-0.47942135,0.013410912,0.001039155,-0.027973123,-0.0021675192,0.07748578,0.70594573,0.604724,0.030043956,0.85661536,0.04255845,0.049682096,0.4983594,0.36569113,9.026393E-4,0.7337899,0.0018112215,0.0024683108,0.60194045,-8.647936,-0.7563249,-14.366763,-1.256478,0.08745728,0.615573,0.29385445,0.016882168,0.47736737,0.027425129,0.057450783,0.6085644,0.61967313,0.03516113,1.018254,0.057777174,0.056741413,0.05090877,14.132054,0.34998056,0.15622737,-0.11502498,TASCA_DESTRA_DAVANTI_PANTALONI
-0.14013682,9.635418,3.104097,17.407307,-0.9505626,-0.38629323,12.788965,3.5761664,17.885008,-0.88385254,10.264424,40.4706,6.361651,26.79219,-0.09887335,168.42232,22234.086,149.111,620.2883,0.0012584004,0.36277318,-0.013652672,-8.3205616E-4,-0.037634183,-0.0022935988,0.06094456,0.8679957,0.48793888,0.020817358,0.5621444,0.023983251,0.042663865,0.75341654,0.23808439,4.3336244E-4,0.3160063,5.7519635E-4,0.0018202052,1.0109516,3.518946,-10.854083,3.4808252,-10.736501,-3.0844698,0.9400035,0.3660253,0.014369155,0.38938716,0.015286278,0.039257273,0.9732904,0.6497157,0.02806325,0.66754556,0.028833378,0.043193124,0.05378349,15.578466,0.12657952,-0.38680473,-0.028138077,TASCA_DESTRA_DAVANTI_PANTALONI
-0.043326784,5.695254,2.3864732,11.233155,-0.61868745,-0.5798291,4.119518,2.0296595,10.709045,-1.4500151,9.809098,24.116796,4.9108853,21.117018,-0.03861467,130.48804,9467.022,97.29862,423.99225,0.008503113,0.07472337,-0.004417,-3.3203643E-4,-0.059111357,-0.004443542,0.075172395,1.1757997,0.4859558,0.024527308,0.4132981,0.020860106,0.0504723,1.3825049,0.236153,6.015887E-4,0.1708153,4.3514397E-4,0.0025474532,0.6774161,5.468643,-1.1807706,8.072798,-1.7430507,-0.21591656,1.5876572,0.34131914,0.01622827,0.2149829,0.0102215195,0.047545735,1.0489409,0.531948,0.026493775,0.50712866,0.025257645,0.049805198,0.05117873,13.447575,0.027562007,-0.39846817,0.21676037,TASCA_DESTRA_DAVANTI_PANTALONI
0.55044144,5.5232387,2.3501573,12.995612,-1.0235832,0.57808465,5.702307,2.3879504,11.208091,-0.805515,9.115762,4.8590345,2.2043219,10.104515,0.21727753,99.81877,1579.5792,39.74392,169.26921,0.07249753,0.9521814,0.060383484,0.005514408,0.063415945,0.005791342,0.09132312,0.9841734,1.0661589,0.059132498,1.0833039,0.060083415,0.055463124,0.9685972,1.1366947,0.0034966518,1.1735474,0.0036100165,0.0030761575,1.3146031,-2.3435614,-0.4968356,-1.782714,-0.37793583,0.21200025,1.0345349,0.49747124,0.035189476,0.48086464,0.034014776,0.0707367,1.1594849,1.2861193,0.07677481,1.1092161,0.066214584,0.05969494,0.048416104,12.90929,0.101549484,-0.118846476,-0.2696133,TASCA_DESTRA_DAVANTI_PANTALONI
0.32928264,10.796678,3.2858298,16.047445,-0.7267735,0.13216239,7.6544056,2.7666597,14.705097,-0.73943555,9.608124,15.51283,3.938633,15.170253,0.087287046,126.405846,6536.225,80.846924,286.8097,0.018346077,2.4915004,0.034271274,0.0026049637,0.013755276,0.0010455402,0.07601012,1.1876523,0.8342564,0.040642608,0.70244163,0.034220964,0.048717167,1.410518,0.69598377,0.0016518215,0.4934242,0.0011710743,0.0023733622,1.0804625,-4.655445,-1.2600592,-4.308752,-1.1662221,0.27066353,1.0992867,0.5591289,0.031807907,0.50862885,0.028935045,0.05688833,1.0912845,1.0578232,0.055951543,0.96933764,0.05127127,0.0528931,0.050603542,14.46805,-0.17604043,-0.063569665,-0.4737819,TASCA_DESTRA_DAVANTI_PANTALONI
