@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
0.2876537,0.0036697674,0.060578607,0.20734172,0.48334035,-0.19891325,0.078554556,0.28027585,0.6959336,-3.6383643,0.4968805,0.0054447986,0.07378888,0.23407292,0.60624164,-1.4461265,0.5789193,-0.4003241,0.21613923,0.820972,3.798348,0.04671616,0.6739951,14.427449,-0.35532525,0.5382302,-1.5147535,2.6747255,0.6750886,0.25239545,0.2979332,0.88579965,2.9731486,0.0060761943,1.0751517,0.6767592,-0.8568715,-0.2924707,TASCA_DESTRA_DAVANTI_PANTALONI
0.28473222,0.006527803,0.08079482,0.3157545,0.19724278,-0.18403271,0.0608835,0.24674582,0.6912085,-4.9692826,0.32932073,0.004704701,0.06859082,0.2704448,0.44519958,-1.5471827,0.8646046,-0.55882514,0.32744148,1.1779246,3.5973594,0.10721793,1.3875065,12.940993,-0.13482979,0.3574949,-2.6514535,3.396866,0.806907,0.23754454,0.45681515,1.1675377,2.555821,0.004726443,0.8603156,0.6365193,-0.9430584,-0.44260004,TASCA_DESTRA_DAVANTI_PANTALONI
0.37565655,0.0015969432,0.039961774,0.15193582,0.65910774,0.034315906,0.023776311,0.1541957,0.4261061,-1.1026075,0.35545644,0.010361991,0.10179386,0.3602639,0.33350694,10.947009,1.0568286,0.0965404,0.2591627,0.39257547,1.5147839,0.06716531,0.15411548,2.2945697,-1.3146766,1.6295564,-1.2395113,2.199295,0.8245517,0.37491637,0.35656804,0.42173475,1.182761,0.0051830946,0.8798709,-0.6238503,-0.62180007,0.7422488,TASCA_DESTRA_DAVANTI_PANTALONI
0.2270559,0.0019472041,0.044127136,0.15991366,0.5189962,-0.11838636,0.0076312353,0.08735694,0.3561528,-10.226664,-0.05636106,0.034352,0.18534292,0.58575153,-1.0975147,-1.9179229,-4.0285954,2.1004992,0.505136,0.23808374,0.471326,0.2551624,0.056683864,0.22214821,-0.5318406,-0.5629663,1.0585244,10.47976,1.1904979,0.11359973,0.44900295,0.27300596,0.6080271,0.0026219513,0.5320226,0.14035802,0.050659087,0.92524695,TASCA_DESTRA_DAVANTI_PANTALONI
0.1213661,0.038217537,0.19549306,0.557178,-1.0323907,-0.21055636,0.014007261,0.11835227,0.4149586,?,-0.08907123,0.008064265,0.08980125,0.3208682,-1.5616832,-0.5764067,-1.3625735,2.36391,1.6517897,2.1769524,1.3179357,2.728409,4.739122,1.7369543,0.6820655,1.4468938,2.1213415,?,2.1886964,1.1E-44,1.3427316,1.7364701,1.293237,0.0025883855,0.54436636,0.89410526,-0.73403007,-0.3750414,TASCA_DESTRA_DAVANTI_PANTALONI
0.29285523,0.015141665,0.12305147,0.3834751,0.09038585,-0.20006065,0.043237768,0.20793693,0.55757165,-27.296871,0.14740281,0.005351687,0.073155224,0.30050766,0.20322196,-1.4638323,1.9867684,-1.3572377,0.59177303,1.6820599,2.842407,0.35019535,2.8293257,8.079278,-0.07084435,0.4971547,-7.0175633,21.395266,1.1177939,0.05224492,0.68775934,1.2760909,1.8554324,0.0038407817,0.64489067,0.9891202,-0.8225076,-0.7500247,TASCA_DESTRA_DAVANTI_PANTALONI
0.024061391,0.031449605,0.17734036,0.5406639,-2.41699,-0.30749062,0.015586184,0.12484464,0.51175857,?,-0.57626116,0.01825888,0.13512543,0.6694414,?,-0.07825081,-0.041754317,0.5335959,1.4204884,1.312413,0.9239167,2.0177872,1.7224278,0.8536221,0.7472972,0.57127595,0.7644561,?,?,1.0,1.0564823,0.8076344,0.7644561,0.0065361024,1.0443673,0.54017514,-0.98624897,-0.41483065,TASCA_DESTRA_DAVANTI_PANTALONI
0.28278694,0.009239569,0.09612268,0.29582208,0.26111975,-0.24342053,0.04945606,0.22238718,0.582253,-18.478222,0.49191064,0.028807938,0.16972901,0.45099834,0.41306993,-1.1617218,0.57487464,-0.49484706,0.43223122,0.5663303,1.3102485,0.1868238,0.32072997,1.7167511,-0.18926647,0.32937008,-1.7402452,13.393501,0.52103627,0.03890217,0.5080645,0.65592724,1.2910314,0.006499078,1.02389,0.77731884,-0.88128823,-0.97025764,TASCA_DESTRA_DAVANTI_PANTALONI
0.24273609,0.043514103,0.20860034,0.5767822,-0.15331776,-0.3229998,0.068091735,0.26094392,0.696743,-14.553015,0.29488188,0.03573804,0.18904507,0.54105335,0.10249216,-0.7515054,0.8231638,-1.0953531,0.79940677,1.1034424,1.3803265,0.63905114,1.2175851,1.9053013,0.11761002,-1.2409744,-10.551604,11.163615,0.82958525,0.074311525,0.8278264,1.0660357,1.2877529,0.005156752,0.8974393,0.90768504,-0.9924314,-0.91812116,TASCA_DESTRA_DAVANTI_PANTALONI
0.20578147,0.039205283,0.19800323,0.6415588,-0.64144784,-0.21949112,0.03280234,0.18111417,0.5040185,-57.361515,0.0066374084,0.047010697,0.21681951,0.76565695,-0.29843727,-0.9375389,31.003286,-33.068798,1.093251,0.9132169,0.83532226,1.1951978,0.8339651,0.6977633,0.50609285,1.4246378,2.814973,45.257385,0.6628208,0.014645583,1.2728875,0.8379194,0.6582824,0.0032015166,0.6418858,0.86223763,-0.9262067,-0.66318125,TASCA_DESTRA_DAVANTI_PANTALONI
