@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
5.9092903,24.4317,4.9428434,31.794333,-0.68486893,-7.032337,22.761864,4.7709394,21.545298,-9.968907,5.9092903,24.4317,4.9428434,31.794333,-0.68486893,12.552604,33.350426,5.774983,26.636168,0.027467903,-0.84030247,1.0,0.4707621,-1.1900476,-0.56022936,0.4707621,1.0360315,1.0,0.8559061,0.96522164,0.82613915,0.8559061,1.0733612,1.0,0.73257536,0.9316529,0.68250597,0.73257536,0.6600159,1.0,-17.178995,1.5151151,-26.028154,-17.178995,9.607148,1.0,0.6889946,0.10408916,0.07171687,0.6889946,1.475697,1.0,1.1936526,0.67764586,0.8088738,1.1936526,0.05461071,19.987862,-0.012304829,1.0000008,-0.012304829,TASCA_DESTRA_DAVANTI_PANTALONI
4.6794,25.994164,5.0984473,23.489603,-0.351957,-8.002975,38.55629,6.209371,24.836653,-3.7257762,4.6794,25.994164,5.0984473,23.489603,-0.351957,12.62807,38.917595,6.2383966,25.947935,0.040151015,-0.5847075,1.0,0.37055543,-1.7102568,-0.63374496,0.37055543,0.82108915,1.0,0.81726885,1.2178946,0.99534726,0.81726885,0.67418736,1.0,0.66792834,1.4832672,0.99071616,0.66792834,0.3122955,1.0,-5.6338587,3.2020955,-18.040154,-5.6338587,3.3059242,1.0,0.6427068,0.30248725,0.19441062,0.6427068,0.94576365,1.0,0.9052591,1.0573466,0.95717263,0.9052591,0.051923305,19.26557,0.09651507,0.9999999,0.09651507,TASCA_DESTRA_DAVANTI_PANTALONI
1.6417106,14.188301,3.766736,20.015327,-1.1159129,8.665194,25.206194,5.020577,19.71131,-0.0070125796,1.6417106,14.188301,3.766736,20.015327,-1.1159129,10.277905,28.423523,5.331372,22.690908,0.0772392,0.18946035,1.0,0.15973203,5.278149,0.84308946,0.15973203,0.7502596,1.0,0.7065229,1.332872,0.9417045,0.7065229,0.56288946,1.0,0.49917462,1.7765477,0.8868075,0.49917462,76.901855,1.0,-5.557695,0.013003588,-0.07226997,-5.557695,0.48326388,1.0,0.38468227,2.069263,0.79600877,0.38468227,1.0154235,1.0,0.8820858,0.9848107,0.86868757,0.8820858,0.04485421,15.30269,-0.22064887,1.0000006,-0.22064887,TASCA_DESTRA_DAVANTI_PANTALONI
-1.1204089,20.10297,4.4836335,24.322472,-1.6990299,8.9981,34.390057,5.8643036,20.376677,-0.042272177,-1.1204089,20.10297,4.4836335,24.322472,-1.6990299,11.026234,36.494724,6.041086,26.603191,0.0041265595,-0.12451616,1.0,-0.10161302,-8.031086,0.8160629,-0.10161302,0.7645637,1.0,0.74218994,1.3079355,0.9707366,0.74218994,0.58455765,1.0,0.5508459,1.7106953,0.9423295,0.5508459,18.526535,1.0,-138.89395,0.053976633,-7.497028,-138.89395,0.4609436,1.0,0.337342,2.169463,0.7318509,0.337342,1.1936427,1.0,0.914269,0.83777165,0.7659486,0.914269,0.04568272,16.336967,-0.22476244,1.0000002,-0.22476244,TASCA_DESTRA_DAVANTI_PANTALONI
5.615605,21.418306,4.6279917,23.74722,-0.22602531,-7.091048,24.655615,4.965442,22.259161,-7.3102155,5.615605,21.418306,4.6279917,23.74722,-0.22602531,12.071384,35.127045,5.9268074,26.413166,0.037053484,-0.79192877,1.0,0.46519974,-1.2627398,-0.58742625,0.46519974,0.9320402,1.0,0.78085744,1.0729151,0.83779377,0.78085744,0.86869895,1.0,0.60973835,1.1511468,0.70189834,0.60973835,0.22358553,1.0,-4.307478,4.4725614,-19.26546,-4.307478,7.231307,1.0,0.70614684,0.13828759,0.09765134,0.70614684,1.0668515,1.0,0.8990675,0.9373376,0.84272975,0.8990675,0.053233683,19.223536,-0.12307034,1.0000006,-0.12307034,TASCA_DESTRA_DAVANTI_PANTALONI
5.0427847,34.675777,5.888614,31.474598,-0.6748337,-6.530173,36.133472,6.011112,25.013584,-3.6044307,5.0427847,34.675777,5.888614,31.474598,-0.6748337,12.465201,43.606323,6.6035085,27.084707,0.031849682,-0.77222836,1.0,0.404549,-1.2949537,-0.52387226,0.404549,0.9796214,1.0,0.8917402,1.0208025,0.91029066,0.8917402,0.959658,1.0,0.79520065,1.0420378,0.8286292,0.79520065,0.6476623,1.0,-14.233078,1.5440146,-21.97608,-14.233078,3.4593024,1.0,0.67174923,0.2890756,0.19418633,0.67174923,1.2583002,1.0,1.16208,0.7947229,0.92353165,1.16208,0.04834835,18.903854,0.15610957,1.0000001,0.15610957,TASCA_DESTRA_DAVANTI_PANTALONI
3.2982275,12.097023,3.4780774,18.127304,-0.25278023,-8.992705,5.0466247,2.2464693,19.383043,?,3.2982275,12.097023,3.4780774,18.127304,-0.25278023,11.164495,7.220015,2.6870086,16.242752,0.23165885,-0.366767,1.0,0.2954211,-2.7265267,-0.8054735,0.2954211,1.5482417,1.0,1.294405,0.645894,0.8360484,1.294405,2.3970523,1.0,1.6754844,0.41717905,0.69897705,1.6754844,0.18870328,1.0,-0.74687344,5.299325,-3.957925,-0.74687344,?,1.0,0.68446743,0.0,0.0,0.68446743,0.9352145,1.0,1.1160241,1.0692734,1.1933349,1.1160241,0.050652087,16.465563,0.5051768,1.0000011,0.5051768,TASCA_DESTRA_DAVANTI_PANTALONI
2.6952703,2.134598,1.4610263,8.247986,-0.016272314,-9.335675,2.0952992,1.4475149,14.776459,?,2.6952703,2.134598,1.4610263,8.247986,-0.016272314,10.311528,1.7206947,1.3117526,9.083294,0.4183338,-0.2887065,1.0,0.2613842,-3.463725,-0.9053629,0.2613842,1.0093342,1.0,1.1137972,0.9907521,1.1034969,1.1137972,1.0187557,1.0,1.2405443,0.9815896,1.2177055,1.2405443,0.008937514,1.0,-0.020215975,111.887924,-2.2619236,-0.020215975,?,1.0,0.51971865,0.0,0.0,0.51971865,0.5581842,1.0,0.9080391,1.7915233,1.6267731,0.9080391,0.053072833,14.72899,0.3125115,1.0000023,0.3125115,TASCA_DESTRA_DAVANTI_PANTALONI
2.4829755,15.778215,3.9721801,25.199799,-0.7278386,-9.705568,13.283939,3.6447139,21.090393,?,2.4829755,15.778215,3.9721801,25.199799,-0.7278386,11.507825,18.93878,4.351871,22.001614,0.12070354,-0.25583,1.0,0.2157641,-3.908846,-0.8433886,0.2157641,1.0898468,1.0,0.9127523,0.91756004,0.83750504,0.9127523,1.1877663,1.0,0.83311677,0.84191644,0.70141476,0.83311677,0.5033201,1.0,-3.5147119,1.9868071,-6.9830546,-3.5147119,?,1.0,0.582874,0.0,0.0,0.582874,1.1948472,1.0,1.1453614,0.83692706,0.95858395,1.1453614,0.05320237,16.970026,-0.07286059,1.0000005,-0.07286059,TASCA_DESTRA_DAVANTI_PANTALONI
2.994178,15.580346,3.9471948,20.944885,-0.4846826,-9.341723,16.547062,4.067808,21.86847,-35.766853,2.994178,15.580346,3.9471948,20.944885,-0.4846826,11.350267,24.077147,4.906847,21.93512,0.10970198,-0.32051668,1.0,0.26379803,-3.1199625,-0.82303995,0.26379803,0.9703493,1.0,0.8044259,1.0305567,0.8290065,0.8044259,0.9415778,1.0,0.64710104,1.0620471,0.6872518,0.64710104,0.32140982,1.0,-2.5297797,3.1112926,-7.870885,-2.5297797,23.71824,1.0,0.5725847,0.042161644,0.024141112,0.5725847,0.9577664,1.0,0.9548562,1.0440959,0.9969615,0.9548562,0.054556426,17.089525,-0.36072975,1.0000004,-0.36072975,TASCA_DESTRA_DAVANTI_PANTALONI
