@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
2.0838103,2.962407,1.7211645,7.777676,-0.30789217,-2.729631,11.340534,3.3675709,16.763092,-1.2610834,-0.54872906,12.85042,3.5847483,16.02594,-0.5559846,5.621919,7.6416407,2.7643518,12.950781,0.07354664,-0.7634037,-3.7975214,0.3706582,4.97446,-0.48553365,-0.097605295,0.5110997,0.48013538,0.62262857,0.9394163,1.2182136,1.2967771,0.2612229,0.23052998,0.38766637,0.882503,1.4840444,1.681631,0.1958372,0.31973898,-1.7809073,1.6326774,-9.093815,-5.5698786,0.8021219,0.5773773,0.42540786,0.71981245,0.5303531,0.7367935,0.46397623,0.48531795,0.60055655,1.0459974,1.2943692,1.2374496,0.06955359,8.912253,-0.5184116,-0.008917326,-0.0010620898,TASCA_DESTRA_DAVANTI_PANTALONI
2.6678286,3.4437113,1.855724,11.241079,-0.25953722,1.4683021,45.779102,6.7660255,38.558975,-2.7801263,-1.3359864,27.326826,5.2275066,24.707684,-1.6416842,8.179747,20.699444,4.549664,28.70199,0.06296563,1.8169479,-1.996898,0.3261505,-1.0990398,0.1795046,-0.16332857,0.27427092,0.35499218,0.40788153,1.2943122,1.4871484,1.1489874,0.075224526,0.12601943,0.16636734,1.675244,2.2116103,1.320172,0.08167948,0.15085368,-1.2009823,1.8468982,-14.7036,-7.96124,0.87493914,0.95421416,0.2913671,1.0906063,0.33301416,0.3053477,0.2915295,0.4549629,0.39164808,1.5606066,1.3434252,0.8608352,0.066507384,12.918252,-0.70287055,0.42653063,-0.5126644,TASCA_DESTRA_DAVANTI_PANTALONI
0.7120727,1.5683992,1.2523575,4.879616,-0.67064375,0.84477323,3.5252209,1.8775572,7.828264,-0.39854538,-1.3154374,24.274338,4.9268994,16.883389,-0.93604237,5.2623277,4.626935,2.1510313,8.427708,0.10596293,0.8429158,-0.5413201,0.13531515,-0.64219946,0.16053224,-0.24997254,0.6670143,0.25418776,0.58221257,0.3810829,0.8728637,2.2904825,0.44490805,0.06461141,0.33897153,0.14522418,0.7618912,5.2463107,0.8780656,0.23996803,-1.9610369,0.2732917,-2.2333603,-8.172075,0.5218106,0.3349323,0.3098474,0.6418657,0.5937929,0.9251046,0.62333304,0.28901875,0.5789968,0.46366665,0.9288723,2.0033193,0.034357328,7.2390013,0.20982549,0.40093336,0.3086198,TASCA_DESTRA_DAVANTI_PANTALONI
3.5711765,20.426388,4.519556,19.28534,-0.29302472,2.6595492,39.56677,6.290212,22.7437,-0.5790131,-0.35628173,32.27441,5.681057,18.600405,-0.87718546,9.480352,22.343924,4.726936,17.346886,0.09929347,1.3427751,-10.023462,0.37669238,-7.4647365,0.28053275,-0.037581064,0.71850616,0.79554844,0.95612806,1.1072257,1.3307166,1.2018477,0.5162511,0.6328973,0.9141809,1.2259486,1.7708067,1.4444379,0.52403575,0.5028264,-2.2854187,0.9595269,-4.3611884,-4.5451446,1.035488,1.5052382,0.7744301,1.4536511,0.74788904,0.51449007,0.84794205,1.0368236,1.1117465,1.2227529,1.3111115,1.0722619,0.08933855,14.681898,0.4041412,0.14239596,0.87611073,TASCA_DESTRA_DAVANTI_PANTALONI
4.3111176,12.671726,3.5597367,15.092615,-0.15641241,-0.22634539,15.965641,3.9957027,15.466333,-0.83252853,-0.4628071,39.103024,6.253241,20.613571,-0.9633782,8.948167,6.5218463,2.5537906,11.0329275,0.27100047,-19.046633,-9.31515,0.4817878,0.4890707,-0.025295168,-0.051720884,0.89089125,0.5692627,1.3939031,0.6389811,1.5646164,2.4486115,0.7936873,0.32406002,1.9429661,0.40829685,2.4480247,5.9956985,0.29052743,0.20182587,-0.49772486,0.6946878,-1.7131768,-2.4661105,1.546376,1.2430897,0.8623592,0.8038728,0.55766463,0.6937225,0.97583663,0.73216885,1.367961,0.7502986,1.401834,1.8683683,0.08683584,13.575839,0.5755643,-0.19344257,-0.13159592,TASCA_DESTRA_DAVANTI_PANTALONI
2.8520277,2.999949,1.7320361,7.5368156,-0.31710842,-3.0359354,30.516014,5.5241303,39.46772,-2.0758357,0.6228039,13.593334,3.686914,13.478065,-0.51925576,7.035725,15.346746,3.9174924,25.606762,0.060093585,-0.939423,4.5793347,0.4053637,-4.8746247,-0.43150285,0.08852022,0.31354004,0.46977937,0.44212878,1.4983073,1.4101189,0.9411413,0.09830736,0.22069265,0.19547784,2.2449248,1.9884354,0.88574696,0.06812434,0.39390925,-1.1083475,5.7822104,-16.269482,-2.813713,0.44595134,0.6450149,0.21003725,1.4463794,0.4709869,0.32563165,0.19096151,0.5591912,0.2943291,2.9282928,1.5413007,0.5263479,0.08423503,10.4647,0.09539665,-0.64690816,-0.17969716,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0034568,2.650785,1.6281232,7.786792,-1.5740099,-6.013352,2.9290915,1.7114589,10.265383,-12.7112,1.3399521,12.159581,3.487059,12.171477,-0.38512543,7.352464,2.6435297,1.6258935,7.6090484,0.36762163,0.16687146,-0.74887514,-0.13647898,-4.487736,-0.8178689,0.18224531,0.9513072,0.46690437,1.0013714,0.49080294,1.0526267,2.1447034,0.90498537,0.2179997,1.0027446,0.24088752,1.1080229,4.599752,0.50034505,1.4070174,-1.0764688,2.8120942,-2.151453,-0.76507145,4.040626,0.34426603,0.25141722,0.08520116,0.062222343,0.73029923,0.7585486,0.63975734,1.0233595,0.8433966,1.349102,1.5996057,0.12484038,10.063358,-0.112240784,0.54045784,0.12038049,TASCA_DESTRA_DAVANTI_PANTALONI
3.6047175,2.1841981,1.4779032,9.153269,-0.41166103,-0.5487216,8.878585,2.9796953,18.897594,-0.9685904,-0.78947407,4.3632517,2.0888398,10.095812,-0.68649757,5.0970483,3.364495,1.8342559,10.091422,0.15125418,-6.569301,-4.5659733,0.7072167,0.695047,-0.10765478,-0.15488848,0.4959914,0.7075235,0.80572355,1.4264834,1.6244708,1.1387941,0.24600746,0.50058955,0.6491905,2.0348551,2.6389055,1.2968519,0.28707424,0.6495178,-1.4842377,2.262543,-5.1702228,-2.285138,0.6754522,1.0831542,0.54534465,1.6035987,0.80737716,0.50347835,0.4843616,0.9066402,0.9070346,1.8718251,1.8726394,1.000435,0.07772356,7.5502534,-0.39387095,-0.064119786,-0.8010814,TASCA_DESTRA_DAVANTI_PANTALONI
3.2942224,5.674613,2.3821447,11.630775,-0.31315997,-4.184929,13.718575,3.7038593,22.207144,-7.081686,-0.58015734,12.31535,3.5093231,19.486477,-1.166682,6.969659,11.834505,3.4401317,19.737654,0.034425493,-0.78716326,-5.6781535,0.47265187,7.213438,-0.6004496,-0.08324042,0.64315206,0.6788046,0.69245744,1.0554341,1.0766621,1.020113,0.4136445,0.46077564,0.47949728,1.1139412,1.1592014,1.0406307,0.14253774,0.26434228,-3.9415534,1.8545423,-27.6527,-14.910795,3.2232969,0.984811,0.43329266,0.3055291,0.13442531,0.43997547,0.5237403,0.5968639,0.5892684,1.1396182,1.1251156,0.9872742,0.109335415,10.56481,-0.033156425,-0.2318794,-0.46691066,TASCA_DESTRA_DAVANTI_PANTALONI
4.513989,5.1699386,2.2737498,9.452683,0.014878187,-2.7844307,74.4645,8.629282,30.3707,-2.4085882,0.43246326,21.22335,4.6068807,16.563679,-0.565757,10.40946,20.817104,4.5625763,19.995766,0.16752633,-1.6211532,10.437856,0.43364295,-6.438537,-0.26749042,0.041545216,0.26349235,0.4935552,0.4983478,1.873129,1.8913178,1.0097104,0.06942823,0.24359672,0.24835052,3.508612,3.5770826,1.019515,-0.0066523086,-0.023853539,0.035478447,3.5857534,-5.333253,-1.4873452,1.0769237,0.9070531,0.3994824,0.84226316,0.37094775,0.44041786,0.3112435,0.5706874,0.47273427,1.8335721,1.5188566,0.8283593,0.11321903,16.123917,-0.29187137,-0.04700271,-0.7894801,TASCA_DESTRA_DAVANTI_PANTALONI
