@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.26924443,6.869013,2.6208801,13.4097805,-0.91564023,-6.685007,26.530085,5.1507363,31.41853,-6.99545,10.426034,19.267023,4.389422,19.098612,0.16048804,13.139347,33.48773,5.786858,29.669111,0.11482327,0.040275864,-0.025824243,-0.020491462,-0.6411841,-0.50877774,0.7934971,0.50883603,0.59709007,0.45290208,1.173443,0.8900748,0.7585156,0.25891408,0.35651657,0.2051203,1.3769685,0.79223305,0.57534575,0.2331707,-1.7555573,-1.6654367,-7.5290647,-7.1425643,0.94866556,1.7814137,0.30770376,0.20884937,0.1727301,0.11723799,0.6787352,0.42681122,0.7021338,0.45197782,1.6450688,1.0589643,0.6437204,0.12388059,19.271687,-0.50430804,0.11320748,-0.51584095,TASCA_DESTRA_DAVANTI_PANTALONI
-0.38080567,5.940282,2.4372694,13.762821,-0.7214598,-8.156384,90.72426,9.524928,36.39727,-6.0909357,10.349366,27.375347,5.232146,25.755291,-0.24349761,15.153077,68.205086,8.258637,35.436554,0.03696638,0.04668805,-0.036795072,-0.025130583,-0.7881047,-0.5382659,0.68298775,0.25588325,0.46582597,0.29511762,1.8204631,1.1533293,0.6335362,0.065476224,0.21699385,0.08709441,3.3140862,1.3301685,0.4013681,0.18449025,1.1436852,-4.24039,6.1991634,-22.984356,-3.7076545,1.5575618,0.38600156,0.21727037,0.24782424,0.13949391,0.5628744,0.37812784,0.5343687,0.38837922,1.4131958,1.0271109,0.7268001,0.13182603,21.972275,-0.24804616,0.057886653,-0.6241233,TASCA_DESTRA_DAVANTI_PANTALONI
-0.08534787,3.621086,1.9029151,8.086889,-1.0872978,5.6345735,15.070015,3.8820117,22.710835,-0.24583702,9.852416,24.81538,4.981504,18.249802,0.10385304,11.832372,32.3273,5.6857104,23.460743,0.096180014,-0.015147175,-0.008662634,-0.007213082,0.5718976,0.47619984,0.8326662,0.49018788,0.3819961,0.33468378,0.7792851,0.6827663,0.8761445,0.24028416,0.14592104,0.11201324,0.60728526,0.4661699,0.7676292,0.93999696,-1.9918078,-1.6873336,-2.1189513,-1.7950414,0.8471367,0.21253243,0.19024715,0.14925788,0.89514405,0.7022828,0.78454727,0.35608068,0.44312203,0.34469876,1.2444428,0.9680356,0.77788675,0.11350145,17.261961,0.23740059,-0.026814094,0.63598925,TASCA_DESTRA_DAVANTI_PANTALONI
0.6841125,16.639788,4.07919,18.021973,-0.6383865,10.882391,95.386154,9.766583,40.948425,-0.16510354,9.568552,33.619835,5.798261,22.071335,0.031054929,15.997926,100.16376,10.008184,41.132366,0.025745137,0.06286417,0.07149593,0.042762574,1.137308,0.68023765,0.59811205,0.41766804,0.7035195,0.40758538,1.6843987,0.97585964,0.57935196,0.17444657,0.4949396,0.16612583,2.8371987,0.9523021,0.3356487,1.2101537,-9.926808,-6.4604583,-8.202931,-5.3385434,0.65080917,0.31297758,0.48289922,0.26054028,1.5429195,0.8324566,0.53953344,0.44011393,0.81653297,0.4381458,1.8552763,0.9955281,0.5365929,0.14506951,24.399935,0.3933492,0.26509002,0.8655271,TASCA_DESTRA_DAVANTI_PANTALONI
0.21358845,7.0073395,2.6471379,14.849112,-1.02888,-3.885136,28.400652,5.329226,32.004086,-7.649652,10.333454,23.64659,4.862776,21.986073,-0.07102241,12.095952,34.66264,5.8874984,32.97384,0.065378614,-0.054975796,0.020669607,0.017657844,-0.3759765,-0.32119307,0.85429025,0.49672088,0.5443677,0.44962016,1.0959226,0.90517664,0.82594943,0.24673164,0.29633617,0.20215827,1.2010465,0.81934476,0.6821924,0.26604825,5.1649284,-3.2646704,19.413502,-12.27097,-0.6320843,1.9780504,0.35652915,0.2074485,0.18024269,0.10487524,0.58185565,0.4639755,0.6753872,0.45033008,1.4556527,0.97059023,0.6667732,0.11041747,16.787518,0.28119367,0.101037785,-0.2659707,TASCA_DESTRA_DAVANTI_PANTALONI
-0.20369473,3.3800712,1.838497,10.051309,-1.3183336,-3.9137866,43.722023,6.612263,37.289707,-3.4467154,10.381153,25.827026,5.08203,19.510448,0.060212176,12.543548,38.716038,6.2222214,28.652765,0.09113659,0.052045435,-0.01962159,-0.016239004,-0.37700886,-0.31201592,0.827609,0.27804354,0.3617643,0.29547277,1.3011067,1.0626853,0.8167549,0.07730821,0.13087341,0.08730416,1.6928787,1.1293,0.66708857,0.1977502,-4.5724635,-1.9893506,-23.122421,-10.0599165,0.43507195,0.5170077,0.20883785,0.13752408,0.40393567,0.26600006,0.6585209,0.26954645,0.5151757,0.35079715,1.9112686,1.3014349,0.6809272,0.11096286,17.227694,-0.08819233,0.101215295,-0.37997594,TASCA_DESTRA_DAVANTI_PANTALONI
1.0276028,3.2972536,1.8158342,9.475071,-0.37725323,-6.1543083,11.30534,3.3623414,19.603794,-3.1551185,10.790375,4.903244,2.214327,12.536814,0.23157354,12.943573,7.3334117,2.7080274,16.373829,0.20305216,-0.16697292,0.095233284,0.079390965,-0.57035166,-0.47547215,0.8336473,0.5400505,0.8200388,0.6705376,1.5184484,1.2416202,0.8176901,0.29165453,0.6724637,0.4496207,2.3056858,1.5416207,0.668617,0.17435293,-0.6869543,-0.62211925,-3.9400215,-3.5681605,0.9056195,1.4581828,0.42168078,0.33484843,0.2891824,0.22963408,0.7940804,0.48332843,0.7557798,0.5786717,1.5636983,1.1972638,0.7656617,0.124644965,18.55425,0.5209529,0.44091251,0.09689679,TASCA_DESTRA_DAVANTI_PANTALONI
-0.070395865,1.0958267,1.0468174,8.417217,-1.8672965,-13.413149,8.251512,2.8725445,22.072464,?,9.81523,2.0215049,1.4217963,8.83412,0.418145,16.706383,8.521873,2.9192247,18.040215,0.3270813,0.005248273,-0.0071721054,-0.004213711,-1.3665649,-0.8028757,0.5875138,0.36442167,0.736264,0.35859433,2.0203629,0.9840094,0.48704585,0.13280316,0.54208463,0.12858988,4.081866,0.96827435,0.23721367,0.2483467,-0.86344326,-0.6251359,-3.4767656,-2.5171902,0.7240035,?,0.19335145,0.10950069,0.0,0.0,0.56632984,0.3813447,0.95280766,0.46658078,2.498547,1.2235144,0.4896904,0.17495745,23.990871,-0.31360576,0.10339385,-0.81359446,TASCA_DESTRA_DAVANTI_PANTALONI
0.08783805,8.517494,2.9184747,15.337248,-0.8434354,-13.409377,34.175095,5.845947,33.550346,?,10.661321,13.02291,3.608727,21.94337,-0.021863736,17.614716,38.92023,6.238608,33.510105,0.1626395,-0.0065504946,0.008238947,0.0049866294,-1.2577595,-0.7612599,0.6052508,0.49923044,0.8087269,0.46780863,1.6199471,0.9370595,0.5784507,0.24923104,0.65403926,0.2188449,2.6242287,0.8780805,0.33460516,0.20915793,14.946401,-1.0781571,71.459885,-5.154751,-0.0721349,?,0.38744423,0.20790084,0.0,0.0,0.5365955,0.45714128,0.6989468,0.45769024,1.5289514,1.0012009,0.6548285,0.17661177,26.393436,-0.44510975,-0.016387563,-0.61321574,TASCA_DESTRA_DAVANTI_PANTALONI
0.20034274,5.4502416,2.3345752,13.769054,-0.53012353,-11.36102,28.696304,5.356893,26.585682,?,9.831252,16.02371,4.0029626,15.065243,0.17637475,15.594155,32.758987,5.723547,25.316946,0.16962516,-0.017634222,0.020378152,0.012847297,-1.1556026,-0.72854346,0.63044465,0.43580768,0.58321184,0.40788957,1.3382322,0.9359394,0.6993849,0.18992834,0.34013605,0.16637394,1.7908652,0.87598264,0.48913938,0.1794349,-1.478672,-0.92241704,-8.240716,-5.140678,0.6238145,?,0.49196154,0.29514843,0.0,0.0,0.5999421,0.5179124,0.91396165,0.5438671,1.7647032,1.0501142,0.5950656,0.15984602,23.00253,-0.14578103,0.08924151,-0.4229311,TASCA_DESTRA_DAVANTI_PANTALONI
