@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.13003586,7.733264,2.7808747,19.132504,-0.526455,-0.2477666,33.746204,5.8091483,34.899406,-1.5455971,0.55170363,20.09574,4.482827,27.534594,-1.1182685,6.8125625,15.546849,3.9429493,24.274588,0.012503858,0.52483207,-0.23569876,-0.019087657,-0.44909364,-0.036369074,0.08098327,0.4787061,0.6203395,0.70527786,1.2958671,1.4733003,1.1369224,0.22915952,0.3848211,0.4974168,1.6792716,2.1706138,1.2925924,0.31140417,0.45394716,-21.467852,1.4577427,-68.93887,-47.29152,0.9142384,0.96425116,0.509884,1.0547043,0.55771446,0.52878755,0.5482186,0.6948533,0.7881701,1.2674749,1.4376931,1.134297,0.0041240463,10.349512,-0.39233825,-0.07575347,-0.6035267,TASCA_DESTRA_DAVANTI_PANTALONI
-0.542796,7.531997,2.7444484,16.450153,-0.87141126,-0.8729884,64.85025,8.052965,42.16449,-1.5214914,0.09371083,40.16737,6.3377733,30.263466,-0.9664395,9.378565,25.657667,5.0653396,26.087149,0.045482397,0.6217677,-5.792244,-0.057876233,-9.315768,-0.09308337,0.009992023,0.34079975,0.4330304,0.5418094,1.27063,1.5898174,1.251204,0.116144456,0.18751532,0.29355738,1.6145008,2.5275195,1.5655113,0.30106828,0.5150046,-6.1622295,1.7105907,-20.46788,-11.965387,0.5256677,0.57116634,0.3216311,1.0865539,0.61185247,0.56311285,0.39014235,0.54356474,0.63058454,1.3932472,1.6162935,1.1600909,0.0068815956,13.989409,-0.16284074,0.03876166,-0.63151926,TASCA_DESTRA_DAVANTI_PANTALONI
-0.22973414,5.5784407,2.3618722,13.185993,-1.6847233,-0.68936515,38.767246,6.226335,34.817444,-0.832313,-0.35558644,32.169273,5.6717963,22.723196,-0.8732883,7.583838,19.654814,4.433375,18.420568,0.08315857,0.33325464,0.64607114,-0.030292595,1.9386711,-0.090899244,-0.046887398,0.37933588,0.416424,0.53274816,1.0977713,1.4044234,1.2793405,0.14389572,0.17340897,0.28382057,1.2051017,1.9724047,1.6367122,0.52318823,0.7811231,-4.9525185,1.4930059,-9.466036,-6.340254,0.25847355,0.40490073,0.24445817,1.5665073,0.94577634,0.6037484,0.37871802,0.5802878,0.71582985,1.5322424,1.8901395,1.2335774,0.00539318,11.478177,0.038151905,-0.100644715,0.7865539,TASCA_DESTRA_DAVANTI_PANTALONI
0.5437395,15.504936,3.937631,17.538586,-0.66774285,0.33426026,90.57735,9.517213,47.039337,-1.0498729,-0.6556553,38.827225,6.2311497,24.666286,-0.9019683,10.832857,28.39599,5.3287888,27.125916,0.02974628,1.626695,-0.8293069,0.050193544,-0.5098109,0.03085615,-0.06052469,0.41373783,0.6319269,0.7389355,1.5273607,1.7859993,1.1693369,0.17117897,0.39933157,0.5460256,2.332831,3.1897936,1.3673488,0.29147664,0.60032016,-8.443898,2.0595825,-28.969383,-14.065659,0.45828035,0.8108957,0.37615463,1.7694315,0.8207959,0.4638755,0.37284935,0.7110347,0.646562,1.9070295,1.7341106,0.9093255,0.006100151,16.565943,0.34607792,0.27783686,0.881251,TASCA_DESTRA_DAVANTI_PANTALONI
0.257767,14.7182255,3.836434,30.266203,-0.7529092,0.8885782,35.278957,5.939609,36.989914,-1.6423492,0.6188802,37.650692,6.136016,28.63411,-0.8483137,8.372596,18.78656,4.334347,25.139769,0.029387327,0.29008928,0.41650546,0.030786986,1.4357837,0.106129356,0.07391737,0.6459068,0.62523204,0.8851239,0.9679912,1.3703585,1.4156725,0.4171956,0.39091513,0.7834444,0.9370069,1.8778827,2.0041292,0.56543475,0.989183,-17.079128,1.7494204,-30.205305,-17.265892,1.2334042,1.1145269,0.66662747,0.9036186,0.5404777,0.59812593,0.81822854,1.0569983,1.2039173,1.291813,1.4713705,1.1389966,0.007420775,12.333287,0.032641537,0.17036752,-0.53948724,TASCA_DESTRA_DAVANTI_PANTALONI
-0.27350143,9.998858,3.1620972,22.516024,-1.0043279,0.26973352,45.102306,6.715825,39.556305,-1.8170489,0.73348504,28.542484,5.342517,19.526756,-0.7805303,8.202454,17.048935,4.1290355,24.5606,0.052539438,-1.013969,-0.37287936,-0.033343855,0.36774236,0.032884493,0.089422636,0.4708427,0.59187406,0.76581985,1.2570527,1.6264876,1.2938898,0.22169285,0.35031494,0.58647996,1.5801815,2.6454618,1.6741506,0.44219163,1.3180381,-8.283906,2.9806943,-18.733747,-6.285028,0.8000214,1.0243354,0.43335626,1.280385,0.5416808,0.4230609,0.5692145,1.1530857,0.9167538,2.025749,1.6105593,0.79504395,0.0055199014,12.136758,-0.10146132,0.029984131,-0.5796993,TASCA_DESTRA_DAVANTI_PANTALONI
0.6969132,2.7644184,1.662654,10.325883,-0.58853024,0.87966216,5.921724,2.4334593,15.793127,-0.6982434,0.62943643,4.6765113,2.1625242,12.495929,-0.9331455,3.1103632,5.34398,2.3117049,11.715345,0.025672447,0.79225093,1.1072018,0.22406167,1.3975393,0.28281653,0.2023675,0.6832471,0.7688488,0.71923286,1.1252865,1.0526687,0.93546724,0.46682662,0.59112835,0.5172958,1.2662696,1.1081111,0.875099,0.5891494,0.6342305,-12.39319,1.0765189,-21.035734,-19.540514,0.69897795,1.0056057,0.5406069,1.43868,0.7734248,0.53759336,0.6538213,0.8263398,0.8813981,1.2638618,1.3480718,1.0666292,0.008578225,4.74946,0.301348,0.38396657,-0.2955493,TASCA_DESTRA_DAVANTI_PANTALONI
-0.047631115,0.80179954,0.8954326,7.1497264,-1.862285,-0.072270006,5.3101153,2.3043687,16.10052,-0.9633358,0.13970491,2.0274715,1.4238931,8.257072,-0.52144325,2.31871,2.7899787,1.6703229,9.525406,0.015320053,0.6590717,-0.34094086,-0.020542074,-0.51730466,-0.031168194,0.060251135,0.38858044,0.62886226,0.5360835,1.618358,1.3795948,0.85246575,0.15099475,0.39546773,0.28738552,2.6190825,1.9032817,0.72669786,0.5888432,1.643786,-31.388752,2.791551,-53.305786,-19.0954,0.30460092,0.46026313,0.25821897,1.5110365,0.8477288,0.56102467,0.44406807,0.8658912,0.75059545,1.9499065,1.6902711,0.86684734,0.0011573562,3.5552053,-0.108168446,-0.07441139,-0.9224776,TASCA_DESTRA_DAVANTI_PANTALONI
0.053503294,9.427336,3.0703967,17.646606,-1.119087,-0.9708883,34.970367,5.9135747,31.8372,-1.5381848,0.14007935,20.37011,4.5133257,21.864971,-0.87260085,7.0804176,15.600618,3.9497619,22.031366,0.036927562,-0.055107567,0.3819499,0.0075565167,-6.9309883,-0.13712303,0.019784052,0.5192116,0.6802958,0.77736247,1.3102478,1.4971977,1.142683,0.2695807,0.4628024,0.60429245,1.7167491,2.2416015,1.3057245,0.48301,0.9146542,-11.031717,1.8936548,-22.839521,-12.06108,0.6638971,0.71319574,0.36402395,1.0742564,0.5483138,0.5104124,0.55427635,0.80707204,0.8009765,1.4560825,1.4450852,0.9924474,0.0067751696,10.5266285,-0.37433153,0.04756069,-0.58403766,TASCA_DESTRA_DAVANTI_PANTALONI
0.07979682,6.7183485,2.5919778,14.977686,-0.7031752,-0.581115,27.987913,5.2903605,28.159225,-1.3638465,0.028990056,17.81665,4.2209773,20.222805,-0.77674466,6.458231,11.159062,3.3405182,18.47836,0.06173744,-0.13731675,2.7525582,0.012355832,-20.045322,-0.08998053,0.004488854,0.48994353,0.61407053,0.77592087,1.2533497,1.5836946,1.2635696,0.24004464,0.3770826,0.60205317,1.5708852,2.5080884,1.5966082,0.38061157,0.6994462,-5.0858235,1.8376904,-13.362241,-7.2712145,0.7382169,0.7726255,0.4465256,1.0466105,0.6048705,0.5779328,0.53189266,0.7406334,0.81055284,1.392449,1.5239029,1.0944048,0.0041651353,9.527795,-0.27417102,0.20445924,-0.47316203,TASCA_DESTRA_DAVANTI_PANTALONI
