@RELATION WhereIsSmartphone
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
0.2076371,0.0027962532,0.05287961,0.16602707,0.4490579,-0.53568137,0.0038990397,0.06244229,0.6424701,?,0.6601862,0.0018053943,0.04248993,0.13704377,0.81229305,-0.3876131,0.31451294,-0.81140953,0.8468557,1.2445209,1.4695785,0.7171646,1.5488324,2.159661,-0.21063104,0.22818315,-1.083331,?,0.41275653,1.4E-45,0.2584199,1.2114893,4.688065,0.0087516485,1.4035041,0.5299714,-0.6441483,0.116191335,TASCA_DESTRA_DAVANTI_PANTALONI
0.070817344,0.04664125,0.21596585,0.59019053,-0.80120444,-0.6261471,0.001678883,0.040974174,0.70830566,?,0.5383311,0.011964908,0.109384224,0.3369944,0.5157945,-0.11310017,0.13154979,-1.1631263,5.27078,1.9743785,0.3745894,27.78112,3.8981705,0.14031725,0.37063965,-0.73131233,-1.9731088,?,0.47079977,1.4E-45,0.8332427,1.7513362,2.1018322,0.008287796,1.3773366,-0.4342918,-0.8446996,0.33183378,TASCA_DESTRA_DAVANTI_PANTALONI
0.51263845,0.0069574504,0.083411336,0.24658981,0.6019658,-0.23455754,0.0018532575,0.043049477,0.29624212,?,0.009137474,0.0021030235,0.045858733,0.22000071,-0.2784214,-2.1855552,56.102863,-25.669846,1.9375691,1.8188757,0.9387411,3.7541735,3.3083086,0.8812348,-1.2588665,-7.78348,6.182927,?,3.6000178,8.4E-45,0.8323928,1.1208591,1.3465507,0.0056382525,0.7762767,0.7255448,-0.68061906,-0.081607,TASCA_DESTRA_DAVANTI_PANTALONI
0.38875222,0.005720656,0.075635016,0.28776923,0.4297893,-0.42949203,0.0021047397,0.04587744,0.5320141,?,-0.42445514,0.0071210517,0.08438633,0.6340478,?,-0.9051442,-0.9158853,1.0118667,1.6486319,0.8962947,0.5436597,2.7179873,0.80334425,0.29556584,-0.40770072,-0.34209174,0.8390756,?,?,1.0,0.5409053,0.45386046,0.8390756,0.0071816007,1.2426994,0.27570194,-0.18915246,0.4223709,TASCA_DESTRA_DAVANTI_PANTALONI
-0.18524422,0.0050660996,0.07117654,0.29583424,?,-0.5421404,0.016670005,0.12911238,0.75149566,?,0.22304453,0.022487035,0.14995678,0.40566126,0.10121999,0.34169048,-0.8305257,-2.4306376,0.55127585,0.47464702,0.86099726,0.3039051,0.22528979,0.7413163,0.3936606,-6.475481,-16.4494,1.0,2.8E-45,2.8E-45,0.3936606,0.72926426,1.8525202,0.006148012,0.950429,-0.944839,-0.26731655,0.12578529,TASCA_DESTRA_DAVANTI_PANTALONI
0.0947866,0.0052978112,0.07278606,0.26386723,-0.24477583,-0.604215,0.0058204625,0.076291956,0.70861137,?,0.44700536,0.0023500186,0.04847699,0.20270735,0.6522563,-0.15687561,0.21204801,-1.3516953,0.95404637,1.5014559,1.5737766,0.9102045,2.25437,2.476773,0.07322422,-0.1364691,-1.8637153,?,0.36365038,2.8E-45,0.37237227,1.3017151,3.495736,0.0075754477,1.149936,-0.6564585,-0.3423484,-0.27327627,TASCA_DESTRA_DAVANTI_PANTALONI
-0.49019614,0.0022647493,0.04758938,0.58131665,?,-0.3393093,0.0013382417,0.036581986,0.42061648,?,0.099278785,0.01233525,0.11106417,0.3913671,-0.73321,1.4446882,-4.937572,-3.4177423,1.3008966,0.42848542,0.32937703,1.6923319,0.18359978,0.10848922,1.3820586,3.511165,2.5405324,1.0,5.6E-45,5.6E-45,1.3820586,1.4853488,1.0747364,0.006043834,0.9662392,0.8714999,-0.8359582,-0.67738163,TASCA_DESTRA_DAVANTI_PANTALONI
0.09426091,0.0016961595,0.041184455,0.16746894,0.20029686,-0.65402144,0.0021711877,0.046596006,0.7009975,?,0.72629654,3.5332638E-4,0.018796979,0.06519616,0.9149866,-0.1441251,0.12978294,-0.90048814,0.8838624,2.1910145,2.4789093,0.78121275,4.8005457,6.144992,-0.059836082,0.05977646,-0.9990035,?,0.27306798,1.4E-45,0.23890091,2.5686934,10.752129,0.005167917,1.4745793,0.6932383,0.45989674,0.92888105,TASCA_DESTRA_DAVANTI_PANTALONI
-0.08689844,0.0086099,0.092789546,0.27232468,-5.367996,-0.6278634,0.0037564533,0.06128991,0.71624476,?,0.6595192,0.005149263,0.07175837,0.20759183,0.729819,0.13840342,-0.13176028,-0.9520017,1.5139449,1.2930833,0.8541152,2.2920291,1.6720645,0.7295128,0.3205051,-0.4093792,-1.2772939,?,0.05565815,1.4E-45,0.38021177,1.3118275,3.450255,0.0047150985,1.3868315,-0.68634,-0.822108,0.93693674,TASCA_DESTRA_DAVANTI_PANTALONI
-0.21099713,0.0014502489,0.038082134,0.2583585,?,-0.6505841,0.009373963,0.09681923,0.74637234,?,0.5326874,0.003482431,0.059012126,0.225725,0.6662365,0.32431954,-0.39609933,-1.2213243,0.39333233,0.64532727,1.6406667,0.15471032,0.41644728,2.6917872,0.3461523,-0.5733944,-1.6564801,1.0,1.4E-45,1.4E-45,0.3461523,1.144572,3.306556,0.004611231,1.3942696,-0.67285293,-0.86359537,0.81773573,TASCA_DESTRA_DAVANTI_PANTALONI
-0.34351054,0.0054394244,0.073752455,0.45610267,?,-0.54850173,0.007919257,0.088990204,0.6886634,?,0.45076597,0.007044575,0.08393197,0.2892146,0.5298828,0.62627065,-0.7620596,-1.2168216,0.8287705,0.8787171,1.0602659,0.6868605,0.7721437,1.1241639,0.6623013,-1.3991643,-2.1125798,1.0,2.8E-45,2.8E-45,0.6623013,1.5770388,2.3811502,0.004129306,1.3427782,-0.52737415,-0.67032,0.88907737,TASCA_DESTRA_DAVANTI_PANTALONI
-0.20670371,0.025779696,0.16056056,0.43836367,-18.408709,-0.66185874,0.0034952424,0.059120577,0.7787819,?,0.29836795,0.02218821,0.14895707,0.43733987,0.07011727,0.3123079,-0.6927812,-2.2182636,2.7158153,1.0778983,0.39689675,7.3756533,1.1618645,0.157527,0.53388214,-12.607975,-23.615652,?,0.048022747,2.8E-45,0.56288373,1.0023409,1.7807246,0.003931539,1.1712164,-0.29370683,-0.9112823,-4.196353E-4,TASCA_DESTRA_DAVANTI_PANTALONI
-0.07007406,0.25283054,0.5028226,1.255226,-1.0262775,0.1394272,0.123399585,0.35128278,0.8279426,-0.62144804,-0.13107495,0.5181327,0.71981436,1.5359237,-0.9861056,-0.5025853,0.5346106,-1.0637212,1.4313898,0.6985448,0.48801857,2.0488768,0.48796484,0.23816213,2.0034835,0.83367556,0.416113,1.2131815,0.80104274,0.6602827,1.5160785,0.817245,0.5390519,0.0010782618,1.5929943,-0.92522496,0.98434985,-0.9661111,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3551667,0.16043143,0.40053892,1.3558,-0.9534386,0.43389732,0.06878812,0.2622749,0.89843047,-0.44669282,-0.40552124,0.20452301,0.4522422,1.4654725,-0.9207315,-0.8185501,0.8758276,-1.0699743,1.5271722,0.88567346,0.5799434,2.332255,0.7844175,0.33633438,2.3854563,0.9419863,0.39488727,1.1176034,0.9096721,0.81394887,1.5090762,0.92516243,0.6130654,0.0036420815,1.6272472,-0.9630207,0.9899509,-0.95910496,TASCA_DESTRA_DAVANTI_PANTALONI
0.3086515,0.004637525,0.06809937,0.30456543,0.35446313,-0.11256327,0.024152996,0.15541235,0.4970703,-1.0849974,-0.55976325,0.0010958133,0.03310307,0.58947754,?,-2.7420268,-0.5513965,0.20109084,0.4381851,2.0571918,4.6948013,0.1920062,4.232039,22.041159,-0.6465314,-0.28370264,0.43880722,1.9790066,?,?,0.612721,0.5166701,0.8432388,0.0069790757,1.0359675,-0.69686216,-0.6863013,0.8759493,TASCA_DESTRA_DAVANTI_PANTALONI
0.27699614,0.020177888,0.1420489,0.46194685,-0.117812224,-0.6332371,0.0024840517,0.049840264,0.70916355,?,-0.58227617,0.0020757501,0.0455604,0.65756726,?,-0.43742877,-0.47571266,1.0875202,2.850083,3.1178148,1.0939382,8.122974,9.720769,1.1967007,0.0686542,0.07404118,1.0784655,?,?,1.0,0.65139675,0.70250887,1.0784655,0.009414049,1.495946,0.38716158,0.18849662,-0.7016087,TASCA_DESTRA_DAVANTI_PANTALONI
-0.745496,5.0539366E-4,0.022480963,0.77976626,?,-0.3781439,0.0024083927,0.049075376,0.5021604,?,-0.29642048,0.0011264816,0.0335631,0.3362442,?,1.971461,2.5149949,1.275701,0.45809048,0.6698119,1.4621825,0.20984687,0.44864798,2.1379778,1.5528232,2.3190475,1.4934396,1.0,1.0,1.0,1.5528232,2.3190475,1.4934396,0.009238721,1.4200603,-0.1747736,-0.57119775,-0.49266094,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5516409,0.0058183596,0.07627817,0.6467814,?,-0.4083445,0.02645082,0.16263708,0.6389022,?,-0.3841619,0.0023996923,0.048986655,0.4944048,?,1.3509204,1.4359596,1.0629491,0.46900848,1.5571215,3.3200283,0.21996896,2.4246273,11.022588,1.0123324,1.3082021,1.2922654,1.0,1.0,1.0,1.0123324,1.3082021,1.2922654,0.008108582,1.3441472,-0.821119,0.6821428,-0.4704172,TASCA_DESTRA_DAVANTI_PANTALONI
0.2455544,0.35219815,0.5934628,1.3555138,-1.0537493,-0.07203439,0.030770285,0.1754146,0.45600563,-1.1517699,0.28933692,0.46553537,0.6823015,1.51483,-0.9927215,-3.4088497,0.84867984,-0.2489637,3.3832006,0.86979556,0.2570925,11.446048,0.75654435,0.06609656,2.8494017,0.92161405,0.32344124,3.1144555,0.86823887,0.2787771,2.9725814,0.894829,0.3010276,0.0043893913,1.5702981,-0.9821284,0.9991027,-0.98512083,TASCA_DESTRA_DAVANTI_PANTALONI
-0.05178114,0.001307289,0.036156453,0.124931864,-33.357613,-0.7049997,0.0015564001,0.039451238,0.7522603,?,0.08438031,0.004177925,0.06463687,0.19820641,-0.06074458,0.07344846,-0.6136638,-8.355026,0.91648465,0.55937815,0.6103519,0.83994406,0.31290388,0.37252942,0.16124158,10.686385,66.27561,?,0.019460024,7.0E-45,0.1660753,0.6303119,3.7953382,0.008182955,0.8425464,-0.14214124,0.3542276,0.83466077,TASCA_DESTRA_DAVANTI_PANTALONI
-0.67415136,0.0013994355,0.03740903,0.7280191,?,-0.2631606,0.023777964,0.15420105,0.4578866,?,-0.58948964,0.007869125,0.08870809,0.7531292,?,2.561749,1.1436187,0.44642106,0.24259907,0.42170936,1.7382975,0.0588543,0.17783876,3.021678,1.5899551,0.966659,0.6079788,1.0,1.0,1.0,1.5899551,0.966659,0.6079788,0.010606794,1.5268013,-0.5720836,0.49384898,-0.99122626,TASCA_DESTRA_DAVANTI_PANTALONI
0.13924786,0.005869188,0.076610625,0.23087488,0.03647034,-0.7237916,8.908975E-4,0.029847907,0.7629944,?,0.18544796,0.0027888012,0.0528091,0.17657498,0.37368837,-0.19238669,0.75087297,-3.9029365,2.5667,1.4507087,0.56520385,6.5879493,2.1045558,0.3194554,-0.011453284,0.08294747,-7.2422433,?,0.84990996,5.6E-45,0.30259052,1.3075175,4.321079,0.00873605,1.0484875,0.525406,0.72741735,0.87045014,TASCA_DESTRA_DAVANTI_PANTALONI
-0.28366166,4.0199037E-4,0.020049697,0.31487697,?,-0.8952749,9.2400337E-4,0.030397424,0.92399144,?,-0.24658519,7.125615E-4,0.026693847,0.33969906,?,0.3168431,1.1503597,3.630692,0.65958536,0.75109804,1.1387427,0.43505293,0.5641483,1.2967349,0.3407791,0.9269292,2.7200294,1.0,1.0,1.0,0.3407791,0.9269292,2.7200294,0.01116059,1.4255219,-0.7016607,0.7052529,-0.57665443,TASCA_DESTRA_DAVANTI_PANTALONI
0.5783985,3.2841676E-6,0.0018122273,0.005858481,0.98991805,-0.15566391,5.3431977E-6,0.0023115359,0.15913805,?,-0.74932396,3.2947366E-6,0.001815141,0.7530935,?,-3.715688,-0.7718938,0.20773913,0.7839927,0.9983948,1.2734746,0.6146446,0.99679214,1.6217374,-3.614645,-0.7638196,0.21131249,?,?,1.0,0.03681383,0.0077792215,0.21131249,0.009593031,1.4833859,0.8839612,0.9694175,0.83814883,TASCA_DESTRA_DAVANTI_PANTALONI
0.5426142,1.5656963E-7,3.956888E-4,0.0022381544,0.995884,-0.21556322,6.435166E-8,2.536763E-4,0.21628809,?,-0.75340027,3.7234852E-7,6.1020366E-4,0.7547821,?,-2.5171928,-0.7202204,0.28612044,1.5598179,0.6484537,0.41572398,2.4330316,0.42049214,0.17282641,-2.5037446,-0.7174655,0.286557,?,?,1.0,0.010348025,0.0029652987,0.286557,0.009531577,1.5115781,-0.2226782,0.12343024,0.19252867,TASCA_DESTRA_DAVANTI_PANTALONI
