@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
4.5411286,22.32205,4.724622,20.583546,-0.41718027,3.3011866,11.893755,3.4487324,13.015135,-0.24717426,4.5411286,22.32205,4.724622,20.583546,-0.41718027,9.162461,24.728666,4.9727926,19.44135,0.057637405,1.375605,1.0,0.49562323,0.7269529,0.36029473,0.49562323,1.369959,1.0,0.9500943,0.7299489,0.69352025,0.9500943,1.8767874,1.0,0.9026791,0.5328254,0.48097032,0.9026791,2.3490598,1.0,-5.0957255,0.4257022,-2.1692617,-5.0957255,1.3917896,1.0,0.70402277,0.7184994,0.50583994,0.70402277,1.5815084,1.0,1.0587507,0.6323077,0.6694563,1.0587507,0.048139397,13.293674,-0.8146441,1.0000002,-0.8146441,TASCA_DESTRA_DAVANTI_PANTALONI
3.839917,26.91192,5.18767,21.298908,-0.16066302,3.3074536,14.711168,3.835514,14.423556,-0.50899696,3.839917,26.91192,5.18767,21.298908,-0.16066302,8.845553,30.720398,5.5425982,22.745401,0.13482234,1.1609889,1.0,0.43410704,0.8613347,0.37391144,0.43410704,1.3525358,1.0,0.93596363,0.7393519,0.6920065,0.93596363,1.8293531,1.0,0.8760277,0.54664135,0.47887298,0.8760277,0.6059935,1.0,-0.8317962,1.6501827,-1.3726158,-0.8317962,1.9198496,1.0,0.698012,0.52087414,0.3635764,0.698012,1.4766753,1.0,0.936405,0.677197,0.63413066,0.936405,0.042389292,12.925116,-0.8367811,0.99999976,-0.8367811,TASCA_DESTRA_DAVANTI_PANTALONI
1.7171421,2.8196225,1.6791731,7.0706964,-0.30478978,6.6999574,3.6488008,1.9101834,7.711364,0.29643136,1.7171421,2.8196225,1.6791731,7.0706964,-0.30478978,7.411955,5.1375737,2.2666216,9.422939,0.29542327,0.2562915,1.0,0.23167196,3.901807,0.9039393,0.23167196,0.8790638,1.0,0.7408264,1.1375738,0.84274477,0.7408264,0.7727532,1.0,0.5488238,1.2940742,0.71021867,0.5488238,-0.5083621,1.0,-0.41804132,-1.9671017,0.8223298,-0.41804132,0.494421,1.0,0.4051945,2.0225677,0.8195333,0.4051945,0.91691905,1.0,0.75037056,1.0906088,0.81836075,0.75037056,0.047509804,10.493866,0.3019227,1.0000007,0.3019227,TASCA_DESTRA_DAVANTI_PANTALONI
1.8612015,2.4823985,1.575563,10.694061,-0.13946219,4.751905,4.5477905,2.132555,11.51675,0.08896283,1.8612015,2.4823985,1.575563,10.694061,-0.13946219,5.7122846,6.3911343,2.5280693,15.460175,0.15653735,0.39167482,1.0,0.32582438,2.5531383,0.83187467,0.32582438,0.7388147,1.0,0.6232278,1.3535194,0.84355086,0.6232278,0.5458472,1.0,0.38841283,1.8320147,0.711578,0.38841283,-1.1638494,1.0,-0.45617628,-0.85921776,0.39195478,-0.45617628,0.74241865,1.0,0.5120286,1.3469489,0.68967634,0.5120286,0.92856586,1.0,0.69171673,1.0769296,0.74493015,0.69171673,0.036214635,8.626076,0.36486578,1.0,0.36486578,TASCA_DESTRA_DAVANTI_PANTALONI
3.3729594,12.850378,3.5847423,14.465918,-0.045434877,2.9736295,14.154292,3.762219,14.045293,-0.5527313,3.3729594,12.850378,3.5847423,14.465918,-0.045434877,7.4035325,16.638948,4.079087,16.348598,0.16680758,1.1342905,1.0,0.45558783,0.8816084,0.4016501,0.45558783,0.9528266,1.0,0.87881,1.0495089,0.92231894,0.87881,0.9078785,1.0,0.7723071,1.1014689,0.85067225,0.7723071,0.12574473,1.0,-0.19208229,7.952619,-1.5275574,-0.19208229,1.529729,1.0,0.70520234,0.65371054,0.4609982,0.70520234,1.0299478,1.0,0.88484144,0.97092307,0.859113,0.88484144,0.037473653,11.234507,-0.6471616,1.0,-0.6471616,TASCA_DESTRA_DAVANTI_PANTALONI
3.8561187,20.227367,4.4974847,16.92201,-0.07695532,4.9442444,12.766201,3.572982,14.425352,-0.14749588,3.8561187,20.227367,4.4974847,16.92201,-0.07695532,9.154426,23.602297,4.8582196,18.764088,0.15850508,0.77992076,1.0,0.42123,1.2821816,0.54009336,0.42123,1.2587482,1.0,0.9257475,0.7944401,0.7354509,0.9257475,1.5844469,1.0,0.85700846,0.63113505,0.5408881,0.85700846,0.6521353,1.0,-0.3421163,1.5334241,-0.5246094,-0.3421163,1.2499107,1.0,0.7046579,0.8000572,0.5637666,0.7046579,1.1730744,1.0,0.90182966,0.8524609,0.7687745,0.90182966,0.049073577,12.9694,-0.7078576,1.0,-0.7078576,TASCA_DESTRA_DAVANTI_PANTALONI
2.6917868,10.818197,3.2891028,11.242821,-3.3296485E-4,3.2655113,8.439007,2.9049969,13.436209,-0.87922114,2.6917868,10.818197,3.2891028,11.242821,-3.3296485E-4,6.665025,10.807843,3.2875285,12.871611,0.24694154,0.8243079,1.0,0.40386745,1.2131389,0.48994732,0.40386745,1.1322225,1.0,1.0004789,0.88321865,0.8836416,1.0004789,1.2819278,1.0,1.000958,0.78007513,0.78082246,1.000958,5.952948E-4,1.0,-8.8660617E-4,1679.84,-1.4893564,-8.8660617E-4,1.571925,1.0,0.6575466,0.63616264,0.41830656,0.6575466,0.83675545,1.0,0.87345874,1.1950923,1.0438638,0.87345874,0.033436503,9.59451,-0.86266124,1.0,-0.86266124,TASCA_DESTRA_DAVANTI_PANTALONI
4.4671135,19.927355,4.4640064,18.111053,-0.049517874,1.4875005,29.703314,5.4500747,17.267212,-0.9362734,4.4671135,19.927355,4.4640064,18.111053,-0.049517874,9.034364,30.061092,5.4827995,24.797682,0.013572902,3.0031004,1.0,0.49445802,0.3329892,0.16464917,0.49445802,0.81907254,1.0,0.8141838,1.2208931,0.99403137,0.8141838,0.67087984,1.0,0.6628952,1.4905798,0.98809826,0.6628952,0.10234288,1.0,-2.5043616,9.771075,-24.470306,-2.5043616,1.9350773,1.0,0.6864482,0.5167752,0.35473943,0.6864482,1.0488696,1.0,0.7303527,0.95340735,0.69632363,0.7303527,0.022772677,14.338144,-0.79002213,0.9999998,-0.79002213,TASCA_DESTRA_DAVANTI_PANTALONI
4.354878,34.550446,5.8779626,25.72586,-0.21200815,1.984065,39.848225,6.312545,25.863922,-0.74269825,4.354878,34.550446,5.8779626,25.72586,-0.21200815,10.063428,49.543022,7.0386806,30.060766,0.034313295,2.194927,1.0,0.43274298,0.45559603,0.19715598,0.43274298,0.9311558,1.0,0.8350944,1.0739342,0.8968364,0.8350944,0.86705106,1.0,0.6973827,1.1533346,0.80431557,0.6973827,0.4082558,1.0,-4.2129927,2.4494448,-10.319493,-4.2129927,1.4301848,1.0,0.68186843,0.6992103,0.47676945,0.68186843,0.994662,1.0,0.85579526,1.0053667,0.860388,0.85579526,0.022235148,15.474214,-0.7911853,0.9999996,-0.7911853,TASCA_DESTRA_DAVANTI_PANTALONI
2.1617813,21.02557,4.585365,19.529755,-0.2654393,3.3421774,24.787855,4.97874,20.78302,-0.84553725,2.1617813,21.02557,4.585365,19.529755,-0.2654393,8.298407,18.492205,4.3002563,21.407454,0.032529693,0.6468182,1.0,0.2605056,1.5460293,0.4027493,0.2605056,0.920989,1.0,1.0663004,1.0857893,1.1577775,1.0663004,0.84822065,1.0,1.1369964,1.1789385,1.3404489,1.1369964,0.4302314,1.0,-5.691324,2.3243306,-13.228519,-5.691324,1.3704703,1.0,0.6974741,0.72967654,0.5089305,0.6974741,0.9396976,1.0,0.9122876,1.0641721,0.97083104,0.9122876,0.016062204,12.369296,-0.6813106,1.0000004,-0.6813106,TASCA_DESTRA_DAVANTI_PANTALONI
