@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1.1137367,5.628336,2.3724115,19.02623,-1.9625504,-0.13434067,6.0659328,2.4629114,16.180126,-0.82962954,0.59994584,19.329197,4.396498,20.359062,-0.7452413,5.041939,7.220708,2.6871376,16.76799,0.041621167,-8.290391,1.8563955,0.22089455,-0.22392133,-0.026644645,0.1189911,0.9632549,0.5396139,0.8828768,0.5601984,0.9165557,1.6361269,0.92785996,0.2911831,0.7794715,0.3138223,0.84007454,2.6769116,1.7179276,1.4498017,-17.308115,0.8439248,-10.074997,-11.938264,0.7262201,0.55053467,0.3670652,0.75808245,0.50544626,0.6667431,1.1759012,0.9345337,1.1346756,0.7947383,0.9649413,1.2141623,0.006360802,7.6780043,-0.3614131,0.39942443,-0.12385171,TASCA_DESTRA_DAVANTI_PANTALONI
1.0178465,7.900632,2.8108063,11.102032,-0.5336105,-0.97450376,7.2396345,2.690657,12.736308,-2.4734595,0.68715334,18.934803,4.3514137,20.24559,-0.47253078,5.2499957,8.9704685,2.995074,15.738868,0.026165083,-1.0444767,1.4812509,0.19387567,-1.4181751,-0.18561992,0.13088645,1.0446543,0.6459524,0.9384764,0.61834085,0.8983607,1.4528568,1.0913026,0.4172545,0.88073796,0.38234538,0.807052,2.110793,0.42591766,0.5945873,-9.134852,1.3960147,-21.44746,-15.363349,1.9742678,0.5265279,0.44791877,0.26669526,0.22687842,0.8507028,0.87168366,0.5483679,0.7053895,0.6290905,0.80922645,1.2863435,0.007838764,7.7745795,-0.44444427,0.17627393,-0.3829045,TASCA_DESTRA_DAVANTI_PANTALONI
0.15163893,2.5224347,1.5882175,8.562349,-0.616085,0.3866455,2.7040513,1.6444,8.125472,-0.9096435,0.3795799,14.934984,3.8645806,17.64658,-0.61893594,4.142476,3.3179474,1.8215234,10.077573,0.09103965,0.3921911,0.39949146,0.036605865,1.0186143,0.093336806,0.09163117,0.965834,0.41096762,0.8719171,0.42550543,0.9027608,2.12162,0.9328354,0.16889437,0.76023954,0.18105485,0.8149771,4.501272,0.8433384,0.48382998,-3.2339087,0.573708,-3.8346515,-6.6839776,1.2451808,0.48606893,0.47787878,0.39036012,0.38378263,0.9831502,1.0537664,0.48521298,0.849644,0.46045592,0.8062926,1.7510744,0.0028132277,6.0185747,0.08473571,0.5583013,0.3702837,TASCA_DESTRA_DAVANTI_PANTALONI
-0.08504684,3.2587426,1.8051988,13.274571,-0.4988235,0.30789182,1.8012078,1.3420908,8.849176,-0.80514973,0.2247451,18.817364,4.3378987,18.253906,-0.5617747,4.311355,5.4420667,2.3328238,11.485194,0.03967768,-0.27622312,-0.3784147,-0.019726245,1.3699601,0.071414165,0.052128643,1.3450645,0.4161459,0.77382565,0.30938733,0.5753074,1.8595055,1.8091986,0.17317742,0.5988061,0.095720515,0.33097863,3.4577606,1.1193106,0.6728485,-9.309993,0.6011276,-8.317614,-13.836685,1.8066764,0.75776154,0.7405403,0.41942295,0.40989095,0.9772736,1.5000912,0.72721815,1.1557986,0.4847826,0.7704856,1.5893424,0.0019528229,6.0349965,-0.15867609,0.11105286,-0.025287075,TASCA_DESTRA_DAVANTI_PANTALONI
0.39070398,1.3597629,1.1660887,7.2828064,-0.82806855,-1.3097996,20.979877,4.5803795,20.748917,-3.917794,0.62606627,20.765076,4.5568714,17.99303,-0.7619307,5.687615,13.015929,3.6077595,16.140945,0.030545918,-0.29829296,0.6240617,0.06869382,-2.0921102,-0.23028977,0.11007536,0.25458342,0.25589678,0.32321686,1.0051588,1.2695911,1.2630751,0.06481272,0.06548317,0.104469135,1.0103444,1.6118617,1.5953587,0.19957489,0.42397636,-6.486608,2.1243973,-32.50213,-15.299458,0.94423735,0.39011338,0.23927899,0.4131518,0.25340977,0.61335754,0.35099694,0.40475708,0.45120072,1.153164,1.2854834,1.1147445,0.007516953,7.642946,-0.0065145046,0.11080765,-0.1838018,TASCA_DESTRA_DAVANTI_PANTALONI
0.94579756,3.1950371,1.7874666,8.628544,-0.5790731,-1.1316609,5.7365966,2.3951194,13.703012,-1.9854673,0.41778553,20.4464,4.5217695,19.465214,-0.5053334,5.0499067,6.2262206,2.4952395,15.04341,0.050435044,-0.83576053,2.2638352,0.1872901,-2.7087126,-0.22409542,0.08273134,0.7462954,0.39530247,0.71635073,0.52968633,0.9598756,1.8121585,0.5569569,0.15626405,0.5131584,0.28056756,0.92136097,3.2839184,0.34721798,0.48424387,-3.9601772,1.3946395,-11.405451,-8.178063,1.1905059,0.42257982,0.34491625,0.3549582,0.2897224,0.8162156,0.62968224,0.4432802,0.57357633,0.7039744,0.91089803,1.2939363,0.0076644216,7.3432055,-0.52857447,0.1992336,-0.31845507,TASCA_DESTRA_DAVANTI_PANTALONI
-0.44873688,1.7901993,1.3379833,7.394964,-3.7006037,-1.8521054,9.936892,3.1522834,11.450588,-18.095924,0.54120183,4.0518093,2.0129106,10.279245,-0.2625561,2.8095148,11.8100815,3.43658,13.144598,0.007713233,0.24228474,-0.8291488,-0.15972042,-3.4222083,-0.65922606,0.19263178,0.4244489,0.6647008,0.3893357,1.5660325,0.9172734,0.5857308,0.18015687,0.44182712,0.1515823,2.452458,0.8413906,0.34308055,0.5365215,2.7234685,-56.978165,5.076159,-106.19922,-20.921177,2.6235862,0.19322881,0.118760586,0.07365064,0.04526651,0.61461115,0.64581525,0.7194073,0.56258583,1.1139523,0.87112504,0.78201294,0.009905249,4.080296,0.48771057,-0.69968265,-0.6156737,TASCA_DESTRA_DAVANTI_PANTALONI
1.2319101,5.271405,2.295954,12.40835,-0.23147646,-0.83037597,13.762284,3.7097552,21.680454,-1.5270835,0.62918013,13.509929,3.6755855,21.913094,-0.66649556,3.9603853,19.461952,4.41157,16.874758,0.010399355,-1.483557,1.957961,0.31105813,-1.3197746,-0.2096705,0.15886842,0.61889637,0.6246499,0.5204392,1.0092964,0.84091496,0.83316946,0.3830327,0.3901875,0.27085695,1.0186793,0.70713794,0.6941713,0.1780259,0.26613253,-13.1525755,1.494909,-73.88013,-49.42115,1.1744626,0.7662816,0.59089506,0.652453,0.5031196,0.77112,0.57232887,0.56625277,0.7353202,0.9893835,1.2847861,1.2985723,0.008491472,6.106118,-0.46683133,-0.013678003,-0.46964976,TASCA_DESTRA_DAVANTI_PANTALONI
1.3805252,8.530215,2.9206533,14.682705,-0.37344694,-1.5426173,23.782558,4.8767366,31.291142,-1.3683927,0.414484,34.954388,5.912224,28.475758,-0.59009135,6.87248,24.4935,4.949091,23.588173,0.023949658,-0.894924,3.3307083,0.20087731,-3.7217777,-0.22446299,0.060310688,0.598895,0.4940025,0.5901393,0.8248566,0.9853803,1.1946081,0.35867527,0.24403846,0.34826446,0.68038833,0.97097427,1.4270884,0.22082317,0.37779015,-6.8976583,1.7108266,-31.236116,-18.257908,0.8091452,0.59695417,0.4423562,0.737759,0.54669565,0.74102205,0.4692288,0.51562124,0.6224605,1.0988694,1.3265606,1.2072049,0.010882657,10.322872,-0.27181914,-0.09073955,-0.52558905,TASCA_DESTRA_DAVANTI_PANTALONI
0.8913127,5.0409417,2.2452042,10.32305,-0.56232136,-1.9167202,24.273415,4.9268055,26.337267,-4.724227,0.5149328,17.92172,4.233405,20.180008,-0.7005006,5.8869257,17.313591,4.16096,21.092342,0.055613495,-0.46501973,1.7309301,0.15140547,-3.7222724,-0.32558933,0.08747058,0.45571196,0.5303542,0.53958803,1.1637926,1.184055,1.0174106,0.20767337,0.28127554,0.2911552,1.3544132,1.4019861,1.0351244,0.1709376,0.44696048,-2.9913483,2.6147583,-17.499651,-6.692646,1.4360969,0.55679214,0.2958439,0.38771206,0.20600551,0.53133637,0.391956,0.51154834,0.48942167,1.3051168,1.2486649,0.9567457,0.011572555,8.704544,0.005868967,0.29659566,-0.5059583,TASCA_DESTRA_DAVANTI_PANTALONI
