@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-1.3517699,6.816785,2.6108973,8.597634,-1.8252466,-0.79152346,7.7040033,2.7756085,10.337573,-2.1880813,11.8150215,13.55723,3.6820145,12.452187,0.32627854,12.555389,12.488775,3.533946,12.540333,0.36670774,1.7078078,-0.11441112,-0.10766452,-0.066992976,-0.06304253,0.9410319,0.9406576,0.7090948,0.73880506,0.7538288,0.7854134,1.0418988,0.8848367,0.5028155,0.54583293,0.5682579,0.6168742,1.0855532,0.78287333,-0.9210653,-0.76492566,-1.1765188,-0.97707456,0.8304793,0.9384981,0.16464834,0.15368013,0.17543812,0.16375114,0.93338406,0.83168787,0.6904518,0.68559855,0.83018136,0.824346,0.992971,0.23836823,16.82208,-0.51674145,0.46328327,-0.89463574,TASCA_DESTRA_DAVANTI_PANTALONI
0.2888961,10.024912,3.1662142,9.508348,-1.943817,-2.7583323,7.1678777,2.6772892,9.231625,-7.336941,11.490596,30.077093,5.4842587,17.544756,0.21290496,12.341072,34.69343,5.890113,18.725428,0.22182846,-0.10473579,0.025141962,0.02340932,-0.24005128,-0.22350831,0.9310857,1.1826195,0.57732767,0.5375473,0.48817706,0.45453954,0.93109566,1.3985885,0.3333072,0.28895706,0.23831683,0.2066062,0.8669391,0.7727931,-1.322951,-1.176186,-1.7119082,-1.5219933,0.88906246,2.916909,0.14490192,0.13422638,0.04967653,0.04601665,0.9263258,1.0299757,0.5419482,0.5077774,0.52617574,0.4929994,0.93694824,0.23641121,17.061356,0.67253995,-0.85824776,-0.88908046,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5937621,1.6033744,1.2662442,4.340317,-0.98871636,3.7314835,2.1778011,1.4757375,6.3136053,0.12973745,11.140533,13.31577,3.649078,14.658246,0.25395557,12.0532675,10.203714,3.1943254,13.518512,0.32025138,-0.15912226,-0.053297456,-0.049261507,0.33494657,0.30958274,0.924275,0.85804164,0.34700388,0.39640424,0.4044138,0.4619872,1.1423626,0.73623544,0.12041169,0.15713634,0.16355053,0.2134322,1.3049924,-2.2925975,-0.43245932,-0.3388042,0.1886329,0.1477818,0.78343594,0.30083022,0.11107882,0.10974078,0.36924094,0.3647931,0.9879541,0.6874546,0.29610068,0.32106468,0.4307204,0.46703404,1.0843091,0.23527686,16.131678,-0.33925325,0.44869697,-0.5935013,TASCA_DESTRA_DAVANTI_PANTALONI
-0.8062278,4.346619,2.0848546,10.1004715,-1.0250578,3.7599168,3.299688,1.8165044,7.6294985,-0.0016408686,11.641816,23.09403,4.805625,17.862848,0.16321266,12.566935,23.131367,4.809508,16.65343,0.27253184,-0.21442704,-0.06925275,-0.06415469,0.32296652,0.29919124,0.9263847,1.1477289,0.4338363,0.43348604,0.37799546,0.3776903,0.99919266,1.3172818,0.18821397,0.18791017,0.14288056,0.14264993,0.9983859,409.06735,-1.4674493,-0.81949365,-0.0035873048,-0.0020033221,0.55844766,0.65481746,0.23365152,0.21787857,0.3568193,0.33273175,0.9324937,1.323871,0.5654457,0.6065099,0.42711544,0.45813373,1.0726227,0.24520919,17.119617,-0.10326403,-0.58719444,0.37538466,TASCA_DESTRA_DAVANTI_PANTALONI
-0.27988255,2.6353931,1.6233894,7.641183,-1.2651552,-1.2464432,35.36709,5.9470234,19.337006,-1.1627831,10.820387,17.574009,4.192137,14.057135,0.17732945,12.736472,12.071497,3.474406,12.289989,0.32302752,0.22454497,-0.025866223,-0.021974888,-0.115193956,-0.097864084,0.8495592,0.27297512,0.38724628,0.46724227,1.4186139,1.7116662,1.2065766,0.07451541,0.1499597,0.21831535,2.0124655,2.9298015,1.4558268,0.4105173,-1.408493,-0.72775704,-3.43102,-1.7727804,0.516692,0.37729964,0.19742028,0.18581559,0.52324533,0.49248812,0.9412183,0.39515853,0.5435804,0.6217404,1.3756008,1.5733948,1.1437874,0.21791074,17.373335,0.5509639,0.21565433,0.7907921,TASCA_DESTRA_DAVANTI_PANTALONI
-0.74129564,4.179441,2.044368,7.312598,-1.9710854,0.5864933,3.4866474,1.8672566,8.767561,-1.2975208,10.793388,26.991219,5.1953073,17.338062,0.16842966,11.1846695,26.951199,5.1914544,17.927921,0.1840538,-1.2639456,-0.06868053,-0.06627783,0.054338202,0.05243725,0.9650163,1.0948511,0.3935028,0.39379486,0.35941216,0.3596789,1.0007422,1.1986991,0.15484448,0.1550744,0.12917711,0.12936892,1.0014849,0.97977954,-1.3814714,-1.1996343,-1.409982,-1.224392,0.86837435,0.64496654,0.118047014,0.1120181,0.18302812,0.17368047,0.9489278,0.8340516,0.4217656,0.4078888,0.5056829,0.48904502,0.9670983,0.216694,13.985957,0.6740258,-0.726279,-0.62556374,TASCA_DESTRA_DAVANTI_PANTALONI
-0.9474139,2.1481378,1.4656527,8.014187,-1.7977467,0.91529447,9.200015,3.0331526,11.980341,-0.671533,9.895448,6.8259053,2.6126432,8.362753,0.45060456,10.541979,6.69598,2.5876591,8.379286,0.4646556,-1.0350919,-0.0957424,-0.089870594,0.09249652,0.086823784,0.9386708,0.483211,0.5609846,0.566401,1.1609517,1.1721607,1.0096551,0.23349285,0.31470373,0.32081008,1.3478087,1.373961,1.0194035,1.0699365,-0.7507923,-0.7080675,-0.70171666,-0.6617846,0.9430937,0.39966568,0.18818581,0.18301105,0.47085807,0.45791036,0.9725019,0.66894484,0.95831925,0.9564284,1.4325835,1.4297568,0.9980269,0.19965495,13.880197,-0.004617443,0.3045654,-0.61120373,TASCA_DESTRA_DAVANTI_PANTALONI
-0.21772487,21.055456,4.5886226,13.230642,-0.7025557,-7.344542,20.447592,4.521901,19.0399,-2.9005477,11.412444,26.56558,5.154181,19.692423,0.014478574,14.924359,29.565767,5.4374413,19.744658,0.15579131,0.029644445,-0.019077849,-0.014588557,-0.6435556,-0.49211773,0.7646857,1.0147551,0.8902719,0.8438937,0.8773268,0.83162296,0.9479056,1.0297279,0.79258406,0.7121566,0.76970243,0.69159687,0.898525,0.3856038,-18.871286,-1.4983641,-48.93958,-3.8857608,0.079399146,1.5919907,0.38890767,0.33226132,0.24429017,0.20870808,0.854345,0.6948903,0.6718646,0.6700872,0.9668643,0.9643064,0.9973545,0.2827764,23.582825,0.19631407,-0.48130962,-0.8063249,TASCA_DESTRA_DAVANTI_PANTALONI
-0.39740345,14.723369,3.837104,14.592661,-0.9947193,-5.7050285,45.414757,6.739047,28.628796,-1.498594,11.701033,53.865494,7.3393116,22.955723,0.042221624,14.768198,65.523445,8.094655,24.202562,0.10164822,0.06965845,-0.03396311,-0.026909407,-0.48756623,-0.38630497,0.7923128,0.5693838,0.5228152,0.47402936,0.9182124,0.8325305,0.9066861,0.3241979,0.2733358,0.22470382,0.8431141,0.69310695,0.8220797,0.4238009,-7.1910505,-2.6572876,-16.967993,-6.270132,0.36952704,0.6384771,0.30522966,0.2715425,0.4780589,0.42529714,0.88963336,0.50971967,0.6356873,0.60293865,1.2471311,1.1828828,0.94848317,0.2657919,21.947401,0.064873196,-0.4950161,-0.7116823,TASCA_DESTRA_DAVANTI_PANTALONI
0.14047116,6.737595,2.5956879,10.119229,-1.0600082,-2.5773056,38.283775,6.1873884,25.69305,-1.7139038,9.844103,14.949659,3.866479,13.432394,0.21569242,11.977435,20.08059,4.4811373,15.403707,0.23484586,-0.054503106,0.014269575,0.011727983,-0.26181212,-0.21518008,0.8218874,0.4195127,0.67133117,0.5792476,1.6002643,1.3807629,0.8628343,0.17599088,0.45068553,0.33552775,2.560846,1.9065065,0.7444831,0.32090765,-1.4095674,-1.1013579,-4.3924394,-3.432009,0.7813447,0.51886845,0.28682137,0.24400695,0.5527824,0.47026744,0.8507279,0.39385083,0.7533452,0.6569347,1.9127678,1.6679784,0.8720235,0.21652906,17.338823,0.51164824,-0.028590566,-0.4883188,TASCA_DESTRA_DAVANTI_PANTALONI
