@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
10.4921,7.1314,2.6705,8.292,0.4291,-0.4563,1.8937,1.3761,4.6574,-1.2413,10.4921,7.1314,2.6705,8.292,0.4291,14.9045,14.3877,3.7931,11.6093,0.4373,-22.9944,1,0.704,-0.0435,-0.0306,0.704,1.9406,1,0.704,0.5153,0.3628,0.704,3.7658,1,0.4957,0.2655,0.1316,0.4957,-2.4161,1,0.6909,-0.4139,-0.2859,0.6909,6.9896,1,0.704,0.1431,0.1007,0.704,1.7804,1,0.7143,0.5617,0.4012,0.7143,0.2969,22.2212,-0.8226,1,0.9999,-0.8226,-0.8258,0.9999,0.2469,0.0024,0.0495,0.1558,0.5546,-0.4581,0.0093,0.0965,0.5459,?,0.5204,0.0056,0.0748,0.224,0.6232,-0.5389,0.4745,-0.8803,0.5129,0.6619,1.2905,0.263,0.4381,1.6654,-0.3553,0.5236,-1.4735,0,0.5884,0,0.2854,0.6956,2.4372,0.0147,1.2255,0.9847,-0.9809,-0.966,-22.958,4.922,2.2186,26,?,12.1722,50.5905,7.1127,22.7571,-0.1957,-29.678,8.6308,2.9378,35.7089,?,-1.8861,0.7736,-0.4101,0.3119,0.7552,2.4211,0.0973,0.5703,5.8616,6.9792,0.7281,0.1043,0,1,0,1.1425,0.7281,0.6373,0.7889,65.103,-0.46,-0.6057,0.963,DAVANTI_PANTALONI
9.8691,20.0947,4.4827,13.995,0.2374,-1.3987,4.8565,2.2037,8.9068,-1.2038,9.8691,20.0947,4.4827,13.995,0.2374,14.1582,41.3476,6.4302,19.9752,0.2402,-7.0557,1,0.6971,-0.1417,-0.0988,0.6971,2.0341,1,0.6971,0.4916,0.3427,0.6971,4.1377,1,0.486,0.2417,0.1175,0.486,-0.8953,1,0.6898,-1.117,-0.7705,0.6898,4.5404,1,0.698,0.2202,0.1537,0.698,1.5713,1,0.7006,0.6364,0.4459,0.7006,0.2805,21.7899,-0.9066,1,0.9995,-0.9066,-0.8995,0.9995,0.2468,0.0088,0.0938,0.3028,0.2039,-0.4066,0.0156,0.1249,0.5754,?,0.3481,0.0067,0.0821,0.2704,0.4452,-0.6071,0.7091,-1.168,0.751,1.1435,1.5227,0.564,1.3077,2.3187,-0.1348,0.3575,-2.6515,0,0.7804,0,0.5263,1.1198,2.1277,0.0118,1.0016,0.9682,-0.9692,-0.9916,-26.166,10.017,3.165,30.3,?,1.7752,121.912,11.0414,35.3099,-0.751,-27.5579,16.1462,4.0182,32.4313,?,-14.7396,0.9495,-0.0644,0.2866,0.7877,2.7478,0.0822,0.6204,7.5505,2.0007,0.9343,0.467,0,1,0,0.8581,0.9343,1.0888,0.7609,63.3159,-0.6402,-0.5386,0.9824,DAVANTI_PANTALONI
3.5164,1.3849,1.1768,5.4853,-0.0122,7.3935,2.3216,1.5237,6.9903,0.3622,3.5164,1.3849,1.1768,5.4853,-0.0122,9.0003,3.4795,1.8653,9.0771,0.3213,0.4756,1,0.3907,2.1026,0.8215,0.3907,0.7724,1,0.6309,1.2947,0.8168,0.6309,0.5965,1,0.398,1.6763,0.6672,0.398,-0.0167,1,-0.0154,-59.8691,0.924,-0.0154,0.4944,1,0.4052,2.0226,0.8195,0.4052,0.7847,1,0.6043,1.2744,0.7701,0.6043,0.1782,14.4315,0.5632,1,0.8107,0.5632,0.9374,0.8107,0.3985,0.0009,0.0301,0.1096,0.7541,-0.0967,0.0127,0.1125,0.3353,-1.9976,0.2801,0.0019,0.0432,0.1399,0.5631,-4.1218,1.4228,-0.3452,0.2675,0.6976,2.6074,0.0716,0.4866,6.7984,-1.5041,1.8643,-1.2395,3.9844,1.3922,0.3494,0.3269,0.7837,2.3972,0.0099,0.8108,-0.6239,0.1957,0.6112,-11.826,95.9703,9.7964,27.5,-3.3651,-15.3242,2.3182,1.5226,18.6268,?,-31.6653,0.9971,0.9985,33.5525,?,0.7717,0.3735,0.4839,6.4342,9.8107,1.5248,41.3987,96.2493,2.3249,1.1381,0.6318,0.5552,0,0,1,1.4764,0.8196,0.5552,0.7423,60.5395,0.2168,-0.81,-0.599,DAVANTI_PANTALONI
2.2248,4.4159,2.1014,10.6941,-0.1395,6.045,4.9555,2.2261,9.4657,0.2512,2.2248,4.4159,2.1014,10.6941,-0.1395,7.1334,9.3434,3.0567,14.2015,0.2252,0.368,1,0.3119,2.7171,0.8474,0.3119,0.944,1,0.6875,1.0593,0.7283,0.6875,0.8911,1,0.4726,1.1222,0.5304,0.4726,-0.4122,1,-0.3171,-2.4262,0.7693,-0.3171,0.7424,1,0.512,1.3469,0.6897,0.512,1.1298,1,0.753,0.8851,0.6665,0.753,0.1363,10.8864,0.6434,1,0.8376,0.6434,0.944,0.8376,0.2069,0.0005,0.0226,0.1069,0.6174,-0.1892,0.0022,0.0472,0.3244,?,-0.2143,0.0019,0.0431,0.3065,?,-1.0934,-0.9655,0.883,0.4782,0.5237,1.0952,0.2287,0.2743,1.1994,-0.5318,-0.563,1.0585,0,0,1,0.3296,0.3489,1.0585,0.0071,0.6104,-0.9124,-0.7634,0.9368,-14.764,18.4543,4.2958,24.9,?,-3.1779,9.1881,3.0312,12.3099,-75.0071,-22.8813,1.3362,1.1559,24.2372,?,4.6459,0.6452,0.1389,1.4172,3.7164,2.6223,2.0085,13.8113,6.8765,2.0497,1.0273,0.5012,0,1,0,2.0228,1.0273,0.5079,0.5483,40.8523,0.9379,-0.8806,-0.9292,DAVANTI_PANTALONI
7.0358,15.714,3.9641,12.0142,0.1318,-1.0577,13.3909,3.6594,13.3202,-0.6009,7.0358,15.714,3.9641,12.0142,0.1318,10.9285,25.5105,5.0508,15.2595,0.2223,-6.6517,1,0.6438,-0.1503,-0.0968,0.6438,1.0833,1,0.7848,0.9231,0.7245,0.7848,1.1735,1,0.616,0.8522,0.5249,0.616,-0.3646,1,0.4179,-2.7425,-1.1462,0.4179,1.663,1,0.7052,0.6013,0.424,0.7052,0.902,1,0.7873,1.1087,0.8729,0.7873,0.2001,17.4263,-0.3223,1,0.9807,-0.3223,-0.2339,0.9807,-0.0105,0.0416,0.2039,0.5534,-1.047,-0.3115,0.0074,0.0862,0.415,?,-0.0791,0.0142,0.119,0.3209,-1.5617,0.0336,0.1322,3.9365,2.3664,1.7141,0.7243,5.6001,2.9382,0.5247,0.6821,1.4469,2.1213,0,2.1581,0,1.3335,1.7245,1.2932,0.0064,0.6269,0.8442,-0.9415,-0.6204,-18.09,57.3501,7.573,29.3,?,8.2606,158.8081,12.6019,34.2571,-0.2589,-17.4042,13.972,3.7379,22.1671,?,-2.1899,1.0394,-0.4746,0.6009,2.026,3.3714,0.3611,4.1046,11.3661,4.1585,1.3218,0.3178,0,1,0,0.8553,1.3218,1.5454,0.5285,47.4088,0.1139,0.0775,0.986,DAVANTI_PANTALONI
8.4492,22.6568,4.7599,13.7621,0.1241,1.0918,2.3152,1.5216,4.8658,-0.6157,8.4492,22.6568,4.7599,13.7621,0.1241,12.2235,42.1836,6.4949,18.6003,0.1658,7.739,1,0.6912,0.1292,0.0893,0.6912,3.1283,1,0.7329,0.3197,0.2343,0.7329,9.786,1,0.5371,0.1022,0.0549,0.5371,-1.0521,1,0.5275,-0.9505,-0.5014,0.5275,5.2175,1,0.7047,0.1917,0.1351,0.7047,2.8283,1,0.7399,0.3536,0.2616,0.7399,0.24,18.6115,-0.8191,1,0.9996,-0.8191,-0.815,0.9996,0.1885,0.0083,0.0909,0.3059,0.1108,-0.3843,0.0174,0.132,0.5379,?,0.1834,0.0079,0.0889,0.2785,0.2615,-0.4906,1.0282,-2.0957,0.6884,1.0225,1.4852,0.474,1.0455,2.2058,-0.0708,0.3864,-5.4537,0,0.9121,0,0.5687,1.0982,1.9311,0.0093,0.7562,0.9778,-0.9063,-0.8135,-24.0589,34.0246,5.8331,30.8529,?,8.1388,131.8212,11.4813,37.3233,-0.43,-32.6013,31.332,5.5975,40.324,?,-2.9561,0.738,-0.2496,0.508,1.0421,2.0512,0.2581,1.0859,4.2072,2.7489,0.7651,0.2783,0,1,0,0.8266,0.7651,0.9256,0.8265,68.1495,-0.6378,-0.6912,0.9806,DAVANTI_PANTALONI
10.7819,34.9843,5.9148,22.1232,-0.0423,-5.5611,9.5951,3.0976,10.8343,-38.2805,10.7819,34.9843,5.9148,22.1232,-0.0423,16.4292,73.0671,8.5479,28.4604,0.0827,-1.9388,1,0.6563,-0.5158,-0.3385,0.6563,1.9095,1,0.692,0.5237,0.3624,0.692,3.6461,1,0.4788,0.2743,0.1313,0.4788,0.085,1,-0.3498,11.7662,-4.1159,-0.3498,76.9559,1,0.6841,0.013,0.0089,0.6841,2.042,1,0.7773,0.4897,0.3807,0.7773,0.3312,27.2094,-0.8032,1,0.9956,-0.8032,-0.8461,0.9956,0.0575,0.0175,0.1321,0.421,-0.2237,-0.5604,0.0093,0.0967,0.652,?,0.4639,0.0138,0.1174,0.3607,0.4016,-0.1025,0.1239,-1.2079,1.3668,1.1259,0.8238,1.8681,1.2677,0.6786,0.118,-0.3179,-2.693,0,0.5707,0,0.6458,1.1671,1.8073,0.0149,1.1325,0.8547,-0.9761,-0.7462,-15.0629,45.4095,6.7387,22.5586,?,20.7189,230.5963,15.1854,43.8583,-0.256,-27.1646,44.4332,6.6658,38.3392,?,-0.727,0.5545,-0.7627,0.4438,1.0109,2.2781,0.1969,1.022,5.1897,2.5237,0.5884,0.2331,0,1,0,0.5144,0.5884,1.144,0.762,64.5355,0.6398,0.5359,0.9801,DAVANTI_PANTALONI
7.2388,16.9377,4.1155,16.7566,-0.1061,-1.6516,23.0982,4.8061,16.5793,-1.3492,7.2388,16.9377,4.1155,16.7566,-0.1061,11.8147,24.9145,4.9914,18.3327,0.156,-4.3828,1,0.6127,-0.2282,-0.1398,0.6127,0.8563,1,0.8245,1.1678,0.9629,0.8245,0.7333,1,0.6798,1.3637,0.9271,0.6798,0.1689,1,-0.4746,5.9219,-2.8103,-0.4746,2.1465,1,0.6974,0.4659,0.3249,0.6974,1.0107,1,0.914,0.9894,0.9044,0.914,0.2206,18.9522,-0.5364,1,0.9581,-0.5364,-0.5367,0.9581,0.0766,0.0447,0.2114,0.6416,-0.6414,-0.3802,0.0115,0.1071,0.4954,?,0.1036,0.0736,0.2712,0.7657,-0.2984,-0.2014,0.739,-3.6686,1.9727,0.7794,0.3951,3.8917,0.6074,0.1561,0.5061,1.4246,2.815,0,0.6628,0,1.2951,0.8379,0.647,0.0085,0.7989,0.9356,-0.938,-0.7873,-18.3491,80.4127,8.9673,36.6577,-3.9677,5.2072,401.877,20.0469,53.5187,-0.441,-30.5521,41.5816,6.4484,40.4999,?,-3.5238,0.6006,-0.1704,0.4473,1.3906,3.1088,0.2001,1.9339,9.6648,1.7876,0.7229,0.4044,0.1987,0,0,0.685,0.9051,1.3215,0.7663,67.3205,0.2348,0.0185,0.9686,DAVANTI_PANTALONI
10.7816,24.2275,4.9221,16.1544,0.1336,-5.7013,16.7189,4.0889,14.5215,-5.29,10.7816,24.2275,4.9221,16.1544,0.1336,16.5342,56.7868,7.5357,24.8626,0.1335,-1.8911,1,0.6521,-0.5288,-0.3448,0.6521,1.2038,1,0.6532,0.8307,0.5426,0.6532,1.4491,1,0.4266,0.6901,0.2944,0.4266,-0.204,1,0.6505,-4.9026,-3.1892,0.6505,8.0763,1,0.6498,0.1238,0.0805,0.6498,1.1124,1,0.6497,0.8989,0.5841,0.6497,0.3391,27.409,-0.731,1,0.9924,-0.731,-0.8039,0.9924,-0.127,0.0402,0.2004,0.5873,-1.2799,-0.5336,0.0024,0.0488,0.6159,?,0.1085,0.0224,0.1498,0.4749,-0.3441,0.2381,-1.171,-4.9185,4.1051,1.3379,0.3259,16.8516,1.79,0.1062,0.5353,2.7119,5.0659,0,0.729,0,0.9536,1.2366,1.2968,0.0116,0.9012,0.2664,-0.9366,0.0652,-27.3931,100.2057,10.0103,37.3199,?,20.5309,365.7983,19.1259,56.9992,-0.2996,-12.3232,80.1339,8.9518,26.8799,?,-1.3342,2.2229,-1.666,0.5234,1.1182,2.1365,0.2739,1.2505,4.5648,2.8403,1.3884,0.4888,0,1,0,0.6547,1.3884,2.1205,0.758,63.4243,0.828,0.8191,0.9829,DAVANTI_PANTALONI
8.3553,25.422,5.042,13.7906,0.0514,-0.121,2.4657,1.5703,4.9608,-0.5602,8.3553,25.422,5.042,13.7906,0.0514,12.1522,45.2712,6.7284,17.534,0.1473,-69.0431,1,0.6876,-0.0145,-0.01,0.6876,3.2109,1,0.7494,0.3114,0.2334,0.7494,10.3101,1,0.5615,0.097,0.0545,0.5615,-0.4194,1,0.2465,-2.3846,-0.5879,0.2465,4.5723,1,0.7069,0.2187,0.1546,0.7069,2.7799,1,0.7865,0.3597,0.2829,0.7865,0.2686,18.0601,-0.848,1,0.9973,-0.848,-0.8178,0.9973,0.1501,0.0048,0.0692,0.2221,-0.0611,-0.3591,0.0483,0.2198,0.6244,?,0.0199,0.0069,0.083,0.2269,-0.4142,-0.4181,7.531,-18.0122,0.3148,0.8333,2.647,0.0991,0.6944,7.0068,0.0205,0.1925,9.3987,0,1.3045,0,0.3556,0.9788,2.7525,0.0089,0.5839,0.742,-0.911,-0.9158,-26.2045,116.9326,10.8135,40.0625,?,-5.2472,36.1179,6.0098,20.8125,-0.8814,-25.2315,202.0061,14.2129,42.3125,-24.0741,4.994,1.0386,0.208,1.7993,0.7608,0.4228,3.2375,0.5789,0.1788,4.109,0.9862,0.24,0,0,6.5556,1.9249,0.9468,0.4919,0.8353,59.0781,-0.7757,-0.9484,0.929,DAVANTI_PANTALONI
