@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
1.9173,10.0641,3.1724,15.3875,-0.3204,-0.9673,8.1778,2.8597,15.8579,-1.2868,0.027,12.1959,3.4923,18.1085,-0.9196,5.2798,7.1745,2.6785,11.4966,0.0494,-1.982,71.0312,0.3631,-35.8373,-0.1832,0.0051,1.1094,0.9084,1.1844,0.8189,1.0676,1.3038,1.2307,0.8252,1.4028,0.6705,1.1398,1.6999,0.4184,0.4304,-6.2469,1.0287,-14.9307,-14.5148,1.6806,1.2354,0.9636,0.7351,0.5734,0.78,0.9703,0.8497,1.3384,0.8757,1.3794,1.5751,0.0149,7.7419,-0.1511,0.0814,0.6832,0.5545,-0.1987,0.1117,0.2614,0.0254,0.1595,0.4731,-0.1859,-0.2065,0.0379,0.1947,0.6486,?,-0.1351,0.003,0.0551,0.2474,-7.0575,-1.2661,-1.9355,1.5287,0.8194,2.8961,3.5342,0.6715,8.3873,12.4907,0.1144,0.3423,2.9927,0,12.9928,0,0.7295,1.9123,2.6213,0.0025,0.6199,0.994,-0.4814,-0.5059,2.7123,11.852,3.4427,9.578,0.0028,5.1437,7.0574,2.6566,8.7636,-0.2052,6.3805,2.7235,1.6503,6.2412,0.1877,0.5273,0.4251,0.8062,1.2959,2.0861,1.6098,1.6794,4.3517,2.5913,-0.018,0.0186,-1.0343,1.3208,1.25,0.9464,1.0929,1.5346,1.4042,0.0599,14.3996,-0.9823,-0.829,0.896,DAVANTI_PANTALONI
1.4634,5.4326,2.3308,13.1633,-0.6116,-1.0378,4.0669,2.0167,9.0269,-1.4969,-0.3749,5.4911,2.3433,10.7737,-0.6287,3.8587,3.4597,1.86,7.5495,0.1037,-1.41,-3.9039,0.3792,2.7686,-0.269,-0.0971,1.1558,0.9947,1.2531,0.8606,1.0842,1.2598,1.3358,0.9893,1.5702,0.7406,1.1755,1.5871,0.9231,1.2012,-5.7182,1.3013,-6.1947,-4.7604,2.2593,1.2347,0.9697,0.5465,0.4292,0.7854,1.4582,1.2218,1.7436,0.8379,1.1957,1.4271,0.0129,5.7611,-0.1448,0.1422,0.6368,0.2203,-0.3487,0.2888,0.2325,0.0157,0.1253,0.403,0.2429,0.1923,0.0353,0.188,0.6525,-1.0181,0.8346,0.0008,0.0282,0.1092,0.8739,1.2091,0.2785,0.2303,0.6666,4.4365,6.6558,0.4443,19.6825,44.3003,-0.3928,0.1708,-0.4349,1.6465,0.6147,0.3733,0.6177,3.6903,5.9744,0.0062,1.3244,-0.9569,-0.903,0.9275,2.1372,9.9657,3.1568,9.389,-0.0111,4.9796,5.7249,2.3927,8.8788,-0.3544,7.0159,1.8819,1.3718,4.9751,0.3786,0.4292,0.3046,0.7098,1.3194,2.3012,1.7441,1.7408,5.2955,3.0421,0.0442,-0.0339,-0.7665,1.4165,1.1599,0.8189,1.0575,1.8872,1.7847,0.0624,14.4261,-0.9369,-0.8954,0.9347,DAVANTI_PANTALONI
1.3772,7.8514,2.802,15.7018,-0.5066,-0.48,8.7279,2.9543,13.5526,-1.633,-0.0134,12.8706,3.5876,17.0967,-0.9553,5.1125,5.4391,2.3322,10.9376,0.0587,-2.8688,-102.85,0.2694,35.8512,-0.0939,-0.0026,0.9485,0.781,1.2015,0.8235,1.2668,1.5383,0.8996,0.61,1.4435,0.6781,1.6047,2.3663,0.6281,0.6321,-7.734,1.0063,-12.3123,-12.2356,2.0247,1.1919,0.8969,0.5887,0.443,0.7525,1.1586,0.9184,1.4356,0.7927,1.2391,1.5631,0.0102,7.7086,0.1371,-0.1475,0.4822,0.3371,-0.0169,0.104,0.2723,0.0156,0.1247,0.4291,0.283,0.2308,0.0253,0.159,0.5389,-0.4929,0.7693,0.0006,0.0238,0.0718,0.9112,1.18,0.354,0.3,0.7848,5.2472,6.6864,0.6159,27.5335,44.7077,-0.9519,0.2298,-0.2415,1.6578,0.74,0.4464,0.7962,5.9747,7.504,0.0059,1.3081,-0.9633,-0.0337,0.0528,1.7277,10.5861,3.2536,10.224,-0.0712,5.8684,4.2594,2.0638,7.9771,-0.0863,6.5031,1.612,1.2697,5.623,0.2777,0.2944,0.2657,0.9024,1.5765,2.5626,1.6255,2.4853,6.5669,2.6423,1.0727,-0.3144,-0.2931,1.2997,1.2261,0.9434,1.2817,1.8183,1.4187,0.0624,14.4008,-0.9235,-0.8962,0.8842,DAVANTI_PANTALONI
0.8075,19.6345,4.4311,35.2631,-0.2283,0.0504,14.0789,3.7522,29.6684,-0.2954,-0.1733,24.3318,4.9327,27.8019,-0.7958,5.6163,27.1871,5.2141,35.7846,0.0271,16.0156,-4.66,0.1438,-0.291,0.009,-0.0309,1.1809,0.8983,0.8498,0.7607,0.7196,0.946,1.3946,0.8069,0.7222,0.5786,0.5179,0.895,0.9686,0.5319,-6.5801,0.5492,-6.7935,-12.3709,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,0.9854,1.0671,0.8291,0.7769,0.0057,8.6235,0.6745,0.0436,0.8174,-0.2578,0.644,-0.0002,0.025,0.0109,0.1043,0.3434,-1.6846,-0.1277,0.0233,0.1528,0.6425,-8.0329,-0.723,0.0007,0.0258,0.7519,?,-0.1955,-0.0345,0.1766,0.683,4.0419,5.9181,0.4665,16.3372,35.0238,0.3772,0.2866,0.7599,1.7984,0,0,0.5345,0.4567,0.8545,0.0051,0.9531,0.8743,-0.414,-0.4379,1.1271,8.5982,2.9323,10.236,-0.347,2.2233,1.4873,1.2195,6.3013,0.0959,8.7597,3.1404,1.7721,6.6579,0.3182,0.507,0.1287,0.2538,2.4044,1.6547,0.6882,5.7812,2.7379,0.4736,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.0632,12.8235,0.6957,-0.9117,-0.8404,DAVANTI_PANTALONI
1.5079,1.6478,1.2837,5.5323,-0.1021,-0.1197,0.5233,0.7234,3.1525,-1.2505,-0.6638,6.6821,2.585,11.4678,-0.8168,3.0622,2.2046,1.4848,5.9552,0.0756,-12.5985,-2.2716,0.4924,0.1803,-0.0391,-0.2168,1.7744,0.4966,0.8646,0.2799,0.4872,1.741,3.1487,0.2466,0.7475,0.0783,0.2374,3.031,0.2925,0.0994,-1.0514,0.3398,-3.5945,-10.5798,3.5836,0.7953,0.7792,0.2219,0.2174,0.9797,1.7549,0.4824,0.929,0.2749,0.5294,1.9257,0.0126,4.4163,-0.0624,-0.0231,0.6653,0.021,-0.0565,-0.1048,0.1145,0.073,0.2702,1.228,-1.086,0.0822,0.0023,0.0482,0.1816,-0.2424,0.7766,0.224,0.4733,1.7652,-0.843,1.3932,0.1474,0.1058,5.6057,0.5708,0.1018,31.424,0.3259,0.0104,18.0389,0.7918,0.0439,4.0272,0.6146,0.1526,6.7614,0.6957,0.1029,0.006,1.2142,0.2487,0.7915,0.7436,1.7046,3.268,1.8078,6.0684,-0.0127,2.4647,0.1044,0.3232,0.9922,0.6561,8.3302,0.7627,0.8733,3.9707,0.6004,0.6916,0.2046,0.2959,5.594,2.07,0.37,31.2925,4.2849,0.1369,-0.0402,-0.0128,0.3173,2.0772,0.6031,0.2903,6.1161,1.5283,0.2499,0.0676,12.5141,-0.9122,-0.8181,0.7442,DAVANTI_PANTALONI
0.1833,2.3129,1.5208,6.9735,-1.4948,-0.4755,7.6693,2.7693,10.5047,-0.6794,0.0014,0.5936,0.7705,3.6206,-0.402,2.9505,2.1303,1.4596,7.4266,0.0504,-0.3855,130.4465,0.0621,-338.4044,-0.1612,0.0005,0.5492,1.9739,1.042,3.5943,1.8974,0.5279,0.3016,3.8962,1.0857,12.919,3.6001,0.2787,0.9832,4.0248,-10.61,4.0936,-10.7916,-2.6362,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6638,1.926,0.939,2.9013,1.4145,0.4875,0.0034,4.413,-0.9425,-0.7859,-0.3392,0.7897,0.2693,0.2353,0.637,0.0001,0.0096,0.0316,0.9516,-0.0878,0.0003,0.017,0.1203,?,-0.5269,0.0002,0.0143,0.5586,?,-7.2575,-1.209,0.1666,0.5672,0.6765,1.1928,0.3217,0.4577,1.4227,-5.1637,-1.1123,0.2154,0,0,1,0.2624,0.0565,0.2154,0.0055,1.2517,-0.3462,0.4662,0.2529,-5.6306,0.0326,0.1807,5.9308,?,7.8455,0.0248,0.1576,0.5809,0.9286,1.6887,0.0715,0.2674,0.8377,0.6039,-0.7177,-3.3343,4.6459,1.1467,0.6756,0.5892,1.3148,0.4565,0.3472,-0.7847,-4.6433,5.9176,0,0,3.8485,10.209,7.0802,0.6935,0.0649,15.1648,0.9357,-0.3002,-0.616,DAVANTI_PANTALONI
0.2208,1.4382,1.1992,6.5171,-0.6676,-0.0541,2.4214,1.5561,7.5532,-1.7608,0.0756,1.3143,1.1464,6.4805,-0.8202,1.8445,1.8291,1.3524,5.8672,0.0284,-4.0796,2.9217,0.1197,-0.7162,-0.0293,0.041,0.7707,1.0461,0.8867,1.3574,1.1506,0.8477,0.5939,1.0943,0.7863,1.8424,1.3239,0.7185,0.5416,0.8934,-15.2037,1.6497,-28.0722,-17.0168,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1108,1.1655,1.2874,1.1045,0.0016,2.8296,-0.5671,0.2632,0.4562,-0.2377,-0.5987,0.3998,-0.6293,0.0006,0.0249,0.6706,?,-0.2813,0.0045,0.067,0.3741,?,-0.2673,0.0114,0.1065,0.6039,?,2.2369,2.3542,1.0525,0.372,0.2339,0.6287,0.1384,0.0547,0.3952,1.7925,1.1104,0.6195,1,1,1,1.7925,1.1104,0.6195,0.0049,1.1779,-0.8654,0.6889,-0.8661,7.0284,0.357,0.5975,2.1745,0.7399,-6.7662,0.456,0.6753,7.6126,?,0.3883,0.092,0.3034,1.5744,-0.1916,-1.0387,18.1004,-17.4252,0.8849,1.9697,2.226,0.783,3.8797,4.955,-0.8125,-24.4347,30.0745,0,6.3267,0,0.2856,1.3812,4.8351,0.0647,14.2113,0.9912,0.2951,0.3788,DAVANTI_PANTALONI
1.1983,21.3528,4.6209,32.6309,-0.2544,0.2884,12.4068,3.5223,14.3384,-1.0682,-1.7999,9.334,3.0552,14.581,-1.227,6.2194,9.1713,3.0284,25.1131,0.0478,4.1553,-0.6658,0.1927,-0.1602,0.0464,-0.2894,1.3119,1.5125,1.5259,1.1529,1.1631,1.0088,1.7211,2.2876,2.3282,1.3292,1.3528,1.0177,0.8937,0.8239,-5.2462,0.9218,-5.8701,-6.3678,3.7521,3.9729,0.9863,1.0588,0.2629,0.2482,2.2758,2.2379,1.2994,0.9834,0.571,0.5806,0.0156,9.4186,-0.5355,0.3595,0.6088,-0.254,-0.163,-0.0004,0.4049,0.0275,0.166,0.5452,0.1833,-0.3923,0.0186,0.1365,0.6059,-35.2427,0.4043,0.0772,0.2779,0.8396,-0.0971,-1.0322,1.0014,-0.9702,1.2162,0.5973,0.4911,1.4791,0.3568,0.2412,-0.2077,-1.6474,7.9306,39.9291,0.8723,0.0218,0.8997,0.6493,0.7217,0.005,1.2093,-0.8007,-0.6564,0.4065,7.1009,4.2947,2.0724,8.9243,0.0565,1.8344,12.7734,3.574,11.3778,-0.333,2.6598,18.225,4.2691,12.7503,-0.4445,3.871,2.6697,0.6897,0.5798,0.4854,0.8372,0.3362,0.2356,0.7009,-0.188,-0.1362,0.7244,1.1081,1.0716,0.967,0.7844,0.6999,0.8924,0.0557,14.799,-0.3905,-0.2667,-0.7146,DAVANTI_PANTALONI
0.0496,0.5419,0.7362,3.8122,-0.523,-0.0575,0.7169,0.8467,3.0265,-0.7977,0.1296,0.1447,0.3803,1.7103,-0.5847,1.0975,0.2216,0.4708,2.5446,0.1094,-0.8624,0.3826,0.0452,-0.4436,-0.0524,0.1181,0.8695,1.9356,1.5638,2.2262,1.7985,0.8079,0.756,3.7465,2.4453,4.9558,3.2346,0.6527,0.9748,2.0745,-4.1876,2.1281,-4.2958,-2.0186,1.4867,2.3192,0.876,1.5599,0.5892,0.3777,1.2596,2.2289,1.4981,1.7696,1.1894,0.6721,0.0011,1.6638,0.574,-0.3533,0.5035,-0.5989,0.509,-0.1686,0.6525,0.0001,0.0085,0.0321,0.9518,0.3673,0.0002,0.0133,0.049,0.8778,0.6493,0,0.0047,0.0156,0.9762,1.7765,1.005,0.5657,0.6381,1.8058,2.83,0.4072,3.2609,8.0089,1.8034,0.9904,0.5492,1.6632,1.0158,0.6107,0.6559,2.0577,3.1372,0.0071,1.6692,-0.8788,-0.7134,0.3039,7.3633,0.0037,0.0606,0.2574,0.9655,6.3645,0.0044,0.0667,0.2741,0.9582,-1.1955,0.0109,0.1045,1.342,?,1.1569,-6.1594,-5.3239,0.9096,0.5805,0.6382,0.8274,0.337,0.4073,1.1461,-5.3593,-4.6763,1.1374,0,0,0.9391,0.1918,0.2042,0.0705,14.9232,-0.9641,0.2998,-0.0246,DAVANTI_PANTALONI
0.4424,33.3434,5.7744,30.3454,-1.1046,1.2047,15.6864,3.9606,17.9674,-0.4399,-1.1365,7.5982,2.7565,13.2113,-1.0773,7.099,9.1703,3.0283,14.7763,0.0787,0.3672,-0.3893,0.0623,-1.06,0.1697,-0.1601,1.458,2.0948,1.9068,1.4368,1.3079,0.9103,2.1256,4.3883,3.636,2.0645,1.7106,0.8286,2.9016,2.3246,-12.6106,0.8012,-4.3461,-5.4248,1.1555,2.2671,0.8989,1.962,0.778,0.3965,1.6889,2.2969,2.0536,1.36,1.216,0.8941,0.0122,10.34,-0.0819,0.3264,0.0865,-0.1735,0.2358,0.2738,0.2563,0.0229,0.1512,0.5824,-0.098,-0.5433,0.0107,0.1032,0.6969,?,0.045,0.0535,0.2313,0.7079,-0.7946,-0.4717,5.6912,-12.0652,1.4649,0.6537,0.4463,2.1459,0.4274,0.1991,0.0746,0.1659,2.2233,0,1.3447,0,0.8358,0.8228,0.9844,0.0043,1.0186,-0.6372,-0.808,0.5898,7.3601,3.2999,1.8166,6.9137,0.2612,3.2468,14.8204,3.8497,12.5618,-0.3234,2.0645,9.1104,3.0183,9.257,-0.2379,2.2669,3.5651,1.5727,0.4719,0.6018,1.2754,0.2227,0.3622,1.6268,-0.7963,-1.3743,1.7259,0.9859,1.2514,1.2693,0.5504,0.7469,1.357,0.0593,14.1822,-0.4944,0.1577,-0.9131,DAVANTI_PANTALONI
