@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.1611,3.8616,1.9651,11.2595,-0.6377,-0.9042,7.6919,2.7734,15.4236,-1.2225,0.4374,18.8795,4.3451,21.0955,-0.9584,4.8681,7.7697,2.7874,11.2812,0.0526,0.1781,-0.3682,-0.0331,-2.0671,-0.1857,0.0899,0.7085,0.4523,0.705,0.6383,0.995,1.5588,0.502,0.2045,0.497,0.4074,0.99,2.4299,0.5168,0.4247,-7.0035,0.8218,-13.5518,-16.4907,0.9907,0.6383,0.5774,0.6442,0.5828,0.9046,0.73,0.5337,0.9981,0.7311,1.3672,1.87,0.0035,7.0496,0.038,-0.4241,0.1172,0.3816,-0.3975,-0.0088,2.7049,11.7989,3.4349,9.5792,0.0027,5.1525,6.9815,2.6422,8.7636,-0.2052,6.3901,2.6827,1.6379,6.2412,0.1877,0.525,0.4233,0.8063,1.3,2.0972,1.6132,1.69,4.3981,2.6024,-0.0172,0.0178,-1.0343,1.3208,1.25,0.9464,1.0931,1.5348,1.4042,0.0301,14.4043,-0.9824,-0.8276,0.8948,-13.0159,62.9086,7.9315,28.4393,?,-7.2959,58.6434,7.6579,27.5375,-0.9205,-27.3385,70.8639,8.4181,33.0597,?,1.784,0.4761,0.2669,1.0357,0.9422,0.9097,1.0727,0.8877,0.8275,2.1547,0.8602,0.3992,0,1,0,1.0327,0.8602,0.833,0.1085,50.4492,-0.9101,-0.9098,0.9829,DAVANTI_PANTALONI
0.3426,4.0567,2.0141,13.0028,-1.017,-0.9689,8.8273,2.9711,14.9467,-1.7554,-0.4418,5.0786,2.2536,12.0058,-1.2384,3.7741,4.9703,2.2294,11.6999,0.0097,-0.3536,-0.7754,0.0908,2.1929,-0.2567,-0.1171,0.6779,0.8937,0.9034,1.3184,1.3327,1.0108,0.4596,0.7988,0.8162,1.7381,1.776,1.0218,0.6885,0.987,-57.101,1.4336,-82.9342,-57.8508,1.1884,1.2019,0.5457,1.0114,0.4591,0.454,0.8699,1.083,1.1114,1.245,1.2775,1.0261,0.004,5.9173,-0.6685,0.0305,0.3784,0.694,-0.3487,-0.1479,2.1265,9.898,3.1461,9.393,-0.011,4.9929,5.629,2.3726,8.8804,-0.3543,7.0218,1.8722,1.3683,4.9751,0.3786,0.4259,0.3028,0.7111,1.326,2.2993,1.734,1.7584,5.2869,3.0067,0.0442,-0.0339,-0.7665,1.4168,1.1604,0.8191,1.0577,1.888,1.785,0.0314,14.4239,-0.9374,-0.8946,0.9345,10.0109,148.9755,12.2056,43.7378,-1.5851,-29.761,37.9815,6.1629,33.8989,?,-19.765,12.435,3.5263,28.1998,?,-0.3364,-0.5065,1.5057,1.9805,3.4613,1.7477,3.9223,11.9803,3.0544,0.7911,0.951,1.2021,0,0,1,1.2902,1.551,1.2021,0.1311,64.4783,-0.9032,0.5631,-0.3937,DAVANTI_PANTALONI
0.2346,7.3188,2.7053,15.9974,-0.7217,-0.0765,19.8752,4.4582,25.3419,-1.2682,-0.0038,13.6302,3.6919,14.8244,-1.1258,5.7341,8.0046,2.8292,17.4113,0.0355,-3.0689,-61.1084,0.0409,19.9124,-0.0133,-0.0007,0.6068,0.7328,0.9562,1.2075,1.5757,1.3049,0.3682,0.537,0.9143,1.4582,2.483,1.7028,0.4733,0.8542,-10.4522,1.8048,-22.0852,-12.2367,0.8316,1.3324,0.5147,1.6021,0.6189,0.3863,0.6313,1.0791,0.9188,1.7095,1.4555,0.8514,0.0009,8.8872,-0.6819,-0.019,0.2271,0.6873,-0.1645,-0.0508,1.7195,10.5217,3.2437,10.226,-0.0714,5.8754,4.2096,2.0517,7.9771,-0.0863,6.5093,1.5865,1.2596,5.6232,0.2777,0.2927,0.2642,0.9026,1.581,2.5753,1.6289,2.4994,6.632,2.6534,1.0758,-0.3153,-0.2931,1.2997,1.2261,0.9433,1.2819,1.8185,1.4186,0.0314,14.404,-0.9229,-0.8958,0.8825,13.3792,153.7984,12.4015,48.1796,-1.262,-29.7591,16.7737,4.0956,33.7799,?,-24.0295,12.3963,3.5208,30.6,?,-0.4496,-0.5568,1.2384,3.028,3.5223,1.1632,9.169,12.4068,1.3531,0.7957,0.8784,1.1039,0,0,1,1.4263,1.5745,1.1039,0.1422,71.3845,-0.7379,0.4463,-0.5626,DAVANTI_PANTALONI
0.2093,9.6659,3.109,24.0089,-0.3552,0.495,12.6533,3.5571,25.0715,-0.4422,0.1332,21.5612,4.6434,29.1037,-0.4152,5.2559,16.5627,4.0697,28.3094,0.0163,0.4229,1.5711,0.0398,3.715,0.0942,0.0253,0.874,0.6696,0.7639,0.7661,0.874,1.141,0.7639,0.4483,0.5836,0.5869,0.764,1.3018,0.8186,0.7369,-13.4058,0.9002,-16.3764,-18.1912,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.8481,0.8615,0.8856,1.0281,0.0038,7.9924,0.5792,0.2931,0.3912,0.1507,0.3274,0.5872,1.1271,8.5982,2.9323,10.236,-0.347,2.2233,1.4873,1.2195,6.3013,0.0959,8.7597,3.1404,1.7721,6.6579,0.3182,0.507,0.1287,0.2538,2.4044,1.6547,0.6882,5.7812,2.7379,0.4736,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.0632,12.8235,0.6957,-0.9117,-0.8404,-27.3416,55.0787,7.4215,43.6875,?,-16.329,11.6385,3.4115,26.3125,?,-34.9909,118.9864,10.9081,44.5,?,1.6744,0.7814,0.4667,2.1754,0.6804,0.3128,4.7325,0.4629,0.0978,1.6603,0.9817,0.5913,1,1,1,1.6603,0.9817,0.5913,0.3286,78.6615,0.6521,-0.911,-0.6458,DAVANTI_PANTALONI
-1.5346,2.1918,1.4805,4.6046,-16.5587,0.3369,0.8453,0.9194,4.2149,-0.449,0.5995,4.084,2.0209,8.3219,-0.9341,2.7289,2.5018,1.5817,4.8776,0.0714,-4.5556,-2.5597,-0.5623,0.5619,0.1234,0.2197,1.6103,0.7326,0.936,0.4549,0.5813,1.2777,2.593,0.5367,0.8761,0.207,0.3379,1.6324,3.3249,1.0804,-11.5868,0.3249,-3.4849,-10.7246,0.0902,0.0609,0.0499,0.6761,0.5538,0.8192,1.0924,0.5533,0.944,0.5065,0.8641,1.7061,0.051,4.0344,0.0456,-0.3642,-0.7279,0.5019,0.1684,0.4385,1.7046,3.268,1.8078,6.0684,-0.0127,2.4647,0.1044,0.3232,0.9922,0.6561,8.3302,0.7627,0.8733,3.9707,0.6004,0.6916,0.2046,0.2959,5.594,2.07,0.37,31.2925,4.2849,0.1369,-0.0402,-0.0128,0.3173,2.0772,0.6031,0.2903,6.1161,1.5283,0.2499,0.0676,12.5141,-0.9122,-0.8181,0.7442,6.697,380.8897,19.5164,62.9375,-1.7589,-35.0167,11.6081,3.4071,40.6875,?,-31.7877,22.4024,4.7331,35.375,?,-0.1913,-0.2107,1.1016,5.7282,4.1234,0.7198,32.8124,17.0022,0.5182,0.9862,1.1343,1.1502,0,0,1,1.5469,1.7792,1.1502,0.3646,85.7257,0.8629,-0.7713,-0.3653,DAVANTI_PANTALONI
0.2435,0.3348,0.5787,2.7356,-0.4473,-0.7039,9.5544,3.091,12.7511,-0.9017,-0.6728,7.6128,2.7591,11.5549,-0.6657,3.8697,3.5348,1.8801,9.2982,0.038,-0.346,-0.3619,0.0629,1.0461,-0.1819,-0.1739,0.1872,0.2097,0.3078,1.1203,1.6441,1.4675,0.035,0.044,0.0947,1.255,2.703,2.1537,0.1398,0.1831,-2.3037,1.3093,-16.474,-12.5822,0.2819,0.2725,0.1956,0.9665,0.6937,0.7177,0.2145,0.2367,0.2942,1.1035,1.3713,1.2427,0.0066,5.8215,0.5114,0.3982,-0.0458,0.9889,0.1383,0.1575,-5.6306,0.0326,0.1807,5.9308,?,7.8455,0.0248,0.1576,0.5809,0.9286,1.6887,0.0715,0.2674,0.8377,0.6039,-0.7177,-3.3343,4.6459,1.1467,0.6756,0.5892,1.3148,0.4565,0.3472,-0.7847,-4.6433,5.9176,0,0,3.8485,10.209,7.0802,0.6935,0.0649,15.1648,0.9357,-0.3002,-0.616,4.8743,1.1092,1.0532,4.3,0.3488,-41.2974,0.8272,0.9095,42.8177,?,-22.9706,2.9555,1.7192,25.6384,?,-0.118,-0.2122,1.7978,1.158,0.6126,0.529,1.341,0.3753,0.2799,-0.0538,-0.0898,1.6701,0,0,1,0.1004,0.1677,1.6701,0.3146,69.1423,0.6016,-0.3319,-0.8914,DAVANTI_PANTALONI
-0.4189,1.8726,1.3684,5.6957,-1.617,-0.7184,3.3295,1.8247,10.3213,-3.5322,0.2695,3.0279,1.7401,7.6495,-0.3258,2.4406,3.0376,1.7429,9.3448,0.0177,0.5831,-1.5546,-0.1717,-2.6659,-0.2944,0.1104,0.7499,0.7864,0.7852,1.0486,1.047,0.9984,0.5624,0.6184,0.6165,1.0996,1.0961,0.9968,0.4375,1.8722,-20.8667,4.2792,-47.6944,-11.1457,0.9557,0.3772,0.2288,0.3947,0.2394,0.6065,0.5518,0.7446,0.6095,1.3493,1.1045,0.8186,0.0058,3.7923,0.6371,-0.1612,-0.4398,-0.609,-0.7965,0.7609,7.0284,0.357,0.5975,2.1745,0.7399,-6.7662,0.456,0.6753,7.6126,?,0.3883,0.092,0.3034,1.5744,-0.1916,-1.0387,18.1004,-17.4252,0.8849,1.9697,2.226,0.783,3.8797,4.955,-0.8125,-24.4347,30.0745,0,6.3267,0,0.2856,1.3812,4.8351,0.0647,14.2113,0.9912,0.2951,0.3788,-30.4795,34.9062,5.9081,45.9345,?,27.8645,43.5327,6.5979,28.4002,0.1978,15.9397,6.7107,2.5905,14.3517,0.2634,-1.0938,-1.9122,1.7481,0.8955,2.2807,2.547,0.8018,5.2016,6.4871,-6.561,-8.9519,1.3644,0,0,1.817,1.6174,3.2006,1.9789,0.2932,74.2837,0.9766,0.7052,0.702,DAVANTI_PANTALONI
0.7382,3.4273,1.8513,9.175,-0.7842,-1.963,15.5381,3.9418,28.9527,-0.6332,-0.1891,14.8341,3.8515,23.2221,-0.4616,5.3141,9.994,3.1613,22.9512,0.0382,-0.3761,-3.9031,0.1389,10.3789,-0.3694,-0.0356,0.4697,0.4807,0.5856,1.0235,1.2469,1.2183,0.2206,0.231,0.3429,1.0475,1.5547,1.4843,0.3593,0.5499,-4.42,1.5306,-12.3033,-8.0384,0.2901,0.3237,0.2155,1.1158,0.7429,0.6658,0.3169,0.3951,0.3998,1.2468,1.2615,1.0118,0.0075,8.0447,-0.6156,0.0969,0.2207,0.0893,-0.3213,0.2958,7.1034,4.24,2.0591,8.9268,0.0565,1.8417,12.8883,3.59,11.4372,-0.3307,2.6404,18.2026,4.2665,12.7503,-0.4445,3.8571,2.6903,0.6975,0.5736,0.4826,0.8415,0.329,0.2329,0.708,-0.188,-0.1362,0.7244,1.1008,1.0718,0.9737,0.7805,0.7001,0.897,0.0279,14.8012,-0.3966,-0.2538,-0.7191,-25.3145,180.3972,13.4312,45.5399,-26.1072,4.6032,112.9441,10.6275,42.4179,-1.0316,-24.0776,205.4864,14.3348,42.2989,-12.0575,-5.4993,1.0514,-0.1912,1.2638,0.937,0.7414,1.5972,0.8779,0.5496,2.0363,1.1229,0.5514,0.0805,0.5186,6.4451,1.0736,1.0766,1.0028,0.1259,60.1049,0.6477,-0.8888,-0.8472,DAVANTI_PANTALONI
-0.3194,0.1574,0.3967,1.4568,-3.055,-0.3203,1.4258,1.1941,6.2937,-0.9165,-0.0277,0.9529,0.9762,5.1308,-0.6119,1.334,0.962,0.9808,4.5702,0.0055,0.9971,11.5401,-0.2394,11.5737,-0.2401,-0.0207,0.3323,0.4064,0.4045,1.2232,1.2174,0.9952,0.1104,0.1652,0.1636,1.4963,1.4821,0.9905,0.3647,0.5635,-43.3986,1.5452,-119.0097,-77.0175,0.1094,0.1129,0.0782,1.0317,0.7146,0.6927,0.2315,0.2839,0.3188,1.2267,1.3771,1.1227,0.0016,2.04,-0.0902,-0.2704,-0.384,0.9753,-0.031,0.0525,7.3633,0.0036,0.0602,0.2574,0.9655,6.3643,0.0044,0.0661,0.2741,0.9582,-1.1953,0.0109,0.1046,1.342,?,1.157,-6.1604,-5.3246,0.9098,0.5752,0.6322,0.8277,0.3308,0.3997,1.1461,-5.3593,-4.6763,1.1374,0,0,0.9391,0.1918,0.2042,0.0354,14.9229,-0.9575,0.3006,-0.0212,-12.1454,0.4439,0.6663,13.3194,?,-37.8647,0.3714,0.6094,38.6398,?,19.0354,2.1721,1.4738,5.0995,0.769,0.3208,-0.638,-1.9892,1.0933,0.4521,0.4135,1.1952,0.2044,0.171,0.3447,-0.7844,-2.2756,1,0,0,0.3447,2.6119,7.5772,0.1592,69.0454,0.7985,0.857,0.8822,DAVANTI_PANTALONI
0.2337,4.2604,2.0641,11.2868,-0.6289,-0.0625,29.4655,5.4282,30.0425,-0.7053,0.3982,23.6836,4.8666,26.2549,-0.7935,6.7076,12.6344,3.5545,17.8968,0.0732,-3.7389,0.5868,0.0348,-0.157,-0.0093,0.0594,0.3802,0.4241,0.5807,1.1154,1.5271,1.3691,0.1446,0.1799,0.3372,1.2441,2.3322,1.8745,0.3507,0.3751,-3.0815,1.0696,-8.7865,-8.2145,0.3933,0.4733,0.3588,1.2035,0.9123,0.758,0.3757,0.4299,0.6307,1.1443,1.6786,1.467,0.0017,9.7064,0.0993,-0.1471,-0.0145,0.3092,0.1959,0.3477,7.3651,3.2715,1.8087,6.9137,0.2612,3.246,14.8018,3.8473,12.5618,-0.3234,2.0615,9.099,3.0165,9.2661,-0.2391,2.269,3.5726,1.5745,0.4701,0.5996,1.2754,0.221,0.3595,1.6268,-0.7963,-1.3674,1.7172,0.9859,1.2514,1.2693,0.5504,0.7461,1.3557,0.0298,14.1843,-0.4934,0.1583,-0.914,-36.3913,155.6837,12.4773,51.7197,?,9.7936,220.7405,14.8573,56.8771,-0.848,-18.8711,140.5423,11.8551,33.4198,?,-3.7158,1.9284,-0.519,0.8398,1.0525,1.2532,0.7053,1.1077,1.5706,1.9817,1.5476,0.7809,0,1,0,0.9093,1.5476,1.7019,0.1511,70.4418,0.8045,-0.9071,-0.8303,DAVANTI_PANTALONI
