@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.209,6.3846,2.5268,14.4644,-1.2126,-0.9944,8.5142,2.9179,13.053,-2.0814,-0.5299,8.3584,2.8911,12.6601,-1.1969,4.3277,5.8416,2.4169,11.4253,0.0441,0.2102,0.3944,-0.0483,1.8764,-0.2298,-0.1225,0.866,0.874,1.0454,1.0093,1.2073,1.1962,0.7499,0.7639,1.093,1.0186,1.4575,1.4309,0.8991,1.1493,-15.0235,1.2783,-16.7096,-13.0718,1.5432,1.1344,0.5469,0.7351,0.3544,0.4821,1.1081,1.1425,1.266,1.031,1.1425,1.1081,0.0079,6.7247,0.8357,-0.0265,-0.3903,0.4129,-0.6267,-0.2035,-0.0894,0.0325,0.1804,0.6853,-16.1183,-0.2039,0.001,0.0316,0.2711,?,-0.8784,0.0091,0.0956,0.9313,?,0.4385,0.1018,0.2322,5.7112,1.8857,0.3302,32.6176,3.556,0.109,2.38,0.6929,0.2911,0,0,1,2.5277,0.7359,0.2911,0.0062,1.1887,-0.0692,-0.964,0.2857,DAVANTI_PANTALONI
1.4955,3.8275,1.9564,6.2227,-0.1141,-0.7051,6.2024,2.4905,11.1126,-1.1325,0.4273,9.3319,3.0548,12.6746,-0.7795,3.8184,7.6977,2.7745,8.1481,0.0456,-2.1211,3.4998,0.3917,-1.65,-0.1847,0.1119,0.7856,0.6404,0.7051,0.8153,0.8976,1.101,0.6171,0.4102,0.4972,0.6646,0.8057,1.2123,0.108,0.1148,-1.6364,1.063,-15.1475,-14.2502,1.0718,0.7841,0.6542,0.7316,0.6104,0.8343,0.56,0.491,0.7637,0.8768,1.3638,1.5555,0.0517,5.9434,-0.3272,-0.0187,0.8784,0.3513,-0.2366,0.279,0.1013,0.0006,0.0251,0.1092,0.1481,-0.1886,0.0546,0.2336,0.734,?,-0.0533,0.0033,0.0576,0.2451,-1.3009,-0.5371,-1.8996,3.5367,0.1076,0.4365,4.0561,0.0116,0.1906,16.4522,-0.0259,-0.137,5.2977,0,1.2037,0,0.1488,0.4457,2.9953,0.0017,0.3559,0.3123,-0.0675,-0.3634,DAVANTI_PANTALONI
-0.2651,0.4475,0.6689,2.7975,-0.7689,-0.481,3.9443,1.986,6.9414,-0.7511,-0.2741,3.5047,1.8721,6.9919,-0.6703,2.5615,1.7118,1.3084,5.506,0.0482,0.5512,0.9672,-0.1035,1.7549,-0.1878,-0.107,0.3368,0.3573,0.5113,1.0609,1.5179,1.4308,0.1134,0.1277,0.2614,1.1254,2.3041,2.0473,0.4084,0.4334,-4.3649,1.0611,-10.6878,-10.0721,0.399,0.3778,0.2734,0.947,0.6853,0.7236,0.403,0.4001,0.5081,0.9928,1.2607,1.2699,0.0041,4.0097,0.6055,0.4408,0.0151,0.9711,0.3374,0.3677,0.6505,0,0.0036,0.0182,0.9723,0.0373,0.0004,0.0199,0.0605,0.0319,-0.5188,0.0009,0.0306,0.564,?,17.4293,-1.2537,-0.0719,0.1811,0.1182,0.6526,0.0328,0.014,0.4259,320.0596,-1.1312,-0.0035,10.4953,0,0,0.3006,0.0323,0.1073,0.0056,1.2067,-0.1265,-0.5113,0.7971,DAVANTI_PANTALONI
0.0595,2.9859,1.728,7.598,-1.1526,-0.1228,2.7229,1.6501,6.8712,-1.4009,-0.3038,8.0179,2.8316,12.6044,-1.6305,3.3779,2.4274,1.558,7.1237,0.1097,-0.4843,-0.1957,0.0176,0.4042,-0.0363,-0.0899,1.0472,0.6103,1.1091,0.5828,1.0591,1.8174,1.0966,0.3724,1.2301,0.3396,1.1217,3.3031,1.0147,0.5207,-4.6359,0.5132,-4.5687,-8.9029,1.2334,0.7367,0.4411,0.5973,0.3577,0.5989,1.1058,0.6028,1.0666,0.5451,0.9646,1.7694,0.0022,5.1761,-0.7942,-0.5637,-0.036,0.3891,-0.2921,-0.1388,0.2235,0.0062,0.0785,0.2636,0.3596,-0.074,0.0349,0.1869,0.4913,-6.3777,0.5797,0.0119,0.109,0.3201,0.5712,-3.0212,0.3855,-0.1276,0.42,0.7198,1.7139,0.1764,0.5181,2.9376,-0.3485,0.3471,-0.996,6.1801,0.5513,0.0892,0.5365,0.8235,1.5351,0.0041,0.9423,-0.9598,0.9249,-0.8636,DAVANTI_PANTALONI
-0.6423,6.1897,2.4879,16.6856,-2.0435,-2.7052,43.4417,6.591,36.3991,-1.5964,0.174,21.5964,4.6472,22.6178,-0.5489,6.195,40.6104,6.3726,22.3192,0.0107,0.2374,-3.6905,-0.1037,-15.543,-0.4367,0.0281,0.3775,0.5354,0.3904,1.4183,1.0343,0.7292,0.1425,0.2866,0.1524,2.0115,1.0697,0.5318,0.5006,1.3978,-46.5258,2.7923,-92.9421,-33.2848,0.3911,0.3754,0.243,0.96,0.6214,0.6473,0.4584,0.7377,0.7476,1.6093,1.6308,1.0134,0.0191,9.0009,0.3166,-0.4072,-0.4498,0.2875,-0.7215,0.1977,0.1571,0.0283,0.1681,0.707,-1.4597,-0.1579,0.0371,0.1926,0.6208,?,-0.1945,0.0126,0.1123,0.47,-1.5843,-0.9952,-0.8078,0.8117,0.8725,1.4963,1.7149,0.7613,2.2389,2.9409,0.6758,1.4563,2.1548,0,1.5805,0,1.1388,1.5043,1.321,0.002,0.5906,0.867,-0.8879,-0.769,DIETRO_PANTALONI
0.643,8.6533,2.9416,15.7921,-0.8029,-2.7352,35.097,5.9243,27.5266,-3.0671,-0.1192,20.1988,4.4943,21.698,-0.6408,6.5088,29.4942,5.4309,24.7648,0.016,-0.2351,-5.3937,0.0988,22.9448,-0.4202,-0.0183,0.4965,0.6545,0.5417,1.3182,1.0909,0.8276,0.2466,0.4284,0.2934,1.7376,1.19,0.6848,0.3388,0.8299,-17.4202,2.4496,-51.4197,-20.9907,1.2942,0.6624,0.348,0.5118,0.2689,0.5254,0.5737,0.7278,0.6377,1.2686,1.1115,0.8762,0.0195,10.1557,-0.5983,0.0708,0.4213,-0.2242,-0.8137,0.4875,0.2036,0.0437,0.209,0.9547,-0.7238,0.1892,0.0371,0.1927,0.8681,-0.7997,0.7558,0.149,0.386,1.7365,-0.9345,1.076,0.2694,0.2503,1.0845,0.5415,0.4993,1.176,0.2932,0.2493,1.0392,0.4779,0.4599,1.1482,0.617,0.5374,1.0998,0.5498,0.4999,0.0056,1.3336,-0.8863,0.4838,-0.2224,DIETRO_PANTALONI
-0.7152,13.0586,3.6137,21.7549,-2.1949,-2.5271,50.1417,7.0811,36.6368,-1.4487,0.0637,36.5255,6.0436,30.365,-0.4525,7.5928,48.976,6.9983,24.8519,0.0176,0.283,-11.223,-0.0942,-39.656,-0.3328,0.0084,0.5103,0.5979,0.5164,1.1717,1.0118,0.8636,0.2604,0.3575,0.2666,1.3728,1.0238,0.7458,0.6895,1.5799,-33.6512,2.2913,-48.8034,-21.2991,0.4551,0.3257,0.2692,0.7157,0.5915,0.8264,0.5938,0.7164,0.8754,1.2065,1.4742,1.2218,0.018,11.2548,0.5012,-0.3918,-0.5292,0.3552,-0.4126,0.4196,0.2312,0.0667,0.2582,0.8596,-1.1288,-0.2097,0.0225,0.1501,0.5842,?,-0.1972,0.0119,0.109,0.5286,-1.9395,-1.1023,-1.1722,1.0635,1.7198,2.3685,1.3772,2.9577,5.6096,1.8966,0.7803,1.3068,1.6748,0,2.2454,0,1.4716,1.6261,1.105,0.0025,0.7576,0.7041,-0.7157,-0.0645,DIETRO_PANTALONI
0.1889,12.3428,3.5132,21.9074,-1.3285,-2.628,31.6615,5.6269,29.7469,-6.0944,0.4506,31.0952,5.5763,28.1504,-0.4197,6.065,45.4608,6.7425,31.3833,0.0143,-0.0719,0.4191,0.0311,-5.8317,-0.4333,0.0743,0.6244,0.63,0.5211,1.0091,0.8345,0.827,0.3898,0.3969,0.2715,1.0182,0.6965,0.684,0.4891,1.5019,-27.4382,3.0706,-56.0967,-18.2687,2.2438,0.4745,0.2955,0.2115,0.1317,0.6228,0.7365,0.7782,0.6981,1.0567,0.9479,0.897,0.0183,9.3505,-0.2545,-0.3382,0.1335,-0.5843,-0.8978,0.6733,0.1503,0.0058,0.0761,0.3946,-0.1309,-0.0669,0.0292,0.1709,0.6267,-14.0184,0.3881,0.0055,0.0743,0.4065,0.4282,-2.2475,0.3871,-0.1722,0.4453,1.0241,2.2998,0.1983,1.0487,5.2891,0.0781,-0.15,-1.9215,8.3619,0.4908,0.0587,0.6296,0.9707,1.5416,0.0029,0.6359,-0.0851,-0.1669,-0.8443,DIETRO_PANTALONI
-0.8136,6.7717,2.6023,18.388,-0.7301,-1.5507,11.7319,3.4252,21.1833,-0.931,0.4745,12.9031,3.5921,23.7217,-0.402,5.0058,9.64,3.1048,16.9707,0.0443,0.5247,-1.7146,-0.1625,-3.2681,-0.3098,0.0948,0.7597,0.7244,0.8381,0.9535,1.1032,1.1569,0.5772,0.5248,0.7025,0.9092,1.217,1.3385,0.7597,1.1408,-9.854,1.5015,-12.97,-8.638,0.9689,0.6282,0.5985,0.6484,0.6177,0.9528,0.868,0.7752,1.0835,0.893,1.2482,1.3978,0.013,7.4177,0.5398,-0.0727,-0.2625,0.1894,-0.093,0.382,-0.1374,0.0056,0.0745,0.2778,?,-0.5001,0.0144,0.1201,0.6635,?,-0.4322,0.031,0.1762,0.6957,?,0.2747,0.3179,1.1572,0.6206,0.4231,0.6818,0.3852,0.179,0.4648,0.4187,0.3993,0.9537,1,1,1,0.4187,0.3993,0.9537,0.0048,1.0697,-0.5964,-0.3683,0.4086,DAVANTI_PANTALONI
0.2137,0.9708,0.9853,4.0168,-0.388,-0.5547,1.4917,1.2213,5.2427,-1.2736,-0.1032,1.1527,1.0737,5.5219,-0.7247,1.7691,0.8496,0.9217,3.587,0.0077,-0.3852,-2.0712,0.1208,5.3771,-0.3136,-0.0583,0.8067,0.9177,1.0689,1.1375,1.325,1.1648,0.6508,0.8422,1.1427,1.294,1.7557,1.3568,0.3823,0.4839,-40.4545,1.2657,-105.8112,-83.5971,1.2551,0.9039,0.8006,0.7202,0.6379,0.8857,0.7662,0.7274,1.1198,0.9494,1.4616,1.5394,0.0043,2.5799,0.3999,-0.1333,0.4035,0.6992,0.129,0.2074,-0.0424,0.0161,0.1268,0.3746,-0.904,-0.7322,0.0004,0.0207,0.7579,?,-0.4584,0.0078,0.0881,0.5625,?,0.0579,0.0924,1.5975,6.1134,1.4389,0.2354,37.3735,2.0704,0.0554,0.2347,0.3162,1.3474,0,0,1,0.4943,0.666,1.3474,0.0062,1.3118,-0.6971,0.9923,-0.6986,DAVANTI_PANTALONI
