@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
2.3862,8.3648,2.8922,15.2726,-0.7492,4.4363,15.1819,3.8964,24.5196,-0.2328,-1.2165,21.1552,4.5995,22.1221,-0.6859,7.5948,13.8754,3.725,21.3016,0.0689,0.5379,-1.9616,0.3142,-3.6468,0.5841,-0.1602,0.7423,0.6288,0.7764,0.8471,1.046,1.2348,0.551,0.3954,0.6028,0.7176,1.0942,1.5247,1.4126,0.7268,-4.1517,0.5145,-2.939,-5.7121,0.439,0.6654,0.3817,1.5157,0.8694,0.5736,0.6229,0.6904,0.717,1.1084,1.1511,1.0385,0.1103,11.7214,0.5831,-0.5575,0.2274,-0.145,0.6244,0.2159,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DAVANTI_PANTALONI
0.9051,4.7527,2.1801,8.0702,-0.5994,2.1577,12.222,3.496,12.6154,-0.3515,0.5226,3.9628,1.9907,8.2825,-1.4652,4.598,5.5438,2.3545,10.1385,0.0478,0.4195,1.7319,0.1968,4.1289,0.4693,0.1137,0.6236,1.0951,0.9259,1.7562,1.4848,0.8455,0.3889,1.1993,0.8573,3.0842,2.2046,0.7148,0.9218,0.6144,-5.939,0.6665,-6.443,-9.6664,0.5406,1.5018,0.4739,2.7782,0.8766,0.3155,0.6397,0.9744,0.796,1.5231,1.2443,0.8169,0.0499,6.973,0.9047,-0.0536,0.6772,-0.1284,0.7968,-0.2319,6.4722,0.7067,0.8406,2.5394,0.6723,-2.9282,0.2902,0.5387,3.738,?,-6.6252,0.4976,0.7054,8.1311,?,-2.2102,-0.9769,0.442,1.5605,1.1917,0.7637,2.4353,1.4203,0.5832,-1.3939,-0.6408,0.4597,0,0,1,0.6793,0.3123,0.4597,0.2024,16.0256,0.4056,0.9715,0.202,DAVANTI_PANTALONI
0.6172,0.2224,0.4716,1.7678,-0.108,-4.3629,3.2517,1.8033,8.9362,?,1.9504,1.3118,1.1453,5.0556,-0.3208,5.051,2.4929,1.5789,6.6196,0.2754,-0.1415,0.3165,0.1222,-2.237,-0.8638,0.3861,0.2615,0.4118,0.2987,1.5744,1.1421,0.7254,0.0684,0.1696,0.0892,2.4788,1.3044,0.5262,0.0193,0.1403,-0.0685,7.278,-3.5526,-0.4881,0,0.4168,0.1747,0,0,0.419,0.1978,0.3497,0.2671,1.7676,1.35,0.7637,0.1095,7.0222,-0.0672,-0.0789,0.1225,0.15,-0.9461,0.1325,4.0197,1.4581,1.2075,3.6328,0.3588,3.3388,0.0682,0.2612,0.7715,0.7903,6.3624,2.581,1.6065,4.9629,0.4095,1.2039,0.6318,0.5248,4.6232,0.7516,0.1626,21.3737,0.565,0.0264,0.6991,0.5908,0.8451,1.5398,0.6742,0.4378,4.7089,0.732,0.1555,0.1871,13.7209,0.9416,-0.9646,-0.8364,DAVANTI_PANTALONI
0.4528,0.3869,0.622,3.8526,-0.1401,-2.0528,6.5758,2.5643,9.8499,-18.0479,0.1027,0.7014,0.8375,4.4836,-0.5554,2.2862,6.8669,2.6205,9.5577,0.0094,-0.2206,4.4088,0.1981,-19.9858,-0.8979,0.0449,0.2426,0.7426,0.2374,3.0618,0.9786,0.3196,0.0588,0.5515,0.0563,9.3748,0.9576,0.1021,0.0507,0.2958,-5.2172,5.8294,-102.8342,-17.6405,6.5345,1.1722,0.3502,0.1794,0.0536,0.2988,0.3911,0.8592,0.4031,2.1969,1.0306,0.4691,0.0413,3.1001,-0.7404,0.0638,0.7615,0.0359,-0.9953,0.0033,2.3579,0.2977,0.5456,2.1967,0.4779,6.0119,0.2452,0.4952,2.0319,0.6821,-7.3457,0.0302,0.1738,7.7157,?,0.3922,-0.321,-0.8184,1.1018,3.1392,2.8491,1.214,9.8545,8.1176,0.4613,-0.2606,-0.565,0.6583,0,0,1.0811,0.2847,0.2633,0.1918,15.7156,-0.9949,-0.904,0.9396,DAVANTI_PANTALONI
0.0076,0.0105,0.1027,0.424,-1.3188,-0.0209,0.0473,0.2175,1.1648,-0.8866,-0.0027,0.0129,0.1136,0.5084,-0.7055,0.2383,0.0145,0.1202,0.6388,0.0697,-0.3633,-2.8507,0.0319,7.8473,-0.0878,-0.0112,0.4721,0.9042,0.8541,1.9153,1.8091,0.9446,0.2229,0.8177,0.7295,3.6683,3.273,0.8922,0.4405,1.1468,-5.0374,2.6032,-11.4348,-4.3926,0.2962,0.6135,0.2663,2.0714,0.8992,0.4341,0.364,0.8341,0.6638,2.2914,1.8236,0.7958,0.0004,0.3527,-0.4159,-0.0572,0.026,0.4817,0.0069,0.1671,-7.9745,0.0002,0.013,7.9965,?,5.3924,0.0004,0.019,0.0724,0.9867,1.8882,0,0.0031,0.0132,0.993,-1.4788,-4.2233,2.8559,0.6871,4.1457,6.0335,0.4721,17.1865,36.4031,-1.4911,-4.2546,2.8533,0,0,2.8717,110.3742,607.0559,5.5,0.1962,15.2551,0.9894,0.1399,0.2403,DAVANTI_PANTALONI
-1.7923,2.2316,1.4939,5.0484,-3.324,-1.9399,5.8499,2.4187,10.6919,-3.7779,1.9865,13.7188,3.7039,12.8362,-0.5656,4.7404,10.2502,3.2016,10.2912,0.0405,0.9239,-0.9022,-0.3781,-0.9765,-0.4092,0.4191,0.6176,0.4033,0.4666,0.653,0.7555,1.1569,0.3815,0.1627,0.2177,0.4264,0.5707,1.3384,0.4591,0.8369,-8.9448,1.8232,-19.4853,-10.6875,0.5217,0.1424,0.1089,0.2729,0.2086,0.7645,0.4722,0.3933,0.4906,0.833,1.0389,1.2473,0.0648,7.5856,0.8061,-0.5055,-0.8363,-0.4175,-0.8262,0.7361,6.0985,8.7186,2.9527,8.2913,0.1461,2.3545,0.5776,0.76,2.3521,0.328,5.1574,17.603,4.1956,12.0531,-0.2755,2.5902,1.1825,0.4565,3.885,0.7038,0.1811,15.0935,0.4953,0.0328,1.2358,-0.5448,-0.4409,2.7743,1.0275,0.3704,3.5251,0.6879,0.1951,0.1633,14.2514,-0.6726,-0.9213,0.8592,DAVANTI_PANTALONI
3.1293,3.7961,1.9484,8.2179,0.0851,-0.005,5.2467,2.2906,10.5884,-2.5952,2.039,9.9717,3.1578,11.266,-0.6864,5.1548,6.3927,2.5284,9.8601,0.1185,-630.1141,1.5347,0.6071,-0.0024,-0.001,0.3956,0.8506,0.617,0.7706,0.7254,0.9059,1.2489,0.7235,0.3807,0.5938,0.5262,0.8207,1.5598,-0.1,-0.1667,0.5766,1.6668,-5.7643,-3.4583,3.0499,1.3446,0.803,0.4409,0.2633,0.5972,0.7761,0.7294,0.8335,0.9399,1.0739,1.1426,0.0732,8.1392,-0.2254,0.6513,0.8481,0.3551,-0.2835,0.6356,4.307,1.1193,1.058,3.1448,0.4114,8.3528,0.1826,0.4273,1.4333,0.8411,0.0142,6.6132,2.5716,8.2094,-0.7875,0.5156,303.6249,588.8399,2.476,0.4114,0.1662,6.1304,0.1692,0.0276,0.2897,-0.6078,-2.0982,0.5922,1.1633,1.9643,2.1942,0.3831,0.1746,0.1843,14.949,-0.7268,-0.923,0.8391,DAVANTI_PANTALONI
0.0097,0.0099,0.0995,0.3337,-1.2353,-0.0515,0.0203,0.1426,0.5103,-1.4978,-0.0077,0.0042,0.0645,0.275,-1.1604,0.1809,0.0045,0.067,0.3269,0.1051,-0.1884,-1.2567,0.0537,6.6701,-0.2849,-0.0427,0.6976,1.5413,1.4854,2.2096,2.1295,0.9638,0.4866,2.3756,2.2065,4.8822,4.5347,0.9288,0.6026,1.2485,-4.8049,2.072,-7.9741,-3.8485,0.7306,1.1728,0.4087,1.6052,0.5594,0.3485,0.6538,1.2135,1.0208,1.8559,1.5613,0.8413,0.0011,0.2684,0.1271,0.0315,-0.2295,-0.39,-0.5402,0.3246,-7.7242,0,0.004,7.7329,?,5.9035,0,0.0051,0.0187,0.9968,-1.2866,0.0001,0.0104,1.3035,?,-1.3084,6.0035,-4.5883,0.7836,0.3806,0.4856,0.6141,0.1448,0.2359,-1.3124,5.9325,-4.5203,0,1,0,413.0814,5.9325,0.0144,0.1961,14.9143,0.7569,-0.2987,0.153,DAVANTI_PANTALONI
0.6006,35.2574,5.9378,24.2267,-1.2184,-4.2312,23.2597,4.8228,19.5829,-4.2413,2.6044,40.8419,6.3908,20.5452,-0.2733,10.4563,15.0724,3.8823,13.2592,0.2776,-0.142,0.2306,0.0574,-1.6246,-0.4047,0.2491,1.2312,0.9291,1.5294,0.7547,1.2423,1.6461,1.5158,0.8633,2.3392,0.5695,1.5432,2.7097,0.8397,3.0173,-2.6114,3.5934,-3.11,-0.8655,2.9229,0.6768,0.595,0.2316,0.2036,0.8791,1.2371,1.1792,1.8272,0.9532,1.4769,1.5495,0.0981,15.1085,0.5476,-0.5499,-0.736,0.1393,-0.6831,0.4927,3.952,24.4058,4.9402,13.7617,-0.4322,5.9701,10.5073,3.2415,8.5927,0.0896,2.0881,5.6277,2.3723,7.6483,-0.4087,0.662,1.8926,2.8591,1.5241,2.0825,1.3664,2.3228,4.3367,1.8671,-4.9135,1.8715,-0.3809,1.0181,1.7698,1.7384,1.6016,1.7993,1.1235,0.1462,13.5219,-0.9321,-0.1668,0.12,DAVANTI_PANTALONI
-0.0078,0.0116,0.1077,0.4438,-1.377,0.0018,0.0415,0.2038,1.0465,-1.7792,0.018,0.0159,0.1262,0.6074,-0.8417,0.2327,0.0153,0.1235,0.7198,0.0646,-4.2799,-0.4331,-0.0335,0.1012,0.0078,0.0773,0.5284,0.8535,0.8716,1.6152,1.6494,1.0212,0.2792,0.7285,0.7597,2.6088,2.7206,1.0428,0.3838,0.9263,-5.1768,2.4135,-13.489,-5.589,0.4959,0.5662,0.2427,1.1418,0.4894,0.4286,0.4241,0.7307,0.6167,1.723,1.454,0.8439,0.0004,0.349,0.2273,-0.1067,-0.3648,-0.6398,-0.3598,0.2534,5.5329,0.0003,0.0183,0.0539,0.9903,-7.6465,0.0001,0.0086,7.6669,?,2.6746,0.0002,0.0143,0.0433,0.984,-0.7236,2.0687,-2.8589,2.1323,1.2814,0.6009,4.5465,1.6419,0.3611,-0.7167,2.0644,-2.8805,0,2.0513,0,0.007,1.2457,177.2281,0.1924,15.854,0.9704,-0.944,-0.9326,DIETRO_PANTALONI
