@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.1699,9.5981,3.0981,17.7056,-0.6736,-0.8177,5.4201,2.3281,10.7964,-1.2502,-0.2849,12.5472,3.5422,21.3911,-1.7742,4.8191,6.4603,2.5417,15.5635,0.0366,-1.4308,-4.107,0.2428,2.8705,-0.1697,-0.0591,1.3307,0.8746,1.2189,0.6572,0.916,1.3936,1.7708,0.765,1.4857,0.432,0.839,1.9422,1.1881,0.5209,-12.0657,0.4385,-10.1558,-23.1618,2.2049,1.372,0.6549,0.6222,0.297,0.4773,1.64,0.8277,1.1376,0.5047,0.6937,1.3744,0.0073,7.2172,-0.5672,0.3034,0.5414,0.2737,-0.2956,0.0351,-0.1075,0.5263,0.7255,4.8049,-1.8897,-0.5847,1.2753,1.1293,6.5358,-5.1137,0.4865,1.4342,1.1976,4.8432,-0.2338,0.1839,-0.221,-1.2019,0.6424,0.6058,0.943,0.4127,0.367,0.8892,0.5748,3.4239,5.957,1.5553,0.4236,0.2723,0.7352,0.9921,1.3495,0.0038,2.0676,0.3367,-0.3288,-0.3814,1.4115,244.8272,15.647,43.4,-1.4943,-8.3347,159.3358,12.6228,37.5775,-0.9745,-29.6203,7.8242,2.7972,36.6577,?,-0.1694,-0.0477,0.2814,1.2396,5.5938,4.5127,1.5365,31.291,20.3645,1.4019,0.7093,0.5059,0.9143,0,0,1.1549,1.1839,1.0251,0.154,58.6262,-0.9305,0.3404,-0.0129,DESTRA_PANTALONI
1.4669,7.9569,2.8208,13.7922,-0.3027,-1.1213,6.7011,2.5886,10.4759,-1.3772,-0.321,11.8048,3.4358,14.638,-0.8357,4.8518,6.435,2.5367,13.7648,0.03,-1.3082,-4.5702,0.3023,3.4934,-0.2311,-0.0662,1.0897,0.821,1.112,0.7534,1.0205,1.3544,1.1874,0.674,1.2365,0.5677,1.0413,1.8345,0.5281,0.4809,-7.5372,0.9107,-14.2732,-15.6723,2.4025,1.3277,0.7461,0.5526,0.3106,0.5619,1.3166,0.9422,1.002,0.7157,0.7611,1.0634,0.0094,7.4017,-0.5743,0.3748,0.7357,0.3016,-0.531,0.3047,-0.1517,0.4711,0.6864,3.4896,-1.1287,-0.4921,0.8131,0.9017,4.4776,-3.0317,0.5947,1.0002,1.0001,3.6058,-0.2618,0.3082,-0.255,-0.8275,0.7612,0.6863,0.9016,0.5794,0.471,0.8129,0.5495,2.4729,4.5,1.476,0.5737,0.3887,0.7793,0.9678,1.2418,0.0039,2.0575,0.3951,-0.4656,-0.4463,-4.505,178.8002,13.3716,37.2,-4.3913,-10.1969,79.097,8.8937,37.0106,-0.8353,-29.5952,6.2217,2.4943,33.38,?,0.4418,0.1522,0.3445,1.5035,5.3608,3.5656,2.2605,28.7383,12.7132,1.7987,0.9077,0.5046,0.3422,0,0,1.0051,1.1144,1.1088,0.1581,53.018,-0.7622,-0.4083,0.8549,DESTRA_PANTALONI
0.3993,1.558,1.2482,6.0124,-0.5904,0.2304,3.6578,1.9125,8.0217,-0.5482,0.0571,13.8603,3.7229,16.8134,-0.824,3.9794,3.4559,1.859,10.1091,0.0998,1.7326,6.9867,0.1003,4.0324,0.0579,0.0144,0.6526,0.3353,0.6714,0.5137,1.0288,2.0027,0.4259,0.1124,0.4508,0.2639,1.0584,4.0107,0.7858,0.2939,-1.9914,0.374,-2.5342,-6.7765,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7495,0.3576,0.5948,0.4771,0.7935,1.6632,0.0023,5.8628,0.393,0.5089,0.3277,0.7557,0.2541,0.3351,0.0131,0.6978,0.8354,5.293,-1.2874,-0.3969,0.676,0.8222,4.3242,-3.0168,-0.0085,0.5769,0.7595,3.9223,-0.8281,-0.033,-1.5339,46.4601,1.0161,1.0999,1.0825,1.0324,1.2097,1.1718,0.9173,1.6767,1.8278,2.1495,1.0785,0.5017,1.2241,1.3495,1.1024,0.002,1.826,0.0235,0.181,-0.3367,3.3735,102.774,10.1377,32.9,-1.812,-17.8857,6.0358,2.4568,24.7817,?,-30.1593,2.0758,1.4408,33.5525,?,-0.1886,-0.1119,0.593,4.1264,7.0364,1.7052,17.0274,49.5114,2.9077,0.8555,0.6318,0.7386,0,0,1,1.3276,0.9806,0.7386,0.1761,57.7626,-0.466,0.3993,-0.8597,DESTRA_PANTALONI
0.1127,2.376,1.5414,10.6028,-0.4266,0.3773,3.2011,1.7892,9.9407,-0.4515,-0.0066,17.6621,4.2026,17.1865,-0.61,4.2416,5.4032,2.3245,11.3875,0.0401,0.2987,-17.0804,0.0266,-57.1806,0.089,-0.0016,0.8615,0.3668,0.6631,0.4257,0.7697,1.808,0.7422,0.1345,0.4397,0.1812,0.5924,3.2688,1.0253,0.4869,-6.6657,0.4749,-6.5012,-13.6905,1.0853,0.6963,0.6265,0.6416,0.5773,0.8998,1.0666,0.6169,0.9311,0.5784,0.8729,1.5092,0.002,5.9486,0.1661,0.2784,0.2292,0.5409,0.3555,0.3068,0.1467,0.9293,0.964,6.5848,-0.5499,-0.2653,0.7795,0.8829,4.8859,-1.9366,-0.152,0.2892,0.5378,2.9503,-1.183,-0.5531,-0.9654,1.7455,1.0919,1.7926,1.6418,1.1922,3.2135,2.6953,0.7251,1.4613,2.0153,2.5535,3.1435,1.2311,1.3477,2.2319,1.6561,0.0017,1.7815,-0.2222,-0.1816,0.1736,-2.4325,74.795,8.6484,31.6,-3.7164,-2.8969,8.3682,2.8928,13.2007,-11.5385,-18.9305,7.7476,2.7835,24.2372,?,0.8397,0.1285,0.153,2.9897,3.1071,1.0393,8.938,9.6539,1.0801,2.0497,1.0273,0.5012,6.3639,0,0,2.3938,1.3038,0.5446,0.0965,28.9743,0.4327,0.8192,0.2578,DESTRA_PANTALONI
1.0136,5.7155,2.3907,10.8928,-0.2478,-0.9119,7.2103,2.6852,12.5851,-1.9722,0.1096,16.9266,4.1142,17.4577,-0.9022,4.997,6.7533,2.5987,10.0972,0.0468,-1.1115,9.246,0.2028,-8.3183,-0.1825,0.0219,0.8903,0.5811,0.92,0.6527,1.0333,1.5832,0.7927,0.3377,0.8463,0.426,1.0677,2.5064,0.259,0.2612,-4.3643,1.0085,-16.8488,-16.7066,2.0617,0.9512,0.8241,0.4614,0.3997,0.8664,0.8655,0.624,1.0788,0.7209,1.2464,1.729,0.0068,7.1975,-0.3683,0.5231,0.5807,0.1909,-0.487,0.306,-0.2074,0.4811,0.6936,3.4363,-1.6513,-0.2711,0.7278,0.8531,4.937,-2.4337,0.5759,1.9079,1.3813,4.9743,-0.138,0.7651,-0.3602,-0.4708,0.813,0.5022,0.6176,0.661,0.2522,0.3815,0.6116,3.5477,5.8003,0.9014,0.2965,0.3289,0.696,0.6908,0.9925,0.0033,1.949,0.4754,-0.6355,-0.4954,-7.885,52.9403,7.276,29.5,-146.4911,-1.1468,71.6815,8.4665,34.9859,-0.2857,-19.2824,5.2898,2.3,22.1671,?,6.8759,0.4089,0.0595,0.8594,3.1635,3.6812,0.7385,10.008,13.5509,3.7687,1.3218,0.3507,0.0074,0,0,0.8432,1.3308,1.5783,0.1043,33.3639,-0.4697,-0.3396,0.9461,DESTRA_PANTALONI
1.2958,7.0865,2.6621,12.5175,-0.283,-1.0391,6.3491,2.5197,9.9719,-0.8503,-0.0462,11.4607,3.3854,14.8349,-0.6475,4.723,5.3505,2.3131,13.1237,0.0519,-1.247,-28.0178,0.2743,22.4681,-0.22,-0.0098,1.0565,0.7863,1.1509,0.7443,1.0893,1.4636,1.1162,0.6183,1.3245,0.554,1.1866,2.142,0.6024,0.4735,-3.8424,0.786,-6.378,-8.1148,1.8104,1.0835,0.7048,0.5985,0.3893,0.6505,1.2553,0.8438,0.9538,0.6722,0.7598,1.1304,0.0083,7.1997,-0.2388,0.5005,0.6763,0.5192,-0.1838,0.3604,-0.206,0.4222,0.6498,2.9385,-1.7625,-0.4066,0.9691,0.9844,4.5128,-1.7193,0.5557,0.9323,0.9655,4.0897,-0.3314,0.5067,-0.3707,-0.7317,0.6601,0.673,1.0196,0.4357,0.4529,1.0396,0.6571,1.8419,2.8031,0.641,0.3463,0.5402,0.6512,0.7185,1.1035,0.0036,2.0119,0.5916,-0.1293,-0.3652,-7.0169,108.7578,10.4287,32.9,-15.0712,-10.5712,151.1611,12.2948,45.2626,-0.7342,-37.4496,15.9728,3.9966,40.7848,?,0.6638,0.1874,0.2823,0.8482,2.6094,3.0763,0.7195,6.8089,9.4637,1.61,0.7565,0.4699,0.0784,0,0,0.7269,0.8067,1.1098,0.1977,60.3185,-0.9238,-0.7854,0.9257,DESTRA_PANTALONI
1.153,18.705,4.3249,27.3836,-0.7566,-1.6055,15.208,3.8997,17.4479,-1.5997,-0.5676,14.5771,3.818,22.4451,-1.3223,6.1311,15.1295,3.8897,17.7683,0.0336,-0.7181,-2.0313,0.1881,2.8287,-0.2619,-0.0926,1.109,1.1328,1.1119,1.0214,1.0026,0.9816,1.23,1.2832,1.2363,1.0433,1.0052,0.9635,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,2.3227,1.6129,0.8479,0.6944,0.365,0.5257,1.5694,1.22,1.5411,0.7774,0.982,1.2632,0.0106,9.4526,-0.6208,0.3577,0.558,0.0242,-0.5278,0.1511,-0.1447,1.2085,1.0993,6.7387,-2.1679,-0.5726,1.3784,1.174,5.8041,-2.9824,0.9051,2.3492,1.5327,6.3478,-0.121,0.2527,-0.1599,-0.6326,0.9363,0.7172,0.766,0.8767,0.5144,0.5867,1.0609,6.7316,6.345,1.4595,0.3756,0.2574,1.161,1.0616,0.9144,0.0056,2.6312,0.3676,-0.5599,-0.3757,0.1078,119.4013,10.9271,32.9376,-2.1735,-5.2769,289.4782,17.0141,54.8996,-0.5722,-38.1534,53.7862,7.3339,43.4387,?,-0.0204,-0.0028,0.1383,0.6422,1.4899,2.3199,0.4125,2.2199,5.382,1.1291,0.5193,0.46,0.2972,0,0,0.6,0.7583,1.2638,0.1985,63.923,-0.6,-0.7063,0.9616,DESTRA_PANTALONI
1.1639,8.1271,2.8508,15.9542,-0.3229,-1.4613,9.8629,3.1405,16.3332,-2.023,-0.2059,12.1632,3.4876,16.9475,-1.0099,5.1134,7.5383,2.7456,12.3855,0.0898,-0.7965,-5.6526,0.2276,7.097,-0.2858,-0.0403,0.9077,0.8174,1.0383,0.9005,1.1438,1.2702,0.824,0.6682,1.0781,0.8109,1.3084,1.6135,0.3563,0.4573,-3.1851,1.2836,-8.9405,-6.9652,2.2321,1.4303,0.8863,0.6408,0.397,0.6196,0.9768,0.9414,1.2881,0.9638,1.3187,1.3683,0.01,7.6896,-0.2797,0.2068,0.618,-0.0083,-0.5382,0.3397,-0.1348,1.0098,1.0049,6.4375,-2.9327,-0.6163,0.8993,0.9483,5.849,-3.8697,0.7233,3.3313,1.8252,7.3882,-0.1831,0.2188,-0.1864,-0.8521,1.0597,0.5506,0.5196,1.1229,0.3031,0.2699,1.0329,4.199,4.0654,1.3629,0.2621,0.1923,1.1006,0.8713,0.7917,0.0051,2.4799,0.4108,-0.2604,-0.3643,-3.4019,109.2466,10.4521,36.6577,-3.9677,-6.9521,157.7142,12.5584,53.5187,-0.441,-40.0259,41.9499,6.4769,44.0994,?,0.4893,0.085,0.1737,0.8323,1.6138,1.939,0.6927,2.6042,3.7596,1.7876,0.6639,0.3714,0.1987,0,0,0.685,0.8313,1.2136,0.2168,60.7889,-0.3981,-0.7227,0.8867,DESTRA_PANTALONI
1.3616,13.0685,3.615,19.206,-0.3442,-1.8018,16.072,4.009,19.0968,-1.449,-0.4317,18.4434,4.2946,19.4485,-1.0907,6.3112,13.0391,3.611,17.8411,0.0664,-0.7557,-3.1541,0.2157,4.1739,-0.2855,-0.0684,0.9017,0.8418,1.0011,0.9335,1.1102,1.1893,0.8131,0.7086,1.0023,0.8714,1.2326,1.4145,0.4353,0.4847,-3.8735,1.1137,-8.8994,-7.9912,1.8323,1.5359,0.7476,0.8382,0.408,0.4868,1.0057,0.9875,1.0765,0.9819,1.0704,1.0901,0.012,9.6494,-0.5219,0.3006,0.7595,0.1271,-0.5845,0.1147,-0.1428,1.3161,1.1472,6.7398,-2.1245,-0.537,1.4466,1.2028,6.3542,-1.94,1.0019,2.0646,1.4369,5.5264,-0.1387,0.266,-0.1426,-0.5359,0.9538,0.7984,0.8371,0.9098,0.6375,0.7007,1.093,6.8062,6.2273,0.998,0.4445,0.4453,1.0607,1.2196,1.1498,0.006,2.7382,0.1796,-0.5123,-0.2423,-14.9888,94.9996,9.7468,37.3199,?,-3.6696,296.2353,17.2115,59.9991,-0.368,-34.8423,200.3024,14.1528,44.4595,?,4.0846,0.4302,0.1053,0.5663,0.6887,1.2161,0.3207,0.4743,1.4789,2.3124,0.8394,0.363,0,1,0,0.622,0.8394,1.3495,0.1995,64.8207,-0.3349,-0.6271,0.9278,DESTRA_PANTALONI
1.3084,8.6716,2.9448,11.9767,-0.1891,-0.6111,1.6331,1.2779,5.2481,-2.639,-0.426,2.3634,1.5373,7.8726,-1.5696,2.8899,6.5832,2.5658,10.0102,0.0479,-2.1411,-3.0716,0.4528,1.4346,-0.2115,-0.1474,2.3044,1.9155,1.1477,0.8313,0.4981,0.5992,5.31,3.6691,1.3172,0.691,0.2481,0.359,0.5004,0.396,-3.7784,0.7914,-7.5508,-9.5406,6.984,3.2876,0.958,0.4707,0.1372,0.2914,2.2821,1.5213,1.1964,0.6666,0.5243,0.7865,0.0087,4.2184,-0.7253,0.029,0.941,0.2012,-0.7107,0.0326,0.0176,0.3357,0.5794,2.9932,-1.0332,-0.939,1.9478,1.3956,6.0891,-12.3979,-0.1823,1.7909,1.3382,5.2559,-0.4529,-0.0187,-0.0966,5.152,0.4152,0.433,1.0429,0.1723,0.1874,1.0876,0.2699,0.9284,3.4392,3.2392,0.407,0.1256,0.4916,0.5695,1.1585,0.0055,2.4584,-0.443,-0.0122,-0.6669,-6.7101,178.084,13.3448,48,-5.0472,-6.7496,10.4571,3.2337,20.8125,-0.8814,-39.6667,122.6884,11.0765,47.375,-27.0741,0.9941,0.1692,0.1702,4.1267,1.2048,0.2919,17.03,1.4515,0.0852,4.109,0.8769,0.2134,0.7175,4.7037,6.5556,2.3063,1.0132,0.4393,0.2344,57.0345,-0.5062,-0.9194,0.7524,DESTRA_PANTALONI
