@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-1.3518,6.8168,2.6109,8.5976,-1.8252,-0.7915,7.704,2.7756,10.3376,-2.1881,11.815,13.5572,3.682,12.4522,0.3263,12.5554,12.4888,3.5339,12.5403,0.3667,1.7078,-0.1144,-0.1077,-0.067,-0.063,0.941,0.9407,0.7091,0.7388,0.7538,0.7854,1.0419,0.8848,0.5028,0.5458,0.5683,0.6169,1.0856,0.7829,-0.9211,-0.7649,-1.1765,-0.9771,0.8305,0.9385,0.1646,0.1537,0.1754,0.1638,0.9334,0.8317,0.6905,0.6856,0.8302,0.8243,0.993,0.2384,16.8221,-0.5167,0.4633,0.3917,-0.8946,-0.8803,0.9917,?,?,?,?,?,DESTRA_PANTALONI
0.2889,10.0249,3.1662,9.5083,-1.9438,-2.7583,7.1679,2.6773,9.2316,-7.3369,11.4906,30.0771,5.4843,17.5448,0.2129,12.3411,34.6934,5.8901,18.7254,0.2218,-0.1047,0.0251,0.0234,-0.2401,-0.2235,0.9311,1.1826,0.5773,0.5375,0.4882,0.4545,0.9311,1.3986,0.3333,0.289,0.2383,0.2066,0.8669,0.7728,-1.323,-1.1762,-1.7119,-1.522,0.8891,2.9169,0.1449,0.1342,0.0497,0.046,0.9263,1.03,0.5419,0.5078,0.5262,0.493,0.9369,0.2364,17.0614,0.6725,-0.8582,-0.8658,-0.8891,-0.8991,0.9988,?,?,?,?,?,DESTRA_PANTALONI
-0.5938,1.6034,1.2662,4.3403,-0.9887,3.7315,2.1778,1.4757,6.3136,0.1297,11.1405,13.3158,3.6491,14.6582,0.254,12.0533,10.2037,3.1943,13.5185,0.3203,-0.1591,-0.0533,-0.0493,0.3349,0.3096,0.9243,0.858,0.347,0.3964,0.4044,0.462,1.1424,0.7362,0.1204,0.1571,0.1636,0.2134,1.305,-2.2926,-0.4325,-0.3388,0.1886,0.1478,0.7834,0.3008,0.1111,0.1097,0.3692,0.3648,0.988,0.6875,0.2961,0.3211,0.4307,0.467,1.0843,0.2353,16.1317,-0.3393,0.4487,0.4387,-0.5935,-0.493,0.9915,?,?,?,?,?,DESTRA_PANTALONI
-0.8062,4.3466,2.0849,10.1005,-1.0251,3.7599,3.2997,1.8165,7.6295,-0.0016,11.6418,23.094,4.8056,17.8628,0.1632,12.5669,23.1314,4.8095,16.6534,0.2725,-0.2144,-0.0693,-0.0642,0.323,0.2992,0.9264,1.1477,0.4338,0.4335,0.378,0.3777,0.9992,1.3173,0.1882,0.1879,0.1429,0.1426,0.9984,409.0674,-1.4674,-0.8195,-0.0036,-0.002,0.5584,0.6548,0.2337,0.2179,0.3568,0.3327,0.9325,1.3239,0.5654,0.6065,0.4271,0.4581,1.0726,0.2452,17.1196,-0.1033,-0.5872,-0.5772,0.3754,0.4838,0.9912,?,?,?,?,?,DESTRA_PANTALONI
-0.2799,2.6354,1.6234,7.6412,-1.2652,-1.2464,35.3671,5.947,19.337,-1.1628,10.8204,17.574,4.1921,14.0571,0.1773,12.7365,12.0715,3.4744,12.29,0.323,0.2245,-0.0259,-0.022,-0.1152,-0.0979,0.8496,0.273,0.3872,0.4672,1.4186,1.7117,1.2066,0.0745,0.15,0.2183,2.0125,2.9298,1.4558,0.4105,-1.4085,-0.7278,-3.431,-1.7728,0.5167,0.3773,0.1974,0.1858,0.5232,0.4925,0.9412,0.3952,0.5436,0.6217,1.3756,1.5734,1.1438,0.2179,17.3733,0.551,0.2157,0.1732,0.7908,0.6474,0.8919,?,?,?,?,?,DESTRA_PANTALONI
-0.7413,4.1794,2.0444,7.3126,-1.9711,0.5865,3.4866,1.8673,8.7676,-1.2975,10.7934,26.9912,5.1953,17.3381,0.1684,11.1847,26.9512,5.1915,17.9279,0.1841,-1.2639,-0.0687,-0.0663,0.0543,0.0524,0.965,1.0949,0.3935,0.3938,0.3594,0.3597,1.0007,1.1987,0.1548,0.1551,0.1292,0.1294,1.0015,0.9798,-1.3815,-1.1996,-1.41,-1.2244,0.8684,0.645,0.118,0.112,0.183,0.1737,0.9489,0.8341,0.4218,0.4079,0.5057,0.489,0.9671,0.2167,13.986,0.674,-0.7263,-0.7389,-0.6256,-0.6254,0.9974,?,?,?,?,?,DESTRA_PANTALONI
-0.4019,14.7007,3.8341,14.5927,-0.9947,-5.8329,44.8644,6.6981,28.6288,-1.4986,11.7458,53.7648,7.3325,22.9557,0.0422,14.8273,65.6304,8.1013,24.5611,0.0883,0.0689,-0.0342,-0.0271,-0.4966,-0.3934,0.7922,0.5724,0.5229,0.4733,0.9135,0.8268,0.9051,0.3277,0.2734,0.224,0.8345,0.6836,0.8192,0.4238,-7.1911,-3.0576,-16.968,-7.2146,0.4252,0.6385,0.3052,0.2715,0.4781,0.4253,0.8896,0.5097,0.6357,0.5941,1.2471,1.1656,0.9346,0.1353,22.0055,0.0553,-0.5093,-0.3401,-0.716,-0.7711,0.9668,?,?,?,?,?,DESTRA_PANTALONI
0.0812,6.7561,2.5992,10.1192,-1.06,-2.7631,36.3278,6.0273,25.7876,-1.7239,9.8368,15.9046,3.9881,16.5243,0.0352,11.9297,21.0752,4.5908,16.3464,0.188,-0.0294,0.0083,0.0068,-0.2809,-0.2316,0.8246,0.4312,0.6518,0.5662,1.5113,1.3129,0.8687,0.186,0.4248,0.3206,2.2841,1.7237,0.7547,0.319,-8.6479,-1.3756,-27.1055,-4.3117,0.1591,0.5189,0.2868,0.244,0.5528,0.4703,0.8507,0.3924,0.6124,0.6191,1.5606,1.5776,1.0109,0.1087,17.2163,0.4978,0.0055,-0.2251,-0.4844,-0.7317,0.8653,?,?,?,?,?,DESTRA_PANTALONI
-0.393,15.031,3.877,17.4073,-0.9506,-5.7963,46.0573,6.7866,28.208,-1.9744,11.872,45.8627,6.7722,22.3592,0.0829,15.1847,51.0721,7.1465,24.2207,0.1403,0.0678,-0.0331,-0.0259,-0.4882,-0.3817,0.7818,0.5713,0.5725,0.5425,1.0021,0.9496,0.9476,0.3264,0.3277,0.2943,1.0042,0.9018,0.898,0.4531,-4.1948,-2.1456,-9.2589,-4.7359,0.5115,0.941,0.366,0.3168,0.389,0.3366,0.8654,0.6171,0.7785,0.7187,1.2616,1.1646,0.9231,0.1377,22.5165,0.3684,-0.6094,-0.4631,-0.564,-0.7039,0.9243,?,?,?,?,?,DESTRA_PANTALONI
0.1759,5.4491,2.3343,7.944,-0.9577,-2.6954,7.19,2.6814,8.3747,-8.9962,10.2351,17.1556,4.1419,12.3355,0.2425,11.1667,17.1536,4.1417,11.9261,0.2999,-0.0653,0.0172,0.0158,-0.2633,-0.2414,0.9166,0.8706,0.5636,0.5636,0.6474,0.6474,1.0001,0.7579,0.3176,0.3177,0.4191,0.4192,1.0001,0.5156,-0.984,-0.7608,-1.9083,-1.4756,0.7732,4.8434,0.2492,0.2382,0.0514,0.0492,0.956,0.9486,0.644,0.6661,0.6789,0.7022,1.0343,0.2406,15.1105,-0.1798,-0.8736,-0.7581,-0.2695,-0.453,0.9772,?,?,?,?,?,DESTRA_PANTALONI
