@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.9107,6.196,2.4892,15.2847,-1.5819,0.0264,9.9629,3.1564,11.5376,-1.2344,0.8021,12.1889,3.4913,20.6015,-1.5712,4.9901,4.9204,2.2182,15.0906,0.0683,34.5105,1.1355,0.1825,0.0329,0.0053,0.1607,0.7886,0.713,1.1222,0.9041,1.423,1.5739,0.6219,0.5083,1.2593,0.8174,2.0248,2.4772,1.4692,0.7439,-8.4588,0.5063,-5.7572,-11.371,1.1465,0.7388,0.3655,0.6444,0.3188,0.4947,1.3248,0.7419,1.0129,0.56,0.7646,1.3652,0.0121,7.4017,-0.0758,0.643,0.0867,0.1518,-0.0504,-0.081,5.1504,10.844,3.293,8.1976,0.0664,2.1763,17.5003,4.1833,10.7014,-0.6085,5.7995,2.9928,1.73,4.7914,0.3931,2.3665,0.8881,0.3753,0.7872,1.9035,2.4181,0.6196,3.6233,5.8474,-0.1439,0.1877,-1.3042,1.3198,1.1121,0.8426,0.766,1.7109,2.2335,0.0806,15.3135,-0.8923,-0.919,0.9772,-10.583,194.9953,13.9641,36.1,-2.5743,-0.4001,191.62,13.8427,36.2817,-0.9064,-31.0676,9.8198,3.1337,36.6577,?,26.4528,0.3406,0.0129,1.0088,4.4562,4.4174,1.0176,19.8573,19.5135,1.5072,0.7093,0.4706,0.5307,0,0,0.995,0.9848,0.9897,0.3282,59.4042,-0.905,-0.1847,0.5346,DESTRA_PANTALONI
0.9526,8.8086,2.9679,14.0469,-0.4348,-1.1763,2.9422,1.7153,7.7861,-1.1057,0.2406,13.9826,3.7393,15.4193,-0.5132,4.4704,8.098,2.8457,13.5048,0.0459,-0.8098,3.9596,0.2131,-4.8894,-0.2631,0.0538,1.7303,0.7937,1.043,0.4587,0.6028,1.314,2.9938,0.63,1.0877,0.2104,0.3633,1.7267,1.0412,0.814,-6.5532,0.7818,-6.2939,-8.0501,2.6477,0.9607,0.6917,0.3629,0.2612,0.7199,1.8041,0.911,1.0401,0.505,0.5765,1.1418,0.0153,6.7125,0.1296,0.8454,0.7515,0.3845,-0.042,0.6645,4.4461,11.8074,3.4362,8.9535,-0.0091,3.4382,11.3865,3.3744,10.8182,-0.6921,6.2361,2.5624,1.6007,4.9072,0.3926,1.2931,0.713,0.5513,1.0183,2.1466,2.108,1.037,4.608,4.4437,0.0183,-0.0255,-1.3952,1.3878,1.0983,0.7914,0.8276,1.8245,2.2045,0.084,15.1393,-0.8148,-0.9361,0.9396,-13.686,186.8358,13.6688,36.1,-5.2241,-6.5404,130.715,11.4331,37.0106,-0.8353,-29.1415,11.4362,3.3817,33.38,?,2.0925,0.4696,0.2244,1.1955,4.0419,3.3808,1.4293,16.3372,11.4299,1.7987,0.9077,0.5046,0.2876,0,0,0.9754,1.0815,1.1088,0.3285,57.4576,-0.7272,-0.4295,0.9022,DESTRA_PANTALONI
0.2553,1.7766,1.3329,5.7464,-0.8745,0.0617,4.9004,2.2137,8.7551,-0.9541,0.5593,12.6906,3.5624,16.4503,-0.7861,4.014,3.6374,1.9072,8.9323,0.1347,4.1379,0.4566,0.0636,0.1103,0.0154,0.1393,0.6021,0.3742,0.6989,0.6214,1.1607,1.8679,0.3626,0.14,0.4884,0.3861,1.3472,3.4889,0.6271,0.3703,-1.9288,0.5904,-3.0756,-5.209,0.6842,0.3328,0.297,0.4864,0.434,0.8923,0.6563,0.3493,0.6433,0.5322,0.9802,1.8417,0.0062,6.0103,-0.1804,0.2169,0.4838,0.6742,0.124,0.382,2.0679,4.8091,2.193,5.6766,-0.0399,6.6155,0.3709,0.609,2.1236,0.7283,6.5241,0.4491,0.6702,2.0386,0.7297,0.3126,0.317,1.014,3.6006,3.2722,0.9088,12.9647,10.7074,0.8259,-0.0383,-0.0396,1.0346,0.6984,0.7239,1.0365,2.6731,2.7846,1.0417,0.0952,15.258,-0.7469,-0.6662,0.0422,-2.352,138.2406,11.7576,29.7,-2.4941,-17.5894,10.7486,3.2785,24.7817,?,-30.6113,2.8497,1.6881,33.5525,?,0.1337,0.0768,0.5746,3.5863,6.9649,1.9421,12.8613,48.5098,3.7718,0.8555,0.6318,0.7386,0,0,1,1.1985,0.8852,0.7386,0.3538,58.5367,-0.4908,0.2892,-0.9105,DESTRA_PANTALONI
0.0672,2.3067,1.5188,9.4048,-0.6157,0.5405,3.2019,1.7894,8.6917,-0.3849,0.5137,22.0384,4.6945,19.2085,-0.6158,4.4846,7.9957,2.8277,12.0627,0.0558,0.1243,0.1308,0.015,1.052,0.1205,0.1146,0.8488,0.3235,0.5371,0.3812,0.6328,1.6602,0.7204,0.1047,0.2885,0.1453,0.4005,2.7563,1.4836,0.4896,-5.0279,0.33,-3.389,-10.2704,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.082,0.4896,0.7797,0.4525,0.7205,1.5924,0.0075,6.2537,0.109,0.1244,0.0297,0.7081,0.5942,0.4648,1.9145,0.665,0.8155,3.3592,0.0575,4.6122,0.7401,0.8603,3.1221,0.5095,8.3402,0.3432,0.5858,2.572,0.7183,0.4151,0.2296,0.553,0.948,1.3921,1.4685,0.8986,1.938,2.1566,0.0632,0.0313,0.4945,0.5599,0.3904,0.6972,1.0759,1.3061,1.2139,0.0972,14.8669,0.1507,-0.448,-0.9397,-9.377,50.6706,7.1183,26.5,-15.5624,-3.8371,13.2904,3.6456,13.2007,-11.5385,-20.7526,6.7054,2.5895,24.2372,?,2.4438,0.4518,0.1849,1.9526,2.749,1.4079,3.8126,7.5567,1.9821,2.0497,1.0273,0.5012,1.5197,0,0,2.0075,1.0934,0.5446,0.2309,34.2656,0.3458,0.7107,-0.0493,DESTRA_PANTALONI
0.9662,7.492,2.7371,11.7898,-0.4848,-0.5198,7.9553,2.8205,11.184,-1.3929,0.8261,18.1012,4.2545,16.5619,-0.8972,5.2014,8.3797,2.8948,11.2513,0.02,-1.8588,1.1696,0.1857,-0.6292,-0.0999,0.1588,0.9704,0.6433,0.9455,0.6629,0.9743,1.4697,0.9418,0.4139,0.8941,0.4395,0.9493,2.1601,0.5913,0.4915,-16.7414,0.8312,-28.3142,-34.0642,1.6989,0.9096,0.6916,0.5354,0.4071,0.7603,1.0542,0.7119,1.0479,0.6753,0.994,1.472,0.0137,7.7552,0.6945,0.7115,0.5618,0.5603,0.1809,0.415,3.321,4.8225,2.196,6.2501,0.1611,2.6258,14.3623,3.7898,11.2169,-1.0535,7.6294,0.9178,0.958,2.8198,0.6698,1.2648,0.4353,0.3442,0.5795,2.2923,3.9559,0.3358,5.2546,15.6493,-0.2086,0.2098,-1.0058,1.3639,0.8723,0.6396,0.5572,2.2165,3.9779,0.0873,15.3656,-0.8286,-0.8836,0.9651,-12.268,63.2782,7.9548,29.3,?,1.2075,129.9574,11.3999,34.9859,-0.2857,-19.1103,10.0029,3.1627,22.1671,?,-10.1598,0.642,-0.0632,0.6978,2.5151,3.6044,0.4869,6.326,12.9919,3.7687,1.3218,0.3507,0,1,0,0.8375,1.3218,1.5783,0.2274,40.2584,-0.3885,-0.3504,0.9797,DESTRA_PANTALONI
1.4115,6.7069,2.5898,10.3951,-0.4805,-0.6457,3.4462,1.8564,7.1717,-0.878,0.2465,14.9576,3.8675,16.0502,-0.55,4.7555,4.9656,2.2284,11.9346,0.0477,-2.1859,5.7269,0.2968,-2.62,-0.1358,0.0518,1.395,0.6696,1.1622,0.48,0.8331,1.7356,1.9461,0.4484,1.3507,0.2304,0.694,3.0122,1.0062,0.5923,-5.6463,0.5887,-5.6117,-9.5326,1.8387,0.6781,0.5603,0.3688,0.3047,0.8263,1.4495,0.6477,0.871,0.4468,0.6009,1.3448,0.0157,7.2241,0.4141,0.7282,0.6469,0.6335,0.1569,0.5008,4.0295,10.0826,3.1753,8.2728,0.051,4.3951,11.2279,3.3508,10.7213,-0.4469,6.1957,0.9825,0.9912,3.2655,0.5521,0.9168,0.6504,0.7094,0.9476,3.2035,3.3805,0.898,10.2624,11.4281,-0.1343,0.1105,-0.8228,1.1765,1.1958,1.0165,0.7716,2.5334,3.2832,0.086,15.2098,-0.9442,-0.7467,0.8831,-12.5229,154.4877,12.4293,32.9,-15.0712,-4.2417,220.6447,14.8541,44.6238,-0.7097,-35.8397,26.3787,5.136,40.7848,?,2.9523,0.3494,0.1184,0.8368,2.42,2.8921,0.7002,5.8565,8.3645,1.6656,0.7565,0.4542,0.0784,0,0,0.7373,0.8067,1.0941,0.382,63.0138,-0.9017,-0.7525,0.9334,DESTRA_PANTALONI
1.2918,21.5352,4.6406,19.7616,-0.5204,-1.6468,19.6093,4.4282,17.0038,-1.1962,0.1645,18.8506,4.3417,21.7394,-1.1164,7.3951,9.7151,3.1169,14.8064,0.0846,-0.7844,7.8513,0.1747,-10.0088,-0.2227,0.0222,1.048,1.0688,1.4889,1.0199,1.4207,1.393,1.0982,1.1424,2.2167,1.0402,2.0184,1.9403,0.7303,0.5898,-4.9459,0.8076,-6.7722,-8.3854,1.6788,1.2654,0.8036,0.7537,0.4787,0.6351,1.1622,0.909,1.3347,0.7822,1.1484,1.4682,0.0108,11.5629,-0.0656,0.5579,0.6226,-0.0756,-0.2742,0.245,4.8258,8.5098,2.9172,8.9381,0.0177,1.382,40.1006,6.3325,15.8772,-0.9127,4.4065,2.9354,1.7133,5.2033,0.2191,3.4919,1.0952,0.3136,0.4607,1.7027,3.6961,0.2122,2.899,13.6611,-0.0213,0.1104,-5.1881,1.0962,1.3655,1.2457,0.5629,1.7178,3.0514,0.0344,15.3615,-0.6692,-0.6924,0.8971,-7.9938,104.2866,10.2121,29.3381,-3.3275,2.5255,448.8198,21.1854,54.8996,-0.5722,-33.8053,68.0611,8.2499,42.4194,?,-3.1652,0.2365,-0.0747,0.482,1.2378,2.5679,0.2324,1.5322,6.5944,1.1291,0.5318,0.471,0.1941,0,0,0.5344,0.6916,1.2942,0.1795,63.7797,-0.4317,-0.5012,0.9663,DESTRA_PANTALONI
0.9561,8.1153,2.8487,14.2467,-0.5932,-1.2706,10.58,3.2527,13.326,-1.5226,-0.1887,10.7185,3.2739,13.745,-1.2265,5.3068,3.8157,1.9534,9.5543,0.0724,-0.7524,-5.0661,0.1802,6.7329,-0.2394,-0.0356,0.8758,0.8701,1.4584,0.9935,1.6652,1.676,0.767,0.7571,2.1268,0.9871,2.7728,2.8091,0.6595,0.7006,-7.1145,1.0623,-10.7875,-10.1546,1.6927,1.4484,0.8682,0.8557,0.5129,0.5994,1.0691,1.0365,1.4911,0.9695,1.3948,1.4386,0.0085,8.0099,0.4564,0.1397,0.0755,0.0597,-0.4205,-0.0032,2.868,8.0134,2.8308,8.5161,-0.0627,3.2467,24.6168,4.9615,15.5425,-1.0912,6.6078,1.1132,1.0551,3.247,0.5885,0.8834,0.434,0.4913,0.5705,2.683,4.7024,0.3255,7.1983,22.1129,0.0619,-0.1082,-1.7464,1.0782,1.0156,0.9419,0.5479,2.6228,4.7868,0.042,15.1654,-0.641,-0.7481,0.8448,-10.9297,103.0057,10.1492,36.6577,-3.9677,-2.4194,266.8414,16.3353,53.5187,-0.441,-36.732,60.6725,7.7893,43.9194,?,4.5175,0.2976,0.0659,0.6213,1.303,2.0972,0.386,1.6977,4.3981,1.7876,0.6666,0.3729,0.1987,0,0,0.685,0.8347,1.2186,0.2043,62.3556,-0.2023,-0.6004,0.8786,DESTRA_PANTALONI
1.3528,18.6613,4.3199,17.5871,-0.5585,-1.9838,20.2603,4.5011,17.7576,-1.1941,0.5806,17.4632,4.1789,20.428,-0.8873,7.2781,9.5167,3.0849,14.8342,0.0744,-0.6819,2.3299,0.1859,-3.4166,-0.2726,0.0798,0.9597,1.0337,1.4003,1.0771,1.4591,1.3546,0.9211,1.0686,1.9609,1.1602,2.1289,1.835,0.6521,0.6562,-5.2831,1.0063,-8.1013,-8.0509,1.3943,1.0426,0.7041,0.7477,0.505,0.6753,0.9904,0.8609,1.1856,0.8693,1.1971,1.3771,0.013,11.4645,0.1405,0.5077,0.5442,0.0413,-0.2906,0.186,4.9479,9.3913,3.0645,8.714,0.0404,1.8178,33.9151,5.8237,15.3979,-1.0262,4.601,3.8953,1.9737,6.1477,0.1727,2.722,1.0754,0.3951,0.5262,1.5527,2.9507,0.2769,2.4109,8.7067,-0.047,0.2855,-6.0757,1.1949,1.2219,1.0226,0.5659,1.4174,2.5047,0.0366,15.3293,-0.5647,-0.8652,0.7952,-21.0209,117.0632,10.8196,37.3199,?,4.1637,462.9124,21.5154,59.9991,-0.368,-26.0066,242.7441,15.5802,43.8599,?,-5.0486,0.8083,-0.1601,0.5029,0.6944,1.3809,0.2529,0.4822,1.907,2.3124,0.8509,0.368,0,1,0,0.622,0.8509,1.368,0.1764,65.3014,-0.0775,-0.4001,0.9246,DESTRA_PANTALONI
2.776,11.9852,3.462,10.2266,-0.0556,-1.2239,1.3194,1.1487,4.2754,-3.9302,-1.1155,1.8933,1.376,6.1953,-3.3873,3.9805,9.802,3.1308,9.0939,0.0854,-2.2682,-2.4886,0.6974,1.0972,-0.3075,-0.2802,3.0139,2.516,1.1058,0.8348,0.3669,0.4395,9.0835,6.3303,1.2227,0.6969,0.1346,0.1932,0.1582,0.1127,-0.6349,0.7125,-4.014,-5.6333,11.1712,6.8603,0.9743,0.6141,0.0872,0.142,2.392,1.6507,1.1245,0.6901,0.4701,0.6813,0.1469,5.6813,-0.7143,0.1361,0.9822,-0.0192,-0.761,0.0271,1.4521,3.6846,1.9195,6.2578,0.0285,2.4913,0.6645,0.8152,2.8496,0.1921,8.4037,0.9337,0.9663,2.5352,0.7347,0.5829,0.1728,0.2965,2.3547,1.9865,0.8436,5.5445,3.9461,0.7117,0.2709,0.0261,0.0965,1.8261,0.674,0.3691,2.196,2.4684,1.124,0.1021,12.3472,-0.9607,-0.7854,0.8628,-15.7514,173.3483,13.1662,40.0625,?,-6.5029,20.3739,4.5137,20.8125,-0.8814,-34.0776,182.7782,13.5195,46.375,-26.4815,2.4222,0.4622,0.1908,2.9169,0.9739,0.3339,8.5083,0.9484,0.1115,4.109,0.8965,0.2182,0,0,6.5556,1.9249,0.8639,0.4488,0.4379,57.5431,-0.6388,-0.9521,0.8365,DESTRA_PANTALONI
