@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.4487,1.7902,1.338,7.395,-3.7006,-1.8521,9.9369,3.1523,11.4506,-18.0959,0.5412,4.0518,2.0129,10.2792,-0.2626,2.8095,11.8101,3.4366,13.1446,0.0077,0.2423,-0.8291,-0.1597,-3.4222,-0.6592,0.1926,0.4244,0.6647,0.3893,1.566,0.9173,0.5857,0.1802,0.4418,0.1516,2.4525,0.8414,0.3431,0.5365,2.7235,-56.9782,5.0762,-106.1992,-20.9212,2.6236,0.1932,0.1188,0.0737,0.0453,0.6146,0.6458,0.7194,0.5626,1.114,0.8711,0.782,0.0099,4.0803,0.4877,-0.6997,-0.5328,-0.6157,-0.9678,0.7051,-0.1051,0.5414,0.7358,3.7742,-1.3497,-0.2691,0.8751,0.9354,5.681,-1.2208,0.7333,2.0301,1.4248,5.423,-0.045,0.3905,-0.1433,-0.3669,0.7865,0.5164,0.6565,0.6187,0.2667,0.431,0.6942,9.2877,13.379,0.6279,0.3095,0.4929,0.6644,0.696,1.0476,0.0039,1.8103,-0.6202,-0.4874,0.0037,4.0615,0.0005,0.0219,0.0477,0.9883,DESTRA_PANTALONI
1.2319,5.2714,2.296,12.4083,-0.2315,-0.8304,13.7623,3.7098,21.6805,-1.5271,0.6292,13.5099,3.6756,21.9131,-0.6665,3.9604,19.462,4.4116,16.8748,0.0104,-1.4836,1.958,0.3111,-1.3198,-0.2097,0.1589,0.6189,0.6246,0.5204,1.0093,0.8409,0.8332,0.383,0.3902,0.2709,1.0187,0.7071,0.6942,0.178,0.2661,-13.1526,1.4949,-73.8801,-49.4212,1.1745,0.7663,0.5909,0.6525,0.5031,0.7711,0.5723,0.5663,0.7353,0.9894,1.2848,1.2986,0.0085,6.1061,-0.4668,-0.0137,0.6028,-0.4696,-0.709,0.4925,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38.8789,102.7064,10.1344,32,0.4182,DESTRA_PANTALONI
-0.141,0.3376,0.581,3.5063,-2.2469,0.2932,1.1273,1.0618,5.8339,-0.554,0.4924,4.1095,2.0272,8.6925,-0.5705,1.6663,3.1463,1.7738,5.6966,0.0054,-0.4809,-0.2863,-0.0846,0.5954,0.176,0.2955,0.5472,0.2866,0.3276,0.5238,0.5986,1.1429,0.2995,0.0822,0.1073,0.2743,0.3583,1.3061,1.1666,0.7684,-79.1145,0.6587,-67.8152,-102.954,0.2877,0.1951,0.1886,0.6782,0.6555,0.9664,0.601,0.4034,0.6155,0.6711,1.0241,1.5259,0.0034,2.345,0.038,-0.1724,-0.295,0.162,0.39,0.6439,0.3259,0.3646,0.6039,1.9719,-0.1055,-0.7146,1.7226,1.3125,5.0238,-79.6275,0.5146,1.006,1.003,2.9175,-0.0315,-0.456,0.6332,-1.3887,0.4601,0.6021,1.3086,0.2117,0.3625,1.7124,0.0379,2.1096,55.6301,28.6275,0.6307,0.022,0.3925,0.6759,1.7219,0.0054,1.6341,-0.7837,0.9724,-0.6863,2,0,0,0,1,DESTRA_PANTALONI
0.0144,0.0154,0.124,0.6576,-0.9375,0.0345,0.0213,0.146,0.7578,-0.819,0.0061,0.0149,0.1222,0.8079,-0.5704,0.2073,0.0101,0.1005,0.6277,0.0504,0.416,2.3566,0.0693,5.6655,0.1665,0.0294,0.8497,1.0147,1.2344,1.1941,1.4526,1.2165,0.722,1.0296,1.5236,1.4259,2.1102,1.4799,0.9325,1.0842,-9.5569,1.1628,-10.2488,-8.8143,0.8147,0.6597,0.5135,0.8097,0.6303,0.7783,0.8677,0.8139,1.0476,0.938,1.2073,1.2871,0.0002,0.3174,0.3713,-0.1161,0.1485,0.717,0.2037,0.2052,0.0074,0.0066,0.0813,0.3635,-2.0447,0.0513,0.0024,0.049,0.2601,-0.2139,0.031,0.0011,0.0339,0.2388,-0.4641,0.1436,0.2379,1.6566,1.6586,2.3988,1.4463,2.7508,5.7542,2.0918,5.3255,3.2253,0.6056,0.5572,0.732,1.3137,1.3975,1.5223,1.0893,0.0003,0.1547,-0.6231,-0.2238,0.1342,4.1432,0,0,0,1,DESTRA_PANTALONI
0.0067,0.0098,0.0991,0.5787,-1.043,0.0099,0.0199,0.1409,0.6941,-1.0276,-0.0006,0.0138,0.1173,0.5757,-0.8925,0.1834,0.0099,0.0997,0.4402,0.0363,0.6807,-11.8034,0.0367,-17.3403,0.0539,-0.0031,0.7036,0.8454,0.9946,1.2016,1.4136,1.1765,0.4951,0.7147,0.9892,1.4437,1.9982,1.3841,0.8399,1.0883,-17.7942,1.2958,-21.1872,-16.351,0.8274,0.9312,0.6201,1.1254,0.7495,0.6659,0.8337,1.0053,1.3147,1.2058,1.5769,1.3078,0.0001,0.2868,0.3223,0.0523,0.0344,0.927,-0.0423,-0.044,0.0232,0.0001,0.0088,0.0416,0.025,0.0434,0.0001,0.0115,0.0629,0.2237,0.0104,0.0001,0.0078,0.0394,-0.2759,0.5348,2.24,4.1882,0.7717,1.1265,1.4598,0.5955,1.2689,2.131,0.0588,-0.125,-2.125,0.5263,1.3793,2.6207,0.661,1.054,1.5946,0.0003,0.0776,-0.376,-0.1504,0.115,4.1432,0,0,0,1,DESTRA_PANTALONI
0.9339,4.2362,2.0582,11.3498,-0.9621,-0.6742,7.2903,2.7001,18.2144,-1.6879,0.6564,8.2841,2.8782,17.0334,-0.9812,3.225,11.1674,3.3418,12.4318,0.0043,-1.3852,1.4227,0.2896,-1.0271,-0.2091,0.2035,0.7623,0.7151,0.6159,0.9381,0.808,0.8613,0.5811,0.5114,0.3793,0.88,0.6528,0.7418,0.4866,0.6597,-103.0216,1.3558,-211.7332,-156.1647,0.8536,0.6728,0.4633,0.7882,0.5427,0.6886,0.6231,0.6663,0.913,1.0693,1.4651,1.3701,0.0067,4.7985,-0.583,-0.2244,0.3713,-0.0369,-0.4673,0.4325,-0.2268,0.6154,0.7845,5.3096,-3.4437,-0.595,2.2217,1.4905,7.5804,-0.9675,0.6223,1.3055,1.1426,4.4679,-0.3727,0.3812,-0.3645,-0.9561,0.5263,0.6866,1.3045,0.277,0.4714,1.7018,1.1039,3.3921,3.073,0.3101,0.3671,1.1837,0.7004,1.1884,1.6966,0.0045,2.2504,-0.5234,0.4225,-0.357,4.1269,3.3697,1.8357,7,0,DESTRA_PANTALONI
0.0298,0.0142,0.1191,0.6447,-0.96,0.0158,0.0675,0.2598,1.4437,-0.8575,-0.0019,0.0149,0.122,0.6473,-0.7788,0.2808,0.0188,0.1373,0.722,0.0779,1.8905,-15.9273,0.1062,-8.425,0.0562,-0.0067,0.4584,0.9757,0.8674,2.1287,1.8925,0.8891,0.2101,0.952,0.7525,4.5313,3.5817,0.7904,0.4738,1.1142,-5.1763,2.3516,-10.9253,-4.6458,0.4232,0.9039,0.4201,2.136,0.9926,0.4647,0.4466,0.996,0.8929,2.2304,1.9996,0.8965,0.0002,0.4026,0.0858,0.0412,0.1428,0.1625,0.1106,-0.0395,-0.0191,0.0001,0.0104,0.049,-14.3342,0.0242,0.0003,0.0174,0.0789,-0.1385,0.003,0.0003,0.0182,0.0735,-0.5,-0.788,-6.4104,8.1349,0.5983,0.5724,0.9567,0.358,0.3276,0.9153,4.7775,1.8696,0.3913,0.0462,0.0652,1.413,0.6216,0.6667,1.0725,0.0002,0.058,-0.1624,0.3831,0.2823,4.1432,0,0,0,1,DESTRA_PANTALONI
0.5166,0.4431,0.6656,2.6704,-0.1545,0.0427,2.01,1.4177,10.7032,-0.2861,0.2015,1.5816,1.2576,6.226,-0.5634,1.4264,2.3094,1.5197,8.568,0.0046,12.0854,2.5634,0.3622,0.2121,0.03,0.1413,0.4695,0.5293,0.438,1.1273,0.9329,0.8276,0.2204,0.2801,0.1919,1.2708,0.8704,0.6849,0.1501,0.1593,-9.0488,1.0612,-60.2943,-56.8179,0.2779,0.5808,0.2687,2.0897,0.9669,0.4627,0.2495,0.4289,0.3117,1.7191,1.2492,0.7267,0.0028,2.1432,-0.1377,0.1608,0.6294,-0.0169,0.5129,0.3952,0.1252,0.5247,0.7244,3.9682,-0.2506,-0.3927,0.4741,0.6885,2.4078,-14.3674,0.1591,0.1298,0.3603,2.0752,-0.5247,-0.3189,0.7869,-2.4678,1.0521,2.0103,1.9108,1.1069,4.0414,3.651,0.3532,1.1134,3.1522,20.2517,2.3312,0.1151,1.6481,1.9122,1.1602,0.0022,0.9835,-0.1284,-0.3419,-0.5041,10.7219,9.2068,3.0343,11.4395,0.2659,DESTRA_PANTALONI
-0.0407,1.1738,1.0834,6.6002,-0.9749,-1.2444,6.4806,2.5457,17.8988,-1.7035,0.4795,5.0651,2.2506,12.4629,-0.6685,2.4586,8.455,2.9077,12.4142,0.0052,0.0327,-0.0848,-0.0165,-2.5951,-0.5062,0.195,0.4256,0.4814,0.3726,1.1311,0.8755,0.774,0.1811,0.2317,0.1388,1.2795,0.7665,0.5991,0.2889,0.6525,-49.8216,2.2587,-172.4575,-76.3532,0.5048,0.4474,0.2678,0.8863,0.5305,0.5985,0.3688,0.5296,0.5317,1.4362,1.4418,1.0039,0.0066,3.7521,-0.0197,0.1669,0.2018,-0.6067,-0.8306,0.5855,-0.1895,0.9033,0.9504,5.7545,-2.0572,-0.6527,1.5452,1.2431,6.3386,-2.5231,0.0844,0.6182,0.7863,3.9053,-0.7202,0.2903,-2.2455,-7.7351,0.7646,1.2088,1.581,0.5846,1.4611,2.4995,0.853,2.3683,2.7764,1.0462,0.8291,0.7925,0.9079,1.4735,1.6231,0.0034,1.755,0.2732,-0.0181,-0.5225,15.5415,27.9405,5.2859,18.5326,0.1827,DESTRA_PANTALONI
-0.9033,13.5394,3.6796,15.9984,-1.1176,-0.9137,7.0625,2.6575,12.8342,-1.5812,0.6015,14.3134,3.7833,19.0283,-0.3888,4.6463,15.3396,3.9166,15.9962,0.0027,0.9885,-1.5016,-0.1944,-1.519,-0.1967,0.1295,1.3846,0.9726,0.9395,0.7024,0.6785,0.966,1.9171,0.9459,0.8826,0.4934,0.4604,0.9331,1.0739,1.585,-197.8821,1.4758,-184.2583,-124.8503,1.5195,0.5514,0.4711,0.3629,0.31,0.8542,1.2465,0.8408,1.0001,0.6745,0.8023,1.1896,0.0073,6.9865,0.2908,-0.3155,-0.4533,-0.4044,-0.4212,0.5687,0.406,0.8407,0.9169,4.7243,-0.4212,-0.4822,1.864,1.3653,7.4416,-1.8142,0.577,1.5586,1.2484,5.002,-0.2291,-0.8421,0.7037,-0.8356,0.6716,0.7344,1.0936,0.451,0.5394,1.196,0.2919,1.5016,5.1449,1.2571,0.8168,0.6498,0.6349,0.9445,1.4877,0.0044,1.8744,-0.5497,0.8603,-0.5533,4.6154,49.6726,7.0479,25,0,DESTRA_PANTALONI
