@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.4487,1.7902,1.338,7.395,-3.7006,-1.8521,9.9369,3.1523,11.4506,-18.0959,0.5412,4.0518,2.0129,10.2792,-0.2626,2.8095,11.8101,3.4366,13.1446,0.0077,0.2423,-0.8291,-0.1597,-3.4222,-0.6592,0.1926,0.4244,0.6647,0.3893,1.566,0.9173,0.5857,0.1802,0.4418,0.1516,2.4525,0.8414,0.3431,0.5365,2.7235,-56.9782,5.0762,-106.1992,-20.9212,2.6236,0.1932,0.1188,0.0737,0.0453,0.6146,0.6458,0.7194,0.5626,1.114,0.8711,0.782,0.0099,4.0803,0.4877,-0.6997,-0.5328,-0.6157,-0.9678,0.7051,0.09,0.0202,0.142,0.5638,-2.1084,-0.252,0.0117,0.1082,0.5118,?,-0.6235,0.0114,0.1067,0.6812,?,-0.3571,-0.1443,0.4041,1.3123,1.3307,1.014,1.7222,1.7708,1.0282,0.7473,0.5614,0.7513,0,0,1,1.1017,0.8277,0.7513,0.0034,1.0337,0.6121,-0.9842,-0.5355,?,?,?,?,?,DESTRA_PANTALONI
1.2366,5.3906,2.3218,12.4674,-0.2301,-0.8152,13.5061,3.6751,21.9375,-1.557,0.6388,13.2903,3.6456,21.9131,-0.6665,3.9001,19.5777,4.4247,17.4133,0.0101,-1.5168,1.9359,0.3171,-1.2763,-0.209,0.1638,0.6318,0.6369,0.5247,1.0081,0.8306,0.8239,0.3991,0.4056,0.2753,1.0162,0.6899,0.6789,0.1746,0.2661,-13.1526,1.5242,-75.3296,-49.4212,1.1813,0.7708,0.5762,0.6525,0.4877,0.7475,0.5683,0.5689,0.716,1.0011,1.2598,1.2584,0.0043,6.0273,-0.4886,-0.0324,0.609,-0.4967,-0.7276,0.5005,0.2971,0.0049,0.0701,0.2958,0.2611,-0.0757,0.0543,0.2331,0.7249,-3.2099,0.4285,0.0187,0.1369,0.4512,0.4129,-3.9262,0.6933,-0.1766,0.3007,0.5119,1.7027,0.0904,0.2621,2.899,-0.1891,0.3294,-1.7416,2.3252,0.5209,0.224,0.4081,0.6556,1.6065,0.0014,0.8983,0.6643,-0.8594,-0.9144,?,?,?,?,?,DESTRA_PANTALONI
-0.141,0.3376,0.581,3.5063,-2.2469,0.2932,1.1273,1.0618,5.8339,-0.554,0.4924,4.1095,2.0272,8.6925,-0.5705,1.6663,3.1463,1.7738,5.6966,0.0054,-0.4809,-0.2863,-0.0846,0.5954,0.176,0.2955,0.5472,0.2866,0.3276,0.5238,0.5986,1.1429,0.2995,0.0822,0.1073,0.2743,0.3583,1.3061,1.1666,0.7684,-79.1145,0.6587,-67.8152,-102.954,0.2877,0.1951,0.1886,0.6782,0.6555,0.9664,0.601,0.4034,0.6155,0.6711,1.0241,1.5259,0.0034,2.345,0.038,-0.1724,-0.295,0.162,0.39,0.6439,0.2446,0.0279,0.1669,0.5027,0.2289,0.0781,0.0134,0.1156,0.3826,-1.6481,0.7598,0.0006,0.0251,0.0784,0.8992,3.1333,0.322,0.1028,1.4439,6.6481,4.6044,2.0847,44.1978,21.2005,-0.6266,0.2133,-0.3405,4.5116,0.8381,0.1858,1.3137,6.4082,4.8778,0.0046,1.1387,-0.9966,-0.9846,0.9697,?,?,?,?,?,DESTRA_PANTALONI
0.0144,0.0154,0.124,0.6576,-0.9375,0.0345,0.0213,0.146,0.7578,-0.819,0.0061,0.0149,0.1222,0.8079,-0.5704,0.2073,0.0101,0.1005,0.6277,0.0504,0.416,2.3566,0.0693,5.6655,0.1665,0.0294,0.8497,1.0147,1.2344,1.1941,1.4526,1.2165,0.722,1.0296,1.5236,1.4259,2.1102,1.4799,0.9325,1.0842,-9.5569,1.1628,-10.2488,-8.8143,0.8147,0.6597,0.5135,0.8097,0.6303,0.7783,0.8677,0.8139,1.0476,0.938,1.2073,1.2871,0.0002,0.3174,0.3713,-0.1161,0.1485,0.717,0.2037,0.2052,0.5843,0,0.0029,0.0093,0.9842,-0.1321,0.0002,0.0123,0.1511,?,-0.7493,0,0.0019,0.7541,?,-4.4246,-0.7797,0.1762,0.2352,1.508,6.4103,0.0553,2.274,41.0918,-3.8381,-0.7691,0.2004,0,0,1,0.0617,0.0124,0.2004,0.0048,1.4657,0.8483,0.2881,0.1302,?,?,?,?,?,DESTRA_PANTALONI
0.0067,0.0098,0.0991,0.5787,-1.043,0.0099,0.0199,0.1409,0.6941,-1.0276,-0.0006,0.0138,0.1173,0.5757,-0.8925,0.1834,0.0099,0.0997,0.4402,0.0363,0.6807,-11.8034,0.0367,-17.3403,0.0539,-0.0031,0.7036,0.8454,0.9946,1.2016,1.4136,1.1765,0.4951,0.7147,0.9892,1.4437,1.9982,1.3841,0.8399,1.0883,-17.7942,1.2958,-21.1872,-16.351,0.8274,0.9312,0.6201,1.1254,0.7495,0.6659,0.8337,1.0053,1.3147,1.2058,1.5769,1.3078,0.0001,0.2868,0.3223,0.0523,0.0344,0.927,-0.0423,-0.044,0.5402,0,0.0024,0.0087,0.9839,-0.214,0,0.0008,0.2156,?,-0.7607,0,0.0044,0.7699,?,-2.5243,-0.7102,0.2813,2.9086,0.5444,0.1872,8.4602,0.2964,0.035,-2.4758,-0.6934,0.2801,0,0,1,0.0404,0.0113,0.2801,0.0048,1.515,0.1349,0.954,-0.1469,?,?,?,?,?,DESTRA_PANTALONI
0.946,4.2555,2.0629,11.543,-0.9955,-0.692,7.5082,2.7401,18.238,-1.682,0.6538,8.3272,2.8857,17.0334,-0.9812,3.2423,11.3796,3.3734,12.7752,0.0022,-1.3672,1.447,0.2918,-1.0584,-0.2134,0.2016,0.7528,0.7149,0.6115,0.9496,0.8123,0.8554,0.5668,0.511,0.374,0.9016,0.6598,0.7318,0.5034,0.6826,-200.1351,1.3558,-397.5282,-293.1985,0.8507,0.6728,0.4518,0.791,0.5311,0.6715,0.6329,0.6777,0.9035,1.0707,1.4276,1.3333,0.0034,4.8277,-0.59,-0.2258,0.3775,-0.0267,-0.4805,0.4224,0.3091,0.0176,0.1326,0.4018,0.3268,0.0275,0.101,0.3178,0.9056,-1.8543,0.68,0.005,0.071,0.233,0.6935,11.2314,0.4546,0.0405,0.4171,1.8661,4.4739,0.174,3.4822,20.0155,-0.3315,0.3699,-1.1159,1.881,0.785,0.4173,0.4436,1.7242,3.8864,0.0019,1.2773,-0.8058,-0.5409,0.5547,?,?,?,?,?,DESTRA_PANTALONI
0.0298,0.0142,0.1191,0.6447,-0.96,0.0158,0.0675,0.2598,1.4437,-0.8575,-0.0019,0.0149,0.122,0.6473,-0.7788,0.2808,0.0188,0.1373,0.722,0.0779,1.8905,-15.9273,0.1062,-8.425,0.0562,-0.0067,0.4584,0.9757,0.8674,2.1287,1.8925,0.8891,0.2101,0.952,0.7525,4.5313,3.5817,0.7904,0.4738,1.1142,-5.1763,2.3516,-10.9253,-4.6458,0.4232,0.9039,0.4201,2.136,0.9926,0.4647,0.4466,0.996,0.8929,2.2304,1.9996,0.8965,0.0002,0.4026,0.0858,0.0412,0.1428,0.1625,0.1106,-0.0395,0.2281,0,0.0039,0.0121,0.948,0.5854,0,0.0021,0.0077,0.9869,0.0767,0,0.0036,0.012,0.8574,0.3896,2.9728,7.6304,1.8251,1.0777,0.5905,3.3311,1.1615,0.3487,0.3804,3.0813,8.0997,0.396,2.7868,7.0372,1.5681,1.0158,0.6478,0.0032,0.8902,0.8337,0.6793,0.9329,?,?,?,?,?,DESTRA_PANTALONI
0.5166,0.4431,0.6656,2.6704,-0.1545,0.0427,2.01,1.4177,10.7032,-0.2861,0.2015,1.5816,1.2576,6.226,-0.5634,1.4264,2.3094,1.5197,8.568,0.0046,12.0854,2.5634,0.3622,0.2121,0.03,0.1413,0.4695,0.5293,0.438,1.1273,0.9329,0.8276,0.2204,0.2801,0.1919,1.2708,0.8704,0.6849,0.1501,0.1593,-9.0488,1.0612,-60.2943,-56.8179,0.2779,0.5808,0.2687,2.0897,0.9669,0.4627,0.2495,0.4289,0.3117,1.7191,1.2492,0.7267,0.0028,2.1432,-0.1377,0.1608,0.6294,-0.0169,0.5129,0.3952,0.1809,0.0006,0.0236,0.1815,0.457,-0.2552,0.0137,0.1169,0.5182,?,0.3443,0.0007,0.0269,0.1337,0.7065,-0.7088,0.5254,-0.7413,0.2018,0.8773,4.3482,0.0407,0.7697,18.9069,-0.2948,0.4747,-1.6105,0,0.734,0,0.3503,1.358,3.8771,0.0023,0.7803,-0.3809,0.7283,-0.6335,?,?,?,?,?,DESTRA_PANTALONI
-0.0407,1.1738,1.0834,6.6002,-0.9749,-1.2444,6.4806,2.5457,17.8988,-1.7035,0.4795,5.0651,2.2506,12.4629,-0.6685,2.4586,8.455,2.9077,12.4142,0.0052,0.0327,-0.0848,-0.0165,-2.5951,-0.5062,0.195,0.4256,0.4814,0.3726,1.1311,0.8755,0.774,0.1811,0.2317,0.1388,1.2795,0.7665,0.5991,0.2889,0.6525,-49.8216,2.2587,-172.4575,-76.3532,0.5048,0.4474,0.2678,0.8863,0.5305,0.5985,0.3688,0.5296,0.5317,1.4362,1.4418,1.0039,0.0066,3.7521,-0.0197,0.1669,0.2018,-0.6067,-0.8306,0.5855,0.0682,0.0263,0.1621,0.6313,-1.7395,-0.0755,0.0082,0.0904,0.3706,?,-0.4676,0.0027,0.0518,0.5856,?,-0.9033,-0.1458,0.1614,1.7932,3.1308,1.7459,3.2156,9.8019,3.0483,1.0817,0.6845,0.6328,0,0,1,1.7036,1.078,0.6328,0.0024,0.6999,0.9686,-0.0127,-0.0142,?,?,?,?,?,DESTRA_PANTALONI
-0.961,13.1238,3.6227,16.021,-1.1205,-0.8798,7.1356,2.6712,14.173,-1.6932,0.6014,14.4431,3.8004,19.0283,-0.3888,4.6154,15.46,3.9319,16.1408,0.0017,1.0923,-1.5981,-0.2082,-1.463,-0.1906,0.1303,1.3562,0.9532,0.9214,0.7029,0.6794,0.9666,1.8392,0.9087,0.8489,0.494,0.4616,0.9342,0.9501,1.5892,-315.0394,1.6727,-331.584,-198.2387,1.4356,0.5514,0.4673,0.3841,0.3255,0.8474,1.1304,0.842,0.9926,0.7448,0.8781,1.1789,0.0037,6.9483,0.3072,-0.3228,-0.4537,-0.3998,-0.4382,0.5748,-0.103,0.0716,0.2676,1.0864,-1.2988,0.1488,0.0508,0.2255,0.6301,-0.9668,0.5778,0.4777,0.6912,1.7801,-0.855,-0.6917,-0.1782,0.2576,1.187,0.3872,0.3262,1.409,0.1499,0.1064,1.9817,0.7481,0.3775,1.4751,0.4925,0.3339,1.7241,0.6103,0.354,0.0016,1.3226,0.9544,0.9245,0.9955,?,?,?,?,?,DESTRA_PANTALONI
