@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.4429,1.5627,1.2501,8.0142,-1.7977,2.7909,8.2538,2.8729,11.9803,-0.6715,9.7646,4.1372,2.034,8.3628,0.4506,10.647,3.9266,1.9816,8.3793,0.4647,-0.1587,-0.0454,-0.0416,0.2858,0.2621,0.9171,0.4351,0.6146,0.6309,1.4125,1.4498,1.0265,0.1893,0.3777,0.398,1.995,2.102,1.0536,1.0699,-0.7508,-0.7081,-0.7017,-0.6618,0.9431,0.3997,0.1882,0.183,0.4709,0.4579,0.9725,0.6689,0.9583,0.9564,1.4326,1.4298,0.998,0.1017,14.3803,0.2664,0.0654,0.1137,-0.464,-0.3159,0.9696,3.4893,9.8471,3.138,8.0964,0.0464,3.5387,9.4882,3.0803,11.7479,-0.8228,7.0393,2.6491,1.6276,4.131,0.5278,0.986,0.4957,0.5027,1.0187,1.928,1.8925,1.0378,3.7172,3.5817,-0.0744,0.0854,-1.1483,1.3174,0.9705,0.7366,0.6892,1.9599,2.8439,0.0862,14.9932,-0.5529,-0.9692,0.3905,?,?,?,?,?,DESTRA_PANTALONI
0.0346,11.32,3.3645,13.2818,-0.698,-2.7879,38.5383,6.2079,23.8563,-1.5608,9.7435,21.1954,4.6038,20.4825,-0.0251,12.1259,26.726,5.1697,22.6181,0.0331,-0.0124,0.0035,0.0029,-0.2861,-0.2299,0.8035,0.542,0.7308,0.6508,1.3484,1.2008,0.8905,0.2937,0.5341,0.4236,1.8182,1.442,0.7931,0.3755,10.9023,-7.0474,29.0358,-18.7692,-0.6464,0.8397,0.3915,0.3344,0.4662,0.3982,0.8542,0.5567,0.6484,0.5872,1.1647,1.0547,0.9056,0.0533,18.0097,0.1138,-0.4512,-0.307,-0.4654,-0.6276,0.9348,4.9063,5.0607,2.2496,6.8745,0.1863,1.1083,28.1576,5.3064,13.3464,-1.3571,5.9053,2.7608,1.6616,4.3354,0.4525,4.4268,0.8308,0.1877,0.4239,1.3539,3.1936,0.1797,1.833,10.1991,-0.2048,0.4392,-2.1441,1.492,1.0668,0.715,0.5151,1.5857,3.0785,0.0408,15.9479,-0.5695,-0.766,0.947,?,?,?,?,?,DESTRA_PANTALONI
0.5899,1.2396,1.1134,3.7098,-0.3485,3.3473,8.058,2.8387,9.7539,-0.6338,9.4971,4.3249,2.0796,7.7499,0.4029,10.608,2.8386,1.6848,6.6379,0.5027,0.1762,0.0621,0.0556,0.3525,0.3155,0.8953,0.3922,0.5354,0.6608,1.365,1.6849,1.2344,0.1538,0.2866,0.4367,1.8632,2.8388,1.5236,0.2533,-0.1833,-0.1429,-0.7235,-0.5639,0.7795,0.4608,0.2119,0.2061,0.4599,0.4473,0.9724,0.3803,0.4787,0.5589,1.2586,1.4694,1.1675,0.1146,14.5474,-0.4568,0.6289,0.569,-0.6499,-0.5495,0.9842,2.3922,4.1518,2.0376,6.502,0.1058,3.258,0.6437,0.8023,2.6191,0.3355,7.6436,1.3548,1.164,3.9336,0.5621,0.7343,0.313,0.4262,2.5396,1.7505,0.6893,6.4496,3.0644,0.4751,0.582,0.1524,0.2619,1.8449,0.8095,0.4388,2.4825,1.6529,0.6658,0.0983,13.2938,-0.99,-0.9565,0.9811,?,?,?,?,?,DESTRA_PANTALONI
-0.5903,0.0123,0.1111,0.8513,?,9.2555,0.0488,0.221,0.9114,0.9058,9.6004,0.0095,0.0976,0.4582,0.9535,13.3499,0.0317,0.178,0.774,0.9435,-0.0638,-0.0615,-0.0442,0.9641,0.6933,0.7191,0.5027,1.1375,0.6239,2.2628,1.2411,0.5485,0.2527,1.2939,0.3892,5.1202,1.5403,0.3008,-0.0971,-0.0906,-0.0658,0.9332,0.6778,0.7264,0,0,0,0.9823,0.7061,0.7188,0.934,1.8578,1.0999,1.9891,1.1776,0.592,0.1335,19.4462,0.3589,-0.2231,0.1926,0.1743,0.9159,0.5512,-7.7699,0.0054,0.0735,7.9224,?,5.312,0.0125,0.1117,0.381,0.9303,2.762,0.0002,0.0144,0.0457,0.9836,-1.4627,-2.8131,1.9232,0.6579,5.0915,7.7388,0.4329,25.9237,59.889,-1.5584,-2.8962,1.8585,0,0,1.965,20.7961,173.528,8.3443,0.0981,15.844,0.9985,-0.3797,-0.4363,?,?,?,?,?,DESTRA_PANTALONI
-0.5141,0.0078,0.0881,0.8074,?,10.8907,0.0189,0.1373,0.6906,0.9385,9.6171,0.0122,0.1105,0.4837,0.9509,14.5386,0.029,0.1702,0.827,0.9447,-0.0472,-0.0535,-0.0354,1.1324,0.7491,0.6615,0.6416,0.797,0.5176,1.2422,0.8067,0.6494,0.4117,0.6352,0.2679,1.543,0.6507,0.4217,-0.0766,-0.0862,-0.0572,1.1254,0.7466,0.6635,0,0,0,1.1402,0.7515,0.6591,1.1691,1.6691,0.9763,1.4276,0.8351,0.585,0.1454,21.0219,0.3704,0.169,0.2772,0.8906,0.9811,0.9633,-6.8079,0.0008,0.028,6.8553,?,6.3238,0.0014,0.038,0.128,0.9799,3.1458,0.0003,0.0167,0.0581,0.9818,-1.0766,-2.1641,2.0102,0.7381,1.6762,2.271,0.5448,2.8096,5.1572,-1.0962,-2.1937,2.0011,0,0,2.0048,53.5639,118.0335,2.2036,0.0981,16.2774,0.9995,-0.9193,-0.9488,?,?,?,?,?,DESTRA_PANTALONI
0.7411,7.9917,2.827,13.2212,-1.3318,-2.0622,33.5956,5.7962,22.4045,-2.0411,9.8065,12.7328,3.5683,12.7944,0.2021,11.8126,15.7507,3.9687,13.0455,0.304,-0.3594,0.0756,0.0627,-0.2103,-0.1746,0.8302,0.4877,0.7922,0.7123,1.6243,1.4605,0.8991,0.2379,0.6277,0.5074,2.6385,2.133,0.8084,0.5022,-2.3303,-1.3255,-4.6404,-2.6396,0.5688,0.7696,0.3536,0.3025,0.4595,0.3931,0.8555,0.5901,1.0334,1.0135,1.7511,1.7174,0.9808,0.051,17.053,-0.0553,-0.3553,-0.2881,-0.517,-0.7314,0.9029,6.4838,9.6701,3.1097,9.5779,0.0183,0.8057,17.7034,4.2075,11.8354,-0.9933,3.8855,11.0045,3.3173,8.369,-0.0194,8.0478,1.6687,0.2074,0.7391,0.9374,1.2684,0.5462,0.8787,1.6087,-0.0303,-1.1212,36.946,1.6433,1.1885,0.7233,0.8093,1.1444,1.4142,0.0386,14.4096,-0.7628,-0.917,0.9181,?,?,?,?,?,DESTRA_PANTALONI
0.2664,0.0114,0.1066,0.5624,-0.0299,3.864,0.062,0.249,1.268,0.7153,9.6064,0.0148,0.1215,0.6316,0.9366,10.3607,0.0273,0.1651,0.8356,0.9227,0.0689,0.0277,0.0257,0.4022,0.3729,0.9272,0.4283,0.878,0.6459,2.0498,1.5079,0.7356,0.1835,0.7709,0.4172,4.2015,2.2737,0.5412,-0.0051,-0.0018,-0.0016,0.3415,0.3196,0.9359,0.1226,0.0548,0.0505,0.4471,0.4122,0.922,0.4435,0.8905,0.6731,2.0077,1.5175,0.7558,0.1036,13.7371,0.1108,0.0527,0.1161,0.2824,0.7541,0.8434,-8.5676,0,0.006,8.5766,?,4.273,0.0005,0.0218,0.0901,0.9792,2.1383,0.0005,0.0215,0.0846,0.9608,-2.005,-4.0068,1.9984,0.2768,0.2807,1.0142,0.0766,0.0788,1.0285,-2.0202,-4.1339,2.0463,0,0,2.0079,95.176,101.4087,1.0655,0.0981,14.9789,1.0165,-0.8247,-0.962,?,?,?,?,?,DESTRA_PANTALONI
0.212,1.1238,1.0601,3.5825,-0.8215,0.4162,3.0014,1.7325,8.1364,-0.5805,9.4355,2.2836,1.5112,6.0416,0.528,9.663,2.2834,1.5111,5.9808,0.5378,0.5093,0.0225,0.0219,0.0441,0.0431,0.9765,0.6119,0.7015,0.7015,1.1464,1.1465,1.0001,0.3744,0.4921,0.4921,1.3143,1.3145,1.0001,0.5407,-0.239,-0.2322,-0.4421,-0.4294,0.9712,0.3821,0.1536,0.152,0.4022,0.3978,0.9892,0.4403,0.593,0.599,1.3467,1.3604,1.0102,0.0935,11.9123,0.4851,-0.776,-0.7828,-0.3499,-0.298,0.9924,6.4225,3.5648,1.8881,4.9864,0.4704,0.7874,1.602,1.2657,3.3762,-0.7813,6.7289,3.9201,1.9799,5.8004,0.3219,8.1569,0.9545,0.117,1.4917,0.9536,0.6393,2.2252,0.9093,0.4087,-2.9903,1.6085,-0.5379,4.9672,1.1007,0.2216,1.4769,0.8597,0.5821,0.0924,14.54,-0.9497,-0.9827,0.9606,?,?,?,?,?,DESTRA_PANTALONI
0.1015,1.5149,1.2308,6.8256,-0.9851,0.0598,4.7278,2.1743,12.7429,-0.9425,9.6323,5.5482,2.3555,11.1893,0.2167,9.9775,5.0353,2.244,9.293,0.3535,1.6964,0.0105,0.0102,0.0062,0.006,0.9654,0.5661,0.5225,0.5485,0.9231,0.969,1.0497,0.3204,0.273,0.3009,0.8521,0.9389,1.1019,0.5478,-1.094,-0.6666,-1.997,-1.2169,0.6093,0.5241,0.2407,0.2392,0.4592,0.4564,0.9938,0.5356,0.61,0.7345,1.1388,1.3712,1.2041,0.0954,12.209,0.1801,0.2323,0.2636,-0.1399,-0.1332,0.975,1.8179,11.2651,3.3563,9.7173,-0.1981,1.1412,5.4771,2.3403,8.0055,-0.9215,8.513,2.4141,1.5537,5.7642,0.4075,1.5929,0.2135,0.1341,1.4341,2.1602,1.5062,2.0567,4.6663,2.2688,0.4185,-0.4053,-0.9686,1.9468,0.8338,0.4283,1.2138,1.6858,1.3888,0.0869,13.7584,-0.9526,-0.8443,0.8756,?,?,?,?,?,DESTRA_PANTALONI
-0.09,4.1351,2.0335,8.566,-0.6796,4.0748,18.2374,4.2705,18.6932,-0.95,9.6431,17.1723,4.1439,16.1909,0.158,11.5861,14.9097,3.8613,15.1227,0.2239,-0.0221,-0.0093,-0.0078,0.4226,0.3517,0.8323,0.4762,0.4907,0.5266,1.0305,1.106,1.0732,0.2267,0.2408,0.2773,1.062,1.2232,1.1518,0.3806,-1.1412,-0.7946,-2.9986,-2.0878,0.6963,0.532,0.2652,0.2618,0.4986,0.492,0.9868,0.4582,0.5291,0.5664,1.1545,1.2361,1.0706,0.0537,16.1357,0.0824,0.0031,0.0033,-0.4159,-0.1411,0.9413,4.8727,20.6008,4.5388,10.4764,-0.0749,2.9939,7.8503,2.8018,7.5196,-0.2418,5.0919,9.0647,3.0108,7.55,0.1083,1.6275,0.957,0.588,1.6199,1.5075,0.9306,2.6242,2.2727,0.866,0.4988,-0.7963,-1.5965,1.6094,1.1511,0.7152,1.3932,1.3876,0.996,0.0393,13.9499,-0.7747,-0.985,0.8106,?,?,?,?,?,DESTRA_PANTALONI
