@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.9474,2.1481,1.4657,8.0142,-1.7977,0.9153,9.2,3.0332,11.9803,-0.6715,9.8954,6.8259,2.6126,8.3628,0.4506,10.542,6.696,2.5877,8.3793,0.4647,-1.0351,-0.0957,-0.0899,0.0925,0.0868,0.9387,0.4832,0.561,0.5664,1.161,1.1722,1.0097,0.2335,0.3147,0.3208,1.3478,1.374,1.0194,1.0699,-0.7508,-0.7081,-0.7017,-0.6618,0.9431,0.3997,0.1882,0.183,0.4709,0.4579,0.9725,0.6689,0.9583,0.9564,1.4326,1.4298,0.998,0.1997,13.8802,-0.0046,0.3046,0.2814,-0.6112,-0.5149,0.978,-37.173,26.2657,5.125,42.917,?,-1.5034,330.1826,18.1709,54.691,-0.7021,-9.9005,27.1085,5.2066,24.6712,?,24.7267,3.7547,0.1518,0.282,0.9843,3.49,0.0795,0.9689,12.18,1.9024,1.7396,0.9144,0,1,0,0.7847,1.7396,2.2168,0.77,63.2375,0.2498,-0.5594,0.5164,?,?,?,?,?,DESTRA_PANTALONI
-0.2177,21.0555,4.5886,13.2306,-0.7026,-7.3445,20.4476,4.5219,19.0399,-2.9005,11.4124,26.5656,5.1542,19.6924,0.0145,14.9244,29.5658,5.4374,19.7447,0.1558,0.0296,-0.0191,-0.0146,-0.6436,-0.4921,0.7647,1.0148,0.8903,0.8439,0.8773,0.8316,0.9479,1.0297,0.7926,0.7122,0.7697,0.6916,0.8985,0.3856,-18.8713,-1.4984,-48.9396,-3.8858,0.0794,1.592,0.3889,0.3323,0.2443,0.2087,0.8543,0.6949,0.6719,0.6701,0.9669,0.9643,0.9974,0.2828,23.5828,0.1963,-0.4813,-0.3435,-0.8063,-0.8883,0.9699,-14.258,10.6013,3.256,18.779,?,8.9649,218.4008,14.7784,39.3585,-0.4077,-37.5993,11.2122,3.3485,42.4194,?,-1.5904,0.3792,-0.2384,0.2203,0.9724,4.4135,0.0485,0.9455,19.4788,1.6473,0.4427,0.2687,0,1,0,0.4771,0.4427,0.9278,0.8583,66.6665,-0.0207,-0.031,0.998,?,?,?,?,?,DESTRA_PANTALONI
1.3952,1.017,1.0085,3.066,-0.1145,1.6774,10.3831,3.2223,9.6354,-0.6467,10.1958,6.0905,2.4679,7.7499,0.4029,11.0529,4.0377,2.0094,6.6379,0.5027,0.8318,0.1368,0.1262,0.1645,0.1518,0.9225,0.313,0.4086,0.5019,1.3057,1.6036,1.2282,0.0979,0.167,0.2519,1.7048,2.5716,1.5084,0.0832,-0.0602,-0.0469,-0.7235,-0.5639,0.7795,0.4702,0.2119,0.2061,0.4508,0.4384,0.9724,0.3182,0.3956,0.4619,1.2433,1.4516,1.1675,0.237,14.922,-0.0295,0.594,0.5935,-0.6821,-0.6047,0.9864,2.5923,300.5298,17.3358,51.0625,-0.861,-18.223,5.5926,2.3649,21.6875,?,-11.1562,31.3714,5.601,17.3125,-24.1818,-0.1423,-0.2324,1.6334,7.3306,3.0951,0.4222,53.7372,9.5797,0.1783,1.0893,1.4211,1.3045,0,39.9091,0,2.3545,2.9495,1.2527,0.4892,45.1278,0.1138,-0.9088,0.2623,?,?,?,?,?,DESTRA_PANTALONI
-0.5946,0.0106,0.1029,0.7816,?,9.3909,0.0202,0.1421,0.5488,0.9433,9.5898,0.0084,0.0914,0.3212,0.967,13.4359,0.0227,0.1507,0.5755,0.958,-0.0633,-0.062,-0.0443,0.9793,0.6989,0.7137,0.7237,1.1253,0.6823,1.5549,0.9429,0.6064,0.5237,1.2662,0.4656,2.4177,0.889,0.3677,-0.0856,-0.083,-0.0595,0.9694,0.6952,0.7171,0,0,0,0.9938,0.7061,0.7105,1.4241,2.4336,1.3582,1.7089,0.9537,0.5581,0.2687,19.5753,0.4734,-0.0275,0.2716,0.6919,0.9456,0.8883,13.3361,0.056,0.2367,0.8,0.9416,-42.219,0.1172,0.3424,42.9198,?,-13.077,0.1232,0.351,13.7881,?,-0.3159,-1.0198,3.2285,0.6912,0.6744,0.9756,0.4778,0.4548,0.9519,-0.3008,-0.9362,3.1128,0,0,1,0.0186,0.058,3.1128,0.9233,68.6322,-0.2372,0.2127,-0.3672,?,?,?,?,?,DESTRA_PANTALONI
-0.5213,0.0081,0.09,0.8074,?,10.9056,0.0252,0.1586,0.6906,0.9385,9.5956,0.0165,0.1286,0.4837,0.9509,14.5358,0.0401,0.2002,0.827,0.9447,-0.0478,-0.0543,-0.0359,1.1365,0.7503,0.6601,0.5676,0.7002,0.4496,1.2335,0.7922,0.6422,0.3222,0.4902,0.2022,1.5216,0.6276,0.4124,-0.0766,-0.0862,-0.0572,1.1254,0.7466,0.6635,0,0,0,1.1402,0.7515,0.6591,1.1691,1.6691,0.9763,1.4276,0.8351,0.585,0.2907,21.0225,0.4225,0.2208,0.3279,0.9489,0.9886,0.9829,7.6421,0.0338,0.184,0.5,0.936,-44.7364,0.0888,0.2979,45.1475,?,-12.1184,0.2818,0.5309,13.1532,?,-0.1708,-0.6306,3.6916,0.6175,0.3465,0.5612,0.3813,0.1201,0.315,-0.1619,-0.5556,3.4324,0,0,1,0.0111,0.038,3.4324,0.9395,64.4969,-0.24,-0.1742,-0.5735,?,?,?,?,?,DESTRA_PANTALONI
-0.0561,11.2636,3.3561,12.625,-1.4665,-6.4687,15.5968,3.9493,15.6069,-26.3941,12.584,6.6397,2.5768,12.7944,0.2021,15.0817,6.248,2.4996,10.9883,0.4125,0.0087,-0.0045,-0.0037,-0.514,-0.4289,0.8344,0.8498,1.3025,1.3427,1.5327,1.58,1.0309,0.7222,1.6964,1.8028,2.349,2.4963,1.0627,0.4992,-2.3164,-0.973,-4.6404,-1.9491,0.42,8.9846,0.3192,0.2737,0.0355,0.0305,0.8573,0.8089,0.9868,1.1489,1.2198,1.4203,1.1644,0.283,21.8215,-0.2885,-0.2869,-0.1516,0.1392,-0.5385,0.6924,-35.8932,23.4094,4.8383,42.0349,?,5.7057,107.2315,10.3553,34.2438,-0.8053,-9.8637,28.2298,5.3132,24.1074,?,-6.2907,3.6389,-0.5785,0.4672,0.9106,1.949,0.2183,0.8292,3.7985,2.7518,1.7437,0.6336,0,1,0,1.2275,1.7437,1.4205,0.7532,56.4295,0.8312,0.5626,0.918,?,?,?,?,?,DESTRA_PANTALONI
0.2624,0.0094,0.097,0.4789,0.0894,3.901,0.0647,0.2543,1.268,0.7153,9.5958,0.0128,0.113,0.4662,0.9524,10.3646,0.0272,0.1648,0.7989,0.9258,0.0673,0.0273,0.0253,0.4065,0.3764,0.9258,0.3812,0.8577,0.5883,2.2499,1.5431,0.6858,0.1453,0.7357,0.3461,5.062,2.3811,0.4704,0.0148,0.005,0.0047,0.3415,0.3196,0.9359,0.1181,0.0537,0.0488,0.4547,0.4136,0.9098,0.3777,1.0273,0.5995,2.7201,1.5872,0.5835,0.2072,13.7592,0.1023,0.1557,0.1749,0.3543,0.7993,0.8464,44.6134,0.0165,0.1285,0.4,0.9911,2.6547,0.0091,0.0955,0.3065,0.8885,-15.4403,0.0504,0.2246,15.7273,?,16.8055,-2.8894,-0.1719,1.3452,0.572,0.4252,1.8096,0.3272,0.1808,18.1817,-2.8233,-0.1553,16.2999,0,0,1.3051,0.0254,0.0195,0.9457,62.7084,0.1101,-0.1037,0.383,?,?,?,?,?,DESTRA_PANTALONI
-0.5052,0.8892,0.943,3.2226,-1.0055,-0.5644,3.6132,1.9008,8.1364,-0.5805,9.9708,2.2868,1.5122,5.8403,0.5438,10.2087,2.5637,1.6012,5.7823,0.5532,0.8951,-0.0507,-0.0495,-0.0566,-0.0553,0.9767,0.4961,0.6236,0.5889,1.257,1.1872,0.9445,0.2461,0.3888,0.3468,1.58,1.4093,0.892,0.5407,-0.2321,-0.2257,-0.4294,-0.4175,0.9724,0.3121,0.1255,0.1242,0.4022,0.3978,0.9892,0.3961,0.5518,0.5573,1.3931,1.4071,1.01,0.1961,12.5623,0.1882,-0.9049,-0.8839,-0.0709,0.003,0.9919,-25.6201,33.5759,5.7945,34.5965,?,14.2114,16.0856,4.0107,12.873,0.3365,-35.0597,22.9483,4.7904,44.1185,?,-1.8028,0.7308,-0.4053,1.4448,1.2096,0.8372,2.0873,1.4631,0.7009,-5.299,0.7842,-0.148,0,1,0,2.6875,0.7842,0.2918,0.8959,74.8911,-0.4523,-0.966,0.6213,?,?,?,?,?,DESTRA_PANTALONI
-0.2367,1.9656,1.402,5.1255,-1.9486,0.1246,6.2904,2.5081,10.9494,-1.2972,10.0542,8.547,2.9235,11.1893,0.2167,10.5061,7.5845,2.754,8.69,0.3954,-1.9002,-0.0235,-0.0225,0.0124,0.0119,0.957,0.559,0.4796,0.5091,0.8579,0.9107,1.0616,0.3125,0.23,0.2592,0.736,0.8294,1.1269,0.5478,-1.094,-0.5959,-1.997,-1.0878,0.5447,0.3647,0.1217,0.1209,0.3337,0.3316,0.9938,0.4681,0.4581,0.5898,0.9786,1.26,1.2876,0.1972,13.1291,-0.0095,0.5672,0.5692,-0.1696,-0.2454,0.9842,-16.9275,105.6098,10.2767,32.8,-4.7544,18.4054,69.0243,8.3081,23.7154,0.23,-32.2628,65.7073,8.106,40.7847,?,-0.9197,0.5247,-0.5705,1.2369,1.2678,1.0249,1.53,1.6073,1.0505,-3.825,0.6645,-0.1737,0.1851,0,0,1.3831,0.8042,0.5815,0.8004,68.3603,-0.7123,-0.6934,0.9662,?,?,?,?,?,DESTRA_PANTALONI
-0.0316,7.5408,2.7461,8.566,-0.6796,0.7071,8.1723,2.8587,14.1659,-1.39,11.5627,21.4597,4.6325,13.8689,0.2739,12.3665,18.4411,4.2943,12.8481,0.3375,-0.0446,-0.0027,-0.0026,0.0611,0.0572,0.935,0.9606,0.5928,0.6395,0.6171,0.6657,1.0787,0.9227,0.3514,0.4089,0.3808,0.4432,1.1637,0.4207,-0.6626,-0.5295,-1.5751,-1.2586,0.7991,0.8605,0.267,0.263,0.3103,0.3056,0.9848,0.6047,0.6176,0.6667,1.0214,1.1026,1.0795,0.2364,16.5703,0.1769,-0.0106,-0.0043,-0.5156,-0.5225,0.9917,-38.3469,139.4312,11.8081,48.587,?,-25.4783,204.9499,14.3161,46.5408,?,2.9614,51.0885,7.1476,26.0712,-1.1802,1.5051,-12.9491,-8.6036,0.8248,1.652,2.0029,0.6803,2.7292,4.0117,1.044,3.4428,3.2978,1,0,0,1.044,1.8636,1.7851,0.9415,70.6431,-0.9346,-0.929,0.8282,?,?,?,?,?,DESTRA_PANTALONI
