@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
2.2234,8.7989,2.9663,11.2428,-0.0003,3.7496,7.1503,2.674,13.4362,-0.8792,2.2234,8.7989,2.9663,11.2428,-0.0003,6.3341,8.5738,2.9281,12.8716,0.2469,0.593,1,0.351,1.6864,0.592,0.351,1.1093,1,1.013,0.9015,0.9132,1.013,1.2306,1,1.0262,0.8126,0.834,1.0262,0.0006,1,-0.0009,1679.84,-1.4894,-0.0009,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.8368,1,0.8735,1.1951,1.0439,0.8735,0.0245,8.9056,-0.8597,1,0.9788,-0.8597,-0.8634,0.9788,-26.3815,47.31,6.8782,42.917,?,-13.393,133.3111,11.546,54.691,-0.7021,-26.676,104.7059,10.2326,34.8005,?,1.9698,0.989,0.5021,0.5957,0.6722,1.1284,0.3549,0.4518,1.2732,1.9024,1.2332,0.6482,0,1,0,0.7847,1.2332,1.5716,0.1992,70.1157,-0.4341,-0.9493,0.6346,1100,0,0,0,1,DESTRA_PANTALONI
3.4021,18.4798,4.2988,18.8454,-0.0921,2.6104,26.1779,5.1164,17.2672,-0.9363,3.4021,18.4798,4.2988,18.8454,-0.0921,8.2958,24.2793,4.9274,24.7977,0.0136,1.3033,1,0.4101,0.7673,0.3147,0.4101,0.8402,1,0.8724,1.1902,1.0384,0.8724,0.7059,1,0.7611,1.4166,1.0782,0.7611,0.1903,1,-4.6566,5.255,-24.4703,-4.6566,1.9351,1,0.6864,0.5168,0.3547,0.6864,1.0914,1,0.76,0.9163,0.6963,0.76,0.0144,12.4654,-0.8211,1,0.9607,-0.8211,-0.7254,0.9607,4.5205,155.6694,12.4768,40.0787,-0.8817,-6.6987,139.086,11.7935,42.0578,-0.5043,-41.6294,9.7035,3.115,44.7586,?,-0.6748,-0.1086,0.1609,1.0579,4.0053,3.786,1.1192,16.0426,14.3336,1.3319,0.4196,0.315,0.7618,0,0,0.9529,0.8954,0.9397,0.1119,66.6298,-0.7089,-0.5344,0.887,1100,0,0,0,1,DESTRA_PANTALONI
3.056,15.5618,3.9448,12.6605,0.0294,3.0453,2.597,1.6115,6.7995,-0.4143,3.056,15.5618,3.9448,12.6605,0.0294,6.4474,20.1041,4.4838,15.3755,0.1665,1.0035,1,0.474,0.9965,0.4723,0.474,2.4479,1,0.8798,0.4085,0.3594,0.8798,5.9922,1,0.7741,0.1669,0.1292,0.7741,-0.1923,1,0.1247,-5.2,-0.6486,0.1247,2.7131,1,0.7071,0.3686,0.2606,0.7071,1.862,1,0.8234,0.5371,0.4422,0.8234,0.0302,9.3214,-0.9239,1,0.9918,-0.9239,-0.8917,0.9918,21.9504,201.6052,14.1988,52.9375,-0.806,-17.4043,2.1282,1.4588,21.6875,?,-13.3914,9.6329,3.1037,17.3125,-24.1818,-1.2612,-1.6391,1.2997,9.733,4.5748,0.47,94.7321,20.9288,0.2209,1.0893,1.4211,1.3045,0,42.6364,0,2.4409,3.0578,1.2527,0.1774,56.0539,0.3019,-0.8338,0.0633,125000,0,0,0,1,DESTRA_PANTALONI
-7.5097,0.0248,0.1575,7.985,?,4.9949,0.0444,0.2108,0.9397,0.8299,-7.5097,0.0248,0.1575,7.985,?,11.7391,0.0282,0.1681,0.9462,0.9236,-1.5035,1,-0.6397,-0.6651,0.4255,-0.6397,0.7473,1,0.9371,1.3382,1.2541,0.9371,0.5584,1,0.8782,1.7908,1.5727,0.8782,-1.7421,1,-0.6982,-0.574,0.4008,-0.6982,0,1,0,0,0.446,0,8.497,1,8.4389,0.1177,0.9932,8.4389,0.0587,20.0143,0.5646,1.0005,-0.8956,0.5646,-0.1386,-0.8956,14.3291,0.5249,0.7245,2.6,0.8323,-41.4778,0.3678,0.6065,42.9198,?,-13.4738,0.4281,0.6543,14.9519,?,-0.3455,-1.0635,3.0784,1.1945,1.1072,0.9269,1.4268,1.226,0.8592,-0.3008,-0.8633,2.8705,0,0,1,0.0606,0.1739,2.8705,0.2295,69.2807,0.7501,-0.4492,-0.6303,1100,0,0,0,1,DESTRA_PANTALONI
-6.5191,0.016,0.1266,6.8903,?,6.1009,0.0144,0.12,0.6573,0.8973,-6.5191,0.016,0.1266,6.8903,?,11.0563,0.024,0.1551,0.8121,0.9294,-1.0685,1,-0.5896,-0.9359,0.5518,-0.5896,1.0548,1,0.8163,0.9481,0.7739,0.8163,1.1126,1,0.6663,0.8988,0.5989,0.6663,-1.1993,1,-0.6447,-0.8338,0.5376,-0.6447,0,1,0,0,0.5568,0,10.483,1,8.4846,0.0954,0.8094,8.4846,0.0553,19.1391,0.1323,1.0015,-0.9067,0.1323,0.2997,-0.9067,7.9696,0.113,0.3361,1.6,0.8204,-44.6012,0.1184,0.3441,45.1475,?,-12.1898,0.2457,0.4957,13.3648,?,-0.1787,-0.6538,3.6589,0.9767,0.6781,0.6943,0.9539,0.4598,0.482,-0.1619,-0.5468,3.3781,0,0,1,0.0354,0.1197,3.3781,0.2346,64.7607,-0.3388,-0.0164,-0.1914,1100,0,0,0,1,DESTRA_PANTALONI
3.8402,29.2618,5.4094,19.6857,-0.2272,2.7243,19.7029,4.4388,14.9392,-1.053,3.8402,29.2618,5.4094,19.6857,-0.2272,9.2646,29.31,5.4139,19.3576,0.1507,1.4096,1,0.4145,0.7094,0.2941,0.4145,1.2187,1,0.9992,0.8206,0.8199,0.9992,1.4852,1,0.9984,0.6733,0.6722,0.9984,0.4756,1,-1.0608,2.1026,-2.2305,-1.0608,2.2045,1,0.7038,0.4536,0.3193,0.7038,1.3177,1,1.0169,0.7589,0.7717,1.0169,0.0155,13.1175,-0.8702,1,0.9494,-0.8702,-0.7603,0.9494,-10.8305,317.3466,17.8142,47.7478,-7.3579,-20.8173,290.1278,17.0331,54.9149,-1.8951,-28.67,130.6602,11.4307,38.2828,?,0.5203,0.3778,0.7261,1.0459,1.5585,1.4901,1.0938,2.4288,2.2205,1.1694,1.098,0.939,0.3012,0,0,0.8695,1.2472,1.4345,0.0943,68.6214,-0.8572,-0.8128,0.9431,1100,0,0,0,1,DESTRA_PANTALONI
-8.3489,0.0143,0.1195,8.6164,?,4.1386,0.0166,0.129,0.7029,0.842,-8.3489,0.0143,0.1195,8.6164,?,12.5122,0.0265,0.1628,0.8049,0.9378,-2.0173,1,-0.6673,-0.4957,0.3308,-0.6673,0.9263,1,0.7342,1.0795,0.7926,0.7342,0.8581,1,0.539,1.1654,0.6281,0.539,-2.2999,1,-0.7097,-0.4348,0.3086,-0.7097,0,1,0,0,0.3437,0,12.2577,1,10.7053,0.0816,0.8734,10.7053,0.0626,20.8364,0.0537,0.9971,-0.9649,0.0537,0.211,-0.9649,44.6629,0.039,0.1975,0.9,0.98,2.5551,0.0263,0.1623,0.7152,0.7491,-15.224,0.1311,0.3621,16.037,?,17.48,-2.9337,-0.1678,1.2169,0.5455,0.4483,1.4808,0.2976,0.201,20.6974,-2.7563,-0.1332,15.821,0,0,1.2585,0.0561,0.0446,0.2363,62.442,-0.2856,0.2654,-0.4619,1100,0,0,0,1,DESTRA_PANTALONI
5.7672,3.2005,1.789,7.3139,0.3788,1.3031,1.1584,1.0763,4.0196,-0.6621,5.7672,3.2005,1.789,7.3139,0.3788,8.3548,5.9763,2.4447,10.1843,0.3924,4.4257,1,0.6903,0.226,0.156,0.6903,1.6622,1,0.7318,0.6016,0.4403,0.7318,2.7628,1,0.5355,0.362,0.1938,0.5355,-2.7854,1,0.6781,-0.359,-0.2434,0.6781,4.8685,1,0.7024,0.2054,0.1443,0.7024,1.8196,1,0.7182,0.5496,0.3947,0.7182,0.0411,13.0939,-0.7555,1,0.9993,-0.7555,-0.7373,0.9993,-12.0727,71.403,8.45,34.5965,?,9.2899,12.4168,3.5238,12.873,0.3365,-42.8848,26.7913,5.176,46.4931,?,-1.2995,0.2815,-0.2166,2.398,1.6325,0.6808,5.7505,2.6652,0.4635,-5.299,0.7441,-0.1404,0,1,0,2.6875,0.7441,0.2769,0.2264,64.2474,-0.8533,-0.9833,0.8856,1100,0,0,0,1,DESTRA_PANTALONI
1.0469,8.5562,2.9251,13.1009,-0.1438,1.8092,4.297,2.0729,11.9675,-0.643,1.0469,8.5562,2.9251,13.1009,-0.1438,3.9198,11.5096,3.3926,16.4081,0.0119,0.5786,1,0.2671,1.7282,0.4616,0.2671,1.4111,1,0.8622,0.7087,0.611,0.8622,1.9912,1,0.7434,0.5022,0.3733,0.7434,0.3516,1,-8.3419,2.8445,-23.7281,-8.3419,1.5726,1,0.6898,0.6359,0.4386,0.6898,1.0947,1,0.7984,0.9135,0.7294,0.7984,0.0116,5.5394,-0.842,1,0.926,-0.842,-0.6453,0.926,-19.4648,81.1515,9.0084,36.5,-2.883,-2.7761,193.4993,13.9104,47.6188,-0.546,-24.8721,61.5018,7.8423,40.7847,?,7.0116,0.7826,0.1116,0.6476,1.1487,1.7738,0.4194,1.3195,3.1462,1.6113,0.6645,0.4124,0.3052,0,0,0.7665,0.8949,1.1676,0.1577,58.2502,0.2779,-0.5234,-0.4628,1100,0,0,0,1,DESTRA_PANTALONI
2.8598,41.7449,6.461,27.4784,-0.4177,3.7603,6.7131,2.591,11.5329,-0.3597,2.8598,41.7449,6.461,27.4784,-0.4177,9.0474,38.8438,6.2325,25.4764,0.0736,0.7605,1,0.3161,1.3149,0.4156,0.3161,2.4937,1,1.0367,0.401,0.4157,1.0367,6.2184,1,1.0747,0.1608,0.1728,1.0747,2.6535,1,-4.0009,0.3769,-1.5078,-4.0009,2.2852,1,0.7048,0.4376,0.3084,0.7048,2.3826,1,1.0786,0.4197,0.4527,1.0786,0.0142,13.4464,-0.607,1,0.8392,-0.607,-0.4521,0.8392,-5.2073,414.1868,20.3516,56.5521,-6.1,-38.2635,108.0084,10.3927,46.5408,?,-14.9885,122.6696,11.0756,34.3964,-1.8764,0.1361,0.3474,2.5529,1.9583,1.8375,0.9383,3.8348,3.3764,0.8805,1.044,2.1654,2.0742,0,0.6661,0,1.2151,1.6441,1.3531,0.1062,70.3393,-0.8622,-0.9884,0.8564,1100,0,0,0,1,DESTRA_PANTALONI
