@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.854,1.923,1.3867,7.8938,-1.505,-1.7541,3.3844,1.8397,6.8843,-1.503,-0.0145,6.1744,2.4848,7.8632,-0.6007,3.7107,1.5186,1.2323,5.2395,0.1449,0.4869,58.9041,-0.2301,120.9893,-0.4727,-0.0039,0.7538,0.5581,1.1253,0.7404,1.4929,2.0164,0.5682,0.3115,1.2664,0.5481,2.2287,4.066,1.1472,1.6072,-5.3404,1.4009,-4.655,-3.3229,1.1457,0.6415,0.5143,0.5599,0.4489,0.8017,1.1466,1.0039,1.5066,0.8755,1.3139,1.5007,0.039,5.6122,0.2832,0.2839,0.155,0.8131,-0.2676,0.1277,6.3136,3.5717,1.8899,6.4169,0.2442,2.3723,16.1097,4.0137,11.7479,-0.8228,5.5194,0.5992,0.7741,2.867,0.617,2.6613,1.1439,0.4298,0.4709,2.4416,5.1853,0.2217,5.9612,26.8869,-0.3911,0.4491,-1.1483,1.3174,1.1343,0.861,0.5462,2.2382,4.0976,0.1743,16.0572,-0.5611,-0.8205,0.1536,1100,0,0,0,1,DESTRA_PANTALONI
-0.2802,21.6417,4.6521,13.1453,-0.7342,-2.3508,29.5225,5.4335,18.8719,-1.6085,1.7475,28.6503,5.3526,20.1273,-0.9727,8.9466,8.4317,2.9037,10.2655,0.2418,0.1192,-0.1603,-0.0313,-1.3452,-0.2628,0.1953,0.8562,0.8691,1.6021,1.0151,1.8712,1.8434,0.7331,0.7554,2.5667,1.0304,3.5014,3.3979,0.4782,0.5608,-1.7002,1.1726,-3.5552,-3.032,1.0477,0.7429,0.5599,0.7091,0.5344,0.7536,0.6966,0.6531,1.2805,0.9376,1.8384,1.9607,0.0613,13.993,-0.726,-0.5033,0.5521,-0.0717,-0.8212,0.0793,6.7162,1.4411,1.2004,3.5358,0.5815,-3.256,18.0061,4.2434,12.4793,-1.6024,4.4731,0.9535,0.9765,2.6441,0.5755,-2.0627,1.5014,-0.7279,0.2829,1.2293,4.3455,0.08,1.5113,18.8836,-0.6393,1.3702,-2.1433,1.7618,1.3562,0.7698,0.2833,1.3372,4.7196,0.1813,15.9748,0.4896,0.3903,0.9885,1100,0,0,0,1,DESTRA_PANTALONI
-0.6822,0.932,0.9654,3.3057,-7.089,0.9984,2.7919,1.6709,5.4187,-0.6421,2.8808,9.582,3.0955,8.5944,-0.4898,4.6378,1.5577,1.2481,3.8091,0.4145,-0.6833,-0.2368,-0.1471,0.3466,0.2153,0.6211,0.5778,0.3119,0.7735,0.5398,1.3388,2.4802,0.3338,0.0973,0.5984,0.2914,1.7924,6.1515,1.3672,1.0253,-1.0745,0.7499,-0.7859,-1.048,0.1238,0.0708,0.0628,0.572,0.5072,0.8868,0.61,0.3846,0.8678,0.6305,1.4226,2.2563,0.284,6.3896,0.8148,-0.4265,-0.5307,-0.2682,-0.4125,0.9348,3.9094,3.6877,1.9203,6.0527,0.1676,2.6206,0.4707,0.686,2.3555,0.3595,6.6263,0.5874,0.7664,2.9082,0.6345,1.4918,0.59,0.3955,2.7991,2.5056,0.8952,7.8351,6.2782,0.8013,0.9217,0.2414,0.2619,1.9772,0.9138,0.4622,2.5697,2.0813,0.8099,0.1847,13.1562,-0.9842,-0.9683,0.9952,125000,0,0,0,1,DESTRA_PANTALONI
-0.5952,0.0105,0.1024,0.7817,?,-0.4437,0.0149,0.1222,0.6754,?,-0.2202,0.0084,0.0914,0.3903,?,0.7833,0.0199,0.141,0.6555,0.386,1.3414,2.7033,-0.7599,2.0152,-0.5665,-0.2811,0.8384,1.1207,0.7266,1.3366,0.8667,0.6484,0.703,1.2559,0.528,1.7866,0.7511,0.4204,1.1574,2.003,-1.8969,1.7306,-1.639,-0.9471,1,1,0,1,0,0,1.1574,2.003,1.1926,1.7306,1.0304,0.5954,0.0155,1.2591,0.5177,-0.0295,-0.8023,0.7531,-0.9189,-0.542,-7.7089,0.0004,0.0193,7.7461,?,5.4017,0.0009,0.0301,0.1094,0.98,2.7623,0.0001,0.0115,0.0398,0.9857,-1.4271,-2.7908,1.9555,0.6408,1.6803,2.6221,0.4106,2.8233,6.8755,-1.4464,-2.8309,1.9571,0,0,1.9685,70.7909,194.5407,2.7481,0.1962,15.8728,0.9892,-0.3865,-0.5311,1100,0,0,0,1,DESTRA_PANTALONI
-0.5214,0.0081,0.0898,0.8063,?,-0.4139,0.0246,0.1569,0.7279,?,-0.2144,0.0165,0.1286,0.4837,-9.8531,0.7154,0.0265,0.1629,0.6863,0.3789,1.2598,2.432,-0.7288,1.9305,-0.5785,-0.2997,0.5725,0.6985,0.5514,1.2201,0.9632,0.7894,0.3278,0.488,0.3041,1.4886,0.9277,0.6232,1.1077,1.8359,-1.9254,1.6573,-1.7382,-1.0488,1,0,0,0,0,0.0403,1.1077,1.6667,1.1748,1.5046,1.0606,0.7049,0.014,1.1522,0.4243,0.2206,-0.6764,0.9568,-0.9459,-0.8538,-6.7838,0.0003,0.0168,6.8149,?,6.356,0.0004,0.0205,0.0635,0.9901,3.133,0,0.0057,0.0181,0.9942,-1.0673,-2.1653,2.0287,0.8165,2.9305,3.5892,0.6667,8.5881,12.8823,-1.0786,-2.1807,2.0217,0,0,2.0303,107.3751,376.2594,3.5042,0.1962,16.2728,0.9978,-0.9749,-0.9584,1100,0,0,0,1,DESTRA_PANTALONI
0.0578,11.0279,3.3208,12.5807,-1.5062,-2.0402,19.1426,4.3752,16.2717,-1.097,3.2963,6.8182,2.6112,12.3265,-0.8199,6.962,3.5509,1.8844,8.1323,0.285,-0.0283,0.0175,0.0083,-0.6189,-0.2931,0.4735,0.759,1.2718,1.7623,1.6756,2.3218,1.3857,0.5761,1.6174,3.1057,2.8076,5.3909,1.9201,0.8883,1.3615,-2.3321,1.5328,-2.6255,-1.7128,0.6469,0.7411,0.4413,1.1456,0.6822,0.5955,0.7732,1.0206,1.547,1.3201,2.0009,1.5158,0.0775,10.7856,-0.8436,-0.2675,-0.2086,0.1343,0.1608,0.1744,8.9455,0.3456,0.5879,2.196,0.7749,-3.015,5.301,2.3024,8.0747,-2.7096,0.818,0.7437,0.8624,3.1443,-0.0535,-2.967,10.9365,-3.686,0.2553,0.6817,2.6698,0.0652,0.4647,7.1278,-1.2819,-47.3607,36.946,4.4822,3.2688,0.7293,0.272,0.6984,2.568,0.1895,13.1937,0.7908,-0.2191,0.3856,1100,0,0,0,1,DESTRA_PANTALONI
0.2624,0.0094,0.0969,0.4793,0.0891,-0.2347,0.0652,0.2553,1.284,-2.8945,-0.2142,0.0128,0.113,0.4812,?,0.4764,0.0302,0.1739,0.8228,0.2007,-1.1179,-1.2249,0.5508,1.0958,-0.4927,-0.4496,0.3794,0.8571,0.5571,2.2589,1.4684,0.65,0.144,0.7346,0.3104,5.1025,2.1561,0.4226,-0.0491,-0.0974,0.2269,1.9829,-4.6186,-2.3292,1.596,0,0.5111,0,0.3203,0,0.3733,0.996,0.5825,2.668,1.5604,0.5849,0.0082,0.7503,0.1153,0.1571,0.2568,0.3597,-0.7918,-0.4737,-8.5721,0,0.0027,8.5766,?,4.2595,0.0001,0.0089,0.0266,0.9938,2.1477,0.0001,0.0079,0.0235,0.9891,-2.0124,-3.9913,1.9833,0.3069,0.3463,1.1284,0.0942,0.1199,1.2734,-2.0202,-4.0157,1.9878,0,0,1.9785,321.8863,364.9422,1.1338,0.1962,14.9793,0.7793,-0.7915,-0.9175,1100,0,0,0,1,DESTRA_PANTALONI
-0.5471,0.8913,0.9441,3.2094,-0.9973,-0.3991,2.7494,1.6581,6.9998,-0.5797,0.07,2.4287,1.5584,6.0405,-1.0204,2.4363,0.5974,0.7729,3.4609,0.2581,1.3708,-7.8119,-0.2246,-5.6988,-0.1638,0.0287,0.5694,0.6058,1.2215,1.064,2.1453,2.0163,0.3242,0.367,1.492,1.132,4.6022,4.0655,0.6239,0.5253,-1.3306,0.842,-2.1329,-2.5332,0.3626,0.5374,0.3444,1.4821,0.9498,0.6409,0.4585,0.5313,0.9273,1.1588,2.0225,1.7454,0.0133,3.7062,-0.1234,-0.8893,0.3101,0.291,0.5783,-0.0093,8.1253,1.1138,1.0554,3.7207,0.6048,-0.2285,1.0826,1.0405,3.0706,-0.9315,5.0748,2.2105,1.4868,5.0753,0.3517,-35.5587,1.6011,-0.045,1.0143,0.7098,0.6998,1.0289,0.5039,0.4897,-3.845,2.0682,-0.5379,5.9223,1.2026,0.2031,1.2117,0.7331,0.605,0.1879,14.1622,-0.8915,-0.9799,0.8803,1100,0,0,0,1,DESTRA_PANTALONI
-0.2795,1.9496,1.3963,5.2054,-1.9006,0.8521,5.179,2.2757,9.2279,-1.0878,0.2406,8.5575,2.9253,11.1893,-1.5001,3.838,1.8176,1.3482,6.8728,0.2177,-0.3281,-1.1618,-0.0728,3.5414,0.222,0.0627,0.6136,0.4773,1.0357,0.7779,1.688,2.1698,0.3764,0.2278,1.0726,0.6052,2.8493,4.708,0.7094,0.508,-1.7837,0.7161,-2.5143,-3.511,0.406,0.401,0.2043,0.9876,0.5031,0.5094,0.5641,0.4652,0.7574,0.8247,1.3427,1.6281,0.0182,5.8481,0.5769,0.5633,-0.2079,0.4278,-0.066,-0.0839,4.5912,6.667,2.5821,8.1323,-0.0027,-0.5677,4.5459,2.1321,5.7777,-1.9805,7.7502,3.5537,1.8851,5.7642,0.4075,-8.0872,0.5924,-0.0733,1.211,1.3697,1.131,1.4666,1.8761,1.2792,0.0056,-0.0054,-0.9686,4.1841,0.8338,0.1993,1.4075,1.4108,1.0023,0.177,14.3194,-0.9239,-0.926,0.9487,1100,0,0,0,1,DESTRA_PANTALONI
0.1802,6.8479,2.6169,8.0815,-0.6431,-0.7588,15.4316,3.9283,13.6045,-1.3642,2.0269,21.5058,4.6374,13.7608,-0.4569,6.6274,4.58,2.1401,9.0863,0.0923,-0.2375,0.0889,0.0272,-0.3743,-0.1145,0.3058,0.6662,0.5643,1.2228,0.8471,1.8356,2.1669,0.4438,0.3184,1.4952,0.7176,3.3693,4.6956,0.4029,0.7329,-3.4242,1.8189,-8.4984,-4.6722,0.8547,0.5208,0.4914,0.6093,0.5749,0.9436,0.594,0.5873,0.8894,0.9886,1.4973,1.5145,0.0462,10.0845,0.9311,-0.065,-0.0229,-0.0784,-0.0511,0.5432,9.1,0.7276,0.853,3.4191,0.6492,0.8395,5.9795,2.4453,7.2832,-0.2516,2.2455,0.8734,0.9346,3.8029,0.1943,10.84,4.0526,0.3739,0.3488,0.9127,2.6165,0.1217,0.8331,6.8461,-4.3213,6.899,-1.5965,1.6748,2.0648,1.2329,0.4695,0.8991,1.9152,0.1921,13.3238,-0.8678,-0.8587,0.647,1100,0,0,0,1,DESTRA_PANTALONI
