@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.48,3.6776,1.9177,12.0709,-0.4648,-1.6024,10.2014,3.194,18.5933,-1.7055,0.4225,18.5149,4.3029,20.7357,-0.7192,5.0176,10.1936,3.1927,12.2944,0.0557,-0.2996,1.1362,0.0957,-3.7925,-0.3193,0.0842,0.6004,0.4457,0.6006,0.7423,1.0004,1.3477,0.3605,0.1986,0.3608,0.551,1.0008,1.8163,0.3268,0.4416,-5.2825,1.3512,-16.1647,-11.9635,1.1991,0.6832,0.6329,0.5698,0.5279,0.9264,0.6492,0.5821,0.9818,0.8967,1.5123,1.6866,0.009,7.1232,-0.1574,-0.1575,0.4112,0.0381,-0.6705,0.292,2.1159,9.9606,3.156,9.578,0.0028,5.6233,5.9841,2.4462,8.7636,-0.2052,6.4841,2.0763,1.4409,6.2412,0.1877,0.3763,0.3263,0.8672,1.2902,2.1903,1.6977,1.6645,4.7973,2.8821,-0.018,0.0186,-1.0343,1.3208,1.25,0.9464,1.0929,1.5346,1.4042,0.046,14.3456,-0.9836,-0.8181,0.8778,-0.1962,0.5159,0.7183,4.6356,-3.0578,-0.6754,1.4864,1.2192,4.8151,-4.0794,0.3819,0.5354,0.7317,2.9822,-0.2618,0.2905,-0.5138,-1.7686,0.5891,0.9816,1.6663,0.3471,0.9636,2.7764,0.9033,5.6448,6.249,1.2051,0.4834,0.4011,0.9627,1.5544,1.6146,0.0042,1.9504,0.5143,-0.1697,-0.6963,DESTRA_PANTALONI
0.0027,2.7636,1.6624,10.9033,-1.2455,-0.1177,10.7511,3.2789,19.5574,-0.7393,0.3412,10.1195,3.1811,15.8418,-0.5222,4.1711,6.3662,2.5231,14.9843,0.0242,-0.0227,0.0078,0.0006,-0.3449,-0.0282,0.0818,0.507,0.5226,0.6589,1.0307,1.2995,1.2608,0.257,0.2731,0.4341,1.0624,1.6888,1.5896,0.7275,1.1128,-16.254,1.5296,-22.3427,-14.6064,0.4318,0.4666,0.3162,1.0804,0.7322,0.6777,0.5575,0.6883,0.7277,1.2345,1.3052,1.0572,0.0019,6.4425,-0.3015,0.1795,0.1353,0.7862,0.3662,0.4044,1.6262,8.2879,2.8789,9.42,-0.0144,5.361,4.7458,2.1785,9.0534,-0.3452,7.0928,1.436,1.1983,4.9751,0.3786,0.3033,0.2293,0.7558,1.3215,2.4024,1.818,1.7463,5.7716,3.305,0.0575,-0.0441,-0.7665,1.3798,1.1599,0.8407,1.0405,1.8934,1.8198,0.0478,14.3197,-0.9417,-0.8788,0.9151,-0.2435,0.5551,0.7451,4.0076,-3.0451,-0.5874,1.6271,1.2756,5.3726,-6.7564,0.2605,0.4582,0.6769,2.8049,-0.2793,0.4147,-0.935,-2.2548,0.5841,1.1007,1.8844,0.3412,1.2115,3.5508,0.6446,4.9261,7.6416,1.4303,0.4519,0.3159,0.7459,1.4288,1.9155,0.0036,1.7615,0.5521,-0.3165,-0.5905,DESTRA_PANTALONI
-0.098,6.8565,2.6185,16.3726,-0.8663,0.2735,17.8644,4.2266,24.6698,-0.919,0.4902,17.1338,4.1393,17.076,-0.8859,5.808,8.4467,2.9063,14.9887,0.0306,-0.3582,-0.1999,-0.0169,0.558,0.0471,0.0844,0.6195,0.6326,0.901,1.0211,1.4543,1.4242,0.3838,0.4002,0.8117,1.0426,2.1149,2.0285,0.6433,0.9474,-16.0409,1.4729,-24.9367,-16.9309,0.6824,0.9689,0.5674,1.4198,0.8314,0.5856,0.6637,0.9588,1.0923,1.4447,1.6459,1.1393,0.003,8.8929,-0.5169,0.0273,-0.0374,0.7204,0.1996,0.294,1.1644,8.7157,2.9522,10.5834,-0.1088,6.0912,3.2633,1.8065,7.9874,-0.0861,6.6683,1.2576,1.1214,5.6232,0.2777,0.1912,0.1746,0.9135,1.6343,2.6326,1.6109,2.6708,6.9305,2.5949,1.6399,-0.4806,-0.2931,1.2979,1.2261,0.9447,1.325,1.8821,1.4204,0.0479,14.3756,-0.9132,-0.8948,0.8627,-0.0694,0.7037,0.8388,4.3237,-1.4304,-0.6214,1.2821,1.1323,5.1259,-8.2023,0.5013,1.5177,1.232,5.4794,-0.4383,0.1117,-0.1384,-1.2396,0.7408,0.6809,0.9191,0.5488,0.4636,0.8447,0.557,1.5239,2.7361,3.1938,0.467,0.1462,0.8435,0.7891,0.9355,0.0042,2.3752,0.1838,0.111,-0.7379,DESTRA_PANTALONI
0.0197,9.0287,3.0048,24.6864,-0.3732,-0.5618,10.4227,3.2284,21.484,-0.9998,0.632,19.0018,4.3591,29.5211,-0.4472,5.0096,14.0725,3.7513,25.5986,0.0208,-0.035,0.0311,0.0039,-0.8889,-0.1121,0.1262,0.9307,0.6893,0.801,0.7406,0.8606,1.162,0.8663,0.4752,0.6416,0.5485,0.7406,1.3503,0.6246,0.7354,-12.3675,1.1774,-19.8001,-16.8164,1.6734,0.8813,0.6877,0.5267,0.411,0.7803,1.1491,0.8362,0.9644,0.7278,0.8393,1.1532,0.0044,7.5712,0.3598,0.0951,0.3214,-0.1061,-0.2516,0.5502,0.9414,6.5552,2.5603,10.236,-0.347,2.3893,1.2131,1.1014,6.3013,0.0959,8.9099,2.4244,1.557,6.6579,0.3182,0.394,0.1057,0.2682,2.3246,1.6443,0.7074,5.4038,2.7038,0.5004,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.0483,12.7756,0.6284,-0.9122,-0.7533,0.192,1.3473,1.1607,5.3561,-0.4124,-0.484,4.0155,2.0039,11.1813,-3.4021,-0.1665,1.0949,1.0464,5.7666,-2.153,-0.3966,-1.1528,2.9064,0.5793,1.1093,1.9151,0.3355,1.2306,3.6675,0.181,0.3971,2.1945,1.493,2.0735,1.3888,0.479,0.9288,1.939,0.0028,2.4807,-0.1998,-0.4911,0.4414,DESTRA_PANTALONI
-1.0209,2.7623,1.662,6.0153,-3.5116,0.1217,1.2887,1.1352,5.6205,-0.6151,0.2296,5.5454,2.3549,11.1695,-0.8351,2.9321,2.109,1.4523,6.2191,0.0353,-8.3923,-4.4461,-0.3482,0.5298,0.0415,0.0783,1.464,0.7058,1.1444,0.4821,0.7817,1.6215,2.1434,0.4981,1.3097,0.2324,0.611,2.6293,2.1873,0.9211,-20.5891,0.4211,-9.4129,-22.3524,0.3831,0.2191,0.2068,0.5718,0.5398,0.9442,1.0702,0.5385,0.9672,0.5032,0.9037,1.796,0.006,4.2486,-0.2535,-0.1382,-0.4503,0.7057,0.2367,0.2873,1.3742,2.7812,1.6677,6.0684,-0.0127,2.4771,0.0811,0.2848,0.9922,0.6561,8.6086,0.8523,0.9232,4.0215,0.5973,0.5547,0.1596,0.2877,5.8557,1.8065,0.3085,34.2891,3.2633,0.0952,-0.0402,-0.0128,0.3173,2.0772,0.6,0.2889,6.1161,1.509,0.2467,0.0518,12.4708,-0.8581,-0.7943,0.6779,0.2041,0.2805,0.5296,2.5155,-0.4141,-0.6923,0.9664,0.983,4.2516,-6.4839,0.4502,0.4992,0.7065,2.5742,-0.2832,-0.2948,0.4534,-1.5378,0.5388,0.7496,1.3914,0.2903,0.5619,1.936,0.2,1.2968,6.4839,3.1312,0.8867,0.2832,0.5917,0.9772,1.6516,0.0049,1.8766,-0.6815,0.7291,-0.681,DESTRA_PANTALONI
-0.1555,0.3106,0.5573,2.7221,-1.1099,-0.4972,12.3687,3.5169,13.4422,-0.7733,-0.3308,10.3719,3.2205,12.5827,-0.6332,4.3607,4.4165,2.1016,10.4525,0.0348,0.3127,0.4701,-0.0357,1.5031,-0.114,-0.0759,0.1585,0.173,0.2652,1.092,1.6735,1.5325,0.0251,0.0299,0.0703,1.1925,2.8005,2.3484,0.2443,0.2935,-3.8039,1.2017,-15.5724,-12.959,0.1702,0.1675,0.1191,0.9839,0.7,0.7115,0.2025,0.2163,0.2604,1.0683,1.286,1.2038,0.0031,6.5194,0.459,0.3762,-0.014,0.9939,0.2304,0.233,-5.6671,0.0452,0.2125,6.0753,?,7.8193,0.0295,0.1718,0.6155,0.9244,1.6878,0.0543,0.2331,0.8377,0.6039,-0.7248,-3.3576,4.6327,1.2372,0.9117,0.7369,1.5306,0.8311,0.543,-0.8075,-4.7564,5.8905,0,0,3.8485,9.8701,7.2527,0.7348,0.0488,15.1743,0.9577,-0.212,-0.4823,0.0046,0.0417,0.2043,0.8324,-0.8956,0.0066,0.0614,0.2478,1.2161,-0.8736,-0.0416,0.0448,0.2117,0.809,-0.9766,0.6995,-0.1112,-0.1589,0.8244,0.9651,1.1707,0.6796,0.9314,1.3705,0.6936,0.984,1.4187,0.6765,1.0729,1.5859,0.6845,1.029,1.5033,0.0002,0.5416,-0.3353,-0.0431,-0.1521,DESTRA_PANTALONI
0.1079,0.9103,0.9541,5.4294,-1.0563,0.1216,3.0301,1.7407,11.4031,-1.7128,-0.0753,2.5142,1.5856,8.0914,-0.5934,2.0279,2.3742,1.5408,8.5657,0.0179,0.8876,-1.4327,0.0532,-1.6141,0.0599,-0.0371,0.5481,0.6017,0.6192,1.0978,1.1297,1.0291,0.3004,0.3621,0.3834,1.2052,1.2763,1.059,0.3874,0.9256,-17.9056,2.3893,-46.2221,-19.3458,0.6281,0.52,0.3027,0.8278,0.482,0.5822,0.4761,0.671,0.6338,1.4093,1.3312,0.9446,0.0009,3.0356,0.6042,-0.214,-0.2112,-0.6954,-0.3011,0.5419,7.0393,0.2924,0.5407,2.1745,0.7399,-6.7684,0.368,0.6067,7.6126,?,0.3771,0.0707,0.2658,1.5744,-0.1916,-1.04,18.6687,-17.9503,0.8913,2.0341,2.2822,0.7944,4.1375,5.2085,-0.8125,-24.4347,30.0745,0,6.3267,0,0.2856,1.3812,4.8351,0.0486,14.206,0.9909,0.3071,0.3895,-0.0394,1.1093,1.0532,4.6642,-1.7679,-0.0199,1.0529,1.0261,5.0532,-0.5438,-0.1607,0.3859,0.6212,2.3161,-1.3827,1.9821,0.2453,0.1238,1.0264,1.6954,1.6517,1.0536,2.8743,2.7282,1.6737,2.2165,1.3243,0.5148,1.7336,3.3673,0.923,2.0138,2.1818,0.0008,2.1606,-0.9434,0.5186,-0.4644,DESTRA_PANTALONI
-0.1299,7.8357,2.7992,12.6425,-0.7337,2.606,23.4669,4.8443,25.2496,-0.4245,0.7269,14.776,3.844,28.1639,-0.4652,6.269,14.1141,3.7569,25.7619,0.0181,-0.0499,-0.1787,-0.0207,3.5849,0.4157,0.116,0.5778,0.7282,0.7451,1.2602,1.2894,1.0232,0.3339,0.5303,0.5552,1.5882,1.6627,1.0469,0.7111,0.5984,-11.2461,0.8414,-15.815,-18.795,0.4114,0.3794,0.2779,0.9221,0.6756,0.7326,0.5007,0.4489,0.4907,0.8965,0.9801,1.0932,0.0145,9.2364,-0.501,0.2821,-0.1251,-0.0559,0.6178,0.4013,4.9919,16.5347,4.0663,11.3123,-0.196,2.3078,10.2734,3.2052,11.3778,-0.333,4.2418,21.1089,4.5944,13.1683,-0.4244,2.163,1.1768,0.5441,1.2686,0.885,0.6976,1.6095,0.7833,0.4867,0.6522,0.4725,0.7244,1.1081,1.0231,0.9233,0.9942,0.8591,0.864,0.0371,14.5909,-0.3944,-0.6261,-0.404,-0.3614,1.2093,1.0997,5.7304,-1.5248,-0.789,2.6562,1.6298,6.9449,-1.6993,0.0963,4.7996,2.1908,9.4998,-0.6681,0.4581,-3.7514,-8.1891,0.6747,0.5019,0.7439,0.4553,0.2519,0.5534,0.7916,0.9096,1.1491,0.8822,0.3985,0.4518,0.8251,0.6032,0.7311,0.0047,4.1261,-0.0039,0.2729,-0.0661,SINISTRA_PANTALONI
0.0593,0.0772,0.2779,1.0959,-0.7618,-0.3813,1.6861,1.2985,5.6072,-0.7623,-0.2912,1.0451,1.0223,4.6852,-0.6889,1.5365,0.6812,0.8253,3.9627,0.0625,-0.1555,-0.2036,0.0386,1.3095,-0.2481,-0.1895,0.214,0.2718,0.3367,1.2702,1.5733,1.2387,0.0458,0.0739,0.1133,1.6133,2.4753,1.5343,0.1954,0.248,-1.7933,1.2691,-9.1786,-7.2325,0.1955,0.2242,0.1472,1.147,0.7527,0.6563,0.1955,0.2339,0.2766,1.1968,1.415,1.1823,0.0026,2.3215,0.1245,0.0029,-0.137,0.9865,0.168,0.2011,7.2656,0.033,0.1817,0.6365,0.9146,6.47,0.0387,0.1967,0.6808,0.9021,-1.2007,0.0086,0.0925,1.342,?,1.123,-6.0513,-5.3888,0.9239,1.9645,2.1263,0.8537,3.8594,4.521,1.0856,-5.0767,-4.6763,1.0709,0,0,0.935,0.4743,0.5073,0.053,14.9363,-0.9957,0.1535,-0.0745,-0.047,0.0307,0.1752,0.7936,-2.0837,-0.0199,0.0262,0.162,0.8278,-1.9272,0.0401,0.0129,0.1137,0.6868,-1.1592,2.3577,-1.1737,-0.4978,1.0819,1.5409,1.4243,1.1705,2.3744,2.0285,0.984,1.4544,1.4781,0.9101,0.8091,0.889,0.9587,1.1555,1.2053,0.0004,0.3676,0.8215,-0.1962,-0.1607,SINISTRA_PANTALONI
1.1766,7.0508,2.6553,16.2694,-0.6313,1.752,44.9297,6.703,34.3347,-0.3824,0.7979,27.9695,5.2886,29.3225,-0.6283,8.0468,20.2903,4.5045,25.5604,0.0481,0.6715,1.4745,0.1462,2.1958,0.2177,0.0992,0.3961,0.5021,0.5895,1.2674,1.4881,1.1741,0.1569,0.2521,0.3475,1.6064,2.2143,1.3785,0.6629,0.5564,-4.87,0.8394,-7.347,-8.7524,0.4016,0.5539,0.3714,1.3792,0.9249,0.6706,0.4738,0.5548,0.6365,1.1709,1.3433,1.1472,0.0121,11.394,-0.3961,0.0623,-0.0862,0.3179,0.6581,0.4937,6.204,7.9945,2.8275,9.6296,-0.029,3.3335,11.552,3.3988,12.5405,-0.3228,3.6079,13.9986,3.7415,10.7485,-0.1995,1.8611,1.7196,0.924,0.8319,0.7557,0.9084,0.692,0.5711,0.8252,0.0886,0.1517,1.7119,0.9872,1.0444,1.0579,0.7679,0.8959,1.1667,0.0425,14.2897,-0.3751,-0.4804,-0.5762,-0.1865,0.9864,0.9932,6.5668,-0.8546,-0.5544,2.313,1.5209,8.0643,-1.7073,0.0031,4.8173,2.1948,8.8878,-0.7028,0.3364,-60.1623,-178.8555,0.653,0.4525,0.6929,0.4265,0.2048,0.4801,0.595,0.825,1.3864,1.1887,0.6783,0.5707,0.8143,0.7389,0.9073,0.0031,3.766,-0.3997,0.026,-0.0276,SINISTRA_PANTALONI
