@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
0.6099,4.7212,2.1728,12.0709,-0.4648,-1.9536,12.6179,3.5522,18.5933,-1.7055,1.0889,22.1664,4.7081,20.7357,-0.7192,5.8578,10.5659,3.2505,12.2944,0.0557,-0.3122,0.5601,0.1041,-1.7941,-0.3335,0.1859,0.6117,0.4615,0.6685,0.7545,1.0928,1.4484,0.3742,0.213,0.4468,0.5692,1.1942,2.0979,0.3268,0.4416,-5.2825,1.3512,-16.1647,-11.9635,1.1991,0.6832,0.6329,0.5698,0.5279,0.9264,0.6492,0.5821,0.9818,0.8967,1.5123,1.6866,0.0161,8.3301,-0.1581,-0.201,0.4154,0.0974,-0.6837,0.2139,2.7123,11.852,3.4427,9.578,0.0028,5.1437,7.0574,2.6566,8.7636,-0.2052,6.3805,2.7235,1.6503,6.2412,0.1877,0.5273,0.4251,0.8062,1.2959,2.0861,1.6098,1.6794,4.3517,2.5913,-0.018,0.0186,-1.0343,1.3208,1.25,0.9464,1.0929,1.5346,1.4042,0.0599,14.3996,-0.9823,-0.829,0.896,?,?,?,?,?,DESTRA_PANTALONI
-0.0895,3.4505,1.8576,10.9033,-1.2455,-0.4153,8.3228,2.8849,15.2753,-1.1941,0.1816,8.159,2.8564,11.8595,-0.8459,4.0009,4.1389,2.0344,9.6567,0.0371,0.2156,-0.493,-0.0224,-2.287,-0.1038,0.0454,0.6439,0.6503,0.9131,1.01,1.418,1.404,0.4146,0.4229,0.8337,1.0201,2.0109,1.9713,0.7275,1.1128,-16.254,1.5296,-22.3427,-14.6064,0.6974,0.7557,0.4842,1.0836,0.6942,0.6406,0.7138,0.9194,1.1291,1.288,1.5818,1.2281,0.0033,6.2312,-0.5147,0.1205,0.1254,0.6515,-0.0071,0.1147,2.1372,9.9657,3.1568,9.389,-0.0111,4.9796,5.7249,2.3927,8.8788,-0.3544,7.0159,1.8819,1.3718,4.9751,0.3786,0.4292,0.3046,0.7098,1.3194,2.3012,1.7441,1.7408,5.2955,3.0421,0.0442,-0.0339,-0.7665,1.4165,1.1599,0.8189,1.0575,1.8872,1.7847,0.0624,14.4261,-0.9369,-0.8954,0.9347,?,?,?,?,?,DESTRA_PANTALONI
-0.0488,8.5466,2.9235,15.8361,-0.9078,0.2225,17.6423,4.2003,23.6841,-0.8338,0.6197,16.7599,4.0939,15.5444,-0.7594,5.944,8.053,2.8378,14.3365,0.0428,-0.2194,-0.0788,-0.0082,0.359,0.0374,0.1043,0.696,0.7141,1.0302,1.026,1.4801,1.4426,0.4844,0.5099,1.0613,1.0527,2.1908,2.0812,0.6997,1.1231,-11.7508,1.605,-16.793,-10.4629,0.6427,0.9395,0.5542,1.4618,0.8623,0.5899,0.6686,1.0188,1.1046,1.5236,1.652,1.0843,0.0046,9.127,-0.6061,-0.0126,0.0326,0.6487,0.0579,0.2515,1.7277,10.5861,3.2536,10.224,-0.0712,5.8684,4.2594,2.0638,7.9771,-0.0863,6.5031,1.612,1.2697,5.623,0.2777,0.2944,0.2657,0.9024,1.5765,2.5626,1.6255,2.4853,6.5669,2.6423,1.0727,-0.3144,-0.2931,1.2997,1.2261,0.9434,1.2817,1.8183,1.4187,0.0624,14.4008,-0.9235,-0.8962,0.8842,?,?,?,?,?,DESTRA_PANTALONI
0.1226,11.6197,3.4088,24.6864,-0.3732,-0.8548,11.8241,3.4386,21.484,-0.9998,0.5763,21.8673,4.6762,29.5211,-0.4472,5.4278,16.9281,4.1144,25.1067,0.0396,-0.1434,0.2127,0.0226,-1.4833,-0.1575,0.1062,0.9913,0.729,0.8285,0.7353,0.8358,1.1366,0.9827,0.5314,0.6864,0.5407,0.6985,1.2918,0.6246,0.7354,-6.4865,1.1774,-10.3847,-8.8198,1.6734,0.8813,0.6877,0.5267,0.411,0.7803,1.1491,0.8362,0.9833,0.7278,0.8557,1.1758,0.0072,8.2633,0.4019,0.1718,0.3287,-0.1335,-0.2592,0.6378,1.1271,8.5982,2.9323,10.236,-0.347,2.2233,1.4873,1.2195,6.3013,0.0959,8.7597,3.1404,1.7721,6.6579,0.3182,0.507,0.1287,0.2538,2.4044,1.6547,0.6882,5.7812,2.7379,0.4736,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.0632,12.8235,0.6957,-0.9117,-0.8404,?,?,?,?,?,DESTRA_PANTALONI
-1.5253,2.6166,1.6176,6.0153,-3.5116,0.4034,1.0741,1.0364,5.4605,-0.5691,0.5944,4.9516,2.2252,11.1695,-0.8351,3.036,2.2677,1.5059,6.2191,0.0353,-3.7813,-2.566,-0.5024,0.6786,0.1329,0.1958,1.5608,0.7269,1.0742,0.4657,0.6882,1.4777,2.4361,0.5284,1.1538,0.2169,0.4736,2.1835,2.3641,0.9211,-20.5891,0.3896,-8.7092,-22.3524,0.3831,0.2191,0.2068,0.5718,0.5398,0.9442,1.1016,0.5385,0.9672,0.4889,0.878,1.796,0.0129,4.3935,-0.0767,-0.0619,-0.54,0.5896,0.2736,0.317,1.7046,3.268,1.8078,6.0684,-0.0127,2.4647,0.1044,0.3232,0.9922,0.6561,8.3302,0.7627,0.8733,3.9707,0.6004,0.6916,0.2046,0.2959,5.594,2.07,0.37,31.2925,4.2849,0.1369,-0.0402,-0.0128,0.3173,2.0772,0.6031,0.2903,6.1161,1.5283,0.2499,0.0676,12.5141,-0.9122,-0.8181,0.7442,?,?,?,?,?,DESTRA_PANTALONI
-0.1232,0.2965,0.5445,2.7221,-1.1099,-0.6246,11.8817,3.447,13.4209,-0.7705,-0.4756,9.9705,3.1576,12.5827,-0.6332,4.244,4.7685,2.1837,10.4525,0.0348,0.1972,0.259,-0.029,1.3133,-0.1472,-0.1121,0.158,0.1724,0.2494,1.0916,1.5785,1.446,0.025,0.0297,0.0622,1.1917,2.4917,2.0909,0.2452,0.2935,-3.8039,1.1973,-15.5158,-12.959,0.1702,0.1675,0.1191,0.9839,0.7,0.7115,0.2028,0.2163,0.2604,1.0666,1.284,1.2038,0.0053,6.3322,0.4427,0.3652,0.0323,0.9942,0.2602,0.259,-5.6306,0.0326,0.1807,5.9308,?,7.8455,0.0248,0.1576,0.5809,0.9286,1.6887,0.0715,0.2674,0.8377,0.6039,-0.7177,-3.3343,4.6459,1.1467,0.6756,0.5892,1.3148,0.4565,0.3472,-0.7847,-4.6433,5.9176,0,0,3.8485,10.209,7.0802,0.6935,0.0649,15.1648,0.9357,-0.3002,-0.616,?,?,?,?,?,DESTRA_PANTALONI
0.2228,1.0485,1.024,5.4294,-1.0563,-0.0108,3.5488,1.8838,11.4031,-1.7128,0.196,2.9269,1.7108,8.0914,-0.5934,2.1887,2.8218,1.6798,8.5657,0.0179,-20.6629,1.1366,0.1018,-0.055,-0.0049,0.0895,0.5436,0.5985,0.6096,1.1011,1.1214,1.0185,0.2955,0.3582,0.3716,1.2125,1.2576,1.0373,0.3874,0.9256,-17.9056,2.3893,-46.2221,-19.3458,0.6281,0.52,0.3027,0.8278,0.482,0.5822,0.4761,0.671,0.6338,1.4093,1.3312,0.9446,0.002,3.2687,0.6859,-0.3352,-0.2957,-0.6934,-0.3996,0.6015,7.0284,0.357,0.5975,2.1745,0.7399,-6.7662,0.456,0.6753,7.6126,?,0.3883,0.092,0.3034,1.5744,-0.1916,-1.0387,18.1004,-17.4252,0.8849,1.9697,2.226,0.783,3.8797,4.955,-0.8125,-24.4347,30.0745,0,6.3267,0,0.2856,1.3812,4.8351,0.0647,14.2113,0.9912,0.2951,0.3788,?,?,?,?,?,DESTRA_PANTALONI
-0.0254,10.1954,3.193,12.6425,-0.7337,3.4231,27.5442,5.2483,25.2496,-0.4245,1.1482,17.0102,4.1243,28.1639,-0.4652,7.379,13.3358,3.6518,24.9823,0.0478,-0.0074,-0.0221,-0.0034,2.9813,0.4639,0.1556,0.6084,0.7742,0.8744,1.2725,1.4372,1.1294,0.3701,0.5994,0.7645,1.6193,2.0654,1.2755,0.7111,0.5984,-4.2621,0.8414,-5.9937,-7.1231,0.4114,0.3794,0.2779,0.9221,0.6756,0.7326,0.5007,0.4489,0.5061,0.8965,1.0107,1.1274,0.0258,10.8429,-0.5634,0.3096,-0.1912,-0.0683,0.5814,0.4145,7.1009,4.2947,2.0724,8.9243,0.0565,1.8344,12.7734,3.574,11.3778,-0.333,2.6598,18.225,4.2691,12.7503,-0.4445,3.871,2.6697,0.6897,0.5798,0.4854,0.8372,0.3362,0.2356,0.7009,-0.188,-0.1362,0.7244,1.1081,1.0716,0.967,0.7844,0.6999,0.8924,0.0557,14.799,-0.3905,-0.2667,-0.7146,?,?,?,?,?,SINISTRA_PANTALONI
0.0993,0.0902,0.3004,1.0959,-0.7618,0.0019,1.5299,1.2369,4.9277,-0.5487,-0.0152,1.0066,1.0033,4.2442,-0.53,1.4115,0.6446,0.8028,3.9627,0.0625,51.8395,-6.5341,0.0704,-0.126,0.0014,-0.0108,0.2429,0.2994,0.3741,1.2329,1.5406,1.2496,0.059,0.0896,0.14,1.5199,2.3735,1.5616,0.2714,0.3223,-1.7933,1.1876,-6.6072,-5.5636,0.1955,0.2242,0.1472,1.147,0.7527,0.6563,0.2224,0.2582,0.2766,1.161,1.2435,1.0711,0.0007,2.1668,0.0102,-0.1227,-0.1241,0.9836,0.5931,0.6067,7.3633,0.0037,0.0606,0.2574,0.9655,6.3645,0.0044,0.0667,0.2741,0.9582,-1.1955,0.0109,0.1045,1.342,?,1.1569,-6.1594,-5.3239,0.9096,0.5805,0.6382,0.8274,0.337,0.4073,1.1461,-5.3593,-4.6763,1.1374,0,0,0.9391,0.1918,0.2042,0.0705,14.9232,-0.9641,0.2998,-0.0246,?,?,?,?,?,SINISTRA_PANTALONI
0.8096,7.779,2.7891,15.8974,-0.6657,3.1351,49.3677,7.0262,34.637,-0.382,1.362,32.9759,5.7425,26.6459,-0.7272,9.0654,20.2799,4.5033,25.6257,0.0487,0.2582,0.5944,0.0893,2.3018,0.3458,0.1502,0.397,0.4857,0.6193,1.2236,1.5602,1.2752,0.1576,0.2359,0.3836,1.4971,2.4343,1.626,0.6636,0.5663,-4.8421,0.8534,-7.2966,-8.5499,0.3808,0.6186,0.3543,1.6246,0.9304,0.5727,0.459,0.5966,0.6204,1.2999,1.3516,1.0398,0.0251,12.7137,-0.3216,0.1154,-0.0561,0.2724,0.6695,0.4898,7.3601,3.2999,1.8166,6.9137,0.2612,3.2468,14.8204,3.8497,12.5618,-0.3234,2.0645,9.1104,3.0183,9.257,-0.2379,2.2669,3.5651,1.5727,0.4719,0.6018,1.2754,0.2227,0.3622,1.6268,-0.7963,-1.3743,1.7259,0.9859,1.2514,1.2693,0.5504,0.7469,1.357,0.0593,14.1822,-0.4944,0.1577,-0.9131,?,?,?,?,?,SINISTRA_PANTALONI
