@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.4646,8.2487,2.8721,15.3875,-0.3204,-1.0288,6.9217,2.6309,15.8579,-1.2868,-0.2489,9.9543,3.1551,18.5786,-0.8954,4.5865,7.3544,2.7119,11.9493,0.0472,-1.4235,-5.8834,0.3193,4.1331,-0.2243,-0.0543,1.0917,0.9103,1.0591,0.8339,0.9701,1.1634,1.1917,0.8287,1.1216,0.6953,0.9412,1.3535,0.4184,0.4254,-6.3019,1.0167,-15.0622,-14.8147,1.6806,1.189,0.9292,0.7075,0.5529,0.7815,0.9703,0.8282,1.2877,0.8536,1.3271,1.5548,0.0047,6.7525,-0.1265,0.1515,0.6921,0.5691,-0.184,0.1569,0.2921,0.0217,0.1474,0.4731,-0.1859,-0.1752,0.031,0.1761,0.649,?,-0.1401,0.0024,0.0492,0.2474,-7.0575,-1.6676,-2.0855,1.2506,0.8367,2.9946,3.579,0.7001,8.9679,12.8091,0.1143,0.3423,2.9947,0,12.9928,0,0.7291,1.9123,2.623,0.001,0.6198,0.9928,-0.4812,-0.505,2.1094,9.9062,3.1474,9.5792,0.0027,5.6313,5.9181,2.4327,8.7636,-0.2052,6.4912,2.0424,1.4291,6.2412,0.1877,0.3746,0.325,0.8675,1.2938,2.2024,1.7023,1.6739,4.8504,2.8977,-0.0172,0.0178,-1.0343,1.3208,1.25,0.9464,1.0931,1.5348,1.4042,0.0231,14.3495,-0.9837,-0.8162,0.8759,DESTRA_PANTALONI
1.0516,4.657,2.158,13.1633,-0.6116,-0.7788,5.3064,2.3036,11.7382,-1.3161,-0.0611,7.4481,2.7291,14.0047,-0.4224,3.8842,4.0404,2.0101,10.1836,0.079,-1.3503,-17.2114,0.2707,12.7462,-0.2005,-0.0157,0.9368,0.7907,1.0736,0.8441,1.146,1.3577,0.8776,0.6253,1.1526,0.7125,1.3133,1.8434,0.7489,1.2012,-5.7182,1.6039,-7.6353,-4.7604,1.6117,0.8296,0.7387,0.5147,0.4583,0.8905,1.1214,0.9399,1.2926,0.8382,1.1527,1.3752,0.0035,5.7888,-0.1359,0.0905,0.4945,0.4106,-0.0353,0.4675,0.21,0.0133,0.1155,0.4031,0.2429,0.2262,0.0294,0.1715,0.6743,-0.9537,0.8411,0.0007,0.0271,0.1109,0.8722,0.9283,0.2497,0.269,0.6731,4.2588,6.3271,0.4531,18.1373,40.0316,-0.3928,0.1709,-0.4349,1.5426,0.6136,0.3978,0.5978,3.636,6.0825,0.0024,1.3253,-0.9623,-0.9073,0.9278,1.6176,8.2216,2.8673,9.424,-0.0144,5.3721,4.6637,2.1595,9.0534,-0.3452,7.0972,1.4267,1.1945,4.9751,0.3786,0.3011,0.2279,0.7569,1.3277,2.4005,1.808,1.7629,5.7625,3.2688,0.0575,-0.0441,-0.7665,1.3804,1.1604,0.8407,1.0409,1.8942,1.8198,0.024,14.3185,-0.9421,-0.8778,0.9144,DESTRA_PANTALONI
1.131,6.739,2.5959,15.7018,-0.5066,-0.3663,8.1964,2.8629,15.2148,-1.6881,0.0013,12.3797,3.5185,17.1545,-0.949,4.8392,5.3105,2.3044,10.9376,0.0587,-3.0877,866.4799,0.2337,-280.6263,-0.0757,0.0003,0.9067,0.7378,1.1265,0.8137,1.2424,1.5268,0.8222,0.5444,1.269,0.6621,1.5434,2.3312,0.5526,0.6321,-7.734,1.1439,-13.9961,-12.2356,1.8413,1.1841,0.8969,0.6431,0.4871,0.7574,1.032,0.9153,1.4356,0.8869,1.3911,1.5684,0.0031,7.2647,0.1024,-0.1836,0.4203,0.4315,0.0605,0.1878,0.2461,0.0136,0.1167,0.4559,0.2382,0.2555,0.0206,0.1436,0.5389,-0.4929,0.7757,0.0006,0.0243,0.073,0.9099,0.9631,0.3172,0.3294,0.813,4.7954,5.8982,0.661,22.9956,34.7892,-0.8013,0.1935,-0.2415,1.6578,0.739,0.4458,0.8459,6.2465,7.3844,0.0022,1.3037,-0.9562,-0.2031,0.1756,1.1758,8.7942,2.9655,10.5834,-0.1088,6.0824,3.3108,1.8196,7.9874,-0.0861,6.6633,1.2825,1.1325,5.6232,0.2777,0.1933,0.1765,0.9128,1.6298,2.6186,1.6067,2.6562,6.8571,2.5816,1.6399,-0.4806,-0.2931,1.2979,1.2261,0.9447,1.325,1.8821,1.4204,0.0239,14.374,-0.9138,-0.8956,0.8653,DESTRA_PANTALONI
0.5357,16.3277,4.0408,35.2631,-0.2283,0.0326,10.5964,3.2552,29.6684,-0.2954,0.0886,21.299,4.6151,27.8019,-0.7958,5.1638,21.8541,4.6748,36.0225,0.0206,16.4502,6.0452,0.1037,0.3675,0.0063,0.0172,1.2413,0.8756,0.8644,0.7053,0.6963,0.9872,1.5409,0.7666,0.7471,0.4975,0.4849,0.9746,0.9686,0.5319,-8.6446,0.5492,-8.9249,-16.2521,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,0.9789,1.0671,0.8236,0.7718,0.0028,7.7205,0.6449,0.0271,0.7651,-0.2416,0.6219,-0.0244,0.0407,0.0089,0.0945,0.3434,-1.6846,-0.1264,0.0175,0.1324,0.6425,-8.0329,-0.7226,0.0005,0.0225,0.7519,?,-0.3222,-0.0563,0.1749,0.714,4.2074,5.8927,0.5098,17.7025,34.7244,0.3772,0.2866,0.7599,1.7984,0,0,0.5345,0.4567,0.8545,0.0038,0.9478,0.8388,-0.3813,-0.438,0.9414,6.5552,2.5603,10.236,-0.347,2.3893,1.2131,1.1014,6.3013,0.0959,8.9099,2.4244,1.557,6.6579,0.3182,0.394,0.1057,0.2682,2.3246,1.6443,0.7074,5.4038,2.7038,0.5004,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.0483,12.7756,0.6284,-0.9122,-0.7533,DESTRA_PANTALONI
0.9655,2.1254,1.4579,6.3433,-0.2636,-0.1232,0.4674,0.6837,3.1525,-1.2505,-0.7092,6.4428,2.5383,11.4678,-0.8168,2.9153,1.987,1.4096,5.9552,0.0756,-7.8364,-1.3613,0.3312,0.1737,-0.0423,-0.2433,2.1325,0.5744,1.0342,0.2693,0.485,1.8007,4.5474,0.3299,1.0697,0.0725,0.2352,3.2425,0.7555,0.2567,-2.7155,0.3398,-3.5945,-10.5798,3.5836,0.7953,0.7792,0.2219,0.2174,0.9797,2.0122,0.5531,1.0652,0.2749,0.5294,1.9257,0.0069,4.1578,-0.0472,-0.0123,0.5854,0.168,-0.0683,-0.0357,0.0984,0.0554,0.2355,1.228,-1.086,0.0949,0.0022,0.0472,0.1816,-0.2424,0.8164,0.1724,0.4152,1.7652,-0.843,1.037,0.1205,0.1162,4.9845,0.5671,0.1138,24.8451,0.3216,0.0129,18.0389,0.7918,0.0439,4.0272,0.6146,0.1526,6.7614,0.6957,0.1029,0.0047,1.19,0.1645,0.7554,0.7238,1.3742,2.7812,1.6677,6.0684,-0.0127,2.4771,0.0811,0.2848,0.9922,0.6561,8.6086,0.8523,0.9232,4.0215,0.5973,0.5547,0.1596,0.2877,5.8557,1.8065,0.3085,34.2891,3.2633,0.0952,-0.0402,-0.0128,0.3173,2.0772,0.6,0.2889,6.1161,1.509,0.2467,0.0518,12.4708,-0.8581,-0.7943,0.6779,DESTRA_PANTALONI
0.1302,2.2602,1.5034,6.9735,-1.4948,-0.3496,8.1422,2.8535,10.5086,-0.6801,0.0697,0.6684,0.8176,4.1631,-0.612,3.0324,2.0192,1.421,7.4266,0.0504,-0.3723,1.8663,0.0429,-5.0124,-0.1153,0.023,0.5269,1.8388,1.058,3.4901,2.0081,0.5754,0.2776,3.3813,1.1194,12.1808,4.0325,0.3311,0.9823,2.6435,-10.61,2.6913,-10.8016,-4.0136,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6636,1.6751,0.939,2.5243,1.415,0.5606,0.0019,4.5387,-0.9442,-0.7798,-0.3282,0.789,0.2471,0.2264,0.6368,0.0001,0.0085,0.0316,0.9516,-0.0902,0.0003,0.0166,0.1203,?,-0.5314,0.0003,0.0159,0.5659,?,-7.0628,-1.1983,0.1697,0.5131,0.536,1.0446,0.2633,0.2873,1.0911,-5.1637,-1.0981,0.2127,0,0,1,0.2624,0.0558,0.2127,0.0042,1.2584,-0.2212,0.3898,0.2731,-5.6671,0.0452,0.2125,6.0753,?,7.8193,0.0295,0.1718,0.6155,0.9244,1.6878,0.0543,0.2331,0.8377,0.6039,-0.7248,-3.3576,4.6327,1.2372,0.9117,0.7369,1.5306,0.8311,0.543,-0.8075,-4.7564,5.8905,0,0,3.8485,9.8701,7.2527,0.7348,0.0488,15.1743,0.9577,-0.212,-0.4823,DESTRA_PANTALONI
-0.0716,1.5086,1.2283,6.5171,-0.6676,0.0258,1.8518,1.3608,7.5532,-1.7608,0.0481,1.2263,1.1074,6.4805,-0.8202,1.757,1.5077,1.2279,5.8672,0.0284,-2.7771,-1.489,-0.0408,0.5362,0.0147,0.0274,0.9026,1.1092,1.0003,1.2289,1.1083,0.9018,0.8147,1.2302,1.0006,1.5101,1.2282,0.8133,0.5416,0.8934,-15.2037,1.6497,-28.0722,-17.0168,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1108,1.1655,1.2874,1.1045,0.0004,2.6372,-0.5178,0.1237,0.3447,-0.2113,-0.5764,0.433,-0.6418,0.001,0.0309,0.6902,?,-0.245,0.0079,0.0886,0.3741,?,-0.3027,0.0133,0.1154,0.6039,?,2.6192,2.12,0.8094,0.3482,0.2673,0.7678,0.1212,0.0715,0.5896,1.8448,1.1428,0.6195,1,1,1,1.8448,1.1428,0.6195,0.0037,1.1896,-0.9242,0.7891,-0.9011,7.0393,0.2924,0.5407,2.1745,0.7399,-6.7684,0.368,0.6067,7.6126,?,0.3771,0.0707,0.2658,1.5744,-0.1916,-1.04,18.6687,-17.9503,0.8913,2.0341,2.2822,0.7944,4.1375,5.2085,-0.8125,-24.4347,30.0745,0,6.3267,0,0.2856,1.3812,4.8351,0.0486,14.206,0.9909,0.3071,0.3895,DESTRA_PANTALONI
0.7979,15.3735,3.9209,32.6309,-0.2544,0.153,9.7161,3.1171,14.3464,-1.067,-1.535,9.081,3.0135,16.2155,-0.9819,5.364,8.4144,2.9008,25.9912,0.0145,5.2144,-0.5198,0.1488,-0.0997,0.0285,-0.2862,1.2579,1.3011,1.3517,1.0344,1.0746,1.0389,1.5823,1.6929,1.827,1.0699,1.1547,1.0792,0.8937,0.8239,-17.2606,0.9218,-19.313,-20.9506,3.7477,3.1792,0.9863,0.8483,0.2632,0.3102,2.2745,2.0123,1.2555,0.8847,0.552,0.6239,0.0046,8.0777,-0.5262,0.2386,0.5393,-0.271,-0.1144,-0.1502,0.3511,0.0297,0.1723,0.5487,0.1824,-0.2739,0.0561,0.2369,0.6991,-5.3894,0.3188,0.0801,0.2831,0.8441,-0.103,-1.2817,1.1012,-0.8592,0.7272,0.6086,0.8369,0.5288,0.3704,0.7003,-0.2076,-1.5529,7.4817,6.1334,0.8769,0.143,0.7848,0.65,0.8282,0.0015,0.9904,-0.8019,-0.1875,-0.2744,4.9952,16.4868,4.0604,11.3148,-0.1959,2.3154,10.3611,3.2189,11.4372,-0.3307,4.2264,21.1302,4.5968,13.1683,-0.4244,2.1573,1.1819,0.5478,1.2614,0.8833,0.7002,1.5912,0.7803,0.4903,0.6522,0.4725,0.7244,1.1008,1.0234,0.9297,0.9893,0.8592,0.8685,0.0186,14.5937,-0.3955,-0.6226,-0.4073,SINISTRA_PANTALONI
-0.0508,0.4833,0.6952,3.8937,-0.5556,-0.3437,0.8531,0.9237,3.8352,-1.2781,0.1729,0.134,0.3661,1.7103,-0.5847,1.1664,0.2607,0.5106,2.5738,0.0992,0.1479,-0.294,-0.0436,-1.9884,-0.2947,0.1482,0.7527,1.8989,1.3616,2.5229,1.809,0.717,0.5665,3.6059,1.8539,6.3648,3.2723,0.5141,0.6463,2.2038,-4.9076,3.4097,-7.5931,-2.2269,1.4867,2.3192,0.876,1.5599,0.5892,0.3777,1.0152,2.2766,1.5128,2.2424,1.4901,0.6645,0.0011,1.7253,0.5464,-0.3079,0.2586,-0.6205,0.0435,0.0796,0.6472,0.0001,0.0119,0.0385,0.9423,0.3767,0.0004,0.02,0.059,0.8563,0.6491,0,0.0041,0.0156,0.9762,1.7182,0.9971,0.5803,0.595,2.8876,4.8532,0.354,8.338,23.5538,1.7867,0.9807,0.5489,1.6236,1.016,0.6258,0.6518,2.4649,3.7815,0.0027,1.6729,-0.9539,-0.3479,0.0894,7.2659,0.0328,0.181,0.6365,0.9146,6.4696,0.0384,0.196,0.6808,0.9021,-1.2006,0.0086,0.0926,1.342,?,1.1231,-6.0516,-5.3885,0.9237,1.9547,2.1161,0.8532,3.8208,4.478,1.0856,-5.0767,-4.6763,1.0709,0,0,0.935,0.4743,0.5073,0.0266,14.9361,-0.997,0.1565,-0.0758,SINISTRA_PANTALONI
0.7798,26.2871,5.1271,34.8226,-0.9003,0.584,13.8329,3.7193,17.9674,-0.4399,-1.2256,7.2877,2.6996,14.016,-0.9563,6.3522,9.5088,3.0836,18.5158,0.0635,1.3354,-0.6363,0.1228,-0.4765,0.0919,-0.1929,1.3785,1.8992,1.6627,1.3777,1.2061,0.8755,1.9003,3.607,2.7645,1.8981,1.4548,0.7664,3.0055,2.4079,-13.1501,0.8012,-4.3753,-5.4612,1.4686,2.5577,0.9269,1.7417,0.6312,0.3624,1.9381,2.4845,1.8807,1.2819,0.9704,0.757,0.0042,9.342,-0.1167,0.2748,0.0481,-0.0469,0.2845,0.2051,0.234,0.0195,0.1396,0.585,-0.1029,-0.457,0.0333,0.1824,0.6969,?,-0.0201,0.0567,0.2382,0.737,-0.8672,-0.5119,-11.6611,22.778,0.7654,0.5861,0.7658,0.5858,0.3435,0.5864,0.0783,0.1595,2.0362,0,1.3439,0,0.8394,0.7938,0.9457,0.0014,0.9118,-0.4626,-0.56,-0.2196,6.2105,7.9642,2.8221,9.6296,-0.029,3.3368,11.5816,3.4032,12.5618,-0.3234,3.5952,13.9878,3.74,10.7563,-0.1993,1.8612,1.7274,0.9281,0.8293,0.7546,0.9099,0.6877,0.5694,0.828,0.0884,0.1517,1.7172,0.9859,1.0435,1.0583,0.7666,0.8953,1.1678,0.0213,14.2886,-0.3761,-0.4776,-0.5775,SINISTRA_PANTALONI
