@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-2.0119,11.6415,3.412,15.4323,-2.7597,-3.3762,16.268,4.0334,17.7763,-5.7363,0.7508,16.219,4.0273,16.6149,-0.8507,6.6915,15.3625,3.9195,19.2263,0.0146,0.5959,-2.6796,-0.3007,-4.4966,-0.5045,0.1122,0.8459,0.8472,0.8705,1.0015,1.029,1.0275,0.7156,0.7178,0.7578,1.003,1.0589,1.0558,0.7483,1.4832,-39.8468,1.9821,-53.248,-26.8649,1.5554,0.4572,0.2104,0.2939,0.1353,0.4601,0.8681,0.9288,0.8027,1.0699,0.9246,0.8642,0.0412,10.4168,0.8377,-0.4713,-0.7075,-0.3451,-0.9203,0.3376,-25.0354,145.9592,12.0814,51,?,-37.3357,65.7746,8.1102,42.125,?,-24.2841,92.8693,9.6369,35.625,-9,0.6705,1.0309,1.5375,1.4897,1.2537,0.8416,2.2191,1.5717,0.7082,1.2107,1.5906,1.3138,1,0,0,1.2107,1.4316,1.1825,0.5267,86.8061,-0.849,-0.9786,0.9136,?,?,?,?,?,DESTRA_PANTALONI
2.2075,3.3719,1.8363,6.7816,-0.0206,-0.8107,8.8024,2.9669,12.4208,-0.9078,0.7776,13.4736,3.6706,13.0565,-1.0382,5.2066,4.6746,2.1621,7.4891,0.1302,-2.723,2.8387,0.424,-1.0425,-0.1557,0.1494,0.6189,0.5003,0.8493,0.8083,1.3722,1.6977,0.3831,0.2503,0.7213,0.6533,1.883,2.8823,0.0231,0.0205,-0.1219,0.8887,-5.2738,-5.9344,1.0207,1.0373,0.7718,1.0163,0.7562,0.744,0.546,0.5194,0.9055,0.9513,1.6585,1.7434,0.0285,7.9577,-0.331,-0.5618,0.6549,0.5091,0.1051,-0.1275,-32.2629,65.8389,8.1141,46.875,?,-5.6049,12.6744,3.5601,16.25,-3.4068,-24.9195,377.3828,19.4263,63,-1.625,5.7562,1.2947,0.2249,2.2792,0.4177,0.1833,5.1946,0.1745,0.0336,3.7313,1.2019,0.3221,0,0,0.1536,2.8846,0.744,0.2579,0.473,67.8333,0.4269,-0.8777,0.0236,125000,0,0,0,1,DESTRA_PANTALONI
0.1392,0.763,0.8735,3.1814,-0.4216,-0.5095,5.5123,2.3478,8.1631,-0.6719,-0.5806,4.7199,2.1725,7.6457,-0.6786,3.1285,1.8235,1.3504,6.2175,0.0916,-0.2732,-0.2398,0.0445,0.8775,-0.1629,-0.1856,0.372,0.4021,0.6469,1.0807,1.7387,1.6089,0.1384,0.1617,0.4184,1.1679,3.023,2.5884,0.2876,0.3053,-1.5053,1.0614,-5.2335,-4.9308,0.4583,0.4913,0.327,1.0719,0.7134,0.6655,0.3897,0.4161,0.5117,1.0677,1.3129,1.2297,0.0078,4.8565,0.6723,0.5036,0.2651,0.9711,0.4107,0.4047,14.0335,1.2297,1.1089,4.3,0.7244,-36.7173,0.1502,0.3875,37.8115,?,-24.4388,1.3022,1.1412,26.4643,?,-0.3822,-0.5742,1.5024,2.8617,0.9718,0.3396,8.1892,0.9443,0.1153,-0.2989,-0.4271,1.4288,0,0,1,0.1137,0.1625,1.4288,0.4629,75.1895,0.3819,0.4742,-0.5533,1100,0,0,0,1,DESTRA_PANTALONI
0.4505,3.4304,1.8521,6.9327,-0.8257,0.0135,3.2117,1.7921,7.0403,-1.2517,1.4411,13.7211,3.7042,13.7142,-0.8974,4.4255,3.0575,1.7486,7.398,0.0826,33.2825,0.3126,0.1018,0.0094,0.0031,0.3256,1.0335,0.5,1.0592,0.4838,1.0249,2.1184,1.0681,0.25,1.122,0.2341,1.0504,4.4877,0.8012,0.4834,-4.7045,0.6034,-5.872,-9.7322,1.2145,0.5254,0.4709,0.4326,0.3877,0.8963,0.9847,0.5055,0.9371,0.5134,0.9516,1.8538,0.0149,6.4905,-0.7284,-0.5677,-0.3638,0.3789,0.2325,0.3321,-7.0901,278.349,16.6838,44,-2.6975,-2.5702,58.0997,7.6223,24.3057,-1.47,-32.0702,12.5849,3.5475,36.7255,?,2.7586,0.2211,0.0801,2.1888,4.703,2.1486,4.7909,22.1178,4.6166,2.2191,0.8741,0.3939,1.2093,0,0,1.8103,1.1981,0.6618,0.3262,54.7089,-0.8487,-0.7369,0.8975,1100,0,0,0,1,DESTRA_PANTALONI
1.0277,7.9771,2.8244,15.3315,-1.3187,-5.3643,82.565,9.0865,32.8726,-3.8124,1.4196,33.0762,5.7512,22.9496,-0.3358,9.4454,66.2513,8.1395,26.7563,0.0063,-0.1916,0.7239,0.1088,-3.7787,-0.5679,0.1503,0.3108,0.4911,0.347,1.5799,1.1164,0.7066,0.0966,0.2412,0.1204,2.4962,1.2462,0.4993,0.3348,1.5112,-51.0878,4.5135,-152.5805,-33.8052,0.968,0.3849,0.2456,0.3976,0.2537,0.638,0.4664,0.6681,0.573,1.4324,1.2286,0.8577,0.0289,13.1291,0.1064,-0.4078,-0.1647,-0.0769,-0.8828,0.4276,-12.2809,116.6163,10.7989,30.2399,?,-4.1143,87.6123,9.3601,37.4985,-0.4535,-32.1547,117.1128,10.8219,41.0385,?,2.9849,0.3819,0.128,1.1537,0.9979,0.8649,1.3311,0.9958,0.7481,2.5848,0.7369,0.2851,0,1,0,0.8064,0.7369,0.9137,0.1778,53.6701,-0.7367,-0.9048,0.9467,1100,0,0,0,1,DESTRA_PANTALONI
0.3902,11.5618,3.4003,18.017,-0.8665,-3.7395,65.1098,8.0691,33.0308,-3.4565,1.2247,34.4307,5.8678,23.9476,-0.4658,8.2127,59.2892,7.6999,31.278,0.0033,-0.1043,0.3186,0.0475,-3.0534,-0.4553,0.1491,0.4214,0.5795,0.4416,1.3752,1.0479,0.7621,0.1776,0.3358,0.195,1.891,1.0982,0.5807,0.3265,1.0991,-81.11,3.3663,-248.4279,-73.7988,1.3023,0.5908,0.3076,0.4537,0.2362,0.5206,0.5455,0.7524,0.576,1.3793,1.056,0.7656,0.0205,12.6632,-0.6974,0.5368,0.6091,-0.6286,-0.9254,0.7705,3.2242,113.1833,10.6388,33.5388,-1.3291,-25.9184,57.1079,7.557,31.6177,-104.7194,-19.5536,8.0245,2.8328,23.3398,?,-0.1244,-0.1649,1.3255,1.4078,3.7556,2.6677,1.9819,14.1047,7.1167,0.6111,0.82,1.3419,48.148,0,0,1.0608,1.437,1.3547,0.1691,55.6028,-0.9022,0.6635,-0.4005,1100,0,0,0,1,DESTRA_PANTALONI
-0.7566,14.1482,3.7614,20.8191,-1.847,-5.0024,58.1816,7.6277,30.9012,-3.1301,1.7471,54.9398,7.4121,32.232,-0.4035,10.1251,53.4004,7.3076,27.1081,0.029,0.1512,-0.433,-0.0747,-2.8632,-0.4941,0.1726,0.4931,0.5075,0.5147,1.0291,1.0438,1.0143,0.2432,0.2575,0.2649,1.059,1.0895,1.0288,0.5767,1.4574,-16.6689,2.5271,-28.9026,-11.437,0.9774,0.3184,0.2619,0.3258,0.268,0.8226,0.6737,0.6459,0.768,0.9587,1.1399,1.189,0.0276,14.5765,0.4102,-0.6547,-0.6878,0.0432,-0.675,0.5512,-12.2994,52.7684,7.2642,26.5198,?,-6.2952,125.3842,11.1975,41.8182,-0.4674,-22.1403,74.3546,8.6229,29.039,?,1.9538,0.5555,0.2843,0.6487,0.8424,1.2986,0.4209,0.7097,1.6863,1.9911,0.9132,0.4587,0,1,0,0.6342,0.9132,1.4401,0.1345,46.4136,-0.4829,-0.8007,0.9101,1100,0,0,0,1,DESTRA_PANTALONI
1.9624,15.723,3.9652,18.4193,-0.4944,-2.3505,50.6925,7.1199,32.8038,-3.9849,1.8538,52.0579,7.2151,31.688,-0.4262,8.3458,61.6334,7.8507,33.4488,0.0396,-0.8349,1.0586,0.2351,-1.268,-0.2816,0.2221,0.5569,0.5496,0.5051,0.9868,0.9069,0.919,0.3102,0.302,0.2551,0.9738,0.8225,0.8446,0.2324,0.6436,-4.4203,2.7694,-19.0221,-6.8687,1.873,0.5547,0.3539,0.2962,0.189,0.638,0.5615,0.5813,0.5507,1.0352,0.9807,0.9474,0.0369,12.8689,-0.364,0.0586,0.3618,-0.8176,-0.9085,0.8144,8.529,185.7649,13.6296,43.625,-1.059,17.3099,44.0898,6.64,31.3125,0.1827,-62.7146,2.0791,1.4419,65.1875,?,0.4927,-0.136,-0.276,2.0526,9.4525,4.605,4.2133,89.3494,21.2064,-3.2054,0.3442,-0.1074,0.553,0,0,1.3932,0.6692,0.4803,0.6765,95.2184,0.0453,0.2641,0.9083,?,?,?,?,?,DESTRA_PANTALONI
1.7651,10.4528,3.2331,18.6454,-0.3581,3.8278,14.3526,3.7885,21.2332,-0.3884,0.282,9.9934,3.1612,13.0145,-1.0886,6.5648,9.5487,3.0901,15.7112,0.0899,0.4611,6.2587,0.2689,13.5728,0.5831,0.043,0.8534,1.0227,1.0463,1.1984,1.226,1.023,0.7283,1.046,1.0947,1.4362,1.5031,1.0466,0.8277,0.7248,-3.1688,0.8757,-3.8283,-4.3719,0.8977,2.2033,0.7953,2.4544,0.8859,0.361,0.8781,1.4327,1.1868,1.6315,1.3515,0.8284,0.0226,10.2252,0.4293,0.4238,0.4999,0.1106,0.7838,0.2467,-38.689,8.1704,2.8584,44.0399,?,5.8017,295.4296,17.1881,49.7986,-0.6274,5.8748,148.2442,12.1756,33.4778,-0.5081,-6.6686,-6.5856,0.9876,0.1663,0.2348,1.4117,0.0277,0.0551,1.9929,2.2939,3.9045,1.7021,0,0,1.3785,0.8844,1.3155,1.4875,0.2116,65.5715,0.1678,0.1472,-0.8435,1100,0,0,0,1,SINISTRA_PANTALONI
0.3834,1.8754,1.3694,4.9871,-0.3853,-0.4945,2.1421,1.4636,5.587,-1.158,-0.139,1.9022,1.3792,5.4838,-0.9073,2.2895,1.0888,1.0434,3.6487,0.1404,-0.7752,-2.7581,0.1674,3.5578,-0.216,-0.0607,0.9357,0.9929,1.3124,1.0612,1.4027,1.3218,0.8755,0.9859,1.7225,1.1261,1.9675,1.7471,0.4627,0.5317,-2.3279,1.1493,-5.0314,-4.3779,1.3905,1.2521,0.8482,0.9004,0.61,0.6774,0.8926,0.9094,1.3668,1.0188,1.5312,1.503,0.0035,3.4884,0.7512,-0.0847,0.4886,0.5688,0.2305,-0.2372,-34.2456,13.4552,3.6681,40.4999,?,-9.4201,9.1883,3.0312,13.9191,?,26.8122,11.634,3.4109,11.5799,0.6186,3.6354,-1.2772,-0.3513,1.2101,1.0754,0.8887,1.4644,1.1565,0.7898,2.9097,-2.1567,-0.7412,1,0,0,2.9097,3.4974,1.202,0.2405,70.4779,-0.9924,0.972,-0.9606,1100,0,0,0,1,SINISTRA_PANTALONI
