@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.8972,11.3069,3.3626,17.4558,-0.3012,1.9173,10.3506,3.2172,16.5144,-2.073,1.8972,11.3069,3.3626,17.4558,-0.3012,5.5252,13.311,3.6484,19.5001,0.0348,0.9896,1,0.3434,1.0106,0.347,0.3434,1.0452,1,0.9216,0.9568,0.8818,0.9216,1.0924,1,0.8494,0.9154,0.7776,0.8494,0.3627,1,-5.7489,2.7573,-15.8513,-5.7489,2.4964,1,0.664,0.4006,0.266,0.664,1.057,1,0.8952,0.9461,0.8469,0.8952,0.017,8.5033,-0.8116,1,0.8791,-0.8116,-0.8687,0.8791,2.2832,5.3986,2.3235,8.3085,0.0556,2.9878,4.6867,2.1649,10.9686,-1.5538,8.307,2.9347,1.7131,7.7367,0.1607,0.7642,0.2749,0.3597,1.0733,1.3563,1.2637,1.1519,1.8396,1.597,-0.0733,0.3303,-4.5064,2.0483,0.9544,0.466,0.7575,1.0739,1.4177,0.047,14.1846,-0.8312,-0.8965,0.9718,?,?,?,?,?,DESTRA_PANTALONI
3.2462,15.5532,3.9438,13.5991,0.0111,1.0511,2.0587,1.4348,6.5314,-0.8138,3.2462,15.5532,3.9438,13.5991,0.0111,5.2753,27.5173,5.2457,19.1507,0.0201,3.0883,1,0.6154,0.3238,0.1993,0.6154,2.7486,1,0.7518,0.3638,0.2735,0.7518,7.555,1,0.5652,0.1324,0.0748,0.5652,-0.0523,1,0.3908,-19.125,-7.4745,0.3908,3.8191,1,0.7037,0.2618,0.1843,0.7037,2.0821,1,0.7101,0.4803,0.3411,0.7101,0.0271,8.0202,-0.3741,1,0.9925,-0.3741,-0.2967,0.9925,1.8364,2.7957,1.672,7.0273,0.0774,1.6208,0.8708,0.9332,3.4121,-0.0711,8.7828,1.6205,1.273,5.5605,0.4663,1.133,0.2091,0.1845,1.7918,1.3135,0.7331,3.2104,1.7252,0.5374,-2.6034,0.1214,-0.0466,2.3912,0.7312,0.3058,2.0595,1.2638,0.6136,0.0524,12.2639,-0.7304,-0.8829,0.6556,?,?,?,?,?,DESTRA_PANTALONI
-6.9623,1.7745,1.3321,10.167,?,6.4402,2.9159,1.7076,6.4639,0.3883,-6.9623,1.7745,1.3321,10.167,?,11.821,5.1518,2.2698,8.1751,0.5148,-1.0811,1,-0.589,-0.925,0.5448,-0.589,0.7801,1,0.5869,1.2819,0.7523,0.5869,0.6086,1,0.3444,1.6432,0.566,0.3444,-2.478,1,-1.1721,-0.4036,0.473,-1.1721,0,1,0,0,0.6271,0,1.5729,1,1.2436,0.6358,0.7907,1.2436,0.0588,20.3648,-0.6169,1,-0.9423,-0.6169,0.8439,-0.9423,-7.0205,0.0653,0.2555,7.3092,?,6.6812,0.063,0.251,0.8251,0.8856,1.4757,0.0064,0.0801,0.4536,0.7491,-1.0508,-4.7575,4.5276,1.0176,3.1892,3.1339,1.0356,10.171,9.8213,-1.1443,-5.3985,4.7175,0,0,3.9902,8.8587,16.1152,1.8191,0.049,15.1773,0.9969,0.5308,0.4668,?,?,?,?,?,DESTRA_PANTALONI
2.9793,16.9771,4.1203,14.1553,-0.0798,1.9474,5.8912,2.4272,8.6971,-0.6276,2.9793,16.9771,4.1203,14.1553,-0.0798,6.14,23.6908,4.8673,17.7209,0.0443,1.5299,1,0.4852,0.6537,0.3172,0.4852,1.6976,1,0.8465,0.5891,0.4987,0.8465,2.8818,1,0.7166,0.347,0.2487,0.7166,0.3118,1,-1.2732,3.207,-4.083,-1.2732,2.4534,1,0.707,0.4076,0.2882,0.707,1.6276,1,0.7988,0.6144,0.4908,0.7988,0.0231,9.0426,-0.7766,1,0.9584,-0.7766,-0.6248,0.9584,2.3182,9.7047,3.1152,8.9223,-0.0366,2.1105,5.137,2.2665,6.9803,-0.9898,8.2546,3.4228,1.8501,5.9837,0.3577,1.0984,0.2808,0.2557,1.3745,1.6838,1.2251,1.8892,2.8353,1.5008,0.0907,-0.0946,-1.0421,2.4536,0.924,0.3766,1.2782,1.4911,1.1666,0.0439,13.6698,-0.93,-0.9469,0.9879,?,?,?,?,?,DESTRA_PANTALONI
1.7366,20.6591,4.5452,23.2634,-0.161,1.8383,31.3936,5.603,24.8011,-1.3961,1.7366,20.6591,4.5452,23.2634,-0.161,6.8763,34.8394,5.9025,29.2377,0.0104,0.9447,1,0.2526,1.0585,0.2673,0.2526,0.8112,1,0.7701,1.2327,0.9493,0.7701,0.6581,1,0.593,1.5196,0.9011,0.593,0.2233,1,-10.5379,4.4786,-47.1949,-10.5379,1.9358,1,0.6782,0.5166,0.3504,0.6782,0.938,1,0.7957,1.0661,0.8483,0.7957,0.0157,10.3178,-0.7495,1,0.9541,-0.7495,-0.7504,0.9541,1.338,8.8516,2.9752,10.3139,-0.1071,3.5546,8.1849,2.8609,13.6718,-1.423,7.8139,3.6503,1.9106,7.599,0.157,0.3764,0.1712,0.4549,1.0399,1.5572,1.4974,1.0815,2.4249,2.2422,0.1242,-0.7045,-5.6714,1.6511,1.0335,0.6259,0.7544,1.3573,1.7992,0.0446,14.0944,-0.7357,-0.8801,0.9179,?,?,?,?,?,DESTRA_PANTALONI
1.6499,14.7108,3.8355,18.0801,-0.2507,2.8518,37.3414,6.1108,28.2336,-1.7591,1.6499,14.7108,3.8355,18.0801,-0.2507,7.9741,16.7537,4.0931,21.1719,0.1027,0.5785,1,0.2069,1.7285,0.3576,0.2069,0.6277,1,0.937,1.5932,1.4929,0.937,0.394,1,0.8781,2.5384,2.2288,0.8781,0.2013,1,-1.4958,4.967,-7.4294,-1.4958,1.4127,1,0.6127,0.7079,0.4337,0.6127,0.6404,1,0.854,1.5616,1.3335,0.854,0.0191,12.0301,-0.6839,1,0.7756,-0.6839,-0.731,0.7756,1.6999,10.9679,3.3118,10.6978,-0.1413,4.454,11.5119,3.3929,14.7615,-1.3755,6.9658,2.4192,1.5554,5.7342,0.3038,0.3817,0.244,0.6394,0.9761,2.1293,2.1814,0.9527,4.5337,4.7586,0.155,-0.5295,-3.4166,1.5084,1.1381,0.7545,0.7247,1.8656,2.5743,0.0437,15.0216,-0.5902,-0.8445,0.8464,?,?,?,?,?,DESTRA_PANTALONI
3.1742,25.3625,5.0361,24.1893,-0.0981,3.3794,43.5076,6.596,27.3112,-1.3755,3.1742,25.3625,5.0361,24.1893,-0.0981,9.2756,39.7671,6.3061,33.5636,0.0186,0.9393,1,0.3422,1.0647,0.3643,0.3422,0.7635,1,0.7986,1.3097,1.046,0.7986,0.5829,1,0.6378,1.7154,1.0941,0.6378,0.1366,1,-3.403,7.321,-24.9132,-3.403,1.9161,1,0.6442,0.5219,0.3362,0.6442,0.8857,1,0.7207,1.1291,0.8137,0.7207,0.029,13.5334,-0.8229,1,0.9456,-0.8229,-0.7101,0.9456,1.9065,6.1424,2.4784,9.2926,0.0133,5.3212,15.7602,3.9699,15.7141,-1.0938,6.3888,1.524,1.2345,5.3352,0.2726,0.3583,0.2984,0.8329,0.6243,2.0076,3.2158,0.3897,4.0304,10.3412,-0.0153,0.0628,-4.1068,1.2549,1.2841,1.0233,0.5914,1.7418,2.9454,0.044,14.7934,-0.6004,-0.866,0.8059,?,?,?,?,?,DESTRA_PANTALONI
1.6853,24.3418,4.9337,24.9873,-0.225,0.6911,24.8536,4.9853,23.6929,-3.9106,1.6853,24.3418,4.9337,24.9873,-0.225,5.8352,45.6455,6.7561,30.9277,0.0154,2.4386,1,0.2888,0.4101,0.1184,0.2888,0.9897,1,0.7303,1.0105,0.7379,0.7303,0.9794,1,0.5333,1.021,0.5445,0.5333,0.2432,1,-9.4589,4.1111,-38.8865,-9.4589,4.2276,1,0.6493,0.2365,0.1536,0.6493,1.0546,1,0.8079,0.9482,0.7661,0.8079,0.0128,9.3214,-0.8912,1,0.9462,-0.8912,-0.91,0.9462,1.5244,5.0324,2.2433,8.6495,-0.0439,2.1197,5.2949,2.3011,12.7285,-2.0268,8.7413,2.5863,1.6082,6.5183,0.3219,0.7192,0.1744,0.2425,0.9749,1.3949,1.4308,0.9504,1.9458,2.0473,0.0427,-0.1176,-2.7549,1.9703,0.862,0.4375,0.6795,1.327,1.9527,0.047,13.2177,-0.4434,-0.872,0.7778,?,?,?,?,?,DESTRA_PANTALONI
6.1551,26.7429,5.1714,27.0398,-0.2221,1.8146,18.2518,4.2722,22.1315,-0.461,6.1551,26.7429,5.1714,27.0398,-0.2221,10.9255,31.4337,5.6066,30.3931,0.0299,3.3921,1,0.5634,0.2948,0.1661,0.5634,1.2105,1,0.9224,0.8261,0.762,0.9224,1.4652,1,0.8508,0.6825,0.5806,0.8508,0.7038,1,-5.2547,1.4209,-7.4667,-5.2547,1.4606,1,0.7062,0.6847,0.4835,0.7062,1.2218,1,0.8897,0.8185,0.7282,0.8897,0.0475,17.1971,-0.1734,1,0.9055,-0.1734,-0.0161,0.9055,5.7714,10.233,3.1989,10.3407,-0.1389,2.8082,10.0582,3.1715,10.6852,-0.2826,5.2289,7.3307,2.7075,8.4551,0.0913,2.0552,1.1037,0.537,1.0087,1.1815,1.1713,1.0174,1.3959,1.3721,0.5359,-1.4851,-2.7713,1.0898,0.9758,0.8954,0.9678,1.223,1.2638,0.0443,14.7015,-0.314,-0.6471,-0.3928,?,?,?,?,?,SINISTRA_PANTALONI
7.1384,1.5694,1.2527,6.1057,0.4355,6.2759,0.7813,0.8839,3.5349,0.584,7.1384,1.5694,1.2527,6.1057,0.4355,11.9563,2.2673,1.5057,7.537,0.5534,1.1374,1,0.597,0.8792,0.5249,0.597,1.4173,1,0.832,0.7056,0.587,0.832,2.0086,1,0.6922,0.4979,0.3446,0.6922,0.9494,1,0.5045,1.0533,0.5313,0.5045,1.273,1,0.641,0.7855,0.5035,0.641,1.7273,1,0.8101,0.5789,0.469,0.8101,0.0643,20.5526,-0.12,1,0.9398,-0.12,0.2236,0.9398,7.3234,0.057,0.2388,0.9076,0.8819,6.4345,0.0758,0.2753,1.0764,0.8481,-0.8175,0.3326,0.5767,1.6263,-20.8992,1.1381,-8.9579,-7.8707,0.8674,0.414,0.4773,0.7524,0.1714,0.2278,1.127,-4.3659,-3.8738,1.0839,103.4653,95.4539,0.8431,0.5581,0.6619,0.0529,14.5837,-0.9725,-0.2164,0.4352,?,?,?,?,?,SINISTRA_PANTALONI
