@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
-0.0749,4.4356,2.1061,11.0385,-1.1937,0.1422,24.9993,4.9999,26.8175,-1.8015,0.0521,13.0364,3.6106,19.3746,-1.2934,5.5714,11.4593,3.3852,17.7202,0.0479,-0.5266,-1.4362,-0.0134,2.7274,0.0255,0.0094,0.4212,0.5833,0.6222,1.3848,1.477,1.0666,0.1774,0.3403,0.3871,1.9177,2.1816,1.1376,0.3483,0.5497,-6.7337,1.5783,-19.3322,-12.2491,0.5257,0.5956,0.2704,1.1331,0.5143,0.4539,0.4116,0.5697,0.6229,1.3842,1.5134,1.0934,0.0018,8.1699,0.5998,0.23,0.2395,0.4655,-0.3918,-0.3211,5.9898,0.6628,0.8141,3.0432,0.6073,-2.7774,0.7724,0.8789,3.762,?,-7.1037,0.5514,0.7425,8.1313,?,-2.1566,-0.8432,0.391,0.9263,1.0964,1.1836,0.8581,1.2021,1.4009,-1.2511,-0.5788,0.4627,0,0,1,0.8089,0.3743,0.4627,0.101,15.871,0.1023,0.9225,-0.2759,?,?,?,?,?,DESTRA_PANTALONI
0.5625,0.2442,0.4942,1.5084,-0.094,-2.7726,4.0631,2.0157,7.1643,-295.8176,1.4402,3.2897,1.8138,6.119,-0.1389,3.4457,5.8019,2.4087,8.0541,0.0208,-0.2029,0.3906,0.1633,-1.9251,-0.8046,0.418,0.2452,0.2725,0.2052,1.1114,0.8368,0.753,0.0601,0.0742,0.0421,1.2351,0.7003,0.567,0.0182,0.1737,-0.759,9.5657,-41.793,-4.3691,57.1224,0.2566,0.1676,0.0045,0.0029,0.6532,0.2105,0.2465,0.1873,1.1708,0.8895,0.7597,0.1443,4.9779,-0.219,-0.0575,0.2384,-0.6884,-0.9623,0.834,2.3617,3.6759,1.9173,5.5215,0.0255,2.9124,0.2384,0.4883,1.4082,0.6173,7.7997,3.4366,1.8538,5.9609,0.366,0.8109,0.3028,0.3734,3.9265,1.0342,0.2634,15.4174,1.0696,0.0694,0.0636,0.042,0.66,1.5398,0.6026,0.3914,3.9209,0.9263,0.2362,0.0995,13.0738,0.983,-0.9648,-0.9067,125000,0,0,0,1,DESTRA_PANTALONI
0.2264,0.2437,0.4936,3.4353,-0.159,-0.1953,1.9952,1.4125,6.491,-3.9166,0.5318,0.389,0.6237,4.4271,-0.3172,1.3003,1.3091,1.1442,5.7541,0.0461,-1.1594,0.4258,0.1741,-0.3672,-0.1502,0.409,0.3495,0.7915,0.4314,2.2649,1.2345,0.5451,0.1221,0.6265,0.1861,5.1297,1.5241,0.2971,0.0912,0.4421,-1.696,4.8496,-18.6035,-3.8361,2.245,0.8819,0.4914,0.3928,0.2189,0.5572,0.5292,0.776,0.597,1.4662,1.1281,0.7694,0.006,1.9222,-0.7644,0.0199,0.753,0.0525,-0.8926,0.1443,2.1741,0.1849,0.43,2.2419,0.4672,6.2724,0.1983,0.4453,2.3922,0.6457,-7.193,0.0435,0.2086,7.7157,?,0.3466,-0.3023,-0.872,0.9656,2.0617,2.1352,0.9323,4.2505,4.5592,0.4509,-0.2547,-0.565,0.6232,0,0,0.9372,0.2906,0.31,0.0969,15.6395,-0.9656,-0.8051,0.9284,1100,0,0,0,1,DESTRA_PANTALONI
0.2634,0.0119,0.1093,0.6101,-0.0154,-0.2957,0.0534,0.231,1.2507,-2.3085,-0.2198,0.0119,0.1092,0.5401,-6.009,0.4974,0.0349,0.1869,0.9335,0.0961,-0.8905,-1.1982,0.5294,1.3455,-0.5945,-0.4419,0.4731,1.0008,0.5848,2.1154,1.2361,0.5843,0.2238,1.0016,0.342,4.4748,1.5279,0.3415,0.0106,0.02,-0.0933,1.8848,-8.7914,-4.6645,1.5894,7.7979,0.5818,4.9061,0.366,0.0746,0.4878,1.1297,0.6536,2.3158,1.3398,0.5786,0.0045,0.804,-0.4163,-0.0875,0.6512,0.4581,-0.8693,-0.5454,-7.9466,0.001,0.0321,7.9965,?,5.4341,0.0023,0.0476,0.1638,0.9704,1.8854,0,0.0038,0.0136,0.9928,-1.4624,-4.2147,2.8821,0.675,8.4254,12.4825,0.4556,70.9874,155.812,-1.4911,-4.2556,2.854,0,0,2.92,48.831,587.0433,12.0219,0.0981,15.2661,0.9823,-0.5213,-0.5409,1100,0,0,0,1,DESTRA_PANTALONI
-0.0141,2.7404,1.6554,7.1966,-0.9218,-0.3022,3.2487,1.8024,8.3775,-1.3026,-0.6597,3.1377,1.7714,8.5313,-1.9698,2.6633,2.5606,1.6002,6.664,0.0229,0.0467,0.0214,-0.0053,0.4581,-0.1135,-0.2477,0.9184,0.9346,1.0345,1.0175,1.1264,1.107,0.8435,0.8734,1.0702,1.0354,1.2687,1.2254,0.7283,0.61,-22.0525,0.8375,-30.2773,-36.1513,1.0293,1.3036,0.5491,1.2665,0.5334,0.4212,0.859,0.8436,1.0799,0.982,1.2571,1.2802,0.0072,4.2075,0.8536,0.2382,0.0752,0.6263,-0.0786,-0.2911,3.6484,10.5295,3.2449,8.6382,0.1104,2.2041,0.3157,0.5618,2.3521,0.328,7.3189,13.6543,3.6952,12.1508,-0.2727,1.6552,0.4985,0.3012,5.7756,0.8782,0.152,33.357,0.7712,0.0231,0.9335,-0.4116,-0.4409,2.7743,1.017,0.3666,3.6726,0.7109,0.1936,0.0839,13.495,-0.2111,-0.9312,0.5065,1100,0,0,0,1,DESTRA_PANTALONI
0.2731,2.3848,1.5443,7.7143,-0.5516,-0.3038,5.0031,2.2368,9.9298,-1.4142,-0.4538,4.6911,2.1659,9.2481,-1.7053,3.103,2.8234,1.6803,7.9479,0.0411,-0.8991,-0.6019,0.088,0.6694,-0.0979,-0.1463,0.6904,0.713,0.919,1.0327,1.3312,1.289,0.4767,0.5084,0.8447,1.0665,1.772,1.6615,0.4715,0.4705,-8.042,0.9978,-17.0558,-17.0938,1.2087,1.4544,0.5998,1.2032,0.4962,0.4124,0.7769,0.8342,0.9706,1.0737,1.2494,1.1636,0.006,4.7456,-0.2065,0.2318,-0.0432,0.5656,-0.2056,-0.2664,2.2903,4.9465,2.2241,5.6985,-0.0666,7.7339,0.6256,0.7909,2.3887,0.7352,3.3087,14.6558,3.8283,10.8355,-0.501,0.2961,0.6922,2.3374,2.812,0.581,0.2066,7.9074,0.3375,0.0427,-0.0536,0.0983,-1.834,0.5922,0.7401,1.2497,2.3856,0.5259,0.2205,0.0863,14.6165,0.7313,-0.9728,-0.5943,1100,0,0,0,1,DESTRA_PANTALONI
0.1736,0.0089,0.0945,0.4388,-0.2415,-0.4715,0.0207,0.144,0.7962,?,-0.1812,0.0031,0.0558,0.3237,?,0.5474,0.0184,0.1358,0.5838,0.2794,-0.3682,-0.958,0.3171,2.602,-0.8614,-0.3311,0.6562,1.6931,0.6957,2.5801,1.0601,0.4109,0.4306,2.8665,0.484,6.6567,1.1239,0.1688,0.1072,0.2637,-0.3772,2.4599,-3.5183,-1.4303,0,0,0.4363,1,0,0,0.5511,1.3556,0.7516,2.4599,1.3638,0.5544,0.0053,0.8297,-0.2627,0.1078,0.4187,-0.1478,-0.9715,0.0177,-7.7193,0,0.0063,7.7329,?,5.9094,0.0001,0.0076,0.0296,0.995,-1.2894,0.0001,0.0092,1.3035,?,-1.3063,5.9869,-4.5832,0.8316,0.6883,0.8277,0.6915,0.4737,0.6851,-1.3124,5.9325,-4.5203,0,1,0,261.6009,5.9325,0.0227,0.0981,14.918,1.4179,-0.4727,-0.1898,1013.25,0,0,0,1,DESTRA_PANTALONI
-0.0128,9.0982,3.0163,14.6524,-1.5026,-2.4715,18.6639,4.3202,23.2268,-2.5881,-0.4739,15.2137,3.9005,17.8371,-0.964,5.757,16.1663,4.0207,18.4152,0.0112,0.0052,0.027,-0.0022,5.215,-0.4293,-0.0823,0.6982,0.7733,0.7502,1.1076,1.0745,0.9701,0.4875,0.598,0.5628,1.2268,1.1545,0.9411,0.5251,1.0048,-42.2889,1.9135,-80.532,-42.0856,0.9045,0.6447,0.3144,0.7128,0.3476,0.4877,0.6308,0.8215,0.7957,1.3022,1.2613,0.9686,0.0249,9.1104,0.1575,-0.1933,-0.103,0.8063,-0.7504,-0.3741,2.6213,14.1936,3.7674,13.7617,-0.4322,6.4485,5.7208,2.3918,8.5927,0.0896,4.3963,8.4733,2.9109,9.6188,-0.2999,0.4065,0.5963,1.4668,1.5751,1.2943,0.8217,2.481,1.6751,0.6752,-4.9135,1.8715,-0.3809,1.0181,1.2985,1.2755,1.6016,1.4307,0.8933,0.0815,14.2294,-0.9143,-0.371,0.2015,1013.25,0,0,0,1,DESTRA_PANTALONI
0.4112,0.0168,0.1297,0.7542,-0.0145,-0.4902,0.082,0.2864,2.1162,-2.0897,-0.1233,0.0175,0.1323,0.6117,-2.0311,0.7158,0.0286,0.1692,1.0874,0.2439,-0.8389,-3.334,0.5745,3.9744,-0.6849,-0.1723,0.4526,0.9798,0.766,2.1646,1.6924,0.7819,0.2049,0.96,0.5868,4.6854,2.8642,0.6113,0.0075,0.0262,-0.0306,3.4915,-4.0792,-1.1683,1.0854,3.6837,0.5169,3.3937,0.4762,0.1403,0.3564,1.2329,0.6935,3.4593,1.946,0.5626,0.0065,1.0786,0.4945,-0.3043,0.051,-0.6658,-0.5283,0.4001,5.5446,0.0009,0.0297,0.1388,0.9754,-7.6523,0.0003,0.0164,7.6964,?,2.6322,0.0071,0.0844,0.41,0.8484,-0.7246,2.1065,-2.9072,1.8071,0.3515,0.1945,3.2657,0.1236,0.0378,-0.7139,2.3943,-3.3537,0,2.0827,0,0.018,0.3384,18.7718,0.0971,15.8291,-0.1174,-0.8056,0.6508,1100,0,0,0,1,DESTRA_PANTALONI
