@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.1871,0.0228,0.1511,0.4629,-0.0238,-0.0109,0.0078,0.0886,0.3633,-0.7917,-0.4673,0.0041,0.0641,0.5837,?,-17.2371,-0.4003,0.0232,1.7054,2.3581,1.3827,2.9084,5.5606,1.9119,0.0669,0.0184,0.275,2.23,0,0,1.2742,0.793,0.6223,0.0054,0.7308,-0.3862,-0.9135,0.6369,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
-0.0749,4.4356,2.1061,11.0385,-1.1937,0.1422,24.9993,4.9999,26.8175,-1.8015,0.0521,13.0364,3.6106,19.3746,-1.2934,5.5714,11.4593,3.3852,17.7202,0.0479,-0.5266,-1.4362,-0.0134,2.7274,0.0255,0.0094,0.4212,0.5833,0.6222,1.3848,1.477,1.0666,0.1774,0.3403,0.3871,1.9177,2.1816,1.1376,0.3483,0.5497,-6.7337,1.5783,-19.3322,-12.2491,0.5257,0.5956,0.2704,1.1331,0.5143,0.4539,0.4116,0.5697,0.6229,1.3842,1.5134,1.0934,0.0018,8.1699,0.5998,0.23,0.2395,0.4655,-0.3918,-0.3211,-0.7388,0.0019,0.044,0.7991,?,-0.5558,0.0063,0.0795,0.7105,?,-0.1749,0.004,0.0634,0.3033,?,1.3293,4.2252,3.1786,0.553,0.693,1.2533,0.3058,0.4803,1.5706,1.1247,2.6343,2.3422,1,1,1,1.1247,2.6343,2.3422,0.0098,1.4695,-0.9375,0.392,-0.6285,-0.1844,0.3598,0.5998,3.0348,-1.1525,0.4213,1.754,1.3244,6.8625,-1.1729,0.4094,3.9694,1.9923,8.5717,-0.8371,-0.4376,-0.4503,1.0289,0.4529,0.3011,0.6647,0.2051,0.0906,0.4419,0.4387,0.416,0.9484,0.4464,0.3022,0.6769,0.4422,0.354,0.8006,0.0064,3.2007,-0.0371,0.2844,0.3845,DESTRA_PANTALONI
0.5625,0.2442,0.4942,1.5084,-0.094,-2.7726,4.0631,2.0157,7.1643,-295.8176,1.4402,3.2897,1.8138,6.119,-0.1389,3.4457,5.8019,2.4087,8.0541,0.0208,-0.2029,0.3906,0.1633,-1.9251,-0.8046,0.418,0.2452,0.2725,0.2052,1.1114,0.8368,0.753,0.0601,0.0742,0.0421,1.2351,0.7003,0.567,0.0182,0.1737,-0.759,9.5657,-41.793,-4.3691,57.1224,0.2566,0.1676,0.0045,0.0029,0.6532,0.2105,0.2465,0.1873,1.1708,0.8895,0.7597,0.1443,4.9779,-0.219,-0.0575,0.2384,-0.6884,-0.9623,0.834,-0.0688,0.0189,0.1374,0.3821,-3.9811,-0.4044,0.0609,0.2468,0.8031,?,-0.6423,0.0134,0.1159,0.7358,?,0.17,0.107,0.6295,0.5568,1.1857,2.1294,0.3101,1.4059,4.5343,0.3803,0.415,1.0914,0,0,1,0.4758,0.5193,1.0914,0.0088,1.1691,0.9911,-0.9241,-0.9007,1.054,0.5129,0.7162,2.7892,0.0022,-1.9675,1.4731,1.2137,4.4007,-1199.6666,0.2327,0.1568,0.3959,1.4087,-0.4252,-0.5357,4.5295,-8.4551,0.5901,1.8088,3.0655,0.3482,3.2719,9.3975,-0.0014,-0.0145,10.4622,762.6666,2.8282,0.0037,0.6338,1.9801,3.124,0.0258,3.3794,-0.6688,0.4525,-0.0785,DESTRA_PANTALONI
0.2264,0.2437,0.4936,3.4353,-0.159,-0.1953,1.9952,1.4125,6.491,-3.9166,0.5318,0.389,0.6237,4.4271,-0.3172,1.3003,1.3091,1.1442,5.7541,0.0461,-1.1594,0.4258,0.1741,-0.3672,-0.1502,0.409,0.3495,0.7915,0.4314,2.2649,1.2345,0.5451,0.1221,0.6265,0.1861,5.1297,1.5241,0.2971,0.0912,0.4421,-1.696,4.8496,-18.6035,-3.8361,2.245,0.8819,0.4914,0.3928,0.2189,0.5572,0.5292,0.776,0.597,1.4662,1.1281,0.7694,0.006,1.9222,-0.7644,0.0199,0.753,0.0525,-0.8926,0.1443,0.3566,0.0003,0.0164,0.075,0.8231,-0.8599,0,0.0048,0.8673,?,-0.2708,0.0015,0.0388,0.3023,?,-0.4146,-1.3168,3.1756,3.3859,0.4229,0.1249,11.4642,0.1788,0.0156,-0.402,-1.1536,2.8695,0,0,1,0.0864,0.248,2.8695,0.0096,1.4872,0.506,0.9497,0.2519,0.3573,0.5405,0.7352,4.9189,0.0082,0.3166,0.4862,0.6973,3.2977,-0.0365,-0.0125,0.0403,0.2006,1.4986,-0.7209,1.1288,-28.6716,-25.4007,1.0544,3.6642,3.475,1.1118,13.4261,12.0759,-0.3486,-0.0645,0.1851,1.5588,5.6952,3.6536,1.4916,3.2824,2.2006,0.0047,0.7823,0.8022,0.3948,0.0988,DESTRA_PANTALONI
0.2634,0.0119,0.1093,0.6101,-0.0154,-0.2957,0.0534,0.231,1.2507,-2.3085,-0.2198,0.0119,0.1092,0.5401,-6.009,0.4974,0.0349,0.1869,0.9335,0.0961,-0.8905,-1.1982,0.5294,1.3455,-0.5945,-0.4419,0.4731,1.0008,0.5848,2.1154,1.2361,0.5843,0.2238,1.0016,0.342,4.4748,1.5279,0.3415,0.0106,0.02,-0.0933,1.8848,-8.7914,-4.6645,1.5894,7.7979,0.5818,4.9061,0.366,0.0746,0.4878,1.1297,0.6536,2.3158,1.3398,0.5786,0.0045,0.804,-0.4163,-0.0875,0.6512,0.4581,-0.8693,-0.5454,-0.0453,0,0.0055,0.0542,?,0.6339,0,0.0005,0.0014,0.9978,0.4801,0,0.0017,0.0056,0.9883,-0.0715,-0.0944,1.3203,11.4394,3.2452,0.2837,130.86,10.5314,0.0805,-0.0855,-0.1135,1.3266,0,0,1.314,38.3784,9.6198,0.2507,0.008,1.1593,0.9554,-0.9936,-1.068,-0.0162,0.0001,0.0089,0.0373,?,0.0321,0.0001,0.0095,0.049,0.1636,-0.0004,0,0.0069,0.0426,-0.9048,-0.504,44.5877,-88.4673,0.9309,1.2782,1.3731,0.8665,1.6337,1.8854,-3.889,1.8421,-0.4737,0,0,2.6191,0.7609,0.875,1.15,0.0004,0.0531,-0.4212,-0.052,0.4675,DESTRA_PANTALONI
-0.0141,2.7404,1.6554,7.1966,-0.9218,-0.3022,3.2487,1.8024,8.3775,-1.3026,-0.6597,3.1377,1.7714,8.5313,-1.9698,2.6633,2.5606,1.6002,6.664,0.0229,0.0467,0.0214,-0.0053,0.4581,-0.1135,-0.2477,0.9184,0.9346,1.0345,1.0175,1.1264,1.107,0.8435,0.8734,1.0702,1.0354,1.2687,1.2254,0.7283,0.61,-22.0525,0.8375,-30.2773,-36.1513,1.0293,1.3036,0.5491,1.2665,0.5334,0.4212,0.859,0.8436,1.0799,0.982,1.2571,1.2802,0.0072,4.2075,0.8536,0.2382,0.0752,0.6263,-0.0786,-0.2911,-0.1784,0.0468,0.2164,0.6392,?,-0.1952,0.011,0.1048,0.4734,?,-0.8811,0.0149,0.122,0.9483,?,0.9139,0.2025,0.2216,2.0641,1.7733,0.8592,4.2603,3.1447,0.7381,1.3503,0.6741,0.4992,1,1,1,1.3503,0.6741,0.4992,0.0091,1.2547,0.9821,-0.9314,-0.9422,0.6095,0.9408,0.9699,3.7934,-0.1533,-1.598,4.4156,2.1013,7.6272,-8.7493,0.2152,0.735,0.8573,3.5493,-0.5205,-0.3814,2.8322,-7.425,0.4616,1.1313,2.451,0.2131,1.2799,6.0073,0.0737,0.4149,5.6333,4.2044,1.4091,0.3352,0.4973,1.0688,2.1489,0.0171,2.9017,-0.6123,0.4835,-0.7631,DESTRA_PANTALONI
0.2731,2.3848,1.5443,7.7143,-0.5516,-0.3038,5.0031,2.2368,9.9298,-1.4142,-0.4538,4.6911,2.1659,9.2481,-1.7053,3.103,2.8234,1.6803,7.9479,0.0411,-0.8991,-0.6019,0.088,0.6694,-0.0979,-0.1463,0.6904,0.713,0.919,1.0327,1.3312,1.289,0.4767,0.5084,0.8447,1.0665,1.772,1.6615,0.4715,0.4705,-8.042,0.9978,-17.0558,-17.0938,1.2087,1.4544,0.5998,1.2032,0.4962,0.4124,0.7769,0.8342,0.9706,1.0737,1.2494,1.1636,0.006,4.7456,-0.2065,0.2318,-0.0432,0.5656,-0.2056,-0.2664,0.3253,0.0007,0.0269,0.1181,0.6963,-0.4265,0.0457,0.2138,0.7345,?,-0.4471,0.0079,0.0887,0.568,?,-0.7628,-0.7276,0.9538,0.1256,0.3028,2.41,0.0158,0.0917,5.808,-0.3686,-0.4767,1.2932,0,0,1,0.1608,0.2079,1.2932,0.0069,1.199,-0.3055,0.7811,-0.6814,1.0075,0.5741,0.7577,2.6358,-0.0287,-1.128,1.7051,1.3058,6.1329,-2.8514,0.0899,0.614,0.7835,2.9002,-0.4566,-0.8931,11.2117,-12.5537,0.5803,0.967,1.6665,0.3367,0.9351,2.7772,0.0162,0.0809,4.9941,1.6091,1.2869,0.7998,0.4298,0.9089,2.1147,0.015,2.8188,-0.2063,0.5332,0.172,DESTRA_PANTALONI
0.1736,0.0089,0.0945,0.4388,-0.2415,-0.4715,0.0207,0.144,0.7962,?,-0.1812,0.0031,0.0558,0.3237,?,0.5474,0.0184,0.1358,0.5838,0.2794,-0.3682,-0.958,0.3171,2.602,-0.8614,-0.3311,0.6562,1.6931,0.6957,2.5801,1.0601,0.4109,0.4306,2.8665,0.484,6.6567,1.1239,0.1688,0.1072,0.2637,-0.3772,2.4599,-3.5183,-1.4303,0,0,0.4363,1,0,0,0.5511,1.3556,0.7516,2.4599,1.3638,0.5544,0.0053,0.8297,-0.2627,0.1078,0.4187,-0.1478,-0.9715,0.0177,-0.0265,0,0.0029,0.0312,?,0.7517,0,0.0003,0.0011,0.9985,0.4187,0,0.0022,0.0066,0.9843,-0.0353,-0.0633,1.7952,9.9412,1.3118,0.132,98.8267,1.7209,0.0174,-0.0416,-0.0753,1.8097,0,0,1.784,28.5928,4.7286,0.1654,0.0086,1.1969,-0.2265,-0.979,0,0.0083,0.0011,0.0328,0.1738,-0.5806,-0.0161,0.0005,0.023,0.128,-2.6754,-0.018,0.0002,0.0131,0.058,-5.3333,-0.5165,-0.4629,0.8964,1.4259,2.5056,1.7572,2.0331,6.2779,3.0878,0.6852,1.3063,1.9062,3.1579,12,3.8,1.358,2.9947,2.2053,0.0003,0.0656,-0.7311,0.0315,0.0077,DESTRA_PANTALONI
-0.0128,9.0982,3.0163,14.6524,-1.5026,-2.4715,18.6639,4.3202,23.2268,-2.5881,-0.4739,15.2137,3.9005,17.8371,-0.964,5.757,16.1663,4.0207,18.4152,0.0112,0.0052,0.027,-0.0022,5.215,-0.4293,-0.0823,0.6982,0.7733,0.7502,1.1076,1.0745,0.9701,0.4875,0.598,0.5628,1.2268,1.1545,0.9411,0.5251,1.0048,-42.2889,1.9135,-80.532,-42.0856,0.9045,0.6447,0.3144,0.7128,0.3476,0.4877,0.6308,0.8215,0.7957,1.3022,1.2613,0.9686,0.0249,9.1104,0.1575,-0.1933,-0.103,0.8063,-0.7504,-0.3741,0.0621,0.0535,0.2313,0.9735,-0.7752,-0.4492,0.0105,0.1026,0.7404,?,-0.7322,0.0128,0.1132,0.8207,?,-0.1383,-0.0848,0.6135,2.2553,2.0433,0.906,5.0863,4.1749,0.8208,0.5742,0.518,0.9021,0,0,1,1.3148,1.1861,0.9021,0.0085,1.3845,0.1701,-0.4143,-0.7924,0.2743,0.3126,0.5591,2.7416,-1.0135,-1.2509,2.2276,1.4925,6.3518,-4.1616,0.9814,3.7715,1.942,5.8707,-0.1563,-0.2192,0.2795,-1.2746,0.3746,0.2879,0.7685,0.1403,0.0829,0.5906,0.2695,1.739,6.4538,1.1065,0.2682,0.2424,0.4316,0.467,1.0819,0.016,3.2975,0.3483,-0.4316,-0.8857,DESTRA_PANTALONI
0.4112,0.0168,0.1297,0.7542,-0.0145,-0.4902,0.082,0.2864,2.1162,-2.0897,-0.1233,0.0175,0.1323,0.6117,-2.0311,0.7158,0.0286,0.1692,1.0874,0.2439,-0.8389,-3.334,0.5745,3.9744,-0.6849,-0.1723,0.4526,0.9798,0.766,2.1646,1.6924,0.7819,0.2049,0.96,0.5868,4.6854,2.8642,0.6113,0.0075,0.0262,-0.0306,3.4915,-4.0792,-1.1683,1.0854,3.6837,0.5169,3.3937,0.4762,0.1403,0.3564,1.2329,0.6935,3.4593,1.946,0.5626,0.0065,1.0786,0.4945,-0.3043,0.051,-0.6658,-0.5283,0.4001,-0.4673,0,0.0037,0.4798,?,-0.384,0,0.002,0.391,?,0.0484,0,0.0036,0.0125,0.7652,1.217,-9.651,-7.9304,1.8609,1.0208,0.5485,3.463,1.0421,0.3009,1.2272,-11.7775,-9.5972,1,0,0,1.2272,38.3764,31.2721,0.006,0.8997,0.3615,0.8849,0.1736,0.0645,0.0035,0.0588,0.3304,-0.069,0.0601,0.0022,0.0469,0.2334,-0.0631,0.0005,0.0011,0.0325,0.146,-0.9028,1.0743,122.3569,113.8915,1.2555,1.8124,1.4435,1.5763,3.2847,2.0838,1.5384,0.3077,0.2,1.4078,4.0278,2.8611,1.4155,2.2628,1.5985,0.0009,0.1517,0.9599,0.3784,0.4144,DESTRA_PANTALONI
