@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
2.2569,5.7572,2.3994,7.368,-0.2446,1.2154,7.3165,2.7049,7.7335,-0.4977,1.8171,7.2124,2.6856,10.5399,-0.3154,5.1921,3.2004,1.789,8.1472,0.1751,1.8569,1.242,0.4347,0.6689,0.2341,0.35,0.8871,0.8934,1.3412,1.0072,1.512,1.5012,0.7869,0.7982,1.7989,1.0144,2.2862,2.2536,0.5635,0.573,-0.8376,1.0168,-1.4865,-1.4619,1.1465,0.7388,0.5994,0.6444,0.5229,0.8113,0.9527,0.6991,0.9044,0.7337,0.9492,1.2937,0.0628,7.8619,-0.5617,0.7793,0.6132,-0.6849,-0.1755,0.6761,-0.1089,0.5436,0.7373,2.6689,-2.0096,-0.7959,1.0759,1.0373,3.1325,-4.1381,1.7886,2.2796,1.5098,4.4766,-0.1404,0.1368,-0.0609,-0.445,0.7108,0.4883,0.687,0.5053,0.2385,0.472,0.7064,3.234,4.5783,1.4545,0.2259,0.1553,0.852,0.5962,0.6998,0.0392,3.5734,0.5248,-0.6058,-0.716,DESTRA_PANTALONI
2.0425,13.117,3.6217,12.0393,-0.2297,-2.2327,1.6747,1.2941,5.4174,-3.0765,1.3683,18.2734,4.2747,14.2179,-0.3953,5.7706,10.7947,3.2855,12.7174,0.1015,-0.9148,1.4927,0.3539,-1.6318,-0.3869,0.2371,2.7987,0.8472,1.1023,0.3027,0.3939,1.3011,7.8324,0.7178,1.2151,0.0916,0.1551,1.6928,0.5501,0.5584,-1.5652,1.0151,-2.8451,-2.8029,7.3669,0.9607,0.6917,0.1304,0.0939,0.7199,2.2223,0.8468,0.9467,0.381,0.426,1.118,0.0664,8.8003,0.7451,0.9703,0.8637,0.751,0.5352,0.8416,-0.7653,0.2948,0.543,1.9303,-23.1468,-0.9948,0.2891,0.5377,1.9857,?,2.1552,0.1569,0.3961,1.4208,0.5028,0.7693,-0.3551,-0.4616,1.0097,1.3706,1.3574,1.0195,1.8785,1.8425,0.9318,-1.2878,-1.382,0,0.028,0,0.9721,1.3586,1.3976,0.0499,3.9215,0.194,-0.5331,0.2443,DESTRA_PANTALONI
-0.33,1.9528,1.3974,5.4367,-0.9727,1.0902,2.455,1.5669,7.0964,-0.5839,1.4469,13.5445,3.6803,14.0282,-0.5231,4.0783,4.7107,2.1704,8.7105,0.1561,-0.3026,-0.228,-0.0809,0.7535,0.2673,0.3548,0.8919,0.3797,0.6439,0.4257,0.7219,1.6957,0.7954,0.1442,0.4145,0.1813,0.5212,2.8753,1.0247,0.5564,-1.6633,0.543,-1.6232,-2.9894,0.6151,0.2992,0.267,0.4864,0.434,0.8923,0.7661,0.3876,0.6242,0.5059,0.8147,1.6105,0.0368,6.0169,0.2286,0.4672,0.5505,0.783,0.5568,0.7347,-0.0493,0.8273,0.9096,3.4811,-0.9033,-1.0744,0.739,0.8597,3.2604,-253.924,0.5885,0.841,0.9171,3.0888,-0.4396,0.0459,-0.0838,-1.8256,1.0581,0.9918,0.9374,1.1195,0.9837,0.8787,0.5087,1.7514,3.4429,143.0041,0.8525,0.006,1.0677,1.127,1.0556,0.0245,2.7692,-0.6481,0.7487,-0.7944,DESTRA_PANTALONI
-0.3536,3.2383,1.7995,9.4048,-0.6157,1.4091,2.705,1.6447,6.8544,-0.0922,1.5314,23.5365,4.8514,18.1674,-0.5282,4.8083,10.8162,3.2888,12.0627,0.0558,-0.251,-0.2309,-0.0735,0.9202,0.2931,0.3185,1.0941,0.3709,0.5472,0.339,0.5001,1.4751,1.1972,0.1376,0.2994,0.1149,0.2501,2.1761,6.1962,0.5707,-5.0279,0.0921,-0.8114,-8.8098,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.3721,0.5177,0.7797,0.3773,0.5682,1.5061,0.0422,6.7829,0.4287,0.2044,0.0675,0.7068,0.809,0.6772,0.512,1.5503,1.2451,5.4486,-0.2825,-0.4922,1.0736,1.0362,4.71,-2.1609,0.0034,0.2825,0.5315,2.411,-1.1961,-1.0403,150.1398,-144.3269,1.2017,2.3426,1.9495,1.444,5.4878,3.8004,0.3727,0.914,2.4521,2.8512,3.8699,1.3573,1.1568,2.2599,1.9536,0.0142,2.3569,-0.649,-0.185,0.2811,DESTRA_PANTALONI
1.7728,12.0488,3.4711,11.7898,-0.4848,-1.1723,13.2483,3.6398,11.184,-1.3929,1.6965,13.8077,3.7159,13.3823,-0.7958,6.1688,8.4456,2.9061,8.9132,0.2237,-1.5122,1.045,0.2874,-0.6911,-0.19,0.275,0.9537,0.9341,1.1944,0.9795,1.2525,1.2786,0.9095,0.8726,1.4266,0.9595,1.5687,1.6349,0.5913,0.6491,-1.4989,1.0977,-2.5351,-2.3094,1.6989,1.0656,0.6916,0.6272,0.4071,0.649,1.0542,0.881,1.3227,0.8357,1.2548,1.5014,0.0544,9.611,0.8882,0.8422,0.6415,0.8461,0.4178,0.4566,-1.0156,0.3425,0.5852,2.1402,?,-0.9314,1.7207,1.3117,4.937,-2.4337,2.4852,2.5416,1.5942,4.7697,-0.0912,1.0904,-0.4087,-0.3748,0.4461,0.3671,0.8228,0.199,0.1348,0.677,0.6116,5.369,8.7781,0,0,0.3289,0.4335,0.4487,1.0351,0.0568,4.8591,0.1956,-0.601,-0.3099,DESTRA_PANTALONI
1.4456,11.1705,3.3422,10.3951,-0.4805,-0.4598,2.8106,1.6765,6.6754,-0.9231,0.8118,17.6643,4.2029,16.0502,-0.55,5.356,5.9192,2.4329,11.2475,0.1025,-3.1439,1.7807,0.2699,-0.5664,-0.0858,0.1516,1.9936,0.7952,1.3737,0.3989,0.6891,1.7275,3.9744,0.6324,1.8871,0.1591,0.4748,2.9842,1.0528,0.5923,-2.6262,0.5626,-2.4944,-4.4337,2.0229,0.6781,0.5603,0.3352,0.277,0.8263,1.5572,0.6477,0.9242,0.4159,0.5935,1.427,0.0344,8.0675,0.5969,0.8628,0.7167,0.5962,0.1868,0.6455,-0.646,0.61,0.7811,2.7808,-1.6142,-1.3784,1.0317,1.0157,3.5759,-3.9484,1.862,0.8637,0.9294,2.72,0.1145,0.4686,-0.3469,-0.7403,0.769,0.8404,1.0929,0.5913,0.7063,1.1945,0.6018,-4.8818,-8.1121,1.472,0.3463,0.2353,0.7776,1.0223,1.3147,0.0481,4.2644,0.3823,0.7093,0.3815,DESTRA_PANTALONI
0.367,2.6864,1.639,6.9885,-0.4438,-1.559,0.8964,0.9468,4.8197,-4.7527,0.4649,3.6454,1.9093,6.7834,-0.4811,2.9299,1.4251,1.1938,4.7746,0.1655,-0.2354,0.7895,0.1253,-3.3534,-0.5321,0.1587,1.7311,0.8585,1.373,0.4959,0.7931,1.5994,2.9969,0.7369,1.8851,0.2459,0.629,2.5579,0.5395,0.9749,-2.2685,1.8071,-4.2052,-2.327,5.7776,1.0569,0.846,0.1829,0.1464,0.8005,1.45,1.0302,1.4637,0.7105,1.0094,1.4207,0.0334,4.4188,0.5749,0.5584,0.6087,0.3921,-0.0117,0.5484,-0.4273,1.1887,1.0903,3.7475,-1.3725,-0.8711,2.4085,1.5519,5.681,-1.2208,2.9141,1.7606,1.3269,5.2355,-0.0088,0.4906,-0.1466,-0.2989,0.7025,0.8217,1.1696,0.4935,0.6752,1.368,0.6942,47.3019,68.139,0.6175,0.3044,0.4929,0.6597,0.7158,1.0851,0.0614,5.3816,-0.7972,-0.7577,0.8396,DESTRA_PANTALONI
3.2128,12.8057,3.5785,15.3331,-0.5133,-2.2907,11.8687,3.4451,10.9829,-2.9504,0.9508,17.2631,4.1549,16.0183,-1.1868,7.3345,4.6163,2.1486,8.9329,0.2294,-1.4026,3.379,0.438,-2.4091,-0.3123,0.1296,1.0387,0.8613,1.6655,0.8292,1.6034,1.9338,1.0789,0.7418,2.774,0.6875,2.571,3.7396,0.6341,0.5983,-1.9562,0.9436,-3.0852,-3.2697,3.6443,1.3832,0.8741,0.3795,0.2398,0.6319,1.3961,0.9572,1.7165,0.6856,1.2295,1.7932,0.0427,10.8751,0.6606,0.7076,0.0983,0.1764,-0.4898,0.1889,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
3.7289,27.6503,5.2584,19.7616,-0.5204,-1.2501,24.2896,4.9285,16.0565,-1.0739,0.7221,26.4764,5.1455,21.7394,-1.1164,9.2527,8.7921,2.9652,11.2113,0.3068,-2.9829,5.1642,0.403,-1.7313,-0.1351,0.078,1.0669,1.0219,1.7734,0.9578,1.6621,1.7353,1.1384,1.0443,3.1449,0.9174,2.7627,3.0114,0.8135,0.5898,-1.3629,0.725,-1.6753,-2.3107,1.6788,1.2654,0.8036,0.7537,0.4787,0.6351,1.2308,0.909,1.7627,0.7386,1.4322,1.9391,0.0412,14.6067,-0.3507,0.6407,0.6357,-0.4927,-0.4079,0.4196,-0.5421,2.9848,1.7277,6.2079,-2.8888,-1.0565,2.7097,1.6461,5.7806,-2.9062,2.5703,2.963,1.7213,6.3008,-0.1127,0.5131,-0.2109,-0.411,1.0495,1.0037,0.9563,1.1015,1.0074,0.9145,1.0723,7.2274,6.7404,1.0787,0.2819,0.2613,1.0739,0.9853,0.9174,0.0292,5.6585,0.7713,-0.5019,-0.426,DESTRA_PANTALONI
1.9593,10.8563,3.2949,14.2467,-0.5932,-2.0165,10.6725,3.2669,12.8155,-1.6855,-0.1234,12.3584,3.5155,13.745,-1.2265,6.2399,2.8716,1.6946,7.6288,0.2593,-0.9716,-15.882,0.314,16.3458,-0.3232,-0.0198,1.0086,0.9373,1.9444,0.9293,1.9278,2.0745,1.0172,0.8785,3.7806,0.8636,3.7166,4.3037,0.6595,0.7006,-1.9859,1.0623,-3.0112,-2.8345,1.8738,1.4484,0.8682,0.773,0.4633,0.5994,1.1117,1.0365,1.8675,0.9324,1.6799,1.8017,0.0299,9.3551,0.5463,0.1463,-0.057,-0.2718,-0.3681,0.1784,-0.792,2.7671,1.6634,6.1353,-3.6228,-1.3854,1.8629,1.3649,5.849,-3.8697,3.4577,3.0847,1.7563,6.2239,0.0034,0.5717,-0.229,-0.4007,1.2187,0.9471,0.7771,1.4853,0.897,0.6039,1.0345,-229.3319,-221.6921,1.105,0.2125,0.1923,1.0489,0.9858,0.9398,0.0405,6.3955,0.495,0.1984,0.0666,DESTRA_PANTALONI
