@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
1.6025,11.5592,3.3999,17.7056,-0.6736,-1.0378,5.677,2.3826,10.7964,-1.2502,-0.4594,12.5445,3.5418,20.6211,-1.971,5.1424,7.1928,2.6819,15.5635,0.0366,-1.5441,-3.4883,0.3116,2.2591,-0.2018,-0.0893,1.4269,0.9599,1.2677,0.6727,0.8884,1.3206,2.0361,0.9215,1.6071,0.4525,0.7893,1.744,1.1881,0.5209,-12.0657,0.4385,-10.1558,-23.1618,2.2049,1.5242,0.6549,0.6913,0.297,0.4297,1.64,0.8586,1.1376,0.5236,0.6937,1.325,0.0131,7.7491,-0.581,0.4201,0.5454,0.1264,-0.3768,0.0076,-0.0946,0.6611,0.8131,4.8049,-1.8897,-0.7581,1.5085,1.2282,6.393,-5.9022,0.6256,1.8176,1.3482,4.8432,-0.2338,0.1248,-0.1513,-1.2119,0.662,0.6031,0.911,0.4383,0.3637,0.8299,0.5748,3.4239,5.957,1.7952,0.4236,0.2359,0.7516,0.9921,1.32,0.0066,2.4787,0.3557,-0.3528,-0.362,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.0936,8.6191,2.9358,13.7922,-0.3027,-1.5628,6.899,2.6266,10.0309,-1.5319,-0.2683,11.1792,3.3435,14.638,-0.8357,5.1364,7.2128,2.6857,13.7648,0.03,-1.3396,-7.8042,0.4076,5.8256,-0.3043,-0.0522,1.1177,0.8781,1.0932,0.7856,0.978,1.245,1.2493,0.771,1.195,0.6171,0.9565,1.5499,0.5281,0.4809,-7.5372,0.9107,-14.2732,-15.6723,2.6723,1.3277,0.7461,0.4968,0.2792,0.5619,1.375,0.9422,1.002,0.6853,0.7287,1.0634,0.0175,7.9692,-0.5652,0.4682,0.8049,0.2041,-0.6119,0.3303,-0.2034,0.5697,0.7548,3.4896,-1.1287,-0.6953,0.834,0.9132,4.1099,-4.5323,0.8116,1.1057,1.0515,3.6058,-0.2618,0.2925,-0.2506,-0.8568,0.8265,0.7178,0.8685,0.6832,0.5153,0.7542,0.5495,2.4729,4.5,2.2066,0.5737,0.26,0.8491,0.9678,1.1398,0.0073,2.4142,0.3622,-0.4749,-0.3596,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.537,1.5778,1.2561,6.0124,-0.5904,0.3048,3.9579,1.9895,8.0217,-0.5482,0.0599,12.6101,3.5511,16.8134,-0.824,3.8891,3.4058,1.8455,10.1091,0.0998,1.7616,8.9654,0.1381,5.0894,0.0784,0.0154,0.6314,0.3537,0.6806,0.5602,1.078,1.9242,0.3986,0.1251,0.4632,0.3139,1.1621,3.7025,0.7858,0.2939,-1.9914,0.374,-2.5342,-6.7765,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7495,0.3576,0.5948,0.4771,0.7935,1.6632,0.0041,5.7705,0.3608,0.4473,0.4364,0.7438,0.3533,0.3766,-0.0119,0.8899,0.9433,5.293,-1.2874,-0.5471,0.7206,0.8489,4.3242,-3.0168,0.0073,0.7163,0.8464,3.9223,-0.8281,0.0217,-1.6164,-74.6048,1.1113,1.1146,1.003,1.2349,1.2423,1.006,0.9173,1.6767,1.8278,2.1495,1.0785,0.5017,1.2241,1.3495,1.1024,0.0036,2.0898,-0.0467,0.196,-0.3656,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.4099,2.4001,1.5492,10.6028,-0.4266,0.345,3.6139,1.901,9.9407,-0.4515,0.1265,17.0504,4.1292,17.1865,-0.61,4.2014,5.7156,2.3907,11.3828,0.0405,1.188,3.2398,0.0976,2.7272,0.0821,0.0301,0.8149,0.3752,0.648,0.4604,0.7952,1.7272,0.6641,0.1408,0.4199,0.212,0.6323,2.9831,1.0253,0.4869,-6.6005,0.4749,-6.4376,-13.5565,1.0853,0.6963,0.6265,0.6416,0.5773,0.8998,1.0666,0.6169,0.9315,0.5784,0.8733,1.5099,0.0037,5.9509,0.2269,0.2243,0.2892,0.5465,0.4441,0.3497,0.2165,1.1509,1.0728,6.5848,-0.5499,-0.3997,0.9396,0.9693,4.8859,-1.9366,-0.1881,0.3271,0.572,2.9503,-1.183,-0.5417,-1.1508,2.1242,1.1068,1.8757,1.6947,1.2249,3.5181,2.872,0.7251,1.4613,2.0153,2.5535,3.1435,1.2311,1.3477,2.2319,1.6561,0.0033,2.0569,-0.2344,-0.2102,0.1739,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.3136,6.3463,2.5192,10.8928,-0.2478,-1.3031,8.2515,2.8726,12.5851,-1.9722,0.169,16.6461,4.08,16.8801,-0.9628,5.2518,7.115,2.6674,9.8156,0.0482,-1.0081,7.771,0.2501,-7.7084,-0.2481,0.0322,0.877,0.6175,0.9444,0.7041,1.0769,1.5296,0.7691,0.3812,0.892,0.4957,1.1597,2.3396,0.259,0.2612,-4.3489,1.0085,-16.7895,-16.6478,2.0617,1.0151,0.8465,0.4924,0.4106,0.8339,0.8655,0.6453,1.1097,0.7456,1.2822,1.7197,0.0124,7.5589,-0.3624,0.4996,0.5893,0.1851,-0.5049,0.2527,-0.2815,0.547,0.7396,3.2711,-1.8926,-0.3716,0.8893,0.943,4.937,-2.4337,0.809,2.3012,1.517,4.8795,-0.1163,0.7575,-0.348,-0.4594,0.7843,0.4876,0.6216,0.6151,0.2377,0.3864,0.6116,4.2096,6.8826,0.7865,0.2587,0.3289,0.6626,0.6704,1.0118,0.0062,2.3137,0.4505,-0.6833,-0.4772,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.4276,8.8798,2.9799,12.5175,-0.283,-1.3284,6.071,2.4639,9.9719,-0.8503,-0.1509,10.8889,3.2998,14.5147,-0.6714,4.9125,5.5324,2.3521,13.1237,0.0519,-1.0746,-9.4573,0.2906,8.8004,-0.2704,-0.0307,1.2094,0.903,1.2669,0.7467,1.0476,1.4029,1.4626,0.8155,1.6051,0.5575,1.0974,1.9682,0.6024,0.4735,-3.8424,0.786,-6.378,-8.1148,1.8104,1.1235,0.7048,0.6206,0.3893,0.6274,1.2553,0.8624,0.9538,0.687,0.7598,1.106,0.013,7.5434,-0.335,0.5023,0.7098,0.416,-0.2646,0.336,-0.2899,0.4782,0.6915,2.9385,-1.7625,-0.5136,1.1464,1.0707,4.5128,-1.7193,0.6925,1.1331,1.0645,4.0897,-0.3314,0.5644,-0.4186,-0.7417,0.6459,0.6496,1.0058,0.4172,0.422,1.0117,0.6571,1.8419,2.8031,0.641,0.3463,0.5402,0.6512,0.7185,1.1035,0.0061,2.3243,0.5746,-0.114,-0.3795,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.6041,23.6307,4.8611,27.3836,-0.7566,-2.0009,18.0869,4.2529,17.4479,-1.5997,-0.5312,16.3253,4.0405,22.4451,-1.3223,6.9278,16.9069,4.1118,17.7683,0.0336,-0.8017,-3.0201,0.2316,3.767,-0.2888,-0.0767,1.143,1.2031,1.1822,1.0526,1.0343,0.9826,1.3065,1.4475,1.3977,1.1079,1.0698,0.9656,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,2.3227,1.6129,0.8479,0.6944,0.365,0.5257,1.5694,1.22,1.5411,0.7774,0.982,1.2632,0.0179,10.8055,-0.6394,0.4121,0.5495,-0.038,-0.531,0.1826,-0.2133,1.5616,1.2497,6.7387,-2.1679,-0.7474,1.6736,1.2937,5.8041,-2.9824,1.1654,2.8361,1.6841,6.3478,-0.121,0.2853,-0.183,-0.6413,0.966,0.742,0.7682,0.9331,0.5506,0.5901,1.0609,6.7316,6.345,1.4595,0.3756,0.2574,1.161,1.0616,0.9144,0.0096,3.2729,0.3453,-0.5632,-0.3271,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.5109,9.4924,3.081,15.3659,-0.291,-1.7632,11.8393,3.4408,16.2335,-2.1296,0.0024,13.2237,3.6364,16.8967,-0.9893,5.6121,8.4518,2.9072,12.9236,0.0626,-0.8569,637.2748,0.2692,-743.6894,-0.3142,0.0004,0.8954,0.8473,1.0598,0.9462,1.1836,1.2508,0.8018,0.7178,1.1231,0.8953,1.4008,1.5646,0.3136,0.4122,-4.0141,1.3146,-12.8006,-9.7375,2.2945,1.4013,0.8633,0.6107,0.3762,0.6161,0.9466,0.9094,1.189,0.9607,1.2561,1.3074,0.0165,8.3924,-0.3173,0.1845,0.6757,-0.0543,-0.5407,0.3303,-0.2069,1.3221,1.1498,6.4514,-2.9258,-0.8042,1.0314,1.0156,5.849,-3.8697,1.0538,4.0388,2.0097,7.3668,-0.1813,0.2573,-0.1963,-0.7631,1.1322,0.5721,0.5053,1.2819,0.3273,0.2554,1.0345,4.2532,4.1115,1.3682,0.2635,0.1926,1.103,0.8757,0.794,0.0095,3.0535,0.3886,-0.2198,-0.2885,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.014,15.7427,3.9677,19.029,-0.3896,-1.9218,18.649,4.3184,18.923,-1.6047,-0.403,19.497,4.4155,17.8444,-0.9559,6.9072,14.0914,3.7538,17.1052,0.0803,-1.048,-4.9978,0.2916,4.769,-0.2782,-0.0583,0.9188,0.8986,1.057,0.978,1.1504,1.1763,0.8442,0.8074,1.1172,0.9565,1.3234,1.3836,0.4576,0.6117,-3.5702,1.3368,-7.8016,-5.8361,1.885,1.501,0.7363,0.7963,0.3906,0.4905,1.0056,1.0664,1.1125,1.0604,1.1063,1.0432,0.0197,10.6852,-0.5788,0.2739,0.8236,0.1039,-0.5736,0.213,-0.1968,1.7037,1.3053,6.8413,-2.0579,-0.744,1.663,1.2896,6.6074,-1.9227,1.2463,2.4901,1.578,5.5318,-0.1361,0.2646,-0.158,-0.597,1.0122,0.8272,0.8172,1.0245,0.6842,0.6678,1.0592,6.9482,6.5598,0.9896,0.4595,0.4643,1.0354,1.2367,1.1944,0.0102,3.3289,0.1254,-0.5072,-0.1489,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.6404,10.9481,3.3088,11.9767,-0.1891,-0.6845,1.9667,1.4024,5.2481,-2.639,-0.3612,2.4567,1.5674,7.6606,-1.6863,3.2721,7.9549,2.8204,9.9811,0.0507,-2.3965,-4.5422,0.5013,1.8953,-0.2092,-0.1104,2.3594,2.111,1.1731,0.8947,0.4972,0.5557,5.5669,4.4564,1.3763,0.8005,0.2472,0.3088,0.5004,0.396,-3.5721,0.7914,-7.1385,-9.0196,6.984,3.532,0.958,0.5057,0.1372,0.2712,2.2821,1.5634,1.1999,0.6851,0.5258,0.7675,0.0138,4.7404,-0.739,-0.0095,0.9518,0.2227,-0.734,0.0024,-0.0125,0.411,0.6411,2.9932,-1.0332,-1.1311,2.3964,1.548,5.8887,-22.1731,0.0765,2.0678,1.438,5.2559,-0.4529,0.0111,-0.1638,-14.7905,0.4141,0.4458,1.0765,0.1715,0.1988,1.1589,0.2699,0.9284,3.4392,5.7933,0.407,0.0702,0.5083,0.5695,1.1204,0.0087,2.7187,-0.5128,0.0167,-0.6651,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
