@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-1.5778,5.9582,2.4409,8.0107,-2.3522,1.3744,22.5499,4.7487,14.4383,-0.8744,2.0111,13.5104,3.6757,12.4115,-0.4351,6.7975,4.2357,2.0581,8.6758,0.2089,-1.148,-0.7845,-0.2321,0.6834,0.2022,0.2959,0.514,0.6641,1.186,1.2919,2.3073,1.786,0.2642,0.441,1.4067,1.6691,5.3238,3.1897,0.8345,1.4937,-2.4531,1.7899,-2.9394,-1.6422,0.3102,0.2763,0.2179,0.8907,0.7023,0.7886,0.5548,0.6454,0.9233,1.1633,1.6642,1.4306,0.058,10.3622,-0.7909,0.4272,-0.4133,-0.7926,0.257,-0.0152,-0.1089,0.5436,0.7373,2.6689,-2.0096,-0.7959,1.0759,1.0373,3.1325,-4.1381,1.7886,2.2796,1.5098,4.4766,-0.1404,0.1368,-0.0609,-0.445,0.7108,0.4883,0.687,0.5053,0.2385,0.472,0.7064,3.234,4.5783,1.4545,0.2259,0.1553,0.852,0.5962,0.6998,0.0392,3.5734,0.5248,-0.6058,-0.716,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.159,9.8396,3.1368,9.841,-2.1832,-2.9202,2.0462,1.4305,7.4124,-2.223,1.5583,29.2481,5.4081,17.3552,-0.406,6.5454,9.2723,3.045,12.5493,0.1235,-0.0545,0.1021,0.0243,-1.874,-0.4461,0.2381,2.1929,0.58,1.0301,0.2645,0.4698,1.776,4.8086,0.3364,1.0612,0.07,0.2207,3.1543,1.3202,1.3468,-3.8187,1.0202,-2.8926,-2.8354,1.3442,0.2505,0.2159,0.1863,0.1606,0.8622,1.3276,0.567,0.7842,0.4271,0.5907,1.383,0.0663,10.2234,-0.2308,-0.8803,-0.8386,-0.0314,-0.1411,0.8152,-0.7653,0.2948,0.543,1.9303,-23.1468,-0.9948,0.2891,0.5377,1.9857,?,2.1552,0.1569,0.3961,1.4208,0.5028,0.7693,-0.3551,-0.4616,1.0097,1.3706,1.3574,1.0195,1.8785,1.8425,0.9318,-1.2878,-1.382,0,0.028,0,0.9721,1.3586,1.3976,0.0499,3.9215,0.194,-0.5331,0.2443,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.628,1.573,1.2542,4.5999,-1.0534,0.0782,2.8316,1.6827,7.0803,-0.7898,1.2872,13.306,3.6477,14.581,-0.4904,3.9921,3.8306,1.9572,8.2264,0.1648,-8.0296,-0.4879,-0.1573,0.0608,0.0196,0.3224,0.7453,0.3438,0.6408,0.4613,0.8598,1.8638,0.5555,0.1182,0.4106,0.2128,0.7392,3.4736,0.7553,0.4919,-1.4535,0.6512,-1.9244,-2.955,0.5663,0.229,0.2274,0.4044,0.4016,0.9932,0.6497,0.3155,0.5592,0.4856,0.8607,1.7725,0.0287,5.7544,-0.2001,0.3122,0.3659,-0.5546,-0.4143,0.7314,-0.0493,0.8273,0.9096,3.4811,-0.9033,-1.0744,0.739,0.8597,3.2604,-253.924,0.5885,0.841,0.9171,3.0888,-0.4396,0.0459,-0.0838,-1.8256,1.0581,0.9918,0.9374,1.1195,0.9837,0.8787,0.5087,1.7514,3.4429,143.0041,0.8525,0.006,1.0677,1.127,1.0556,0.0245,2.7692,-0.6481,0.7487,-0.7944,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.8852,4.7964,2.1901,10.672,-1.1396,1.5548,2.016,1.4199,5.3401,-0.4671,1.819,22.8138,4.7764,17.7168,-0.5544,4.9914,11.2221,3.3499,12.4875,0.0573,-0.5693,-0.4866,-0.1773,0.8547,0.3115,0.3644,1.5425,0.4585,0.6538,0.2973,0.4238,1.4258,2.3792,0.2102,0.4274,0.0884,0.1796,2.0329,3.3432,0.8995,-7.4916,0.2691,-2.2409,-8.3285,1.3703,0.4376,0.3765,0.3193,0.2748,0.8604,1.9985,0.6024,0.8546,0.3014,0.4276,1.4188,0.051,7.5611,-0.1452,-0.6222,-0.5767,0.0797,0.5913,0.7114,0.512,1.5503,1.2451,5.4486,-0.2825,-0.4922,1.0736,1.0362,4.71,-2.1609,0.0034,0.2825,0.5315,2.411,-1.1961,-1.0403,150.1398,-144.3269,1.2017,2.3426,1.9495,1.444,5.4878,3.8004,0.3727,0.914,2.4521,2.8512,3.8699,1.3573,1.1568,2.2599,1.9536,0.0142,2.3569,-0.649,-0.185,0.2811,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3332,2.4185,1.5552,7.4659,-1.5033,-0.8196,60.2479,7.762,24.683,-0.8672,1.0332,17.1217,4.1378,13.7663,-0.9374,8.1869,14.6138,3.8228,11.7035,0.192,0.4066,-0.3225,-0.0407,-0.7933,-0.1001,0.1262,0.2004,0.3758,0.4068,1.8758,2.0304,1.0824,0.0401,0.1413,0.1655,3.5188,4.1227,1.1716,0.3911,0.6731,-1.6126,1.7211,-4.1233,-2.3957,0.2256,0.4197,0.2059,1.8604,0.9127,0.4906,0.3025,0.5423,0.6379,1.793,2.109,1.1763,0.0272,11.6745,0.4445,0.2327,0.1358,0.8755,0.3286,0.1021,-1.0156,0.3425,0.5852,2.1402,?,-0.9314,1.7207,1.3117,4.937,-2.4337,2.4852,2.5416,1.5942,4.7697,-0.0912,1.0904,-0.4087,-0.3748,0.4461,0.3671,0.8228,0.199,0.1348,0.677,0.6116,5.369,8.7781,0,0,0.3289,0.4335,0.4487,1.0351,0.0568,4.8591,0.1956,-0.601,-0.3099,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.9423,4.2297,2.0566,7.5591,-2.2445,-0.0263,4.8664,2.206,10.1991,-0.7232,0.9783,26.7973,5.1766,17.3103,-0.5721,5.6677,5.6161,2.3698,11.1409,0.1257,35.8519,-0.9632,-0.1663,-0.0269,-0.0046,0.1726,0.9323,0.3973,0.8678,0.4261,0.9309,2.1844,0.8692,0.1578,0.7531,0.1816,0.8665,4.7715,1.2217,0.8301,-3.2654,0.6795,-2.6729,-3.9336,0.3936,0.2116,0.1828,0.5375,0.4645,0.8641,0.7412,0.4367,0.6785,0.5892,0.9155,1.5538,0.0272,8.2176,-0.2044,-0.7622,-0.6527,0.192,0.0456,0.6971,-0.646,0.61,0.7811,2.7808,-1.6142,-1.3784,1.0317,1.0157,3.5759,-3.9484,1.862,0.8637,0.9294,2.72,0.1145,0.4686,-0.3469,-0.7403,0.769,0.8404,1.0929,0.5913,0.7063,1.1945,0.6018,-4.8818,-8.1121,1.472,0.3463,0.2353,0.7776,1.0223,1.3147,0.0481,4.2644,0.3823,0.7093,0.3815,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5111,14.2941,3.7807,14.4801,-1.073,-0.5417,82.3418,9.0742,36.058,-0.7644,1.9999,54.7255,7.3977,23.0486,-0.6116,11.8264,16.0514,4.0064,15.077,0.2879,0.9436,-0.2556,-0.0432,-0.2709,-0.0458,0.1691,0.4166,0.5111,0.9437,1.2266,2.2649,1.8465,0.1736,0.2612,0.8905,1.5046,5.1299,3.4094,0.4798,0.8569,-1.2299,1.786,-2.5634,-1.4353,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.4016,0.6282,0.9604,1.5644,2.3916,1.5287,0.022,17.4419,-0.2167,-0.5166,0.1137,-0.5745,-0.2733,0.4154,-0.5421,2.9848,1.7277,6.2079,-2.8888,-1.0565,2.7097,1.6461,5.7806,-2.9062,2.5703,2.963,1.7213,6.3008,-0.1127,0.5131,-0.2109,-0.411,1.0495,1.0037,0.9563,1.1015,1.0074,0.9145,1.0723,7.2274,6.7404,1.0787,0.2819,0.2613,1.0739,0.9853,0.9174,0.0292,5.6585,0.7713,-0.5019,-0.426,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0,6.5305,2.5555,10.0369,-1.0869,-1.8194,50.5961,7.1131,27.2276,-1.5335,0.0828,16.8831,4.1089,17.1265,-1.152,8.2908,8.5886,2.9306,14.0841,0.1746,-0,0.0003,0,-21.9747,-0.2194,0.01,0.3593,0.6219,0.872,1.7311,2.4272,1.4021,0.1291,0.3868,0.7604,2.9968,5.8911,1.9658,0.3172,0.5702,-1.7546,1.7977,-5.5318,-3.0772,0.4475,0.6043,0.2819,1.3504,0.6298,0.4664,0.3686,0.586,0.7126,1.5898,1.9332,1.216,0.0194,11.7815,0.2517,-0.0103,-0.5781,-0.2022,-0.4286,0.2517,-0.792,2.7671,1.6634,6.1353,-3.6228,-1.3854,1.8629,1.3649,5.849,-3.8697,3.4577,3.0847,1.7563,6.2239,0.0034,0.5717,-0.229,-0.4007,1.2187,0.9471,0.7771,1.4853,0.897,0.6039,1.0345,-229.3319,-221.6921,1.105,0.2125,0.1923,1.0489,0.9858,0.9398,0.0405,6.3955,0.495,0.1984,0.0666,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.4438,14.8977,3.8597,17.5132,-0.9709,-2.628,76.4038,8.7409,33.1843,-0.9659,2.3653,44.8496,6.697,21.9283,-0.4823,11.5437,15.5915,3.9486,15.6105,0.2103,0.1689,-0.1876,-0.0384,-1.1111,-0.2277,0.2049,0.4416,0.5763,0.9775,1.3052,2.2137,1.696,0.195,0.3322,0.9555,1.7036,4.9004,2.8765,0.5292,1.2092,-2.0749,2.2851,-3.9211,-1.7159,0.5264,0.6007,0.4495,1.1411,0.8539,0.7483,0.5278,0.7987,1.1219,1.5133,2.1258,1.4047,0.0375,17.5034,0.2113,-0.6067,0.1018,-0.2759,-0.2023,0.2026,-0.743,3.2447,1.8013,6.8413,-2.0579,-0.7667,2.2096,1.4865,5.975,-1.643,2.9854,1.3252,1.1512,5.1782,-0.0635,0.9691,-0.2489,-0.2568,1.2118,1.5647,1.2913,1.4684,2.4483,1.6673,1.2395,14.8959,12.0174,0.9896,0.4595,0.4643,1.145,1.3212,1.1539,0.033,5.9606,0.4864,-0.5485,0.1519,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
3.5416,2.7653,1.6629,5.3719,0.127,-3.1192,5.937,2.4366,7.9276,-13.9785,2.7674,21.0136,4.5841,13.0831,-0.3883,7.1279,8.8393,2.9731,9.5303,0.137,-1.1354,1.2797,0.4969,-1.1271,-0.4376,0.3882,0.6825,0.3628,0.5593,0.5315,0.8195,1.5418,0.4658,0.1316,0.3128,0.2825,0.6717,2.3773,-0.1056,-0.2136,0.5166,2.0217,-4.8902,-2.4189,11.6264,0.653,0.5572,0.0562,0.0479,0.8533,0.6776,0.4106,0.5637,0.6059,0.8318,1.3728,0.4974,11.3055,-0.7643,-0.0168,0.6275,-0.3742,-0.8439,0.7097,-0.025,1.1061,1.0517,2.9932,-1.0332,-2.6898,3.1851,1.7847,5.6346,?,1.6705,2.0136,1.419,4.4056,-0.2178,0.0093,-0.015,-1.6101,0.5893,0.7412,1.2577,0.3473,0.5493,1.5818,0.2699,1.9302,7.1504,0,0.407,0,0.5312,0.6794,1.279,0.072,5.5179,-0.8615,-0.0533,-0.3101,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
