@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.4342,3.1068,1.7626,7.395,-3.7006,-3.4948,14.3136,3.7833,11.414,-19.2704,1.1086,7.1455,2.6731,10.2792,-0.2626,4.7148,15.968,3.996,12.9661,0.0212,0.1242,-0.3917,-0.0921,-3.1525,-0.7412,0.2351,0.4659,0.6594,0.4411,1.4153,0.9468,0.6689,0.2171,0.4348,0.1946,2.0032,0.8964,0.4475,0.5365,2.7235,-20.744,5.0762,-38.664,-7.6168,2.7939,0.1932,0.1188,0.0692,0.0425,0.6146,0.6479,0.7194,0.5703,1.1104,0.8803,0.7928,0.0369,6.7921,0.5897,-0.7495,-0.6813,-0.5803,-0.9644,0.7162,0.0241,0.0314,0.1773,0.5407,-2.417,-0.3075,0.0156,0.1248,0.5118,?,-0.5763,0.0183,0.1351,0.6694,?,-0.0783,-0.0418,0.5336,1.4205,1.3124,0.9239,2.0178,1.7224,0.8536,0.7473,0.5713,0.7645,0,0,1,1.0565,0.8076,0.7645,0.0065,1.0444,0.5402,-0.9862,-0.4148,-30.063,65.2916,8.0803,42.917,?,-9.3365,227.758,15.0917,54.691,-0.7021,-21.0618,140.8344,11.8674,34.299,?,3.2199,1.4274,0.4433,0.5354,0.6809,1.2717,0.2867,0.4636,1.6172,1.9024,1.2513,0.6577,0,1,0,0.7847,1.2513,1.5945,0.3788,67.7917,-0.3495,-0.9268,0.6142,TASCA_DESTRA_DAVANTI_PANTALONI
2.1245,9.1843,3.0306,12.2974,-0.2134,-2.0675,22.5505,4.7487,20.9743,-1.754,1.2757,24.9536,4.9954,20.6633,-0.5898,6.5907,23.6664,4.8648,17.0742,0.0294,-1.0276,1.6653,0.3223,-1.6207,-0.3137,0.1936,0.6382,0.6067,0.623,0.9506,0.9761,1.0268,0.4073,0.3681,0.3881,0.9037,0.9529,1.0544,0.1619,0.2821,-4.1876,1.7426,-25.869,-14.8455,1.3307,0.7798,0.5762,0.586,0.433,0.7389,0.5863,0.5951,0.7202,1.0151,1.2284,1.2102,0.034,10.2282,-0.4355,-0.142,0.5394,-0.5084,-0.7483,0.5283,0.2828,0.0092,0.0961,0.2958,0.2611,-0.2434,0.0495,0.2224,0.5823,-18.4782,0.4919,0.0288,0.1697,0.451,0.4131,-1.1617,0.5749,-0.4948,0.4322,0.5663,1.3102,0.1868,0.3207,1.7168,-0.1893,0.3294,-1.7402,13.3935,0.521,0.0389,0.5081,0.6559,1.291,0.0065,1.0239,0.7773,-0.8813,-0.9703,-5.5015,96.3357,9.8151,27.5986,-2.1292,-0.6887,202.4047,14.2269,39.5386,-0.4142,-40.8511,16.3221,4.0401,44.7586,?,7.9876,0.1347,0.0169,0.6899,2.4294,3.5215,0.476,5.9022,12.4007,1.6217,0.4196,0.2587,0.3155,0,0,0.698,0.6166,0.8834,0.434,63.4247,-0.6045,-0.7521,0.9729,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2772,0.4242,0.6513,3.4341,-2.408,0.5947,1.7721,1.3312,5.8339,-0.554,1.0036,7.5266,2.7435,8.6925,-0.5705,2.7442,3.63,1.9053,5.6481,0.0138,-0.4662,-0.2762,-0.101,0.5926,0.2167,0.3657,0.4893,0.2374,0.3419,0.4852,0.6987,1.4399,0.2394,0.0564,0.1169,0.2354,0.4882,2.0734,1.1666,0.7684,-30.6546,0.6587,-26.2764,-39.8917,0.2684,0.1821,0.1759,0.6782,0.6555,0.9664,0.5886,0.3951,0.608,0.6711,1.0329,1.539,0.0136,3.762,0.4123,-0.1707,-0.2598,0.0998,0.3236,0.6712,0.3337,0.0394,0.1985,0.4911,0.2466,0.0172,0.0191,0.1382,0.3821,-1.6537,0.745,0.0008,0.0284,0.0727,0.9058,19.4465,0.4479,0.023,1.4367,6.9836,4.8609,2.0641,48.7702,23.628,-0.675,0.2298,-0.3405,4.5269,0.8443,0.1865,1.2853,6.7533,5.2544,0.0093,1.2076,-0.9958,-0.9817,0.9627,15.2955,311.7042,17.6551,52.25,-0.8253,-17.2088,3.9327,1.9831,21.6875,?,-12.6072,17.8233,4.2218,17.3125,-24.1818,-0.8888,-1.2132,1.365,8.9028,4.1819,0.4697,79.2597,17.4886,0.2206,1.0893,1.4211,1.3045,0,41.6364,0,2.4092,3.0181,1.2527,0.2983,51.6896,0.4323,-0.8396,0.0367,TASCA_DESTRA_DAVANTI_PANTALONI
0.0286,0.0146,0.1209,0.555,-0.6353,0.0806,0.0153,0.1237,0.627,-0.505,0.0126,0.0101,0.1006,0.4893,-0.6463,0.1966,0.0088,0.094,0.4419,0.0931,0.3553,2.2641,0.1456,6.3722,0.4097,0.0643,0.9777,1.2021,1.2863,1.2294,1.3156,1.0701,0.956,1.445,1.6547,1.5115,1.7309,1.1451,1.0248,1.1226,-4.7525,1.0954,-4.6377,-4.2336,0.8147,1.1421,0.6966,1.4018,0.855,0.6099,0.8852,1.1344,1.2561,1.2815,1.419,1.1072,0.0009,0.303,0.5172,-0.1916,0.4102,0.6375,0.5163,0.2177,0.5821,0,0.0017,0.006,0.9897,-0.1426,0.0001,0.0078,0.1511,?,-0.7493,0,0.0007,0.7503,?,-4.0819,-0.7768,0.1903,0.2182,2.2674,10.39,0.0476,5.1412,107.9529,-3.8381,-0.773,0.2014,0,0,1,0.0399,0.008,0.2014,0.0096,1.474,0.9389,-0.1412,-0.5393,13.7341,0.2977,0.5456,2.1,0.8601,-41.9517,0.191,0.437,42.9198,?,-13.1468,0.2042,0.4518,14.2113,?,-0.3274,-1.0447,3.191,1.2485,1.2076,0.9672,1.5587,1.4582,0.9355,-0.3008,-0.9083,3.0201,0,0,1,0.0489,0.1478,3.0201,0.4606,68.8326,0.5047,-0.2744,-0.4302,TASCA_DESTRA_DAVANTI_PANTALONI
0.0061,0.0081,0.0901,0.4808,-1.5756,0.0191,0.0194,0.1392,0.6875,-1.0083,0.0032,0.0128,0.1133,0.4986,-1.1671,0.1741,0.0104,0.1022,0.4402,0.0363,0.3212,1.9114,0.0353,5.9515,0.1099,0.0185,0.6471,0.7954,0.8819,1.2291,1.3627,1.1087,0.4188,0.6327,0.7777,1.5108,1.857,1.2292,0.852,1.0954,-17.7138,1.2856,-20.7901,-16.1716,0.5453,0.8114,0.4087,1.488,0.7495,0.5037,0.6993,0.9643,1.0922,1.379,1.5619,1.1327,0.0002,0.2719,0.3932,0.1685,0.0206,0.9407,-0.0532,-0.0599,0.542,0,0.0005,0.0019,0.9966,-0.2143,0,0.0008,0.2156,?,-0.757,0,0.0017,0.7605,?,-2.5293,-0.716,0.2831,0.6821,0.318,0.4663,0.4652,0.1011,0.2174,-2.5075,-0.7109,0.2835,0,0,1,0.0087,0.0025,0.2835,0.0096,1.5133,-0.667,0.9167,-0.949,7.7501,0.0526,0.2294,0.8,0.9013,-44.6493,0.1168,0.3418,45.1475,?,-12.2845,0.2833,0.5323,13.3648,?,-0.1736,-0.6309,3.6346,0.6712,0.431,0.6422,0.4505,0.1858,0.4124,-0.1619,-0.5468,3.3781,0,0,1,0.0177,0.0599,3.3781,0.4695,64.684,-0.3405,-0.3405,-0.2469,TASCA_DESTRA_DAVANTI_PANTALONI
1.7377,7.0486,2.6549,11.3498,-0.9621,-1.1694,13.8788,3.7254,18.2144,-1.6879,1.4871,14.9536,3.867,17.0334,-0.9812,5.8985,7.6874,2.7726,11.1814,0.1045,-1.486,1.1685,0.2946,-0.7863,-0.1982,0.2521,0.7126,0.6866,0.9575,0.9634,1.3436,1.3947,0.5079,0.4714,0.9169,0.9281,1.8054,1.9452,0.4866,0.6597,-4.2666,1.3558,-8.7689,-6.4676,0.8536,0.6728,0.4633,0.7882,0.5427,0.6886,0.6231,0.6663,1.0151,1.0693,1.629,1.5234,0.0259,8.7706,-0.5672,-0.3936,0.1043,0.0136,-0.5493,0.3637,0.4091,0.0146,0.121,0.3678,0.3828,-0.2342,0.0642,0.2533,0.8003,-2.7757,0.6184,0.002,0.0453,0.1537,0.7743,-1.7465,0.6616,-0.3788,0.4776,2.6727,5.5966,0.2281,7.1435,31.3224,-0.3877,0.4327,-1.1159,2.8113,0.8751,0.3113,0.4595,2.3933,5.208,0.0079,1.3142,-0.4801,0.4408,-0.6622,-25.6735,192.1293,13.8611,44.4153,-17.659,-8.2689,260.8033,16.1494,48.8571,-1.5757,-22.2409,177.2265,13.3126,38.2828,?,3.1048,1.1543,0.3718,0.8583,1.0412,1.2131,0.7367,1.0841,1.4716,1.4064,1.098,0.7807,0.1255,0,0,0.9091,1.1602,1.2762,0.3531,64.6224,-0.65,-0.7608,0.9585,TASCA_DESTRA_DAVANTI_PANTALONI
0.0264,0.0121,0.1101,0.5697,-0.734,-0.0251,0.0665,0.2578,1.234,-1.1744,0.0064,0.0152,0.1235,0.6204,-0.705,0.2752,0.0194,0.1394,0.6211,0.0894,-1.052,4.1376,0.0958,-3.9329,-0.091,0.0231,0.4271,0.8916,0.7897,2.0877,1.8491,0.8857,0.1824,0.7949,0.6236,4.3584,3.419,0.7845,0.3618,0.94,-3.9532,2.5978,-10.9253,-4.2056,0.579,0.903,0.4817,1.5596,0.832,0.5335,0.4617,0.9183,0.9173,1.9889,1.9868,0.999,0.0004,0.3912,0.0288,0.0722,0.1477,0.2558,-0.2279,0.0593,0.2246,0,0.0023,0.0074,0.9677,0.5836,0,0.0006,0.0025,0.9958,0.0742,0,0.0015,0.0044,0.9418,0.385,3.0288,7.868,3.5533,1.4617,0.4114,12.6256,2.1366,0.1692,0.3804,3.0813,8.0997,0.3915,2.9989,7.661,2.9836,1.6657,0.5583,0.0063,0.8824,-0.2589,-0.7434,0.8174,44.6134,0.0339,0.1841,0.9,0.98,2.669,0.0091,0.0954,0.4087,0.8567,-15.4527,0.0612,0.2474,16.037,?,16.7154,-2.8871,-0.1727,1.9304,0.7441,0.3855,3.7264,0.5537,0.1486,18.0998,-2.7563,-0.1523,15.821,0,0,2.2023,0.0561,0.0255,0.4729,62.7351,0.1877,-0.142,0.1354,TASCA_DESTRA_DAVANTI_PANTALONI
1.016,0.3543,0.5952,2.4864,-0.0749,0.1431,3.8972,1.9741,10.7032,-0.2861,0.4502,2.8115,1.6767,6.226,-0.5634,2.4522,2.3051,1.5183,8.3686,0.0278,7.0979,2.2567,0.4143,0.3179,0.0584,0.1836,0.3015,0.355,0.392,1.1774,1.3003,1.1044,0.0909,0.126,0.1537,1.3862,1.6907,1.2197,0.0728,0.0772,-0.7251,1.0612,-9.9653,-9.3907,0.2779,0.5808,0.2687,2.0897,0.9669,0.4627,0.2323,0.3993,0.2971,1.7191,1.279,0.744,0.0111,3.6992,-0.3189,0.0641,0.2394,-0.0078,0.6552,0.4143,0.1875,0.001,0.0319,0.1815,0.457,-0.3199,0.0188,0.137,0.5182,?,0.3573,0.0011,0.0326,0.1328,0.7084,-0.586,0.5247,-0.8954,0.233,0.9806,4.2086,0.0543,0.9616,17.7122,-0.2948,0.4735,-1.6062,0,0.734,0,0.3503,1.3669,3.9025,0.0051,0.8647,-0.2811,0.7222,-0.5128,-16.7243,98.4672,9.9231,34.5965,?,10.7652,20.2896,4.5044,12.873,0.3365,-40.2496,39.1623,6.258,46.2866,?,-1.5535,0.4155,-0.2675,2.203,1.5857,0.7198,4.8531,2.5143,0.5181,-5.299,0.7474,-0.1411,0,1,0,2.6875,0.7474,0.2781,0.4445,67.7391,-0.8218,-0.9802,0.8624,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1104,2.2873,1.5124,6.6002,-0.9749,-2.5178,9.5233,3.086,17.8988,-1.7035,1.1604,8.4335,2.9041,12.4629,-0.6685,4.2369,9.9904,3.1608,12.1848,0.0236,0.0439,-0.0952,-0.0261,-2.1698,-0.5942,0.2739,0.4901,0.5208,0.4785,1.0626,0.9763,0.9188,0.2402,0.2712,0.2289,1.1292,0.9532,0.8442,0.2889,0.6525,-11.054,2.2587,-38.2634,-16.9406,0.5048,0.4474,0.2678,0.8863,0.5305,0.5985,0.3688,0.5296,0.5417,1.4362,1.4689,1.0228,0.0275,6.5249,-0.0714,0.2333,0.308,-0.5504,-0.7969,0.6034,-0.0075,0.0408,0.2019,0.6313,-1.7395,-0.1185,0.0125,0.112,0.3706,?,-0.4884,0.0045,0.0668,0.5856,?,0.063,0.0153,0.2426,1.803,3.0231,1.6767,3.2508,9.1392,2.8114,1.0817,0.6845,0.6328,0,0,1,1.7036,1.078,0.6328,0.005,0.7758,0.9596,-0.2506,-0.2584,-15.5767,131.0895,11.4494,36.5,-2.883,5.792,237.5128,15.4115,47.6188,-0.546,-28.4489,96.5862,9.8278,40.7847,?,-2.6894,0.5475,-0.2036,0.7429,1.165,1.5681,0.5519,1.3572,2.4591,1.6113,0.6645,0.4124,0.3052,0,0,0.7665,0.8949,1.1676,0.3262,60.3979,0.0132,-0.4055,-0.2567,TASCA_DESTRA_DAVANTI_PANTALONI
-1.9363,12.0466,3.4708,11.6445,-2.6633,-1.8609,9.1097,3.0182,14.173,-1.6932,1.1135,27.9928,5.2908,18.7913,-0.3718,6.2207,18.904,4.3479,15.6609,0.0313,1.0405,-1.7389,-0.3113,-1.6712,-0.2991,0.179,1.15,0.656,0.7983,0.5705,0.6942,1.2169,1.3224,0.4303,0.6373,0.3254,0.4819,1.4808,0.9501,1.6621,-16.7039,1.7494,-17.5812,-10.0498,0.604,0.2321,0.1966,0.3842,0.3255,0.8472,0.8216,0.6197,0.7435,0.7542,0.905,1.1999,0.0297,9.6754,0.7333,-0.4743,-0.6207,-0.4864,-0.5182,0.6792,-0.2006,0.1241,0.3523,1.0863,-1.2986,0.0334,0.0742,0.2723,0.6276,-0.9593,0.2014,0.6647,0.8153,1.7776,-0.8524,-6.0105,-0.996,0.1657,1.2935,0.432,0.334,1.6732,0.1867,0.1116,1.9972,0.7503,0.3757,1.4754,0.4925,0.3338,1.7309,0.6111,0.3531,0.0029,1.4178,0.9588,0.9275,0.9946,-17.3706,535.4247,23.1392,56.3919,-6.2252,-33.8991,178.2822,13.3522,46.5408,?,-8.8186,168.8229,12.9932,34.23,-1.8624,0.5124,1.9698,3.8441,1.733,1.7809,1.0276,3.0032,3.1715,1.056,1.044,2.1816,2.0897,0,0.6527,0,1.2117,1.6474,1.3596,0.399,70.0555,-0.8407,-0.9858,0.8269,TASCA_DESTRA_DAVANTI_PANTALONI
