@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
0.1221,0.7341,0.8568,6.9885,-0.4438,-0.321,0.7953,0.8918,4.8197,-4.7527,0.2035,1.5823,1.2579,7.0005,-0.5285,1.3593,1.4235,1.1931,5.5523,0.0296,-0.3803,0.6,0.0898,-1.5777,-0.2362,0.1497,0.9608,0.6811,0.7181,0.7089,0.7474,1.0543,0.9231,0.464,0.5157,0.5026,0.5587,1.1116,0.5395,0.8874,-12.6968,1.6451,-23.5364,-14.3071,5.7776,1.0569,0.846,0.1829,0.1464,0.8005,1.45,0.9983,1.2587,0.6885,0.868,1.2608,0.002,1.9525,0.1509,0.4606,0.4368,0.0686,-0.6192,0.2365,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.6722,6.7266,2.5936,16.1277,-0.5917,-0.8973,5.6671,2.3806,11.6933,-2.3499,-0.0128,5.8473,2.4181,16.0183,-1.1868,3.06,10.1343,3.1834,11.4462,0.0125,-0.7491,-52.4398,0.2197,70.0011,-0.2932,-0.0042,1.0895,1.0725,0.8147,0.9845,0.7478,0.7596,1.187,1.1504,0.6637,0.9692,0.5592,0.577,0.7309,0.6897,-41.2438,0.9436,-56.4262,-59.8011,2.9026,1.3832,0.8741,0.4765,0.3011,0.6319,1.3792,1.0068,1.409,0.73,1.0216,1.3994,0.003,4.5847,0.3693,0.6114,0.3291,0.1225,-0.5884,0.0972,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.333,5.0404,2.2451,6.7598,-0.0356,-0.532,0.8733,0.9345,3.9082,-5.5392,-0.746,1.5673,1.2519,5.1191,-4.1392,1.9477,6.3041,2.5108,7.0961,0.0056,-2.5054,-1.7869,0.6844,0.7132,-0.2732,-0.383,2.4025,1.7933,0.8942,0.7464,0.3722,0.4986,5.7719,3.216,0.7996,0.5572,0.1385,0.2486,0.0702,0.0564,-5.8485,0.8029,-83.3047,-103.75,10.9216,6.5529,0.9147,0.6,0.0838,0.1396,1.7296,1.3205,0.9526,0.7634,0.5508,0.7214,0.0368,2.9586,-0.801,-0.6862,0.9701,0.8446,-0.8927,-0.8087,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3495,0.0143,0.1197,0.6417,0.0056,-0.1797,0.0146,0.1207,0.5591,-3.7823,0.551,0.0148,0.1216,0.6901,0.2428,0.6991,0.0129,0.1137,0.6195,0.3902,-1.9451,0.6343,0.4999,-0.3261,-0.257,0.7881,0.9914,0.9846,1.0531,0.9931,1.0623,1.0696,0.9829,0.9694,1.109,0.9862,1.1284,1.1441,-0.0081,0.0162,0.0091,-1.9986,-1.1154,0.5581,5.5198,0.7081,0.6352,0.1283,0.1151,0.897,1.1478,0.9299,1.0359,0.8102,0.9025,1.1139,0.0034,1.086,0.0653,-0.0897,0.4124,-0.0041,-0.2264,0.8131,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.33,0.0142,0.1191,0.6305,-0.0369,-0.1583,0.0109,0.1045,0.5329,-3.2431,0.3845,0.012,0.1097,0.5973,0.1401,0.5551,0.0108,0.1039,0.6444,0.2568,-2.085,0.8582,0.5945,-0.4116,-0.2851,0.6927,1.1398,1.086,1.1469,0.9528,1.0063,1.0561,1.2991,1.1794,1.3154,0.9079,1.0126,1.1153,0.0551,-0.2308,-0.1008,-4.1862,-1.8293,0.437,4.8415,0.8754,0.7013,0.1808,0.1448,0.8011,1.1831,1.0556,0.9784,0.8922,0.827,0.9269,0.0027,0.8779,-0.0441,-0.1145,0.618,-0.1054,-0.3769,0.6362,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.8494,5.5657,2.3592,13.7758,-0.8542,-0.7685,2.9419,1.7152,9.2952,-2.3204,-0.2645,3.6342,1.9064,15.1454,-0.7568,2.5835,6.8492,2.6171,10.7685,0.0021,-1.1053,-3.2112,0.3288,2.9051,-0.2975,-0.1024,1.3755,1.2375,0.9014,0.8997,0.6554,0.7284,1.8919,1.5315,0.8126,0.8095,0.4295,0.5306,0.977,0.9728,-283.2827,0.9956,-289.9474,-291.2165,2.6539,0.8617,0.6885,0.3247,0.2594,0.7989,1.482,0.9096,1.2793,0.6137,0.8632,1.4065,0.003,3.7806,0.1828,-0.0077,0.5121,-0.1457,-0.3368,0.0124,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1982,0.0144,0.1201,0.6209,-0.2367,-0.2069,0.0192,0.1384,0.6989,-2.8208,0.2574,0.0146,0.1209,0.6684,-0.1176,0.4274,0.0138,0.1176,0.5586,0.2371,-0.9582,0.77,0.4637,-0.8036,-0.484,0.6022,0.8673,0.9933,1.0211,1.1453,1.1773,1.0279,0.7522,0.9867,1.0426,1.3118,1.3861,1.0566,0.2303,1.6894,-0.6846,7.334,-2.972,-0.4052,2.7447,0.8395,0.6857,0.3059,0.2498,0.8167,0.8884,0.929,1.1116,1.0457,1.2512,1.1965,0.0019,0.6764,0.0995,-0.1293,0.3252,-0.1547,-0.6004,0.6614,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.2605,0.3836,0.6193,4.1218,-0.7274,-0.0224,0.2747,0.5241,3.3237,-1.1291,-0.3917,1.692,1.3008,5.8452,-1.3004,1.2993,0.884,0.9402,3.2623,0.0443,-11.6244,-0.665,0.2005,0.0572,-0.0172,-0.3015,1.1816,0.4761,0.6587,0.403,0.5575,1.3835,1.3961,0.2267,0.4339,0.1624,0.3108,1.914,0.9847,0.5253,-11.4899,0.5334,-11.6683,-21.8739,1.5285,0.9391,0.6991,0.6144,0.4574,0.7444,1.2401,0.7052,1.2635,0.5686,1.0188,1.7917,0.0023,1.8858,0.4822,0.0936,0.0895,0.3044,-0.3125,-0.3102,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.4411,1.6516,1.2852,7.5039,-1.0235,-0.1206,0.9034,0.9505,7.837,-1.271,-0.1367,2.9516,1.718,10.2122,-1.2375,1.8755,2.217,1.489,7.2859,0.0319,-3.6575,-3.228,0.2352,0.8826,-0.0643,-0.0729,1.3521,0.748,0.8631,0.5532,0.6383,1.1538,1.8283,0.5596,0.745,0.3061,0.4075,1.3314,0.8654,0.672,-15.8158,0.7766,-18.2765,-23.5353,1.0746,0.8125,0.4928,0.7561,0.4585,0.6065,0.9575,0.7348,1.0299,0.7674,1.0756,1.4016,0.0024,2.7315,0.0112,0.2133,-0.0047,0.233,-0.3832,-0.0745,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.7523,13.5228,3.6773,17.2266,-0.768,-0.2381,7.1268,2.6696,13.8545,-0.7945,-0.6663,4.2128,2.0525,19.338,-4.2693,3.9757,10.1228,3.1816,17.2157,0.0019,-3.1593,-1.129,0.1892,0.3574,-0.0599,-0.1676,1.3775,1.7916,1.1558,1.3006,0.8391,0.6451,1.8975,3.2099,1.3359,1.6917,0.704,0.4162,1.22,0.4776,-234.4397,0.3915,-192.1644,-490.8666,1.262,2.6549,0.5649,2.1038,0.4476,0.2128,1.2434,0.8908,1.0006,0.7164,0.8048,1.1233,0.0028,5.6333,0.1109,-0.0875,0.4381,-0.1666,0.0683,-0.3962,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
