@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-2.0119,11.6415,3.412,15.4323,-2.7597,-3.3762,16.268,4.0334,17.7763,-5.7363,0.7508,16.219,4.0273,16.6149,-0.8507,6.6915,15.3625,3.9195,19.2263,0.0146,0.5959,-2.6796,-0.3007,-4.4966,-0.5045,0.1122,0.8459,0.8472,0.8705,1.0015,1.029,1.0275,0.7156,0.7178,0.7578,1.003,1.0589,1.0558,0.7483,1.4832,-39.8468,1.9821,-53.248,-26.8649,1.5554,0.4572,0.2104,0.2939,0.1353,0.4601,0.8681,0.9288,0.8027,1.0699,0.9246,0.8642,0.0412,10.4168,0.8377,-0.4713,-0.7075,-0.3451,-0.9203,0.3376,-0.1198,0.0458,0.2141,0.6853,-16.1183,-0.1989,0.0014,0.0375,0.2711,?,-0.8585,0.0125,0.1116,0.9313,?,0.6021,0.1395,0.2317,5.7116,1.9181,0.3358,32.6226,3.6792,0.1128,2.38,0.6929,0.2911,0,0,1,2.5277,0.7359,0.2911,0.0092,1.2024,-0.0168,-0.9635,0.2367,-0.1664,0.5235,0.7235,3.6676,-1.7094,-1.2087,2.493,1.5789,5.3243,-8.1172,1.3218,2.4659,1.5703,4.97,-0.0035,0.1377,-0.1259,-0.9145,0.4582,0.4607,1.0055,0.21,0.2123,1.011,0.4881,135.2857,277.1429,2.318,0.2733,0.1179,0.6888,0.738,1.0713,0.0185,3.2816,0.3016,-0.6327,-0.7711,TASCA_DESTRA_DAVANTI_PANTALONI
2.2075,3.3719,1.8363,6.7816,-0.0206,-0.8107,8.8024,2.9669,12.4208,-0.9078,0.7776,13.4736,3.6706,13.0565,-1.0382,5.2066,4.6746,2.1621,7.4891,0.1302,-2.723,2.8387,0.424,-1.0425,-0.1557,0.1494,0.6189,0.5003,0.8493,0.8083,1.3722,1.6977,0.3831,0.2503,0.7213,0.6533,1.883,2.8823,0.0231,0.0205,-0.1219,0.8887,-5.2738,-5.9344,1.0207,1.0373,0.7718,1.0163,0.7562,0.744,0.546,0.5194,0.9055,0.9513,1.6585,1.7434,0.0285,7.9577,-0.331,-0.5618,0.6549,0.5091,0.1051,-0.1275,0.0922,0.0007,0.0258,0.1089,0.1484,-0.2697,0.0626,0.2502,0.734,?,-0.0702,0.0041,0.064,0.2451,-1.3009,-0.3421,-1.3144,3.8424,0.1031,0.4035,3.9119,0.0106,0.1628,15.3029,-0.0259,-0.137,5.2977,0,1.2009,0,0.1484,0.4445,2.9953,0.0034,0.4511,0.0894,-0.3446,-0.7145,0.4588,0.8454,0.9195,3.1655,-0.328,-1.7287,3.8637,1.9656,5.9901,?,0.4661,1.2349,1.1113,3.2278,-0.202,-0.2654,0.9844,-3.7093,0.4678,0.8274,1.7688,0.2188,0.6846,3.1287,0.1305,1.4414,11.0428,0,0.8876,0,0.5285,0.9807,1.8558,0.0212,3.3007,-0.8543,0.4273,-0.4503,TASCA_DESTRA_DAVANTI_PANTALONI
0.1392,0.763,0.8735,3.1814,-0.4216,-0.5095,5.5123,2.3478,8.1631,-0.6719,-0.5806,4.7199,2.1725,7.6457,-0.6786,3.1285,1.8235,1.3504,6.2175,0.0916,-0.2732,-0.2398,0.0445,0.8775,-0.1629,-0.1856,0.372,0.4021,0.6469,1.0807,1.7387,1.6089,0.1384,0.1617,0.4184,1.1679,3.023,2.5884,0.2876,0.3053,-1.5053,1.0614,-5.2335,-4.9308,0.4583,0.4913,0.327,1.0719,0.7134,0.6655,0.3897,0.4161,0.5117,1.0677,1.3129,1.2297,0.0078,4.8565,0.6723,0.5036,0.2651,0.9711,0.4107,0.4047,0.6494,0,0.0034,0.0147,0.9775,0.0467,0.0003,0.0161,0.0592,0.0534,-0.5029,0.0006,0.0245,0.5571,?,13.9014,-1.2914,-0.0929,0.2099,0.1377,0.6562,0.044,0.019,0.4306,191.0051,-1.1452,-0.006,10.4396,0,0,0.2486,0.0264,0.1062,0.0082,1.199,0.1268,-0.504,0.5828,-0.1893,0.0227,0.1507,0.534,-21.7731,0.1621,0.0717,0.2678,1.0413,-0.6503,0.1479,0.0096,0.0979,0.4029,-0.115,-1.1675,-1.28,1.0964,0.5628,1.5392,2.7348,0.3168,2.3692,7.4789,1.2442,12.282,9.8717,0.0372,0.0649,1.7463,0.5128,1.3254,2.5847,0.0029,0.6178,-0.7358,0.2871,-0.2306,TASCA_DESTRA_DAVANTI_PANTALONI
0.4505,3.4304,1.8521,6.9327,-0.8257,0.0135,3.2117,1.7921,7.0403,-1.2517,1.4411,13.7211,3.7042,13.7142,-0.8974,4.4255,3.0575,1.7486,7.398,0.0826,33.2825,0.3126,0.1018,0.0094,0.0031,0.3256,1.0335,0.5,1.0592,0.4838,1.0249,2.1184,1.0681,0.25,1.122,0.2341,1.0504,4.4877,0.8012,0.4834,-4.7045,0.6034,-5.872,-9.7322,1.2145,0.5254,0.4709,0.4326,0.3877,0.8963,0.9847,0.5055,0.9371,0.5134,0.9516,1.8538,0.0149,6.4905,-0.7284,-0.5677,-0.3638,0.3789,0.2325,0.3321,0.2571,0.0058,0.0761,0.2532,0.3847,-0.138,0.0398,0.1996,0.4913,-6.3777,0.6382,0.0073,0.0853,0.2519,0.6626,-1.8624,0.4028,-0.2163,0.3811,0.8918,2.3399,0.1452,0.7953,5.4751,-0.3728,0.3202,-0.8587,6.1801,0.5513,0.0892,0.5154,1.0053,1.9504,0.0069,1.0759,-0.9585,0.9061,-0.8799,-0.0151,0.5906,0.7685,4.1856,-1.1708,-0.9948,1.7826,1.3351,5.4529,-4.6781,1.1756,0.4187,0.6471,2.4003,0.0376,0.0152,-0.0129,-0.8462,0.5756,1.1876,2.0632,0.3313,1.4104,4.257,0.5025,-24.0683,-47.8979,2.0078,0.7731,0.385,0.7676,1.7438,2.2718,0.0152,2.9813,0.0603,-0.5737,-0.6562,TASCA_DESTRA_DAVANTI_PANTALONI
1.0277,7.9771,2.8244,15.3315,-1.3187,-5.3643,82.565,9.0865,32.8726,-3.8124,1.4196,33.0762,5.7512,22.9496,-0.3358,9.4454,66.2513,8.1395,26.7563,0.0063,-0.1916,0.7239,0.1088,-3.7787,-0.5679,0.1503,0.3108,0.4911,0.347,1.5799,1.1164,0.7066,0.0966,0.2412,0.1204,2.4962,1.2462,0.4993,0.3348,1.5112,-51.0878,4.5135,-152.5805,-33.8052,0.968,0.3849,0.2456,0.3976,0.2537,0.638,0.4664,0.6681,0.573,1.4324,1.2286,0.8577,0.0289,13.1291,0.1064,-0.4078,-0.1647,-0.0769,-0.8828,0.4276,0.125,0.0402,0.2006,0.7132,-1.4813,-0.2215,0.0435,0.2085,0.6219,?,-0.1539,0.0144,0.1201,0.4438,-1.4403,-0.5644,-0.8126,1.4398,0.962,1.6703,1.7362,0.9255,2.79,3.0145,0.6847,1.6255,2.3742,0,1.5805,0,1.1469,1.6071,1.4013,0.0015,0.6251,0.8719,-0.9127,-0.7031,-0.312,0.5556,0.7454,3.3464,-1.8546,-1.1199,4.5777,2.1396,9.7081,-1.3821,1.5448,4.3949,2.0964,7.2386,-0.1485,0.2786,-0.2019,-0.725,0.3484,0.3555,1.0206,0.1214,0.1264,1.0416,0.386,2.3226,6.0174,0.2877,0.186,0.6466,0.3447,0.4623,1.3412,0.0099,4.1311,-0.0017,-0.2559,0.1151,TASCA_DESTRA_DIETRO_PANTALONI
0.3902,11.5618,3.4003,18.017,-0.8665,-3.7395,65.1098,8.0691,33.0308,-3.4565,1.2247,34.4307,5.8678,23.9476,-0.4658,8.2127,59.2892,7.6999,31.278,0.0033,-0.1043,0.3186,0.0475,-3.0534,-0.4553,0.1491,0.4214,0.5795,0.4416,1.3752,1.0479,0.7621,0.1776,0.3358,0.195,1.891,1.0982,0.5807,0.3265,1.0991,-81.11,3.3663,-248.4279,-73.7988,1.3023,0.5908,0.3076,0.4537,0.2362,0.5206,0.5455,0.7524,0.576,1.3793,1.056,0.7656,0.0205,12.6632,-0.6974,0.5368,0.6091,-0.6286,-0.9254,0.7705,0.2756,0.0499,0.2235,0.9547,-0.7238,0.1203,0.0429,0.2071,0.8756,-0.8082,0.6901,0.2112,0.4595,1.7376,-0.9356,2.2912,0.3994,0.1743,1.0791,0.4863,0.4507,1.1645,0.2365,0.2031,1.0243,0.4773,0.466,1.1438,0.617,0.5394,1.0904,0.5495,0.5039,0.0039,1.3653,-0.8499,0.7009,-0.4046,-0.2607,0.4362,0.6604,2.697,-1.924,-0.943,3.2712,1.8087,7.9596,-0.6985,1.734,7.5364,2.7452,9.7476,-0.2942,0.2765,-0.1504,-0.5439,0.3651,0.2406,0.6588,0.1333,0.0579,0.4341,0.5422,0.8009,1.4773,0.1968,0.1225,0.6222,0.3388,0.2767,0.8166,0.0103,4.4496,0.4055,0.0657,0.6056,TASCA_DESTRA_DIETRO_PANTALONI
-0.7566,14.1482,3.7614,20.8191,-1.847,-5.0024,58.1816,7.6277,30.9012,-3.1301,1.7471,54.9398,7.4121,32.232,-0.4035,10.1251,53.4004,7.3076,27.1081,0.029,0.1512,-0.433,-0.0747,-2.8632,-0.4941,0.1726,0.4931,0.5075,0.5147,1.0291,1.0438,1.0143,0.2432,0.2575,0.2649,1.059,1.0895,1.0288,0.5767,1.4574,-16.6689,2.5271,-28.9026,-11.437,0.9774,0.3184,0.2619,0.3258,0.268,0.8226,0.6737,0.6459,0.768,0.9587,1.1399,1.189,0.0276,14.5765,0.4102,-0.6547,-0.6878,0.0432,-0.675,0.5512,0.1588,0.0826,0.2874,0.8399,-1.1876,-0.2555,0.0277,0.1664,0.5842,?,-0.1872,0.017,0.1306,0.5286,-1.9395,-0.6217,-0.8486,1.3649,1.7269,2.2008,1.2744,2.9822,4.8435,1.6241,0.7805,1.3071,1.6748,0,2.1348,0,1.4377,1.5887,1.105,0.0018,0.7778,0.6529,-0.729,-0.0101,-0.3361,0.6066,0.7789,3.8612,-1.7169,-0.7574,7.0714,2.6592,10.5177,-0.9351,1.8346,8.5854,2.9301,9.7102,-0.2003,0.4437,-0.1832,-0.4128,0.2929,0.2658,0.9076,0.0858,0.0707,0.8237,0.4801,1.5055,3.136,0.2615,0.1757,0.6719,0.3671,0.3976,1.0832,0.0104,4.9448,0.7115,0.0159,0.3345,TASCA_DESTRA_DIETRO_PANTALONI
1.9624,15.723,3.9652,18.4193,-0.4944,-2.3505,50.6925,7.1199,32.8038,-3.9849,1.8538,52.0579,7.2151,31.688,-0.4262,8.3458,61.6334,7.8507,33.4488,0.0396,-0.8349,1.0586,0.2351,-1.268,-0.2816,0.2221,0.5569,0.5496,0.5051,0.9868,0.9069,0.919,0.3102,0.302,0.2551,0.9738,0.8225,0.8446,0.2324,0.6436,-4.4203,2.7694,-19.0221,-6.8687,1.873,0.5547,0.3539,0.2962,0.189,0.638,0.5615,0.5813,0.5507,1.0352,0.9807,0.9474,0.0369,12.8689,-0.364,0.0586,0.3618,-0.8176,-0.9085,0.8144,0.1724,0.0071,0.0842,0.3946,-0.1309,-0.1154,0.0365,0.191,0.619,-17.2003,0.4166,0.0056,0.0751,0.3511,0.5062,-1.4936,0.4138,-0.2771,0.441,1.1213,2.5428,0.1944,1.2573,6.4661,0.0781,-0.1269,-1.6255,10.26,0.4908,0.0478,0.6375,1.1239,1.763,0.0048,0.7193,0.1031,-0.5063,-0.8319,-0.1199,2.3456,1.5315,7.2754,-3.5079,-1.1696,2.0077,1.4169,6.1331,-2.3873,1.7092,8.2888,2.879,10.3395,-0.1118,0.1025,-0.0702,-0.6843,1.0809,0.532,0.4922,1.1683,0.283,0.2422,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.0214,4.0667,0.2468,-0.6037,-0.3516,TASCA_DESTRA_DIETRO_PANTALONI
1.7651,10.4528,3.2331,18.6454,-0.3581,3.8278,14.3526,3.7885,21.2332,-0.3884,0.282,9.9934,3.1612,13.0145,-1.0886,6.5648,9.5487,3.0901,15.7112,0.0899,0.4611,6.2587,0.2689,13.5728,0.5831,0.043,0.8534,1.0227,1.0463,1.1984,1.226,1.023,0.7283,1.046,1.0947,1.4362,1.5031,1.0466,0.8277,0.7248,-3.1688,0.8757,-3.8283,-4.3719,0.8977,2.2033,0.7953,2.4544,0.8859,0.361,0.8781,1.4327,1.1868,1.6315,1.3515,0.8284,0.0226,10.2252,0.4293,0.4238,0.4999,0.1106,0.7838,0.2467,-0.0963,0.0022,0.0468,0.1734,?,-0.5449,0.0118,0.1087,0.6635,?,-0.4796,0.0236,0.1536,0.6477,?,0.1767,0.2008,1.1363,0.4303,0.3045,0.7076,0.1852,0.0927,0.5007,0.2614,0.2678,1.0244,1,1,1,0.2614,0.2678,1.0244,0.0039,1.1208,-0.1472,-0.581,0.7889,-0.0744,0.4612,0.6791,3.2225,-1.5483,-0.3703,3.5017,1.8713,6.5977,-1.3525,-1.3999,0.8617,0.9283,3.779,-34.8097,0.2009,0.0531,0.2645,0.3629,0.7315,2.0158,0.1317,0.5351,4.0635,0.5162,0.533,1.0326,0.4509,11.9832,26.5765,0.4884,0.8527,1.7459,0.0078,3.5242,0.115,0.0444,0.3579,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3834,1.8754,1.3694,4.9871,-0.3853,-0.4945,2.1421,1.4636,5.587,-1.158,-0.139,1.9022,1.3792,5.4838,-0.9073,2.2895,1.0888,1.0434,3.6487,0.1404,-0.7752,-2.7581,0.1674,3.5578,-0.216,-0.0607,0.9357,0.9929,1.3124,1.0612,1.4027,1.3218,0.8755,0.9859,1.7225,1.1261,1.9675,1.7471,0.4627,0.5317,-2.3279,1.1493,-5.0314,-4.3779,1.3905,1.2521,0.8482,0.9004,0.61,0.6774,0.8926,0.9094,1.3668,1.0188,1.5312,1.503,0.0035,3.4884,0.7512,-0.0847,0.4886,0.5688,0.2305,-0.2372,0.0218,0.0122,0.1104,0.3525,-0.7834,-0.7452,0.0001,0.0109,0.7579,?,-0.4127,0.0056,0.0746,0.5212,?,-0.0293,-0.0529,1.8057,10.1138,1.4795,0.1463,102.289,2.1888,0.0214,0.2043,0.2971,1.4542,0,0,1,0.4651,0.6764,1.4542,0.0046,1.2556,-0.2453,0.9934,-0.1503,0.7474,0.0243,0.1558,0.6676,0.399,0.614,0.023,0.1515,0.5511,0.3556,-0.1777,0.023,0.1516,0.7199,-5.8219,1.2174,-4.2051,-3.4543,1.0285,1.0277,0.9992,1.0578,1.0561,0.9984,1.4572,-0.7214,-0.4951,1.2987,10.5257,8.1048,1.2112,0.9273,0.7656,0.0053,1.548,0.6251,0.1509,0.2875,TASCA_SINISTRA_DAVANTI_PANTALONI
