@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-4.0226,11.4774,3.3878,14.6313,-3.4288,-6.0758,13.8081,3.7159,16.7124,-9.6113,2.3446,14.0791,3.7522,13.9511,-0.554,9.1721,13.8314,3.7191,17.1038,0.1234,0.6621,-1.7157,-0.4386,-2.5914,-0.6624,0.2556,0.9117,0.9029,0.9109,0.9903,0.9992,1.0089,0.8312,0.8152,0.8298,0.9807,0.9983,1.0179,0.7483,2.2776,-4.7067,3.0437,-6.2897,-2.0665,2.0976,0.368,0.1693,0.1754,0.0807,0.4601,0.8755,1.0488,0.8554,1.1979,0.9771,0.8157,0.1562,14.5697,0.8074,-0.2806,-0.7425,-0.4634,-0.9656,0.5447,-0.2555,0.0532,0.2306,0.6787,-19.296,-0.2146,0.0022,0.047,0.2711,?,-0.7961,0.0168,0.1295,0.9142,?,1.1906,0.3209,0.2696,4.9096,1.7812,0.3628,24.1043,3.1727,0.1316,2.38,0.7058,0.2966,0,0,1,2.5034,0.7424,0.2966,0.0176,1.276,-0.4215,-0.957,0.6517,-33.0548,158.91,12.606,51,?,-34.2245,110.0765,10.4917,42.125,?,-18.0446,104.4876,10.2219,32.6875,-8.1754,0.9658,1.8318,1.8967,1.2015,1.2332,1.0264,1.4436,1.5209,1.0535,1.2107,1.7511,1.4464,1,0,0,1.2107,1.5602,1.2887,1.0385,85.6225,-0.8638,-0.9657,0.9578,TASCA_DESTRA_DAVANTI_PANTALONI
3.3377,2.8933,1.701,5.9859,0.0992,-0.0326,13.9447,3.7343,12.4208,-0.9078,0.8427,19.5095,4.417,13.0565,-1.0382,6.8574,1.1745,1.0838,4.8365,0.4383,-102.4386,3.9606,0.4867,-0.0387,-0.0048,0.1229,0.4555,0.3851,1.5695,0.8454,3.4457,4.0756,0.2075,0.1483,2.4634,0.7148,11.8726,16.6105,-0.1115,-0.0991,0.1747,0.8887,-1.5664,-1.7625,1.0207,1.0373,0.7718,1.0163,0.7562,0.744,0.4819,0.4585,1.2376,0.9513,2.5681,2.6996,0.0782,10.6271,-0.7102,-0.6963,0.0489,0.5657,0.1433,0.0559,0.0977,0.0008,0.0291,0.1089,0.1484,-0.4587,0.0508,0.2254,0.734,?,-0.0525,0.0069,0.0833,0.2451,-1.3009,-0.2129,-1.8602,8.7367,0.129,0.3491,2.7054,0.0167,0.1219,7.3193,-0.0259,-0.137,5.2977,0,1.2009,0,0.1484,0.4445,2.9953,0.0107,0.6465,0.4123,-0.7291,-0.8773,-38.75,40.1626,6.3374,46.875,?,-7.3665,18.7412,4.3291,16.25,-3.4068,-12.7443,444.4464,21.0819,59.0625,-1.4609,5.2603,3.0406,0.578,1.4639,0.3006,0.2053,2.143,0.0904,0.0422,3.7313,1.3369,0.3583,0,0,0.1536,2.8846,0.7937,0.2751,0.9421,68.8381,0.0522,-0.8306,0.5098,TASCA_DESTRA_DAVANTI_PANTALONI
0.6858,0.8187,0.9048,3.1814,-0.4216,0.4386,7.4639,2.732,8.1631,-0.6719,-0.0071,7.3083,2.7034,7.6457,-0.6786,3.7781,1.9793,1.4069,5.5562,0.1882,1.5635,-96.5309,0.1815,-61.7398,0.1161,-0.0019,0.3312,0.3347,0.6432,1.0106,1.9419,1.9215,0.1097,0.112,0.4137,1.0213,3.7709,3.6923,0.2876,0.3053,-0.7325,1.0614,-2.5468,-2.3995,0.4583,0.4913,0.327,1.0719,0.7134,0.6655,0.3897,0.4161,0.5726,1.0677,1.4692,1.3761,0.0163,5.8666,0.5816,0.4324,-0.0069,0.9833,0.5982,0.6667,0.6477,0,0.0041,0.0137,0.979,0.0506,0.0001,0.0102,0.0308,0.4894,-0.4826,0.0001,0.0084,0.4965,?,12.7936,-1.3422,-0.1049,0.3989,0.4818,1.2078,0.1591,0.2321,1.4587,21.6358,-1.285,-0.0594,10.8167,0,0,0.4453,0.0276,0.062,0.0162,1.1809,0.903,-0.1304,-0.3535,13.2595,0.8973,0.9472,3,0.7903,-36.6815,0.0336,0.1832,36.9942,?,-25.2647,0.2494,0.4994,26.4643,?,-0.3615,-0.5248,1.4519,5.1697,1.8969,0.3669,26.7259,3.5982,0.1346,-0.3055,-0.4271,1.3979,0,0,1,0.0811,0.1134,1.3979,0.9294,75.2057,0.6648,0.7543,0.4042,TASCA_DESTRA_DAVANTI_PANTALONI
0.0719,4.6282,2.1513,6.9327,-0.8257,0.4809,2.1906,1.4801,5.1838,-0.7983,3.3745,11.0384,3.3224,11.9252,-0.6499,5.0818,3.6564,1.9122,7.398,0.0826,0.1496,0.0213,0.0142,0.1425,0.0946,0.664,1.4535,0.6475,1.1251,0.4455,0.774,1.7375,2.1128,0.4193,1.2658,0.1985,0.5991,3.0189,1.3625,0.6675,-4.7045,0.4899,-3.4528,-7.048,1.3173,0.5254,0.4709,0.3988,0.3574,0.8963,1.3374,0.5813,0.9371,0.4347,0.7007,1.6119,0.0669,7.3537,-0.7071,-0.64,-0.6462,0.1913,0.681,0.6322,0.3246,0.0016,0.0403,0.1571,0.6182,-0.3137,0.016,0.1266,0.4247,?,0.7136,0.0005,0.0214,0.086,0.8848,-1.0349,0.4549,-0.4396,0.3182,1.8821,5.9138,0.1013,3.5421,34.9727,-0.599,0.3852,-0.6431,0,0.5513,0,0.37,1.8271,4.938,0.0166,1.352,-0.8418,0.7992,-0.903,-22.1255,86.8753,9.3207,32.1,?,2.3887,57.5993,7.5894,24.3057,-1.47,-30.3961,18.5983,4.3126,36.7255,?,-9.2626,0.7279,-0.0786,1.2281,2.1613,1.7598,1.5083,4.6711,3.097,2.2191,0.8741,0.3939,0,1,0,1.3207,0.8741,0.6618,0.7387,59.5411,-0.9666,-0.9322,0.9183,TASCA_DESTRA_DAVANTI_PANTALONI
0.6994,11.4169,3.3789,15.2849,-1.3281,-11.6753,80.3707,8.965,32.8726,-3.8124,2.693,58.0843,7.6213,22.9496,-0.3358,15.4094,56.4783,7.5152,24.6409,0.0849,-0.0599,0.2597,0.0454,-4.3354,-0.7577,0.1748,0.3769,0.4433,0.4496,1.1763,1.1929,1.0141,0.1421,0.1966,0.2021,1.3837,1.423,1.0284,0.3348,1.5112,-3.8142,4.5135,-11.3915,-2.5239,0.9611,0.3822,0.2438,0.3976,0.2537,0.638,0.465,0.666,0.6203,1.4324,1.3341,0.9314,0.1225,20.8683,-0.0566,-0.572,-0.2563,0.1057,-0.8326,0.386,-0.0109,0.0428,0.2069,0.6972,-1.5684,-0.3965,0.023,0.1517,0.6219,?,-0.1072,0.024,0.1549,0.4438,-1.4403,0.0275,0.1019,3.6981,1.3641,1.3353,0.9789,1.8608,1.783,0.9582,0.6847,1.6255,2.3742,0,1.4927,0,1.1212,1.5711,1.4013,0.0042,0.7409,0.7987,-0.9693,-0.7891,-21.8582,45.3759,6.7362,30.2399,?,0.5518,130.2495,11.4127,37.4985,-0.4535,-24.2975,108.1345,10.3988,37.7991,?,-39.6121,0.8996,-0.0227,0.5902,0.6478,1.0975,0.3484,0.4196,1.2045,2.5848,0.8,0.3095,0,1,0,0.8064,0.8,0.992,0.3335,55.7921,-0.7686,-0.8263,0.9899,TASCA_DESTRA_DIETRO_PANTALONI
1.7963,14.3739,3.7913,13.3488,-0.3829,-8.0116,82.3388,9.0741,27.7447,-12.0519,2.5654,51.3835,7.1682,21.8618,-0.3382,11.3625,92.9819,9.6427,31.278,0.0033,-0.2242,0.7002,0.1581,-3.123,-0.7051,0.2258,0.4178,0.5289,0.3932,1.2659,0.941,0.7434,0.1746,0.2797,0.1546,1.6024,0.8855,0.5526,0.1443,0.669,-35.8418,4.6372,-248.4279,-53.573,4.5409,0.5908,0.3076,0.1301,0.0677,0.5206,0.4811,0.6106,0.4268,1.2691,0.887,0.699,0.0887,17.5689,-0.7259,0.5439,0.6753,-0.8926,-0.9884,0.9092,0.3408,0.0857,0.2927,0.9547,-0.7238,0.0145,0.0611,0.2472,0.8756,-0.8082,0.5093,0.3536,0.5946,1.6506,-1.036,23.5207,0.6691,0.0284,1.1839,0.4923,0.4158,1.4017,0.2423,0.1729,1.0243,0.4773,0.466,1.1438,0.6832,0.5973,1.0904,0.5784,0.5305,0.0063,1.4202,-0.8541,0.97,-0.7899,-4.6007,98.2516,9.9122,27.179,-2.3805,-21.7336,78.0045,8.832,29.8187,-98.7041,-22.1442,0.7832,0.885,23.3398,?,0.2117,0.2078,0.9815,1.1223,11.2,9.9795,1.2596,125.441,99.5909,0.6484,0.82,1.2648,26.8827,0,0,0.9115,1.1645,1.2776,0.3234,53.0191,-0.9087,-0.3462,0.5627,TASCA_DESTRA_DIETRO_PANTALONI
-2.0298,19.5842,4.4254,19.7728,-2.1554,-8.6544,83.2362,9.1234,30.9012,-3.1301,3.8996,85.6579,9.2552,32.1182,-0.3986,15.4768,43.1725,6.5706,22.2502,0.203,0.2345,-0.5205,-0.1312,-2.2193,-0.5592,0.252,0.4851,0.4782,0.6735,0.9858,1.3885,1.4086,0.2353,0.2286,0.4536,0.9717,1.928,1.9841,0.5767,1.4756,-2.3828,2.5585,-4.1317,-1.6149,0.8375,0.2729,0.2245,0.3258,0.268,0.8226,0.6399,0.6156,0.8887,0.9621,1.3888,1.4435,0.1001,21.9923,0.2769,-0.738,-0.846,0.2193,-0.5382,0.6693,-0.0465,0.0807,0.284,0.8036,-1.3114,-0.3882,0.0194,0.1394,0.5842,?,-0.1706,0.0333,0.1824,0.5286,-1.9395,0.1198,0.2725,2.2754,2.0367,1.5574,0.7646,4.1482,2.4254,0.5847,0.7805,1.3071,1.6748,0,1.9332,0,1.3756,1.5201,1.105,0.0044,0.865,0.195,-0.9278,0.1392,-18.2165,34.6143,5.8834,26.5198,?,-0.7996,190.0236,13.7849,41.2781,-0.4484,-15.8993,70.5946,8.4021,27.24,?,22.7818,1.1457,0.0503,0.4268,0.7002,1.6407,0.1822,0.4903,2.6918,2.0752,0.9736,0.4691,0,1,0,0.6425,0.9736,1.5153,0.2494,46.2729,-0.1672,-0.5277,0.9254,TASCA_DESTRA_DIETRO_PANTALONI
3.2335,23.9102,4.8898,18.4193,-0.4944,-5.5377,72.3509,8.5059,30.3552,-6.3463,3.6279,77.3769,8.7964,28.1743,-0.268,11.3641,98.7784,9.9387,33.3129,0.0435,-0.5839,0.8913,0.2845,-1.5264,-0.4873,0.3192,0.5749,0.5559,0.492,0.967,0.8558,0.8851,0.3305,0.309,0.2421,0.935,0.7325,0.7833,0.2324,1.0233,-4.0238,4.4034,-17.3155,-3.9323,2.983,0.5547,0.3539,0.186,0.1186,0.638,0.6068,0.6538,0.5529,1.0774,0.9112,0.8457,0.1504,17.9132,-0.3474,-0.0331,0.2693,-0.906,-0.9755,0.9271,0.2019,0.0111,0.1053,0.3946,-0.1309,-0.2329,0.0437,0.209,0.585,?,0.4465,0.0089,0.0946,0.3511,0.5062,-0.8665,0.452,-0.5217,0.5036,1.1128,2.2098,0.2536,1.2382,4.8833,0.0781,-0.1269,-1.6255,0,0.4908,0,0.6746,1.1239,1.6661,0.0111,0.8849,0.5027,-0.8849,-0.8112,-0.5026,195.2538,13.9733,36.6875,-1.5746,14.7245,58.4735,7.6468,31.3125,0.1827,-63.3635,2.5924,1.6101,65.1875,?,-0.0341,0.0079,-0.2324,1.8273,8.6785,4.7493,3.3392,75.3171,22.5555,-3.2054,0.3442,-0.1074,0.3719,0,0,1.1717,0.5628,0.4803,1.3276,90.7793,-0.4655,-0.1576,0.9139,TASCA_DESTRA_DIETRO_PANTALONI
2.7091,13.2041,3.6337,18.6454,-0.3581,3.2375,23.8221,4.8808,21.2332,-0.3884,2.4993,2.8533,1.6892,6.9438,-0.1144,6.9765,15.2751,3.9083,15.7112,0.0899,0.8368,1.0839,0.3883,1.2953,0.4641,0.3582,0.7445,2.1512,0.9297,2.8895,1.2488,0.4322,0.5543,4.6276,0.8644,8.3489,1.5595,0.1868,0.8277,6.8988,-3.1688,8.3345,-3.8283,-0.4593,0.8977,2.2033,0.7953,2.4544,0.8859,0.361,0.8781,2.6852,1.1868,3.0579,1.3515,0.442,0.0522,10.8353,0.6114,0.2885,0.5572,0.6105,0.809,0.5625,-0.0864,0.0024,0.049,0.1466,?,-0.6441,0.0004,0.0203,0.6635,?,-0.6065,0.0015,0.0381,0.6477,?,0.1341,0.1424,1.062,2.409,1.2846,0.5333,5.8032,1.6502,0.2844,0.2209,0.2263,1.0244,1,1,1,0.2209,0.2263,1.0244,0.0095,1.337,-0.1843,-0.8078,0.4356,-39.3114,9.4306,3.0709,44.0399,?,-9.7379,48.1848,6.9415,24.2981,-3.7648,16.5709,44.4273,6.6654,25.737,-0.1594,4.037,-2.3723,-0.5877,0.4424,0.4607,1.0414,0.1957,0.2123,1.0846,2.2939,12.4459,5.4256,0,0,0.2297,1.8125,1.7112,0.9441,0.4655,66.1216,-0.9843,0.8312,-0.826,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.575,0.0747,0.2733,1.3871,?,-1.4881,0.7026,0.8382,2.998,?,-0.3631,1.2359,1.1117,3.3824,-3.3714,1.8954,1.0974,1.0476,3.0706,0.1625,0.3864,1.5836,-0.3034,4.0982,-0.7851,-0.1916,0.3261,0.2459,0.2609,0.754,0.8001,1.0612,0.1063,0.0604,0.0681,0.5685,0.6402,1.1262,0.4627,0.5317,-2.3279,1.1493,-5.0314,-4.3779,1,0,0,0,0,0.211,0.4627,0.4101,0.4517,0.8864,0.9763,1.1015,0.0176,2.9646,0.5736,0.2078,-0.4856,0.8539,-0.9795,-0.9217,0.1177,0.0029,0.0536,0.1754,0.1125,-0.7477,0.0001,0.0099,0.7579,?,-0.3466,0.0016,0.0401,0.4211,?,-0.1575,-0.3397,2.1574,5.4424,1.3357,0.2454,29.6196,1.7842,0.0602,-0.0293,-0.0528,1.8001,0,0,1,0.2315,0.4167,1.8001,0.009,1.212,0.9408,0.9988,0.9481,-37.4631,4.7085,2.1699,40.4999,?,-6.7056,2.6393,1.6246,10.1395,?,24.0619,7.6549,2.7668,9.4803,0.6645,5.5869,-1.5569,-0.2787,1.3357,0.7843,0.5872,1.784,0.6151,0.3448,3.9943,-2.1567,-0.5399,1,0,0,3.9943,4.272,1.0695,0.4842,68.2306,-0.9848,0.9703,-0.9645,TASCA_SINISTRA_DAVANTI_PANTALONI
