@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
0.9275,6.1388,2.4777,15.2726,-0.7492,0.6753,31.0075,5.5684,29.2476,-0.4706,0.0577,15.3765,3.9213,22.1221,-0.6859,6.5755,10.6052,3.2566,21.44,0.0628,1.3736,16.0823,0.1411,11.7085,0.1027,0.0088,0.4449,0.6319,0.7608,1.4201,1.7099,1.2041,0.198,0.3992,0.5789,2.0166,2.9238,1.4499,0.699,0.7268,-4.5516,1.0399,-6.5118,-6.2622,0.439,0.6654,0.3817,1.5157,0.8694,0.5736,0.5222,0.6904,0.7123,1.3221,1.3642,1.0318,0.0083,9.8316,0.1917,-0.3535,0.0429,-0.3809,0.366,-0.0209,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.2476,8.9385,2.9897,17.9276,-0.4797,-1.9271,39.0602,6.2498,35.472,-1.6467,0.3113,14.726,3.8374,22.6648,-0.9817,6.773,20.7231,4.5523,22.9302,0.0217,-0.1285,0.7953,0.0366,-6.1895,-0.2845,0.046,0.4784,0.7791,0.6568,1.6286,1.3729,0.843,0.2288,0.607,0.4313,2.6525,1.8849,0.7106,0.2633,0.5176,-11.4117,1.9656,-43.3362,-22.0473,0.904,1.0594,0.5169,1.1719,0.5718,0.4879,0.5054,0.791,0.7818,1.5651,1.547,0.9884,0.0137,10.1025,0.6331,-0.1732,-0.1434,0.1902,-0.6354,-0.1508,2,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.369,0.3742,0.6117,2.909,-0.5396,-1.8515,4.9188,2.2178,9.7368,-11.1624,0.6373,1.4406,1.2002,5.1159,-0.3365,2.3963,4.9616,2.2275,9.0651,0.0077,-0.1993,0.579,0.154,-2.9051,-0.7726,0.266,0.2758,0.5097,0.2746,1.8478,0.9957,0.5388,0.0761,0.2598,0.0754,3.4144,0.9914,0.2903,0.1141,0.7915,-14.5806,6.9377,-127.801,-18.4211,2.3601,0.4936,0.2068,0.2091,0.0876,0.419,0.2988,0.5686,0.3209,1.9033,1.0741,0.5643,0.0152,3.3786,-0.3217,0.0884,0.4213,-0.5481,-0.9656,0.6373,15.3435,76.0729,8.722,21,0,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.5405,1.2992,1.1398,7.1675,-0.3794,-0.808,10.0521,3.1705,24.7087,-3.087,0.1371,1.5665,1.2516,10.9027,-1.6319,2.5407,7.4266,2.7252,20.4276,0.0044,-0.6689,3.943,0.2127,-5.8946,-0.318,0.054,0.3595,0.9107,0.4182,2.5332,1.1634,0.4593,0.1292,0.8294,0.1749,6.4171,1.3535,0.2109,0.1056,0.2916,-21.7234,2.7607,-205.639,-74.4868,0.8594,1.2543,0.2532,1.4594,0.2947,0.2019,0.2901,0.6574,0.3509,2.2663,1.2096,0.5337,0.0065,3.641,-0.6744,-0.1413,0.6346,0.4011,-0.5947,-0.2242,4.1337,0.0072,0.0851,1.0569,0.791,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.0042,0.0112,0.106,0.5593,-0.758,0.0024,0.0426,0.2064,1.1648,-0.8866,0.0032,0.0118,0.1088,0.5435,-0.8234,0.2336,0.0111,0.1054,0.6388,0.0697,1.7991,1.3291,0.0181,0.7387,0.0101,0.0136,0.5134,0.9741,1.0051,1.8974,1.9577,1.0318,0.2636,0.9489,1.0102,3.6001,3.8326,1.0646,0.4405,0.9826,-5.0374,2.2306,-11.4348,-5.1264,0.5153,1.0674,0.4634,2.0714,0.8992,0.4341,0.4802,1.0291,0.8756,2.1433,1.8236,0.8508,0,0.3401,-0.3063,-0.0475,0.1026,0.3712,0.0513,0.041,4.1432,0,0,0,1,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.7649,1.4413,1.2005,5.0484,-3.324,-0.8821,2.6736,1.6351,10.6919,-3.7779,0.5405,6.2951,2.509,12.8362,-0.5656,2.2647,6.9363,2.6337,10.6021,0.0115,0.8671,-1.415,-0.3377,-1.632,-0.3895,0.2387,0.7342,0.4785,0.4558,0.6517,0.6208,0.9527,0.5391,0.229,0.2078,0.4247,0.3854,0.9076,0.4591,0.8369,-31.5623,1.8232,-68.7555,-37.7119,0.5217,0.1424,0.1089,0.2729,0.2086,0.7645,0.4722,0.3933,0.4762,0.833,1.0085,1.2107,0.0085,3.5558,0.8402,-0.5967,-0.8734,-0.4812,-0.8452,0.6961,4.2845,0.1148,0.3388,2.5568,0.6184,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.4471,3.4714,1.8632,10.2419,-0.1402,-0.2332,2.5213,1.5879,10.5884,-2.5952,0.5472,5.5768,2.3615,11.266,-0.6864,2.8274,6.0231,2.4542,11.1193,0.006,-6.2049,2.6444,0.5118,-0.4262,-0.0825,0.1935,1.1734,0.789,0.7592,0.6724,0.647,0.9622,1.3768,0.6225,0.5763,0.4521,0.4186,0.9259,0.1648,0.2747,-18.8673,1.6668,-114.4995,-68.6942,3.0499,1.3446,0.803,0.4409,0.2633,0.5972,0.9673,0.9091,0.9211,0.9399,0.9523,1.0132,0.0104,4.468,-0.0527,0.4606,0.8721,0.2794,-0.1845,0.4883,60.1498,933.384,30.5513,140.3935,0.0287,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.0184,0.0089,0.0945,0.4844,-1.1005,-0.0631,0.0249,0.1577,0.7937,-1.6549,-0.0027,0.0043,0.0652,0.3667,-1.2352,0.18,0.01,0.1,0.4747,0.0437,-0.2911,-6.7727,0.1021,23.2681,-0.3507,-0.0151,0.5994,1.4497,0.9454,2.4186,1.5772,0.6521,0.3593,2.1017,0.8938,5.8495,2.4876,0.4253,0.5129,1.2522,-11.6937,2.4413,-22.798,-9.3386,0.7714,1.4055,0.4646,1.8221,0.6022,0.3305,0.6103,1.3208,1.0204,2.1643,1.672,0.7725,0.0004,0.2598,-0.3141,0.0753,0.1963,-0.2176,-0.6193,0.243,0.3267,0.4066,0.6377,2,0,71.6245,0.0131,0.1146,0.2797,0.9961,TASCA_DESTRA_DAVANTI_PANTALONI
0.3253,14.9658,3.8686,24.2267,-1.2184,-1.7312,11.9657,3.4591,19.5829,-4.2413,0.7723,17.2522,4.1536,20.5452,-0.2733,4.862,24.244,4.9238,18.3158,0.0021,-0.1879,0.4212,0.0669,-2.2415,-0.3561,0.1589,1.1184,0.9314,0.7857,0.8328,0.7025,0.8436,1.2507,0.8675,0.6173,0.6936,0.4936,0.7116,0.8397,3.0173,-342.8687,3.5934,-408.3376,-113.6342,2.9229,0.6768,0.595,0.2316,0.2036,0.8791,1.2371,1.1792,1.3227,0.9532,1.0692,1.1217,0.0127,7.1268,0.381,-0.5433,-0.2249,-0.0263,-0.7279,0.4237,14.7351,17.9431,4.2359,24,0,73.1358,0,0.0001,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.361,0.1357,0.3684,1.5474,-7.2871,0.1091,0.2299,0.4795,3.691,-1.4965,0.0483,0.0349,0.1869,1.0658,-0.3722,0.5931,0.1934,0.4398,2.6262,0.0186,-3.3106,-7.4707,-0.6088,2.2566,0.1839,0.0815,0.7682,1.9704,0.8376,2.5649,1.0903,0.4251,0.5902,3.8824,0.7016,6.5785,1.1887,0.1807,0.615,4.7067,-27.3958,7.6531,-44.546,-5.8206,0.1263,0.2404,0.0698,1.9035,0.5525,0.2903,0.4192,1.4519,0.5892,3.463,1.4054,0.4058,0.0025,0.8599,0.006,-0.306,-0.8041,-0.5907,0.0225,0.353,4.1762,0.381,0.6173,6.2178,0.3915,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
