@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
10.4921,7.1314,2.6705,8.292,0.4291,-0.4563,1.8937,1.3761,4.6574,-1.2413,10.4921,7.1314,2.6705,8.292,0.4291,14.9045,14.3877,3.7931,11.6093,0.4373,-22.9944,1,0.704,-0.0435,-0.0306,0.704,1.9406,1,0.704,0.5153,0.3628,0.704,3.7658,1,0.4957,0.2655,0.1316,0.4957,-2.4161,1,0.6909,-0.4139,-0.2859,0.6909,6.9896,1,0.704,0.1431,0.1007,0.704,1.7804,1,0.7143,0.5617,0.4012,0.7143,0.2969,22.2212,-0.8226,1,0.9999,-0.8226,-0.8258,0.9999,-0.1089,0.5436,0.7373,2.6689,-2.0096,-0.7959,1.0759,1.0373,3.1325,-4.1381,1.7886,2.2796,1.5098,4.4766,-0.1404,0.1368,-0.0609,-0.445,0.7108,0.4883,0.687,0.5053,0.2385,0.472,0.7064,3.234,4.5783,1.4545,0.2259,0.1553,0.852,0.5962,0.6998,0.0392,3.5734,0.5248,-0.6058,-0.716,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
9.8691,20.0947,4.4827,13.995,0.2374,-1.3987,4.8565,2.2037,8.9068,-1.2038,9.8691,20.0947,4.4827,13.995,0.2374,14.1582,41.3476,6.4302,19.9752,0.2402,-7.0557,1,0.6971,-0.1417,-0.0988,0.6971,2.0341,1,0.6971,0.4916,0.3427,0.6971,4.1377,1,0.486,0.2417,0.1175,0.486,-0.8953,1,0.6898,-1.117,-0.7705,0.6898,4.5404,1,0.698,0.2202,0.1537,0.698,1.5713,1,0.7006,0.6364,0.4459,0.7006,0.2805,21.7899,-0.9066,1,0.9995,-0.9066,-0.8995,0.9995,-0.7653,0.2948,0.543,1.9303,-23.1468,-0.9948,0.2891,0.5377,1.9857,?,2.1552,0.1569,0.3961,1.4208,0.5028,0.7693,-0.3551,-0.4616,1.0097,1.3706,1.3574,1.0195,1.8785,1.8425,0.9318,-1.2878,-1.382,0,0.028,0,0.9721,1.3586,1.3976,0.0499,3.9215,0.194,-0.5331,0.2443,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
3.5164,1.3849,1.1768,5.4853,-0.0122,7.3935,2.3216,1.5237,6.9903,0.3622,3.5164,1.3849,1.1768,5.4853,-0.0122,9.0003,3.4795,1.8653,9.0771,0.3213,0.4756,1,0.3907,2.1026,0.8215,0.3907,0.7724,1,0.6309,1.2947,0.8168,0.6309,0.5965,1,0.398,1.6763,0.6672,0.398,-0.0167,1,-0.0154,-59.8691,0.924,-0.0154,0.4944,1,0.4052,2.0226,0.8195,0.4052,0.7847,1,0.6043,1.2744,0.7701,0.6043,0.1782,14.4315,0.5632,1,0.8107,0.5632,0.9374,0.8107,-0.0493,0.8273,0.9096,3.4811,-0.9033,-1.0744,0.739,0.8597,3.2604,-253.924,0.5885,0.841,0.9171,3.0888,-0.4396,0.0459,-0.0838,-1.8256,1.0581,0.9918,0.9374,1.1195,0.9837,0.8787,0.5087,1.7514,3.4429,143.0041,0.8525,0.006,1.0677,1.127,1.0556,0.0245,2.7692,-0.6481,0.7487,-0.7944,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.2248,4.4159,2.1014,10.6941,-0.1395,6.045,4.9555,2.2261,9.4657,0.2512,2.2248,4.4159,2.1014,10.6941,-0.1395,7.1334,9.3434,3.0567,14.2015,0.2252,0.368,1,0.3119,2.7171,0.8474,0.3119,0.944,1,0.6875,1.0593,0.7283,0.6875,0.8911,1,0.4726,1.1222,0.5304,0.4726,-0.4122,1,-0.3171,-2.4262,0.7693,-0.3171,0.7424,1,0.512,1.3469,0.6897,0.512,1.1298,1,0.753,0.8851,0.6665,0.753,0.1363,10.8864,0.6434,1,0.8376,0.6434,0.944,0.8376,0.512,1.5503,1.2451,5.4486,-0.2825,-0.4922,1.0736,1.0362,4.71,-2.1609,0.0034,0.2825,0.5315,2.411,-1.1961,-1.0403,150.1398,-144.3269,1.2017,2.3426,1.9495,1.444,5.4878,3.8004,0.3727,0.914,2.4521,2.8512,3.8699,1.3573,1.1568,2.2599,1.9536,0.0142,2.3569,-0.649,-0.185,0.2811,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
7.0358,15.714,3.9641,12.0142,0.1318,-1.0577,13.3909,3.6594,13.3202,-0.6009,7.0358,15.714,3.9641,12.0142,0.1318,10.9285,25.5105,5.0508,15.2595,0.2223,-6.6517,1,0.6438,-0.1503,-0.0968,0.6438,1.0833,1,0.7848,0.9231,0.7245,0.7848,1.1735,1,0.616,0.8522,0.5249,0.616,-0.3646,1,0.4179,-2.7425,-1.1462,0.4179,1.663,1,0.7052,0.6013,0.424,0.7052,0.902,1,0.7873,1.1087,0.8729,0.7873,0.2001,17.4263,-0.3223,1,0.9807,-0.3223,-0.2339,0.9807,-1.0156,0.3425,0.5852,2.1402,?,-0.9314,1.7207,1.3117,4.937,-2.4337,2.4852,2.5416,1.5942,4.7697,-0.0912,1.0904,-0.4087,-0.3748,0.4461,0.3671,0.8228,0.199,0.1348,0.677,0.6116,5.369,8.7781,0,0,0.3289,0.4335,0.4487,1.0351,0.0568,4.8591,0.1956,-0.601,-0.3099,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
8.4492,22.6568,4.7599,13.7621,0.1241,1.0918,2.3152,1.5216,4.8658,-0.6157,8.4492,22.6568,4.7599,13.7621,0.1241,12.2235,42.1836,6.4949,18.6003,0.1658,7.739,1,0.6912,0.1292,0.0893,0.6912,3.1283,1,0.7329,0.3197,0.2343,0.7329,9.786,1,0.5371,0.1022,0.0549,0.5371,-1.0521,1,0.5275,-0.9505,-0.5014,0.5275,5.2175,1,0.7047,0.1917,0.1351,0.7047,2.8283,1,0.7399,0.3536,0.2616,0.7399,0.24,18.6115,-0.8191,1,0.9996,-0.8191,-0.815,0.9996,-0.646,0.61,0.7811,2.7808,-1.6142,-1.3784,1.0317,1.0157,3.5759,-3.9484,1.862,0.8637,0.9294,2.72,0.1145,0.4686,-0.3469,-0.7403,0.769,0.8404,1.0929,0.5913,0.7063,1.1945,0.6018,-4.8818,-8.1121,1.472,0.3463,0.2353,0.7776,1.0223,1.3147,0.0481,4.2644,0.3823,0.7093,0.3815,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
6.8703,5.8759,2.424,9.5904,0.1467,0.6134,14.6548,3.8282,13.4362,-0.8792,6.8703,5.8759,2.424,9.5904,0.1467,10.5855,9.1311,3.0218,11.6366,0.3192,11.2008,1,0.649,0.0893,0.0579,0.649,0.6332,1,0.8022,1.5793,1.2669,0.8022,0.401,1,0.6435,2.494,1.6049,0.6435,-0.2623,1,0.3022,-3.813,-1.1522,0.3022,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.7138,1,0.8242,1.401,1.1547,0.8242,0.1947,17.1899,-0.8813,1,0.975,-0.8813,-0.8794,0.975,-0.4273,1.1887,1.0903,3.7475,-1.3725,-0.8711,2.4085,1.5519,5.681,-1.2208,2.9141,1.7606,1.3269,5.2355,-0.0088,0.4906,-0.1466,-0.2989,0.7025,0.8217,1.1696,0.4935,0.6752,1.368,0.6942,47.3019,68.139,0.6175,0.3044,0.4929,0.6597,0.7158,1.0851,0.0614,5.3816,-0.7972,-0.7577,0.8396,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
9.7521,12.9459,3.598,16.4222,0.0328,-5.5288,4.5617,2.1358,9.7857,-5.8134,9.7521,12.9459,3.598,16.4222,0.0328,15.0085,25.9704,5.0961,23.0669,0.071,-1.7639,1,0.6498,-0.5669,-0.3684,0.6498,1.6846,1,0.706,0.5936,0.4191,0.706,2.8379,1,0.4985,0.3524,0.1757,0.4985,-0.0667,1,0.3161,-14.9886,-4.7386,0.3161,11.8219,1,0.6839,0.0846,0.0578,0.6839,1.6782,1,0.7119,0.5959,0.4242,0.7119,0.3096,25.0928,-0.5592,1,0.991,-0.5592,-0.6583,0.991,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
10.7819,34.9843,5.9148,22.1232,-0.0423,-5.5611,9.5951,3.0976,10.8343,-38.2805,10.7819,34.9843,5.9148,22.1232,-0.0423,16.4292,73.0671,8.5479,28.4604,0.0827,-1.9388,1,0.6563,-0.5158,-0.3385,0.6563,1.9095,1,0.692,0.5237,0.3624,0.692,3.6461,1,0.4788,0.2743,0.1313,0.4788,0.085,1,-0.3498,11.7662,-4.1159,-0.3498,76.9559,1,0.6841,0.013,0.0089,0.6841,2.042,1,0.7773,0.4897,0.3807,0.7773,0.3312,27.2094,-0.8032,1,0.9956,-0.8032,-0.8461,0.9956,-0.5407,2.978,1.7257,6.1951,-2.9122,-1.0402,2.7006,1.6434,5.7358,-2.9355,2.5682,2.9657,1.7221,6.2965,-0.1119,0.5198,-0.2105,-0.405,1.0501,1.0021,0.9543,1.1027,1.0041,0.9106,1.0779,7.2761,6.7504,1.0865,0.2796,0.2574,1.0801,0.9839,0.9109,0.0576,5.6494,0.7673,-0.5046,-0.4252,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
7.2388,16.9377,4.1155,16.7566,-0.1061,-1.6516,23.0982,4.8061,16.5793,-1.3492,7.2388,16.9377,4.1155,16.7566,-0.1061,11.8147,24.9145,4.9914,18.3327,0.156,-4.3828,1,0.6127,-0.2282,-0.1398,0.6127,0.8563,1,0.8245,1.1678,0.9629,0.8245,0.7333,1,0.6798,1.3637,0.9271,0.6798,0.1689,1,-0.4746,5.9219,-2.8103,-0.4746,2.1465,1,0.6974,0.4659,0.3249,0.6974,1.0107,1,0.914,0.9894,0.9044,0.914,0.2206,18.9522,-0.5364,1,0.9581,-0.5364,-0.5367,0.9581,-0.7766,2.8398,1.6852,6.1353,-3.6228,-1.3934,1.872,1.3682,5.849,-3.8697,3.4558,3.1774,1.7825,6.2154,0.0034,0.5573,-0.2247,-0.4032,1.2317,0.9454,0.7676,1.517,0.8938,0.5892,1.0345,-229.3319,-221.6921,1.105,0.2128,0.1926,1.0489,0.9871,0.9411,0.081,6.4167,0.4832,0.1969,0.0805,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
