@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
2.2671,15.1994,3.8986,17.7056,-0.6736,-1.5086,6.6674,2.5821,10.7964,-1.2502,-0.5011,14.1011,3.7551,20.6211,-1.971,6.0273,7.3069,2.7031,15.2611,0.0553,-1.5028,-4.5241,0.3761,3.0105,-0.2503,-0.0831,1.5099,1.0382,1.4423,0.6876,0.9552,1.3892,2.2797,1.0779,2.0801,0.4728,0.9125,1.9298,1.1881,0.5209,-7.9801,0.4385,-6.7169,-15.3188,2.2049,1.5242,0.6549,0.6913,0.297,0.4297,1.64,0.8586,1.1602,0.5236,0.7074,1.3512,0.0277,9.092,-0.6355,0.4205,0.5364,0.0421,-0.3331,0.0418,?,?,?,?,?,996.8137,282052.3125,531.086,1398.83,0.1041,PANTALONI
2.955,10.166,3.1884,13.7922,-0.3027,-2.2273,7.1707,2.6778,10.0309,-1.5319,-0.3944,9.7125,3.1165,12.934,-0.622,5.7215,8.1622,2.857,13.1655,0.0722,-1.3267,-7.4921,0.5165,5.6471,-0.3893,-0.0689,1.1907,1.0231,1.116,0.8592,0.9373,1.0908,1.4177,1.0467,1.2455,0.7383,0.8785,1.1899,0.5281,0.6461,-3.1281,1.2236,-5.9238,-4.8412,2.6723,1.3277,0.7461,0.4968,0.2792,0.5619,1.375,1.0663,1.0476,0.7755,0.7619,0.9824,0.0372,9.1315,-0.5773,0.654,0.828,0.0468,-0.7,0.5128,?,?,?,?,?,1753.3755,331611.8125,575.8575,2204.1101,0.127,PANTALONI
0.8441,1.6384,1.28,6.0124,-0.5904,0.3664,3.6614,1.9135,8.0217,-0.5482,0.0603,14.031,3.7458,16.8134,-0.824,3.9903,4.2585,2.0636,10.1091,0.0998,2.3036,13.9917,0.2115,6.0739,0.0918,0.0151,0.6689,0.3417,0.6203,0.5108,0.9272,1.8152,0.4475,0.1168,0.3847,0.261,0.8598,3.2948,0.7858,0.2939,-1.9914,0.374,-2.5342,-6.7765,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7495,0.3576,0.5948,0.4771,0.7935,1.6632,0.0092,5.9485,0.6846,0.631,0.4676,0.7534,0.4609,0.4474,?,?,?,?,?,841.1311,206545.7812,454.4731,1353.3159,0.048,PANTALONI
0.2302,2.8378,1.6846,10.6028,-0.4266,0.7863,4.0294,2.0073,8.7587,-0.2789,0.3854,18.0882,4.253,17.1865,-0.61,4.3519,6.8364,2.6146,11.3828,0.0405,0.2928,0.5974,0.0529,2.0404,0.1807,0.0886,0.8392,0.3961,0.6443,0.472,0.7677,1.6266,0.7043,0.1569,0.4151,0.2228,0.5894,2.6459,1.6598,0.4869,-6.6005,0.2933,-3.9767,-13.5565,1.0853,0.6963,0.6265,0.6416,0.5773,0.8998,1.2106,0.6169,0.9315,0.5096,0.7695,1.5099,0.0091,6.1824,0.4835,0.2375,0.2367,0.6737,0.6542,0.4475,?,?,?,?,?,328.7981,41832.6992,204.5304,606.5096,0.0077,PANTALONI
1.9867,7.8121,2.795,10.6448,-0.2194,-1.8592,9.9693,3.1574,11.5824,-2.5841,0.4549,14.9507,3.8666,16.8801,-0.9628,5.7292,7.5186,2.742,9.6856,0.0608,-1.0686,4.3676,0.3468,-4.0873,-0.3245,0.0794,0.8852,0.7229,1.0193,0.8166,1.1515,1.4101,0.7836,0.5225,1.039,0.6668,1.3259,1.9885,0.2293,0.2313,-3.0527,1.0085,-13.3114,-13.199,2.7013,1.0151,0.8465,0.3758,0.3134,0.8339,0.9191,0.6306,1.099,0.6862,1.1958,1.7428,0.0276,8.4164,-0.3099,0.6121,0.6122,0.0975,-0.577,0.3031,?,?,?,?,?,1576.4844,362922.8438,602.4308,1917.0475,0.1053,PANTALONI
2.618,8.7408,2.9565,10.9408,-0.1214,-2.154,3.1265,1.7682,8.1253,-1.2936,0.1358,10.89,3.3,14.2429,-0.6401,5.2665,6.5338,2.5561,13.0542,0.0569,-1.2154,19.2752,0.4971,-15.8588,-0.409,0.0258,1.672,0.8959,1.1566,0.5358,0.6918,1.291,2.7957,0.8027,1.3378,0.2871,0.4785,1.6667,0.2584,0.213,-1.5027,0.8244,-5.8157,-7.0545,2.7541,1.1235,0.7048,0.4079,0.2559,0.6274,1.3465,0.7682,0.8381,0.5705,0.6224,1.0911,0.0339,8.0754,-0.1656,0.5991,0.8511,0.3049,-0.2611,0.5047,?,?,?,?,?,490.1429,168787.375,410.8374,972.7549,0.0042,PANTALONI
2.2414,33.3201,5.7724,27.7334,-0.74,-2.9127,21.7316,4.6617,18.7616,-1.3378,-0.7547,18.4578,4.2963,22.4451,-1.3223,8.3344,18.1249,4.2573,17.8319,0.0335,-0.7695,-2.97,0.2689,3.8596,-0.3495,-0.0905,1.2382,1.3436,1.3559,1.0851,1.095,1.0091,1.5333,1.8052,1.8384,1.1774,1.199,1.0184,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,1.9861,1.6491,0.8639,0.8303,0.435,0.5239,1.4782,1.2356,1.5553,0.8359,1.0521,1.2587,0.0193,12.9897,-0.6923,0.4652,0.5433,-0.1839,-0.5143,0.251,?,?,?,?,?,422.2113,19811.7559,140.7542,326,0.4408,PANTALONI
2.4336,11.0109,3.3183,15.9542,-0.3229,-2.4213,13.8599,3.7229,16.4495,-2.0445,0.009,14.1359,3.7598,15.1746,-1.2787,6.4454,9.2485,3.0411,12.9236,0.0626,-1.005,271.6714,0.3776,-270.3074,-0.3757,0.0014,0.8913,0.8826,1.0911,0.9902,1.2242,1.2363,0.7944,0.7789,1.1906,0.9805,1.4986,1.5285,0.3525,0.4573,-4.5123,1.2973,-12.8006,-9.8675,2.2321,1.811,0.8748,0.8113,0.3919,0.483,0.9699,1.0514,1.2345,1.084,1.2728,1.1742,0.0183,9.7857,-0.2108,0.2719,0.6387,-0.1835,-0.6412,0.3033,?,?,?,?,?,353.2021,36406.9414,190.806,445,0.2752,PANTALONI
2.7922,20.8243,4.5634,19.623,-0.3734,-2.8135,24.7802,4.978,19.4557,-1.4951,-0.4372,21.7071,4.6591,19.4485,-1.0907,8.2286,15.5044,3.9376,17.6443,0.0767,-0.9925,-6.386,0.3393,6.4345,-0.3419,-0.0531,0.9167,0.9795,1.1589,1.0684,1.2642,1.1832,0.8404,0.9593,1.3431,1.1416,1.5983,1.4001,0.4576,0.5258,-3.6379,1.149,-7.9495,-6.9185,1.8323,1.5359,0.7476,0.8382,0.408,0.4868,1.0086,1.009,1.1121,1.0004,1.1027,1.1023,0.0209,12.8157,-0.5875,0.3005,0.8063,0.0439,-0.6043,0.16,?,?,?,?,?,342.0105,7688.8457,87.6861,268,0.4274,PANTALONI
2.8679,11.7777,3.4319,10.561,-0.0485,-1.2149,1.6639,1.2899,4.8659,-3.5906,-0.9621,2.1918,1.4805,7.0551,-2.1409,3.9913,10.3297,3.214,9.9811,0.0507,-2.3607,-2.9809,0.7186,1.2627,-0.3044,-0.2411,2.6606,2.3181,1.0678,0.8713,0.4013,0.4606,7.0785,5.3736,1.1402,0.7591,0.1611,0.2122,0.1284,0.1017,-0.9169,0.7914,-7.1385,-9.0196,9.5023,4.4841,0.958,0.4719,0.1008,0.2136,2.1704,1.4969,1.0581,0.6897,0.4875,0.7068,0.0375,5.7686,-0.6797,0.3824,0.9766,-0.0341,-0.7674,0.2574,?,?,?,?,?,10.8391,54.4109,7.3764,18,0.0526,PANTALONI
