@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
1.9337,10.0458,3.1695,15.3875,-0.3204,-0.9816,8.7952,2.9657,15.8579,-1.2868,0.0255,12.3317,3.5117,18.5786,-0.8954,5.3405,7.3552,2.712,11.9493,0.0472,-1.97,75.9746,0.3621,-38.5658,-0.1838,0.0048,1.0687,0.9026,1.1687,0.8445,1.0935,1.2948,1.1422,0.8146,1.3658,0.7132,1.1958,1.6766,0.4184,0.4254,-6.3019,1.0167,-15.0622,-14.8147,1.6806,1.189,0.9292,0.7075,0.5529,0.7815,0.9703,0.8282,1.2877,0.8536,1.3271,1.5548,0.0076,7.8709,-0.1474,0.1153,0.675,0.5815,-0.221,0.1148,1100,0,0,0,1,PANTALONI
1.3785,5.4043,2.3247,13.1633,-0.6116,-1.1372,4.7868,2.1879,11.0383,-1.527,-0.3635,5.5118,2.3477,10.8692,-0.6197,3.9356,3.5395,1.8814,7.581,0.1033,-1.2122,-3.7921,0.3503,3.1283,-0.289,-0.0924,1.0625,0.9902,1.2357,0.9319,1.1629,1.2479,1.129,0.9805,1.5268,0.8685,1.3524,1.5572,0.7489,1.2012,-5.7182,1.6039,-7.6353,-4.7604,1.8699,1.2172,0.9661,0.6509,0.5167,0.7937,1.1925,1.2111,1.7363,1.0156,1.456,1.4337,0.0064,5.8922,-0.0673,0.137,0.5837,0.1609,-0.3565,0.2978,1100,0,0,0,1,PANTALONI
1.4002,8.0329,2.8342,15.7018,-0.5066,-0.4552,8.9584,2.9931,15.2148,-1.6881,-0.0174,12.8941,3.5908,17.1545,-0.949,5.1395,5.6394,2.3747,10.9376,0.0587,-3.0759,-80.3501,0.2724,26.1225,-0.0886,-0.0034,0.9469,0.7893,1.1935,0.8335,1.2604,1.5121,0.8967,0.623,1.4244,0.6948,1.5886,2.2864,0.5526,0.6321,-7.734,1.1439,-13.9961,-12.2356,1.8413,1.1841,0.8969,0.6431,0.4871,0.7574,1.032,0.9153,1.4356,0.8869,1.3911,1.5684,0.0052,7.7221,0.1429,-0.1322,0.5054,0.3671,0.0167,0.0956,1100,0,0,0,1,PANTALONI
0.8075,19.6345,4.4311,35.2631,-0.2283,0.0504,14.0789,3.7522,29.6684,-0.2954,-0.1733,24.3318,4.9327,27.8019,-0.7958,5.6163,27.1871,5.2141,35.7846,0.0271,16.0156,-4.66,0.1438,-0.291,0.009,-0.0309,1.1809,0.8983,0.8498,0.7607,0.7196,0.946,1.3946,0.8069,0.7222,0.5786,0.5179,0.895,0.9686,0.5319,-6.5801,0.5492,-6.7935,-12.3709,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,0.9854,1.0671,0.8291,0.7769,0.0057,8.6235,0.6745,0.0436,0.8174,-0.2578,0.644,-0.0002,?,?,?,?,?,PANTALONI
1.5079,1.6478,1.2837,5.5323,-0.1021,-0.1197,0.5233,0.7234,3.1525,-1.2505,-0.6638,6.6821,2.585,11.4678,-0.8168,3.0622,2.2046,1.4848,5.9552,0.0756,-12.5985,-2.2716,0.4924,0.1803,-0.0391,-0.2168,1.7744,0.4966,0.8646,0.2799,0.4872,1.741,3.1487,0.2466,0.7475,0.0783,0.2374,3.031,0.2925,0.0994,-1.0514,0.3398,-3.5945,-10.5798,3.5836,0.7953,0.7792,0.2219,0.2174,0.9797,1.7549,0.4824,0.929,0.2749,0.5294,1.9257,0.0126,4.4163,-0.0624,-0.0231,0.6653,0.021,-0.0565,-0.1048,125000,0,0,0,1,PANTALONI
0.1833,2.3129,1.5208,6.9735,-1.4948,-0.4755,7.6693,2.7693,10.5047,-0.6794,0.0014,0.5936,0.7705,3.6206,-0.402,2.9505,2.1303,1.4596,7.4266,0.0504,-0.3855,130.4465,0.0621,-338.4044,-0.1612,0.0005,0.5492,1.9739,1.042,3.5943,1.8974,0.5279,0.3016,3.8962,1.0857,12.919,3.6001,0.2787,0.9832,4.0248,-10.61,4.0936,-10.7916,-2.6362,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6638,1.926,0.939,2.9013,1.4145,0.4875,0.0034,4.413,-0.9425,-0.7859,-0.3392,0.7897,0.2693,0.2353,1100,0,0,0,1,PANTALONI
0.2208,1.4382,1.1992,6.5171,-0.6676,-0.0541,2.4214,1.5561,7.5532,-1.7608,0.0756,1.3143,1.1464,6.4805,-0.8202,1.8445,1.8291,1.3524,5.8672,0.0284,-4.0796,2.9217,0.1197,-0.7162,-0.0293,0.041,0.7707,1.0461,0.8867,1.3574,1.1506,0.8477,0.5939,1.0943,0.7863,1.8424,1.3239,0.7185,0.5416,0.8934,-15.2037,1.6497,-28.0722,-17.0168,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1108,1.1655,1.2874,1.1045,0.0016,2.8296,-0.5671,0.2632,0.4562,-0.2377,-0.5987,0.3998,1100,0,0,0,1,PANTALONI
1.1428,19.7017,4.4387,32.6309,-0.2544,0.2575,12.6697,3.5595,14.3464,-1.067,-1.83,9.1874,3.0311,16.2155,-0.9819,6.2023,7.8119,2.795,25.1131,0.0478,4.4372,-0.6245,0.1843,-0.1407,0.0415,-0.295,1.247,1.4644,1.5881,1.1743,1.2735,1.0845,1.555,2.1444,2.522,1.379,1.6219,1.1761,0.8937,0.8239,-5.2462,0.9218,-5.8701,-6.3678,3.7477,3.1792,0.9863,0.8483,0.2632,0.3102,2.2745,2.0123,1.2994,0.8847,0.5713,0.6457,0.0078,9.4267,-0.555,0.3563,0.5569,-0.265,-0.1776,-0.0336,1100,0,0,0,1,PANTALONI
0.0482,0.5406,0.7353,3.8937,-0.5556,-0.0552,0.713,0.8444,3.0265,-0.7977,0.1296,0.1486,0.3855,1.7103,-0.5847,1.0976,0.2197,0.4688,2.5738,0.0992,-0.874,0.3723,0.044,-0.426,-0.0503,0.118,0.8708,1.9075,1.5686,2.1906,1.8014,0.8223,0.7582,3.6386,2.4605,4.7987,3.2449,0.6762,1.0355,2.2038,-4.9076,2.1281,-4.7392,-2.2269,1.4867,2.3192,0.876,1.5599,0.5892,0.3777,1.2865,2.2766,1.5128,1.7696,1.1759,0.6645,0.0005,1.6675,0.5714,-0.3464,0.492,-0.5916,0.5093,-0.1586,1100,0,0,0,1,PANTALONI
0.4064,34.1986,5.848,34.8226,-0.9003,1.231,15.563,3.945,17.9674,-0.4399,-1.1443,7.7593,2.7856,14.016,-0.9563,7.1246,9.7506,3.1226,18.5158,0.0635,0.3302,-0.3552,0.057,-1.0758,0.1728,-0.1606,1.4824,2.0994,1.8728,1.4162,1.2634,0.8921,2.1974,4.4074,3.5073,2.0057,1.5961,0.7958,3.0055,2.4079,-13.1501,0.8012,-4.3753,-5.4612,1.4686,2.5577,0.9269,1.7417,0.6312,0.3624,1.9381,2.4845,1.8807,1.2819,0.9704,0.757,0.0062,10.3445,-0.0818,0.3249,0.1115,-0.1629,0.2236,0.291,1100,0,0,0,1,PANTALONI
