@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
0.2523,6.8466,2.6166,15.8467,-1.5634,2.4094,15.0308,3.877,24.4451,-0.1339,9.1294,18.2279,4.2694,21.688,-0.025,10.6452,16,4,22.4535,0.1693,0.1047,0.0276,0.0237,0.2639,0.2263,0.8576,0.6749,0.6129,0.6542,0.9081,0.9692,1.0674,0.4555,0.3756,0.4279,0.8246,0.9394,1.1392,3.3485,18.2783,-2.1114,5.4586,-0.6305,-0.1155,0.2867,0.2922,0.2287,1.0189,0.7976,0.7828,0.6483,0.7307,0.7058,1.1271,1.0887,0.9659,0.1016,14.5388,0.3073,-0.592,-0.4022,-0.2618,0.1503,0.8703,0.1871,0.0228,0.1511,0.4629,-0.0238,-0.0109,0.0078,0.0886,0.3633,-0.7917,-0.4673,0.0041,0.0641,0.5837,?,-17.2371,-0.4003,0.0232,1.7054,2.3581,1.3827,2.9084,5.5606,1.9119,0.0669,0.0184,0.275,2.23,0,0,1.2742,0.793,0.6223,0.0054,0.7308,-0.3862,-0.9135,0.6369,?,?,?,?,?,PANTALONI
-0.0267,4.3751,2.0917,10.4876,-1.2182,-3.9797,18.6645,4.3202,23.2002,-3.7548,9.9073,12.7867,3.5759,19.2152,-0.0546,11.8856,8.554,2.9247,12.3381,0.3464,0.0067,-0.0027,-0.0023,-0.4017,-0.3348,0.8336,0.4842,0.5849,0.7152,1.2082,1.4772,1.2226,0.2344,0.3422,0.5115,1.4597,2.182,1.4948,0.3144,5.7945,-0.8807,18.4319,-2.8015,-0.152,0.969,0.2595,0.2505,0.2678,0.2585,0.9652,0.452,0.5458,0.85,1.2074,1.8804,1.5574,0.1112,16.4139,0.6216,0.2322,0.0178,0.3611,-0.3456,0.5951,-0.7388,0.0019,0.044,0.7991,?,-0.5558,0.0063,0.0795,0.7105,?,-0.1749,0.004,0.0634,0.3033,?,1.3293,4.2252,3.1786,0.553,0.693,1.2533,0.3058,0.4803,1.5706,1.1247,2.6343,2.3422,1,1,1,1.1247,2.6343,2.3422,0.0098,1.4695,-0.9375,0.392,-0.6285,?,?,?,?,?,PANTALONI
-0.5888,0.4553,0.6748,2.7427,-2.0409,3.805,3.2886,1.8135,7.8522,0.1023,9.2561,0.6214,0.7883,3.1765,0.701,10.1735,1.3656,1.1686,5.5538,0.5778,-0.1547,-0.0636,-0.0579,0.4111,0.374,0.9098,0.3721,0.856,0.5774,2.3004,1.5519,0.6746,0.1384,0.7327,0.3334,5.2921,2.4082,0.4551,-2.0578,-0.2472,-0.2422,0.1201,0.1177,0.9799,0.1031,0.0849,0.0686,0.8233,0.6649,0.8077,0.3493,0.8634,0.4938,2.472,1.4139,0.572,0.1152,13.796,-0.2924,0.087,-0.1678,0.2016,0.7722,0.7704,-0.0688,0.0189,0.1374,0.3821,-3.9811,-0.4044,0.0609,0.2468,0.8031,?,-0.6423,0.0134,0.1159,0.7358,?,0.17,0.107,0.6295,0.5568,1.1857,2.1294,0.3101,1.4059,4.5343,0.3803,0.415,1.0914,0,0,1,0.4758,0.5193,1.0914,0.0088,1.1691,0.9911,-0.9241,-0.9007,125000,0,0,0,1,PANTALONI
0.229,0.2425,0.4924,3.4323,-0.158,7.226,3.9006,1.975,9.5907,-0.0509,10.3395,0.3907,0.6251,4.5341,0.6557,12.7542,1.0357,1.0177,5.0978,0.6347,0.0317,0.0221,0.018,0.6989,0.5666,0.8107,0.2493,0.7878,0.4839,3.1596,1.9406,0.6142,0.0622,0.6206,0.2341,9.9828,3.7661,0.3773,1.0083,-0.0542,-0.0529,-0.0538,-0.0524,0.9752,0.3248,0.225,0.2124,0.6929,0.654,0.9439,0.3579,0.757,0.6733,2.1152,1.8813,0.8894,0.1249,17.8945,-0.7897,-0.0001,-0.6217,0.0262,0.8302,0.5505,0.3566,0.0003,0.0164,0.075,0.8231,-0.8599,0,0.0048,0.8673,?,-0.2708,0.0015,0.0388,0.3023,?,-0.4146,-1.3168,3.1756,3.3859,0.4229,0.1249,11.4642,0.1788,0.0156,-0.402,-1.1536,2.8695,0,0,1,0.0864,0.248,2.8695,0.0096,1.4872,0.506,0.9497,0.2519,1100,0,0,0,1,PANTALONI
0.264,0.012,0.1094,0.6086,-0.0128,5.6715,0.0485,0.2203,1.1376,0.8195,9.5902,0.0119,0.1092,0.5399,0.9454,11.1467,0.0309,0.1759,0.9449,0.9194,0.0466,0.0275,0.0237,0.5914,0.5088,0.8604,0.4965,1.0017,0.622,2.0174,1.2527,0.6209,0.2465,1.0034,0.3868,4.0701,1.5692,0.3855,-0.0015,-0.0008,-0.0007,0.5525,0.479,0.867,0.0954,0.0608,0.0512,0.6374,0.5374,0.8432,0.535,1.1273,0.6441,2.1069,1.2039,0.5714,0.1114,15.5259,-0.3637,-0.0859,-0.2609,0.4651,0.8792,0.8291,-0.0453,0,0.0055,0.0542,?,0.6339,0,0.0005,0.0014,0.9978,0.4801,0,0.0017,0.0056,0.9883,-0.0715,-0.0944,1.3203,11.4394,3.2452,0.2837,130.86,10.5314,0.0805,-0.0855,-0.1135,1.3266,0,0,1.314,38.3784,9.6198,0.2507,0.008,1.1593,0.9554,-0.9936,-1.068,1100,0,0,0,1,PANTALONI
-0.1051,2.3874,1.5451,6.8711,-1.0893,3.5682,2.6577,1.6302,7.35,-0.0377,9.1726,3.1398,1.7719,8.6118,0.3204,10.0784,3.491,1.8684,9.0096,0.3535,-0.0294,-0.0115,-0.0104,0.389,0.354,0.9101,0.9478,0.872,0.827,0.92,0.8725,0.9484,0.8983,0.7604,0.6839,0.8465,0.7613,0.8994,13.4009,-0.8823,-0.7272,-0.0658,-0.0543,0.8242,0.4643,0.2595,0.236,0.5589,0.5082,0.9093,0.9348,0.7979,0.7626,0.8535,0.8158,0.9558,0.0975,13.9834,0.8093,0.271,0.4867,0.3339,0.6011,0.9419,-0.1784,0.0468,0.2164,0.6392,?,-0.1952,0.011,0.1048,0.4734,?,-0.8811,0.0149,0.122,0.9483,?,0.9139,0.2025,0.2216,2.0641,1.7733,0.8592,4.2603,3.1447,0.7381,1.3503,0.6741,0.4992,1,1,1,1.3503,0.6741,0.4992,0.0091,1.2547,0.9821,-0.9314,-0.9422,1100,0,0,0,1,PANTALONI
0.2961,2.3401,1.5297,7.7143,-0.5516,7.4276,10.6217,3.2591,10.9392,0.1731,9.3588,4.6944,2.1667,9.2481,0.3009,12.3186,8.7511,2.9582,12.8999,0.304,0.0399,0.0316,0.024,0.7937,0.603,0.7597,0.4694,0.706,0.5171,1.5042,1.1017,0.7324,0.2203,0.4985,0.2674,2.2626,1.2137,0.5364,-1.198,-0.689,-0.4867,0.5752,0.4063,0.7064,0.3758,0.3758,0.2682,1,0.7137,0.7137,0.7052,0.8341,0.598,1.1829,0.848,0.7169,0.1183,18.0599,-0.4098,0.2291,-0.1662,0.2462,0.8213,0.75,0.3253,0.0007,0.0269,0.1181,0.6963,-0.4265,0.0457,0.2138,0.7345,?,-0.4471,0.0079,0.0887,0.568,?,-0.7628,-0.7276,0.9538,0.1256,0.3028,2.41,0.0158,0.0917,5.808,-0.3686,-0.4767,1.2932,0,0,1,0.1608,0.2079,1.2932,0.0069,1.199,-0.3055,0.7811,-0.6814,1100,0,0,0,1,PANTALONI
0.1723,0.009,0.0948,0.4469,-0.258,6.1157,0.0237,0.1538,0.7008,0.8914,9.6254,0.0031,0.0558,0.2772,0.9716,11.4065,0.0078,0.0885,0.378,0.9674,0.0282,0.0179,0.0151,0.6354,0.5362,0.8439,0.6164,1.6994,1.0713,2.7569,1.7379,0.6304,0.38,2.8881,1.1477,7.6003,3.0204,0.3974,-0.0159,-0.0097,-0.0082,0.6065,0.5121,0.8443,0.0551,0.0364,0.0306,0.6611,0.5558,0.8407,0.6377,1.6119,1.1821,2.5277,1.8536,0.7333,0.1141,15.917,-0.2702,0.1085,-0.1819,-0.1432,0.8482,0.408,-0.0265,0,0.0029,0.0312,?,0.7517,0,0.0003,0.0011,0.9985,0.4187,0,0.0022,0.0066,0.9843,-0.0353,-0.0633,1.7952,9.9412,1.3118,0.132,98.8267,1.7209,0.0174,-0.0416,-0.0753,1.8097,0,0,1.784,28.5928,4.7286,0.1654,0.0086,1.1969,-0.2265,-0.979,0,1013.25,0,0,0,1,PANTALONI
-0.0708,11.0295,3.3211,17.1996,-1.6606,6.9896,18.4555,4.296,18.5993,-0.4704,9.19,15.9394,3.9924,17.8132,0.0535,12.9762,10.3563,3.2181,17.5748,0.0818,-0.0101,-0.0077,-0.0055,0.7606,0.5386,0.7082,0.7731,0.8318,1.032,1.076,1.3349,1.2406,0.5976,0.692,1.065,1.1579,1.7821,1.5391,1.804,-10.6591,-6.8579,-5.9084,-3.8014,0.6434,0.5111,0.3435,0.3378,0.6721,0.6609,0.9833,0.9247,0.9656,0.9786,1.0441,1.0583,1.0136,0.1143,19.3974,0.506,-0.1543,-0.0172,0.1208,0.4399,0.8561,0.0621,0.0535,0.2313,0.9735,-0.7752,-0.4492,0.0105,0.1026,0.7404,?,-0.7322,0.0128,0.1132,0.8207,?,-0.1383,-0.0848,0.6135,2.2553,2.0433,0.906,5.0863,4.1749,0.8208,0.5742,0.518,0.9021,0,0,1,1.3148,1.1861,0.9021,0.0085,1.3845,0.1701,-0.4143,-0.7924,1013.25,0,0,0,1,PANTALONI
0.4088,0.0171,0.1309,0.7601,-0.0214,-6.9345,0.087,0.295,7.8541,?,9.6875,0.0174,0.132,0.6114,0.9389,11.9231,0.0641,0.2533,1.6346,0.8711,-0.059,0.0422,0.0343,-0.7158,-0.5816,0.8125,0.4438,0.9924,0.5171,2.2359,1.165,0.521,0.197,0.9848,0.2674,4.9992,1.3572,0.2715,0.002,-0.0017,-0.0014,-0.8355,-0.7112,0.8512,0,0.0743,0.0587,0,0,0.7897,0.0968,1.2432,0.465,12.8465,4.8049,0.374,0.118,17.0312,0.5274,-0.3075,-0.4679,-0.6798,-0.9481,0.8746,-0.4673,0,0.0037,0.4798,?,-0.384,0,0.002,0.391,?,0.0484,0,0.0036,0.0125,0.7652,1.217,-9.651,-7.9304,1.8609,1.0208,0.5485,3.463,1.0421,0.3009,1.2272,-11.7775,-9.5972,1,0,0,1.2272,38.3764,31.2721,0.006,0.8997,0.3615,0.8849,0.1736,1100,0,0,0,1,PANTALONI
0.1094,0.1381,0.3716,3.5379,-0.5873,-4.9578,1.1479,1.0714,8.7715,?,9.5596,0.2295,0.4791,4.0367,0.6581,10.8139,0.5521,0.743,5.5056,0.5985,-0.0221,0.0114,0.0101,-0.5186,-0.4585,0.884,0.3468,0.7756,0.5001,2.2365,1.4419,0.6447,0.1203,0.6016,0.2501,5.0019,2.0791,0.4157,0.1492,-0.1685,-0.1595,-1.129,-1.0688,0.9467,0,0.1888,0.1625,0,0,0.861,0.4033,0.8764,0.6426,2.173,1.5932,0.7332,0.1088,14.6876,-0.1577,-0.1337,0.0955,-0.2256,-0.8583,0.6885,-0.5103,0.0017,0.0418,0.6311,?,-0.1598,0.0008,0.0286,0.2221,?,0.0434,0,0.005,0.0204,0.5967,3.194,-11.7597,-3.6818,1.4651,8.4082,5.7389,2.1466,70.6983,32.9349,2.8408,-20.8796,-7.3498,1,0,0,2.8408,30.8933,10.8747,0.0054,0.7135,0.9239,0.0949,-0.2423,1100,0,0,0,1,PANTALONI
-0.1832,4.4032,2.0984,14.1107,-0.6505,2.8057,13.1818,3.6307,20.3214,-0.2162,9.7875,8.5148,2.918,25.4055,0.1448,10.9427,10.0563,3.1712,25.5168,0.155,-0.0653,-0.0187,-0.0167,0.2867,0.2564,0.8944,0.578,0.7191,0.6617,1.2442,1.1449,0.9202,0.334,0.5171,0.4379,1.5481,1.3108,0.8467,1.5393,-1.2931,-1.1879,-0.8401,-0.7717,0.9186,0.5117,0.2878,0.2831,0.5625,0.5533,0.9837,0.6944,0.5554,0.553,0.7999,0.7964,0.9956,0.1072,15.0901,0.2113,0.2478,0.3832,0.0426,0.2933,0.9364,0.0228,0.0063,0.0791,0.2474,-0.9978,-0.3053,0.0104,0.1017,0.6974,?,-0.5449,0.0736,0.2714,0.8825,?,-0.0746,-0.0418,0.5603,0.7776,0.2915,0.3749,0.6046,0.085,0.1406,0.1772,0.14,0.7903,0,0,1,0.3548,0.2804,0.7903,0.0066,0.9233,0.528,-0.8354,-0.8813,1100,0,0,0,1,PANTALONI
0.0767,0.0327,0.1808,1.4241,-2.4262,3.9845,0.1661,0.4076,3.0596,0.5317,9.9987,0.0654,0.2557,1.9018,0.8358,10.7686,0.1589,0.3986,2.9685,0.7762,0.0193,0.0077,0.0071,0.3985,0.37,0.9285,0.4435,0.707,0.4535,1.5941,1.0225,0.6414,0.1967,0.4998,0.2056,2.5411,1.0454,0.4114,-0.2903,-0.1042,-0.098,0.3588,0.3375,0.9405,0.0636,0.0359,0.0313,0.5641,0.4926,0.8734,0.4655,0.7488,0.4797,1.6088,1.0307,0.6407,0.1133,14.1159,-0.9222,-0.935,-0.9522,0.9022,0.9626,0.9849,0.4002,0,0.0027,0.0088,0.9782,-0.6241,0,0.0037,0.6307,?,0.1223,0,0.0059,0.0193,0.8516,-0.6413,3.2713,-5.1012,0.7354,0.4574,0.622,0.5407,0.2092,0.3869,-0.6266,3.5744,-5.7047,0,3.1117,0,0.014,0.4569,32.7262,0.0079,1.1467,1.0003,0.9919,0.9978,1100,0,0,0,1,PANTALONI
-0.107,3.4106,1.8468,9.0514,-0.8975,-1.1881,8.7345,2.9554,13.4269,-1.6739,9.8825,4.1019,2.0253,12.4927,0.345,10.5271,4.5132,2.1244,13.263,0.3443,0.09,-0.0108,-0.0102,-0.1202,-0.1129,0.9388,0.6249,0.9118,0.8693,1.4592,1.3912,0.9533,0.3905,0.8315,0.7557,2.1294,1.9353,0.9089,0.5093,-0.6506,-0.6148,-1.2773,-1.207,0.945,0.9499,0.2501,0.2358,0.2633,0.2483,0.943,0.6741,0.7245,0.6825,1.0748,1.0124,0.9419,0.1037,13.9439,-0.0429,0.4667,0.5559,0.1835,-0.0146,0.9579,0.1061,0.0099,0.0993,0.278,-0.2981,-0.2351,0.0178,0.1334,0.3937,?,0.0503,0.1669,0.4085,1.1096,-0.4843,-0.4514,2.1086,-4.6709,0.7444,0.2431,0.3266,0.5541,0.0591,0.1066,0.1622,0.1763,1.0873,0,0.2865,0,0.7062,0.2505,0.3548,0.0027,0.7296,0.8802,-0.886,-0.9053,1100,0,0,0,1,PANTALONI
0.0582,0.0086,0.0925,0.6744,-0.1388,6.4489,0.0579,0.2406,1.8408,0.7704,9.9029,0.0136,0.1167,0.9992,0.9059,11.8192,0.045,0.2121,1.8472,0.8613,0.009,0.0059,0.0049,0.6512,0.5456,0.8379,0.3847,0.7928,0.4364,2.0609,1.1344,0.5505,0.148,0.6286,0.1905,4.2473,1.2869,0.303,-0.0133,-0.0085,-0.0072,0.6417,0.5382,0.8387,0.0739,0.0557,0.0445,0.7546,0.6018,0.7974,0.3663,0.6749,0.3651,1.8423,0.9966,0.5409,0.1231,16.4281,0.7961,0.5383,0.7584,0.6349,0.9325,0.8722,-0.1461,0,0.0021,0.1525,?,-0.7313,0,0.0003,0.7318,?,-0.4779,0,0.0037,0.4847,?,0.1998,0.3058,1.5303,6.7717,0.5573,0.0823,45.8564,0.3106,0.0068,0.2084,0.3147,1.5097,1,1,1,0.2084,0.3147,1.5097,0.0092,1.3553,-0.6383,-0.7469,0.3363,1100,0,0,0,1,PANTALONI
