@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-2.7866,8.1185,2.8493,14.9494,-4.186,3.1927,5.499,2.345,17.2766,-0.136,-2.7866,8.1185,2.8493,14.9494,-4.186,6.0001,11.4585,3.385,18.9422,0.0163,-0.8728,1,-0.4644,-1.1457,0.5321,-0.4644,1.215,1,0.8417,0.823,0.6928,0.8417,1.4763,1,0.7085,0.6773,0.4799,0.7085,5.8333,1,-38.5554,0.1714,-6.6095,-38.5554,0.1895,1,0.1497,5.2757,0.7898,0.1497,0.8653,1,0.7892,1.1557,0.9121,0.7892,0.0274,9.489,-0.1454,1,-0.8574,-0.1454,0.5053,-0.8574,-44.4257,70.4806,8.3953,69.5,?,27.4378,87.8765,9.3742,34.75,0.2527,-12.8203,40.7924,6.3869,45.5,?,-1.6191,3.4653,-2.1402,0.8956,1.3145,1.4677,0.802,1.7278,2.1542,-5.9149,1.5275,-0.2582,0,1,0,2,1.5275,0.7637,0.2906,84.6838,-0.2927,0.734,-0.3207,?,?,?,?,?,PANTALONI
7.68,18.1634,4.2619,27.8901,-0.896,-1.0176,13.8151,3.7169,25.2619,-0.8295,7.68,18.1634,4.2619,27.8901,-0.896,12.3551,16.4959,4.0615,20.2627,0.0774,-7.5469,1,0.6216,-0.1325,-0.0824,0.6216,1.1466,1,1.0493,0.8721,0.9151,1.0493,1.3148,1,1.1011,0.7606,0.8375,1.1011,1.1507,1,-7.7534,0.869,-6.7381,-7.7534,1.0653,1,0.6698,0.9387,0.6287,0.6698,1.104,1,1.3764,0.9058,1.2467,1.3764,0.0568,19.6499,0.0617,1,0.6842,0.0617,0.0326,0.6842,-31.0023,255.5163,15.9849,57,?,12.3522,38.634,6.2156,21.5,-0.0393,56.5576,108.9748,10.4391,37.25,0.4471,-2.5099,-0.5482,0.2184,2.5717,1.5313,0.5954,6.6138,2.3447,0.3545,70.1538,-1.8921,-0.027,0,0,0.3071,2.6512,1.5302,0.5772,0.342,99.9863,-0.1133,0.9573,-0.054,?,?,?,?,?,PANTALONI
2.5335,9.8618,3.1404,9.6151,-0.0287,2.9366,0.8104,0.9002,4.3479,0.2091,2.5335,9.8618,3.1404,9.6151,-0.0287,5.2011,14.9427,3.8656,12.944,0.0832,0.8627,1,0.4871,1.1591,0.5646,0.4871,3.4884,1,0.8124,0.2867,0.2329,0.8124,12.1687,1,0.66,0.0822,0.0542,0.66,-0.2333,1,-0.2283,-4.2857,0.9782,-0.2283,1.7003,1,0.662,0.5881,0.3893,0.662,2.2115,1,0.7428,0.4522,0.3359,0.7428,0.0266,8.0462,0.7243,1,0.9948,0.7243,0.7706,0.9948,-20.2741,43.1306,6.5674,33.9375,?,-11.6157,15.0387,3.878,20.6875,?,-17.9756,240.4385,15.5061,55.625,-0.9955,1.7454,1.1279,0.6462,1.6935,0.4235,0.2501,2.868,0.1794,0.0625,1.6405,1.223,0.7455,1,0,0,1.6405,0.6101,0.3719,0.1694,54.6613,0.9462,-0.8894,-0.7125,125000,0,0,0,1,PANTALONI
3.0482,4.2955,2.0726,11.4129,-0.1342,6.5792,3.4278,1.8514,18.6391,-0.2039,3.0482,4.2955,2.0726,11.4129,-0.1342,8.3015,4.9729,2.23,13.9868,0.2041,0.4633,1,0.3672,2.1584,0.7925,0.3672,1.1194,1,0.9294,0.8933,0.8302,0.9294,1.2531,1,0.8638,0.798,0.6893,0.8638,0.4278,1,-0.3766,2.3374,-0.8803,-0.3766,0.6499,1,0.5726,1.5386,0.881,0.5726,0.6123,1,0.816,1.6332,1.3326,0.816,0.0391,12.7696,-0.1588,1,0.7694,-0.1588,0.4515,0.7694,-26.5871,60.1466,7.7554,44.2,?,-12.3542,6.8204,2.6116,16.2,?,30.0945,86.1695,9.2828,29.7,0.1863,2.1521,-0.8835,-0.4105,2.9696,0.8355,0.2813,8.8187,0.698,0.0792,2.7284,-6.5,-2.3824,1,0,0,2.7284,1.4882,0.5455,0.209,69.0358,-0.5393,0.9862,-0.5586,1100,0,0,0,1,PANTALONI
-7.8364,0.0109,0.1043,8.0964,?,5.1506,0.0125,0.1119,0.723,0.8677,-7.8364,0.0109,0.1043,8.0964,?,12.2213,0.0198,0.1408,0.7296,0.9421,-1.5215,1,-0.6412,-0.6573,0.4214,-0.6412,0.9321,1,0.7409,1.0729,0.7949,0.7409,0.8688,1,0.5489,1.1511,0.6318,0.5489,-1.7076,1,-0.6825,-0.5856,0.3997,-0.6825,0,1,0,0,0.4339,0,11.1983,1,11.0973,0.0893,0.991,11.0973,0.0611,20.8233,0.0245,0.9969,-0.9455,0.0245,0.3148,-0.9455,40.9499,0.0341,0.1846,0.8,0.9806,-10.3296,0.0191,0.1382,10.7373,?,6.3405,0.1103,0.3321,1.5486,0.7815,-3.9643,6.4585,-1.6292,1.3359,0.5559,0.4162,1.7847,0.3091,0.1732,-3.7722,7.3106,-1.938,0,5.8264,0,0.0745,0.5166,6.9335,0.2135,57.6201,0.0538,-0.2205,0.2497,1100,0,0,0,1,PANTALONI
2.7908,6.585,2.5661,11.2041,0.0824,2.3611,0.5417,0.736,4.4459,0.0006,2.7908,6.585,2.5661,11.2041,0.0824,4.8007,11.8163,3.4375,15.2179,0.1422,1.182,1,0.5813,0.846,0.4918,0.5813,3.4866,1,0.7465,0.2868,0.2141,0.7465,12.1561,1,0.5573,0.0823,0.0458,0.5573,395.3529,1,0.3988,0.0025,0.001,0.3988,2.7448,1,0.6883,0.3643,0.2508,0.6883,2.5201,1,0.7362,0.3968,0.2921,0.7362,0.0229,7.9426,0.4408,1,0.9949,0.4408,0.5208,0.9949,-20.6443,26.2804,5.1264,36.4965,?,-26.9559,12.09,3.4771,33.1118,?,-25.6939,235.2539,15.338,65.2483,-1.0676,0.7659,0.8035,1.0491,1.4744,0.3342,0.2267,2.1737,0.1117,0.0514,1.1022,1.0833,0.9828,1,0,0,1.1022,0.5593,0.5075,0.2118,76.8316,-0.4629,-0.8895,0.7546,1100,0,0,0,1,PANTALONI
1.2111,4.4767,2.1158,9.9003,-0.0682,7.0713,1.488,1.2199,7.8426,0.2884,1.2111,4.4767,2.1158,9.9003,-0.0682,7.6602,4.6995,2.1678,11.2313,0.2301,0.1713,1,0.1581,5.8386,0.9231,0.1581,1.7345,1,0.976,0.5765,0.5627,0.976,3.0084,1,0.9526,0.3324,0.3166,0.9526,-0.1987,1,-0.1882,-5.0329,0.947,-0.1882,0.8409,1,0.6353,1.1892,0.7555,0.6353,1.2624,1,0.8815,0.7922,0.6983,0.8815,0.0362,9.7914,0.701,1,0.9211,0.701,0.8986,0.9211,-45.6278,66.3725,8.1469,64.3546,?,13.5331,6.9592,2.638,7.7739,0.4971,-13.2907,60.5916,7.7841,28.7039,-1.5753,-3.3716,3.4331,-1.0182,3.0883,1.0466,0.3389,9.5374,1.0954,0.1149,-8.375,3.6653,-0.4376,0,0,1.3869,8.2783,2.242,0.2708,0.2458,73.9843,0.9759,-0.9306,-0.8577,1100,0,0,0,1,PANTALONI
-7.6929,0.0092,0.0959,7.9116,?,5.665,0.0081,0.0902,0.3621,0.9382,-7.6929,0.0092,0.0959,7.9116,?,12.2666,0.0105,0.1025,0.4925,0.9606,-1.358,1,-0.6271,-0.7364,0.4618,-0.6271,1.0626,1,0.9356,0.9411,0.8805,0.9356,1.129,1,0.8753,0.8857,0.7752,0.8753,-1.4388,1,-0.659,-0.695,0.458,-0.659,0,1,0,0,0.4689,0,21.8479,1,16.0635,0.0458,0.7352,16.0635,0.0613,21.0508,0.5713,0.9965,-0.9416,0.5713,-0.2598,-0.9416,38.112,0.0481,0.2193,0.63,0.9836,-15.5777,0.158,0.3974,16.163,?,15.2676,0.0197,0.1404,0.311,0.9799,-2.4466,2.4963,-1.0203,0.5518,1.5622,2.831,0.3045,2.4403,8.0143,-2.3389,2.4905,-1.0648,0,2.4811,0,0.039,2.0257,51.9711,0.2196,68.9572,0.8858,-0.7791,-0.7652,1013.25,0,0,0,1,PANTALONI
2.3624,19.3583,4.3998,25.3319,-0.3793,5.6762,2.9926,1.7299,8.74,-0.1956,2.3624,19.3583,4.3998,25.3319,-0.3793,8.1904,18.0082,4.2436,22.5346,0.1467,0.4162,1,0.2884,2.4027,0.693,0.2884,2.5434,1,1.0368,0.3932,0.4077,1.0368,6.4686,1,1.075,0.1546,0.1662,1.075,4.8715,1,-1.7981,0.2053,-0.3691,-1.7981,2.5124,1,0.6955,0.398,0.2768,0.6955,2.8984,1,1.1241,0.345,0.3878,1.1241,0.0328,11.6179,-0.5883,1,0.8933,-0.5883,-0.4805,0.8933,-23.5968,38.9193,6.2385,41.687,?,-18.4172,66.3761,8.1472,42.45,-2.9588,3.4626,212.0184,14.5609,55.346,-0.1064,1.2812,-6.8147,-5.3189,0.7657,0.4284,0.5595,0.5863,0.1836,0.3131,1.3139,7.833,5.9615,0,0,0.2144,0.982,0.7532,0.767,0.1499,52.2206,-0.679,-0.9219,0.4734,1013.25,0,0,0,1,PANTALONI
5.8972,0.2269,0.4763,2.4061,0.6826,-7.5376,0.1796,0.4238,8.6875,?,5.8972,0.2269,0.4763,2.4061,0.6826,11.2623,0.1618,0.4022,2.1327,0.8331,-0.7824,1,0.5236,-1.2782,-0.6693,0.5236,1.124,1,1.1843,0.8897,1.0536,1.1843,1.2633,1,1.4025,0.7916,1.1102,1.4025,-0.5956,1,0.4859,-1.6789,-0.8158,0.4859,0,1,0.5931,0,0,0.5931,0.277,1,1.1282,3.6106,4.0735,1.1282,0.0559,19.3319,0.6389,0.9999,0.8612,0.6389,0.1639,0.8612,-8.0017,1.6852,1.2981,12.2117,?,38.6358,2.0885,1.4452,4.6367,0.8847,11.3268,11.327,3.3656,9.9195,0.4304,-0.2071,-0.7064,3.411,0.8983,0.3857,0.4294,0.8069,0.1488,0.1844,-0.3432,-1.6291,4.7471,0,0,2.3095,2.6337,1.2311,0.4674,0.2042,57.9643,0.8777,-0.8981,-0.9699,1100,0,0,0,1,PANTALONI
