@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-2.2618,3.3245,1.8233,9.4906,-7.3277,4.9339,6.3811,2.5261,14.2311,0.0642,-2.2618,3.3245,1.8233,9.4906,-7.3277,6.2332,8.752,2.9584,18.2339,0.053,-0.4584,1,-0.3629,-2.1814,0.7916,-0.3629,0.7218,1,0.6163,1.3854,0.8539,0.6163,0.521,1,0.3799,1.9194,0.7291,0.3799,-8.549,1,-8.1771,-0.117,0.9565,-8.1771,0.0749,1,0.0592,13.3445,0.7898,0.0592,0.6669,1,0.5205,1.4995,0.7805,0.5205,0.1251,9.5723,-0.358,1,-0.7855,-0.358,0.8344,-0.7855,0.2807,0.0217,0.1475,0.4371,0.0332,-0.0611,0.0033,0.0571,0.2052,-3.5929,-0.5142,0.0036,0.0596,0.5837,?,-4.5962,-0.5459,0.1188,2.5812,2.4738,0.9584,6.6626,6.1198,0.9185,-0.0935,-0.0257,0.275,10.1202,0,0,2.1303,0.7488,0.3515,0.0125,0.8619,-0.7622,-0.9367,0.874,?,?,?,?,?,PANTALONI
8.3144,5.5316,2.3519,10.6304,0.1115,-3.2803,5.412,2.3264,7.8061,-18.9,8.3144,5.5316,2.3519,10.6304,0.1115,12.4325,10.9273,3.3056,15.1016,0.1121,-2.5346,1,0.6688,-0.3945,-0.2639,0.6688,1.011,1,0.7115,0.9891,0.7038,0.7115,1.0221,1,0.5062,0.9784,0.4953,0.5062,-0.1799,1,0.6997,-5.5588,-3.8897,0.6997,30.5,1,0.7035,0.0328,0.0231,0.7035,1.3618,1,0.7039,0.7343,0.5169,0.7039,0.2543,19.9614,-0.0952,1,0.98,-0.0952,-0.2822,0.98,-0.7698,0.0005,0.0225,0.7991,?,-0.4948,0.0017,0.0418,0.6368,?,-0.2163,0.0028,0.0531,0.3033,?,1.5559,3.5592,2.2876,0.5387,0.4237,0.7866,0.2902,0.1795,0.6187,1.2549,2.6343,2.0992,1,1,1,1.2549,2.6343,2.0992,0.0196,1.4808,-0.5999,-0.4275,-0.4591,?,?,?,?,?,PANTALONI
7.4851,1.2277,1.108,4.0223,0.5697,3.8682,0.8141,0.9023,3.6583,0.3345,7.4851,1.2277,1.108,4.0223,0.5697,11.3041,2.504,1.5824,5.5906,0.604,1.9351,1,0.6622,0.5168,0.3422,0.6622,1.228,1,0.7002,0.8143,0.5702,0.7002,1.508,1,0.4903,0.6631,0.3251,0.4903,2.8958,1,0.6244,0.3453,0.2156,0.6244,1.7003,1,0.662,0.5881,0.3893,0.662,1.0995,1,0.7195,0.9095,0.6544,0.7195,0.2561,18.8384,0.2889,1,0.9846,0.2889,0.4499,0.9846,-0.1887,0.0076,0.0871,0.3054,?,-0.6233,0.0171,0.1309,0.8031,?,-0.562,0.0134,0.1157,0.7036,?,0.3028,0.3358,1.109,0.6651,0.7526,1.1316,0.4424,0.5664,1.2804,0.3803,0.4341,1.1414,1,1,1,0.3803,0.4341,1.1414,0.0195,1.374,0.9923,-0.9273,-0.9599,?,?,?,?,?,PANTALONI
2.72,1.1782,1.0854,4.4209,0.2873,5.7936,1.8419,1.3572,5.8293,0.1702,2.72,1.1782,1.0854,4.4209,0.2873,7.2075,0.6128,0.7828,5.2871,0.4557,0.4695,1,0.3774,2.13,0.8038,0.3774,0.7998,1,1.3866,1.2503,1.7337,1.3866,0.6397,1,1.9227,1.5633,3.0058,1.9227,1.4909,1,0.4026,0.6707,0.2701,0.4026,0.8831,1,0.6386,1.1324,0.7232,0.6386,0.7584,1,0.8362,1.3186,1.1026,0.8362,0.1364,11.2336,-0.7186,1,0.4189,-0.7186,0.2943,0.4189,0.3619,0.0005,0.0217,0.075,0.8231,-0.8621,0,0.0051,0.8673,?,-0.2507,0.0021,0.0461,0.2831,?,-0.4198,-1.4438,3.4395,4.3003,0.4715,0.1096,18.4926,0.2223,0.012,-0.402,-1.2319,3.0642,0,0,1,0.0864,0.2648,3.0642,0.019,1.4747,0.9088,0.9813,0.87,?,?,?,?,?,PANTALONI
-7.8416,0.0103,0.1015,8.045,?,5.1379,0.0133,0.1151,0.5516,0.8991,-7.8416,0.0103,0.1015,8.045,?,12.2226,0.0204,0.1429,0.5196,0.9584,-1.5262,1,-0.6416,-0.6552,0.4204,-0.6416,0.8816,1,0.7103,1.1343,0.8057,0.7103,0.7772,1,0.5045,1.2867,0.6491,0.5045,-1.6376,1,-0.6723,-0.6106,0.4105,-0.6723,0,1,0,0,0.4376,0,14.5848,1,15.4824,0.0686,1.0615,15.4824,0.2444,20.8211,-0.0875,0.9985,-0.9402,-0.0875,0.417,-0.9402,-0.05,0,0.0024,0.0542,?,0.6334,0,0.0002,0.0009,0.9986,0.4815,0,0.0009,0.0026,0.9946,-0.0789,-0.1038,1.3156,13.4276,2.7305,0.2033,180.3017,7.4555,0.0414,-0.0855,-0.1127,1.3183,0,0,1.3129,61.1405,20.6352,0.3375,0.0159,1.1649,0.7658,-0.9842,-0.188,?,?,?,?,?,PANTALONI
6.0208,11.3346,3.3667,10.5242,0.1381,2.4722,1.7223,1.3124,4.4459,0.0006,6.0208,11.3346,3.3667,10.5242,0.1381,8.9608,22.7068,4.7652,14.2265,0.1981,2.4354,1,0.6719,0.4106,0.2759,0.6719,2.5654,1,0.7065,0.3898,0.2754,0.7065,6.5812,1,0.4992,0.1519,0.0758,0.4992,662.5294,1,0.4798,0.0015,0.0007,0.4798,2.7448,1,0.6883,0.3643,0.2508,0.6883,2.3672,1,0.7398,0.4224,0.3125,0.7398,0.1738,14.5137,0.693,1,0.9977,0.693,0.7373,0.9977,-0.3309,0.0458,0.214,0.6392,?,-0.2705,0.0103,0.1015,0.4734,?,-0.8208,0.0222,0.1488,0.9483,?,1.223,0.4031,0.3296,2.1078,1.4375,0.682,4.4427,2.0664,0.4651,1.3503,0.6741,0.4992,1,1,1,1.3503,0.6741,0.4992,0.0181,1.4222,0.9636,-0.947,-0.9737,?,?,?,?,?,PANTALONI
3.592,7.1195,2.6682,9.9003,-0.0682,8.0282,3.8063,1.951,7.8426,0.2884,3.592,7.1195,2.6682,9.9003,-0.0682,9.8972,10.3465,3.2166,11.2313,0.2301,0.4474,1,0.3629,2.235,0.8112,0.3629,1.3676,1,0.8295,0.7312,0.6065,0.8295,1.8704,1,0.6881,0.5346,0.3679,0.6881,-0.1987,1,-0.1882,-5.0329,0.947,-0.1882,0.8409,1,0.6353,1.1892,0.7555,0.6353,1.2624,1,0.8815,0.7922,0.6983,0.8815,0.1863,15.424,0.6821,1,0.9293,0.6821,0.8825,0.9293,0.3272,0.0014,0.0371,0.1181,0.6963,-0.6222,0.0083,0.0912,0.7345,?,-0.4025,0.0111,0.1053,0.568,?,-0.5259,-0.8128,1.5456,0.4071,0.3526,0.8659,0.1658,0.1243,0.7499,-0.3686,-0.4767,1.2932,0,0,1,0.1608,0.2079,1.2932,0.0159,1.3519,-0.8454,0.8928,-0.9849,?,?,?,?,?,PANTALONI
-7.7258,0.0074,0.086,7.9116,?,5.5967,0.0029,0.054,0.1915,0.9665,-7.7258,0.0074,0.086,7.9116,?,12.2763,0.0098,0.0992,0.4247,0.966,-1.3804,1,-0.6293,-0.7244,0.4559,-0.6293,1.5914,1,0.8674,0.6284,0.545,0.8674,2.5325,1,0.7523,0.3949,0.2971,0.7523,-1.4314,1,-0.6557,-0.6986,0.4581,-0.6557,0,1,0,0,0.4579,0,41.3063,1,18.6267,0.0242,0.4509,18.6267,0.2455,21.0483,0.4621,1.0026,-0.977,0.4621,-0.2605,-0.977,-0.0241,0,0.0017,0.0287,?,0.7516,0,0.0004,0.0011,0.9985,0.4168,0,0.0012,0.005,0.9882,-0.032,-0.0578,1.8036,4.8365,1.3966,0.2888,23.3915,1.9506,0.0834,-0.0382,-0.0691,1.8097,0,0,1.791,26.2519,5.7884,0.2205,0.0172,1.1925,-0.1575,-0.9411,-0.2071,71.6841,0,0,0,1,PANTALONI
5.6233,58.9668,7.679,25.3319,-0.3793,4.0401,7.5878,2.7546,8.74,-0.1956,5.6233,58.9668,7.679,25.3319,-0.3793,12.7629,42.1955,6.4958,22.5346,0.1467,1.3919,1,0.4406,0.7185,0.3165,0.4406,2.7877,1,1.1821,0.3587,0.4241,1.1821,7.7713,1,1.3975,0.1287,0.1798,1.3975,4.8715,1,-1.7981,0.2053,-0.3691,-1.7981,2.5124,1,0.6955,0.398,0.2768,0.6955,2.8984,1,1.1241,0.345,0.3878,1.1241,0.1749,19.525,-0.4573,1,0.8981,-0.4573,-0.2181,0.8981,0.0066,0.0994,0.3153,0.9735,-0.7752,-0.5284,0.0066,0.0812,0.7404,?,-0.6609,0.015,0.1225,0.8207,?,-0.0124,-0.0099,0.7996,3.8845,2.5747,0.6628,15.0893,6.6289,0.4393,0.5742,0.518,0.9021,0,0,1,1.3148,1.1861,0.9021,0.0166,1.4752,-0.0365,-0.3515,-0.7267,73.136,0,0,0,1,PANTALONI
5.5641,0.0104,0.102,0.4492,0.922,-7.6933,0.0191,0.1382,8.1517,?,5.5641,0.0104,0.102,0.4492,0.922,11.0056,0.0212,0.1455,0.6216,0.9448,-0.7232,1,0.5056,-1.3827,-0.699,0.5056,0.7383,1,0.7014,1.3544,0.95,0.7014,0.5451,1,0.492,1.8344,0.9025,0.492,-0.6517,1,0.4989,-1.5344,-0.7655,0.4989,0,1,0.5112,0,0,0.5112,0.0551,1,0.7226,18.1466,13.1135,0.7226,0.2158,18.8214,-0.056,1,0.7439,-0.056,-0.7084,0.7439,-0.4648,0,0.0007,0.4661,?,-0.3843,0,0.0016,0.386,?,0.0514,0,0.0008,0.0027,0.9489,1.2094,-9.0401,-7.4748,0.4159,0.7865,1.891,0.173,0.6185,3.5758,1.2077,-9.2279,-7.6406,1,0,0,1.2077,171.1931,141.746,0.0119,0.9004,-0.8581,0.8044,-0.559,?,?,?,?,?,PANTALONI
