@RELATION WhereIsSmartphone
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
8.190543,0.38749886,0.62249404,2.4999514,0.71527696,-1.5321121,7.095594,2.6637557,8.134384,-0.99084115,4.269452,1.0906407,1.0443374,3.2280374,0.49021322,-5.3459163,1.9184061,-0.3588545,0.23369037,0.59606606,2.5506659,0.054611195,0.3552947,6.505895,-1.5512831,2.0232437,-1.3042388,2.1489232,1.3866248,0.645265,0.30733135,0.77444935,2.5199163,0.18725446,15.302506,-0.7877395,-0.7963821,0.982017,TASCA_DESTRA_DAVANTI_PANTALONI
7.623546,1.543274,1.2422858,4.0869513,0.53937644,0.96335745,10.448369,3.2323937,10.204579,-0.7656108,4.8924174,1.2601825,1.1225785,3.1472054,0.5019307,7.9135175,1.5582371,0.19690827,0.3843238,1.106636,2.8794367,0.14770478,1.2246433,8.291156,-1.0815263,1.5089201,-1.3951765,1.5351584,1.4041646,0.9146708,0.4005017,1.298597,3.2424257,0.1821892,15.496677,-0.8314013,-0.8206355,0.99331,TASCA_DESTRA_DAVANTI_PANTALONI
3.7952228,3.4631023,1.8609413,5.4122953,0.008528024,6.233096,0.122468814,0.34995544,1.0823994,0.84024477,6.2441516,0.40341,0.63514566,1.8458118,0.74880826,0.6088824,0.6078044,0.99822944,5.317652,2.929944,0.55098456,28.277422,8.584573,0.30358398,0.008177324,0.008460513,1.034631,0.8056912,0.74288046,0.9220411,5.0002756,2.932203,0.5864083,0.19208814,16.272472,-0.8178461,-0.95589894,0.6853054,TASCA_DESTRA_DAVANTI_PANTALONI
2.5523155,0.20802906,0.45610204,1.6664845,0.532443,4.60223,0.41262242,0.64235693,2.6113198,0.5897611,8.221647,0.3226149,0.567992,2.2864947,0.7414873,0.55458236,0.31043845,0.5597698,0.71004456,0.8030079,1.1309261,0.50416327,0.6448216,1.2789936,0.50552255,0.28936616,0.57241,0.5599426,0.40297523,0.7196724,0.6381771,0.7288381,1.1420624,0.19523352,15.376193,0.9539012,-0.962604,-0.993453,TASCA_DESTRA_DAVANTI_PANTALONI
5.0904493,3.3333645,1.8257504,5.538782,0.25658488,0.29201812,17.778095,4.216408,11.21393,-1.0540415,6.9457116,0.8821179,0.9392113,2.304757,0.71283364,17.431965,0.73289096,0.042042937,0.43301085,1.9439186,4.489307,0.1874984,3.7788196,20.153875,-0.3322061,0.33414444,-1.0058347,1.3646908,0.92830634,0.68023205,0.4939198,2.4031956,4.865558,0.17232627,15.90693,-0.7168968,-0.7563744,0.97131425,TASCA_DESTRA_DAVANTI_PANTALONI
6.9091077,3.213357,1.7925838,5.402117,0.38030803,1.7319163,8.168175,2.858002,9.198971,-0.5624428,5.7148433,1.4577335,1.2073663,3.2654595,0.5520534,3.989285,1.2089759,0.3030558,0.62721574,1.4847058,2.3671374,0.39339963,2.2043514,5.6033387,-1.0011753,0.8238051,-0.822838,1.480652,1.1958317,0.8076386,0.5872523,1.6543205,2.8170524,0.18264143,15.534719,-0.89534646,-0.9289557,0.9757894,TASCA_DESTRA_DAVANTI_PANTALONI
6.3135686,3.5717447,1.889906,6.416856,0.24424385,2.3723438,16.109718,4.0136914,11.74787,-0.8228313,5.5194454,0.5991668,0.77405864,2.8669882,0.61697066,2.6613212,1.1438774,0.42981562,0.4708648,2.441554,5.185255,0.22171366,5.961186,26.886868,-0.39105764,0.4490616,-1.1483258,1.3174311,1.1343492,0.8610311,0.5462144,2.238187,4.097635,0.17430255,16.057175,-0.56107974,-0.8204804,0.15360633,TASCA_DESTRA_DAVANTI_PANTALONI
6.716204,1.44105,1.2004374,3.5358238,0.58147967,-3.256049,18.006117,4.2433615,12.479298,-1.6024317,4.473146,0.9535306,0.97648895,2.644127,0.5755361,-2.0626853,1.5014498,-0.7279103,0.28289774,1.2293406,4.3455296,0.08003114,1.5112783,18.883627,-0.63931996,1.3702333,-2.143267,1.7618269,1.3562275,0.76978475,0.28333515,1.3372368,4.719629,0.18128386,15.974803,0.48957053,0.39031357,0.9885099,TASCA_DESTRA_DAVANTI_PANTALONI
7.1196733,1.6363666,1.2792054,3.6955042,0.59366953,-4.2925324,14.538265,3.8129077,11.873037,-1.7632221,3.0478394,1.6005741,1.265138,4.16539,0.25957963,-1.6586183,2.335974,-1.4083854,0.33549342,1.0111192,3.0138273,0.11255584,1.0223622,9.083157,-0.7126659,3.697355,-5.188062,2.1166463,1.6166537,0.7637808,0.3112518,0.88719285,2.8504024,0.18070723,15.3494625,0.620155,0.17681588,0.83720225,TASCA_DESTRA_DAVANTI_PANTALONI
5.250975,4.2301383,2.05673,6.346286,0.20745572,0.27068198,30.694824,5.540291,15.501171,-1.0856147,5.7505045,0.5817049,0.76269585,2.1178007,0.6867976,19.399057,0.91313297,0.047070995,0.3712314,2.6966581,7.2640896,0.13781275,7.271966,52.767002,-0.20588058,0.3577113,-1.7374698,1.077372,1.18423,1.0991839,0.40940687,2.9966397,7.3194666,0.16578594,15.951879,-0.3359345,-0.080250055,0.8823152,TASCA_DESTRA_DAVANTI_PANTALONI
