@RELATION WhereIsSmartphone
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1.4114981,244.8272,15.646955,43.399994,-1.4942534,-8.334667,159.33582,12.622829,37.5775,-0.97446805,-29.620255,7.8242083,2.7971785,36.65767,?,-0.16935267,-0.04765314,0.28138405,1.2395759,5.593835,4.5127006,1.5365484,31.290987,20.364466,1.4019353,0.70926493,0.50591844,0.9142634,?,?,1.1549463,1.1839267,1.0250925,0.15401448,58.626236,-0.93053514,0.34036517,-0.012948336,TASCA_DESTRA_DAVANTI_PANTALONI
-4.5050015,178.80016,13.371617,37.200012,-4.391299,-10.1969385,79.09704,8.893652,37.010605,-0.8353417,-29.595234,6.2216644,2.4943264,33.380035,?,0.44179943,0.1522205,0.34454665,1.5035013,5.360813,3.5655527,2.2605164,28.738316,12.713163,1.7987436,0.9077283,0.50464576,0.3421688,?,?,1.0051177,1.114439,1.1087646,0.15812577,53.017998,-0.762245,-0.40829477,0.8548777,TASCA_DESTRA_DAVANTI_PANTALONI
3.3734984,102.77397,10.13775,32.899994,-1.8119661,-17.88575,6.0357924,2.456785,24.781723,?,-30.159346,2.0757632,1.440751,33.552536,?,-0.18861376,-0.11185582,0.5930417,4.1264296,7.0364347,1.7052114,17.02742,49.511414,2.907746,0.85546905,0.6318448,0.73859465,?,?,1.0,1.3275911,0.98055166,0.73859465,0.17612968,57.762596,-0.46595347,0.39927047,-0.8596546,TASCA_DESTRA_DAVANTI_PANTALONI
-2.4325016,74.795,8.64841,31.600006,-3.716421,-2.8968658,8.368188,2.892782,13.200714,-11.538546,-18.930456,7.747646,2.7834594,24.237198,?,0.8397011,0.12849672,0.15302673,2.9896514,3.1070724,1.0392758,8.938016,9.6539,1.0800942,2.0497372,1.0273468,0.5012091,6.3639145,?,?,2.3938103,1.3037814,0.54464686,0.09652345,28.974295,0.4327113,0.81923,0.2578038,TASCA_DESTRA_DAVANTI_PANTALONI
-7.8850007,52.940273,7.2760067,29.500015,-146.49107,-1.1467576,71.68154,8.4664955,34.98593,-0.28571388,-19.282364,5.2897816,2.2999525,22.167099,?,6.875909,0.40892294,0.05947184,0.85938823,3.1635466,3.681161,0.7385482,10.008026,13.550945,3.7686622,1.3217789,0.35072893,0.0073503396,?,?,0.8431965,1.3308018,1.5782819,0.10431896,33.36394,-0.46974626,-0.339602,0.94610393,TASCA_DESTRA_DAVANTI_PANTALONI
-7.016867,108.75781,10.428701,32.899994,-15.071242,-10.571211,151.16107,12.294758,45.262558,-0.73421955,-37.449642,15.9727955,3.996598,40.78476,?,0.6637714,0.18736807,0.28227803,0.8482234,2.6093946,3.0763059,0.71948296,6.8089404,9.463658,1.6100318,0.7564801,0.46985412,0.07843526,?,?,0.72686994,0.8066737,1.1097909,0.19770323,60.31852,-0.9237584,-0.78537536,0.9256693,TASCA_DESTRA_DAVANTI_PANTALONI
-26.38155,47.30997,6.8782244,42.917038,?,-13.393035,133.31113,11.546043,54.69098,-0.7020678,-26.676008,104.70595,10.232593,34.80049,?,1.9697962,0.9889617,0.5020629,0.5957213,0.67218786,1.1283596,0.35488388,0.45183653,1.2731954,1.9024438,1.2332308,0.6482351,0.0,1.0,?,0.78471875,1.2332308,1.5715576,0.1991839,70.115746,-0.43411312,-0.94926393,0.6345603,TASCA_DESTRA_DAVANTI_PANTALONI
4.5275216,155.73026,12.479193,40.078735,-0.8816534,-6.690994,139.45634,11.809164,42.0578,-0.50428426,-41.626926,9.722273,3.118056,44.758606,?,-0.67665905,-0.10876425,0.16073716,1.056738,4.002235,3.7873483,1.1166954,16.017885,14.344007,1.3319265,0.4195616,0.31500357,0.7618294,?,?,0.95294416,0.895442,0.9396584,0.22317706,66.64223,-0.7085409,-0.53431726,0.8876632,TASCA_DESTRA_DAVANTI_PANTALONI
0.10782615,119.40134,10.927092,32.937622,-2.1734784,-5.276918,289.4782,17.01406,54.899597,-0.5721652,-38.153397,53.786182,7.333906,43.43872,?,-0.020433547,-0.0028261219,0.13830794,0.642239,1.4899416,2.3199177,0.4124709,2.2199259,5.382018,1.1290667,0.51931995,0.45995504,0.29722527,?,?,0.5999611,0.7582549,1.2638401,0.19853988,63.92296,-0.60003453,-0.70634764,0.96164143,TASCA_DESTRA_DAVANTI_PANTALONI
-3.401947,109.246605,10.45211,36.657715,-3.967742,-6.952077,157.71425,12.558434,53.518677,-0.44100246,-40.025894,41.949856,6.476871,44.099426,?,0.48934254,0.08499365,0.17368948,0.8322782,1.6137592,1.9389662,0.692687,2.604219,3.7595897,1.7875909,0.66392165,0.37140584,0.19868529,?,?,0.68495184,0.8312515,1.2135912,0.21684761,60.78886,-0.39805195,-0.7226789,0.88668597,TASCA_DESTRA_DAVANTI_PANTALONI
-14.988821,94.99959,9.746773,37.319946,?,-3.669602,296.2353,17.211487,59.999084,-0.36797243,-34.842342,200.30238,14.1528225,44.459534,?,4.0845904,0.43018982,0.105320185,0.56629467,0.68868047,1.2161169,0.32068965,0.47428086,1.4789404,2.312376,0.8394138,0.36300924,0.0,1.0,?,0.6220086,0.8394138,1.3495213,0.19951145,64.8207,-0.33485502,-0.627095,0.9277519,TASCA_DESTRA_DAVANTI_PANTALONI
