@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.9474,2.1481,1.4657,8.0142,-1.7977,0.9153,9.2,3.0332,11.9803,-0.6715,9.8954,6.8259,2.6126,8.3628,0.4506,10.542,6.696,2.5877,8.3793,0.4647,-1.0351,-0.0957,-0.0899,0.0925,0.0868,0.9387,0.4832,0.561,0.5664,1.161,1.1722,1.0097,0.2335,0.3147,0.3208,1.3478,1.374,1.0194,1.0699,-0.7508,-0.7081,-0.7017,-0.6618,0.9431,0.3997,0.1882,0.183,0.4709,0.4579,0.9725,0.6689,0.9583,0.9564,1.4326,1.4298,0.998,0.1997,13.8802,-0.0046,0.3046,0.2814,-0.6112,-0.5149,0.978,6.3136,3.5717,1.8899,6.4169,0.2442,2.3723,16.1097,4.0137,11.7479,-0.8228,5.5194,0.5992,0.7741,2.867,0.617,2.6613,1.1439,0.4298,0.4709,2.4416,5.1853,0.2217,5.9612,26.8869,-0.3911,0.4491,-1.1483,1.3174,1.1343,0.861,0.5462,2.2382,4.0976,0.1743,16.0572,-0.5611,-0.8205,0.1536,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2177,21.0555,4.5886,13.2306,-0.7026,-7.3445,20.4476,4.5219,19.0399,-2.9005,11.4124,26.5656,5.1542,19.6924,0.0145,14.9244,29.5658,5.4374,19.7447,0.1558,0.0296,-0.0191,-0.0146,-0.6436,-0.4921,0.7647,1.0148,0.8903,0.8439,0.8773,0.8316,0.9479,1.0297,0.7926,0.7122,0.7697,0.6916,0.8985,0.3856,-18.8713,-1.4984,-48.9396,-3.8858,0.0794,1.592,0.3889,0.3323,0.2443,0.2087,0.8543,0.6949,0.6719,0.6701,0.9669,0.9643,0.9974,0.2828,23.5828,0.1963,-0.4813,-0.3435,-0.8063,-0.8883,0.9699,6.7162,1.4411,1.2004,3.5358,0.5815,-3.256,18.0061,4.2434,12.4793,-1.6024,4.4731,0.9535,0.9765,2.6441,0.5755,-2.0627,1.5014,-0.7279,0.2829,1.2293,4.3455,0.08,1.5113,18.8836,-0.6393,1.3702,-2.1433,1.7618,1.3562,0.7698,0.2833,1.3372,4.7196,0.1813,15.9748,0.4896,0.3903,0.9885,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
1.3952,1.017,1.0085,3.066,-0.1145,1.6774,10.3831,3.2223,9.6354,-0.6467,10.1958,6.0905,2.4679,7.7499,0.4029,11.0529,4.0377,2.0094,6.6379,0.5027,0.8318,0.1368,0.1262,0.1645,0.1518,0.9225,0.313,0.4086,0.5019,1.3057,1.6036,1.2282,0.0979,0.167,0.2519,1.7048,2.5716,1.5084,0.0832,-0.0602,-0.0469,-0.7235,-0.5639,0.7795,0.4702,0.2119,0.2061,0.4508,0.4384,0.9724,0.3182,0.3956,0.4619,1.2433,1.4516,1.1675,0.237,14.922,-0.0295,0.594,0.5935,-0.6821,-0.6047,0.9864,3.9094,3.6877,1.9203,6.0527,0.1676,2.6206,0.4707,0.686,2.3555,0.3595,6.6263,0.5874,0.7664,2.9082,0.6345,1.4918,0.59,0.3955,2.7991,2.5056,0.8952,7.8351,6.2782,0.8013,0.9217,0.2414,0.2619,1.9772,0.9138,0.4622,2.5697,2.0813,0.8099,0.1847,13.1562,-0.9842,-0.9683,0.9952,125000,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5946,0.0106,0.1029,0.7816,?,9.3909,0.0202,0.1421,0.5488,0.9433,9.5898,0.0084,0.0914,0.3212,0.967,13.4359,0.0227,0.1507,0.5755,0.958,-0.0633,-0.062,-0.0443,0.9793,0.6989,0.7137,0.7237,1.1253,0.6823,1.5549,0.9429,0.6064,0.5237,1.2662,0.4656,2.4177,0.889,0.3677,-0.0856,-0.083,-0.0595,0.9694,0.6952,0.7171,0,0,0,0.9938,0.7061,0.7105,1.4241,2.4336,1.3582,1.7089,0.9537,0.5581,0.2687,19.5753,0.4734,-0.0275,0.2716,0.6919,0.9456,0.8883,-7.7089,0.0004,0.0193,7.7461,?,5.4017,0.0009,0.0301,0.1094,0.98,2.7623,0.0001,0.0115,0.0398,0.9857,-1.4271,-2.7908,1.9555,0.6408,1.6803,2.6221,0.4106,2.8233,6.8755,-1.4464,-2.8309,1.9571,0,0,1.9685,70.7909,194.5407,2.7481,0.1962,15.8728,0.9892,-0.3865,-0.5311,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5213,0.0081,0.09,0.8074,?,10.9056,0.0252,0.1586,0.6906,0.9385,9.5956,0.0165,0.1286,0.4837,0.9509,14.5358,0.0401,0.2002,0.827,0.9447,-0.0478,-0.0543,-0.0359,1.1365,0.7503,0.6601,0.5676,0.7002,0.4496,1.2335,0.7922,0.6422,0.3222,0.4902,0.2022,1.5216,0.6276,0.4124,-0.0766,-0.0862,-0.0572,1.1254,0.7466,0.6635,0,0,0,1.1402,0.7515,0.6591,1.1691,1.6691,0.9763,1.4276,0.8351,0.585,0.2907,21.0225,0.4225,0.2208,0.3279,0.9489,0.9886,0.9829,-6.7838,0.0003,0.0168,6.8149,?,6.356,0.0004,0.0205,0.0635,0.9901,3.133,0,0.0057,0.0181,0.9942,-1.0673,-2.1653,2.0287,0.8165,2.9305,3.5892,0.6667,8.5881,12.8823,-1.0786,-2.1807,2.0217,0,0,2.0303,107.3751,376.2594,3.5042,0.1962,16.2728,0.9978,-0.9749,-0.9584,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0561,11.2636,3.3561,12.625,-1.4665,-6.4687,15.5968,3.9493,15.6069,-26.3941,12.584,6.6397,2.5768,12.7944,0.2021,15.0817,6.248,2.4996,10.9883,0.4125,0.0087,-0.0045,-0.0037,-0.514,-0.4289,0.8344,0.8498,1.3025,1.3427,1.5327,1.58,1.0309,0.7222,1.6964,1.8028,2.349,2.4963,1.0627,0.4992,-2.3164,-0.973,-4.6404,-1.9491,0.42,8.9846,0.3192,0.2737,0.0355,0.0305,0.8573,0.8089,0.9868,1.1489,1.2198,1.4203,1.1644,0.283,21.8215,-0.2885,-0.2869,-0.1516,0.1392,-0.5385,0.6924,8.9455,0.3456,0.5879,2.196,0.7749,-3.015,5.301,2.3024,8.0747,-2.7096,0.818,0.7437,0.8624,3.1443,-0.0535,-2.967,10.9365,-3.686,0.2553,0.6817,2.6698,0.0652,0.4647,7.1278,-1.2819,-47.3607,36.946,4.4822,3.2688,0.7293,0.272,0.6984,2.568,0.1895,13.1937,0.7908,-0.2191,0.3856,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.2624,0.0094,0.097,0.4789,0.0894,3.901,0.0647,0.2543,1.268,0.7153,9.5958,0.0128,0.113,0.4662,0.9524,10.3646,0.0272,0.1648,0.7989,0.9258,0.0673,0.0273,0.0253,0.4065,0.3764,0.9258,0.3812,0.8577,0.5883,2.2499,1.5431,0.6858,0.1453,0.7357,0.3461,5.062,2.3811,0.4704,0.0148,0.005,0.0047,0.3415,0.3196,0.9359,0.1181,0.0537,0.0488,0.4547,0.4136,0.9098,0.3777,1.0273,0.5995,2.7201,1.5872,0.5835,0.2072,13.7592,0.1023,0.1557,0.1749,0.3543,0.7993,0.8464,-8.5721,0,0.0027,8.5766,?,4.2595,0.0001,0.0089,0.0266,0.9938,2.1477,0.0001,0.0079,0.0235,0.9891,-2.0124,-3.9913,1.9833,0.3069,0.3463,1.1284,0.0942,0.1199,1.2734,-2.0202,-4.0157,1.9878,0,0,1.9785,321.8863,364.9422,1.1338,0.1962,14.9793,0.7793,-0.7915,-0.9175,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5052,0.8892,0.943,3.2226,-1.0055,-0.5644,3.6132,1.9008,8.1364,-0.5805,9.9708,2.2868,1.5122,5.8403,0.5438,10.2087,2.5637,1.6012,5.7823,0.5532,0.8951,-0.0507,-0.0495,-0.0566,-0.0553,0.9767,0.4961,0.6236,0.5889,1.257,1.1872,0.9445,0.2461,0.3888,0.3468,1.58,1.4093,0.892,0.5407,-0.2321,-0.2257,-0.4294,-0.4175,0.9724,0.3121,0.1255,0.1242,0.4022,0.3978,0.9892,0.3961,0.5518,0.5573,1.3931,1.4071,1.01,0.1961,12.5623,0.1882,-0.9049,-0.8839,-0.0709,0.003,0.9919,8.1253,1.1138,1.0554,3.7207,0.6048,-0.2285,1.0826,1.0405,3.0706,-0.9315,5.0748,2.2105,1.4868,5.0753,0.3517,-35.5587,1.6011,-0.045,1.0143,0.7098,0.6998,1.0289,0.5039,0.4897,-3.845,2.0682,-0.5379,5.9223,1.2026,0.2031,1.2117,0.7331,0.605,0.1879,14.1622,-0.8915,-0.9799,0.8803,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2367,1.9656,1.402,5.1255,-1.9486,0.1246,6.2904,2.5081,10.9494,-1.2972,10.0542,8.547,2.9235,11.1893,0.2167,10.5061,7.5845,2.754,8.69,0.3954,-1.9002,-0.0235,-0.0225,0.0124,0.0119,0.957,0.559,0.4796,0.5091,0.8579,0.9107,1.0616,0.3125,0.23,0.2592,0.736,0.8294,1.1269,0.5478,-1.094,-0.5959,-1.997,-1.0878,0.5447,0.3647,0.1217,0.1209,0.3337,0.3316,0.9938,0.4681,0.4581,0.5898,0.9786,1.26,1.2876,0.1972,13.1291,-0.0095,0.5672,0.5692,-0.1696,-0.2454,0.9842,4.5912,6.667,2.5821,8.1323,-0.0027,-0.5677,4.5459,2.1321,5.7777,-1.9805,7.7502,3.5537,1.8851,5.7642,0.4075,-8.0872,0.5924,-0.0733,1.211,1.3697,1.131,1.4666,1.8761,1.2792,0.0056,-0.0054,-0.9686,4.1841,0.8338,0.1993,1.4075,1.4108,1.0023,0.177,14.3194,-0.9239,-0.926,0.9487,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0316,7.5408,2.7461,8.566,-0.6796,0.7071,8.1723,2.8587,14.1659,-1.39,11.5627,21.4597,4.6325,13.8689,0.2739,12.3665,18.4411,4.2943,12.8481,0.3375,-0.0446,-0.0027,-0.0026,0.0611,0.0572,0.935,0.9606,0.5928,0.6395,0.6171,0.6657,1.0787,0.9227,0.3514,0.4089,0.3808,0.4432,1.1637,0.4207,-0.6626,-0.5295,-1.5751,-1.2586,0.7991,0.8605,0.267,0.263,0.3103,0.3056,0.9848,0.6047,0.6176,0.6667,1.0214,1.1026,1.0795,0.2364,16.5703,0.1769,-0.0106,-0.0043,-0.5156,-0.5225,0.9917,9.1,0.7276,0.853,3.4191,0.6492,0.8395,5.9795,2.4453,7.2832,-0.2516,2.2455,0.8734,0.9346,3.8029,0.1943,10.84,4.0526,0.3739,0.3488,0.9127,2.6165,0.1217,0.8331,6.8461,-4.3213,6.899,-1.5965,1.6748,2.0648,1.2329,0.4695,0.8991,1.9152,0.1921,13.3238,-0.8678,-0.8587,0.647,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
