@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
2.9676,11.6329,3.4107,15.3875,-0.3204,-1.6167,10.0312,3.1672,15.8579,-1.2868,-0.2452,13.3986,3.6604,18.5786,-0.8954,6.3589,6.1069,2.4712,10.9519,0.1268,-1.8356,-12.1025,0.4667,6.5931,-0.2542,-0.0386,1.0769,0.9318,1.3802,0.8653,1.2816,1.4812,1.1597,0.8682,1.9049,0.7487,1.6426,2.194,0.4184,0.4254,-2.3483,1.0167,-5.6127,-5.5205,1.6806,1.189,0.9292,0.7075,0.5529,0.7815,0.9703,0.8282,1.405,0.8536,1.448,1.6964,0.0176,9.3907,-0.0505,0.1643,0.6059,0.5001,-0.2747,0.0358,3.839,13.6858,3.6994,9.5792,0.0027,4.3024,8.2367,2.87,8.4641,-0.214,6.103,3.7404,1.934,6.2412,0.1877,0.8923,0.629,0.705,1.289,1.9128,1.4839,1.6616,3.6589,2.2021,-0.0172,0.0178,-1.0343,1.3776,1.25,0.9074,1.1317,1.5348,1.3562,0.0437,14.4789,-0.983,-0.8315,0.9133,-0.3743,0.9003,0.9488,4.6506,-3.0709,-1.4356,1.7396,1.3189,4.8802,-3.8171,0.7124,0.7134,0.8446,3.011,-0.2741,0.2607,-0.5254,-2.0152,0.7194,1.1233,1.5615,0.5175,1.2619,2.4383,0.9072,5.4166,5.9708,1.1276,0.4834,0.4287,0.9529,1.5445,1.6208,0.0086,3.1128,0.5198,-0.1448,-0.6799,TASCA_DESTRA_DAVANTI_PANTALONI
2.0206,6.5364,2.5566,13.1633,-0.6116,-1.5273,5.6614,2.3794,11.0383,-1.527,-0.3032,4.1892,2.0468,8.9518,-0.8443,4.4296,3.2731,1.8092,7.581,0.1033,-1.3229,-6.6641,0.4562,5.0373,-0.3448,-0.0684,1.0745,1.2491,1.4132,1.1625,1.3152,1.1313,1.1546,1.5603,1.997,1.3514,1.7297,1.2799,0.7489,1.219,-5.7182,1.6276,-7.6353,-4.6911,1.8699,1.6828,0.9661,0.9,0.5167,0.5741,1.1925,1.4705,1.7363,1.2331,1.456,1.1808,0.0135,6.7033,0.044,0.1002,0.5514,-0.0683,-0.5335,0.0884,3.1786,11.4826,3.3886,9.0775,0.0229,4.317,7.0463,2.6545,8.847,-0.3561,6.7991,2.649,1.6276,4.9751,0.3786,0.7363,0.4675,0.6349,1.2766,2.082,1.631,1.6296,4.3348,2.66,-0.0916,0.0702,-0.7665,1.4241,1.1604,0.8149,1.0261,1.8246,1.7783,0.0458,14.687,-0.9269,-0.9175,0.9479,-0.4734,0.9133,0.9557,4.0428,-3.0807,-1.0664,2.5549,1.5984,5.3897,-6.5937,0.5921,0.5857,0.7653,2.6607,-0.2136,0.4439,-0.7995,-1.801,0.5979,1.2487,2.0886,0.3575,1.5594,4.3622,0.6522,6.5183,9.9949,1.3959,0.4519,0.3237,0.7501,1.5195,2.0257,0.0069,2.653,0.5241,-0.2685,-0.587,TASCA_DESTRA_DAVANTI_PANTALONI
2.0216,10.5561,3.249,15.7018,-0.5066,-0.6462,10.5976,3.2554,15.2148,-1.6881,0.0072,16.2821,4.0351,17.1545,-0.949,6.0373,5.4913,2.3433,10.7028,0.079,-3.1283,281.2984,0.3349,-89.9214,-0.107,0.0012,0.998,0.8052,1.3865,0.8068,1.3892,1.7219,0.9961,0.6483,1.9223,0.6509,1.9299,2.9651,0.5526,0.6321,-5.7543,1.1439,-10.4136,-9.1037,1.8413,1.1841,0.8969,0.6431,0.4871,0.7574,1.032,0.9153,1.4671,0.8869,1.4216,1.6028,0.0112,9.0847,0.2142,-0.1618,0.4508,0.2631,0.0324,0.0802,2.541,13.735,3.7061,10.226,-0.0714,5.29,5.2694,2.2955,7.9771,-0.0863,6.3585,2.2932,1.5143,5.6232,0.2777,0.4803,0.3996,0.832,1.6145,2.4473,1.5159,2.6066,5.9894,2.2978,1.0758,-0.3153,-0.2931,1.2997,1.2261,0.9433,1.2819,1.8185,1.4186,0.0455,14.5916,-0.9138,-0.9113,0.913,-0.1399,1.043,1.0213,4.3237,-1.4304,-1.1051,1.8993,1.3781,5.1259,-8.2023,1.0301,2.2085,1.4861,5.5008,-0.4439,0.1266,-0.1358,-1.0728,0.7411,0.6872,0.9274,0.5492,0.4723,0.86,0.557,1.5047,2.7015,3.1938,0.467,0.1462,0.8435,0.786,0.9318,0.008,3.5157,0.2443,0.0576,-0.7801,TASCA_DESTRA_DAVANTI_PANTALONI
1.1832,27.3537,5.2301,35.2631,-0.2283,0.3882,20.3112,4.5068,29.6684,-0.2954,-0.0088,30.3039,5.5049,27.8019,-0.7958,6.6092,35.8377,5.9865,35.307,0.0401,3.0481,-134.9413,0.179,-44.2704,0.0587,-0.0013,1.1605,0.9501,0.8737,0.8187,0.7528,0.9196,1.3467,0.9026,0.7633,0.6703,0.5668,0.8456,0.9686,0.5319,-4.4472,0.5492,-4.5914,-8.3609,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,0.9988,1.0671,0.8403,0.7874,0.013,10.4596,0.6918,0.0405,0.8717,-0.3057,0.6728,0.0721,1.685,11.9519,3.4572,10.236,-0.347,2.2058,2.1836,1.4777,6.3013,0.0959,8.3711,4.2544,2.0626,6.6579,0.3182,0.7639,0.2013,0.2635,2.3396,1.6761,0.7164,5.4736,2.8093,0.5132,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.0919,13.27,0.7348,-0.9051,-0.8965,0.3456,2.3464,1.5318,5.3561,-0.4124,-0.9012,7.5081,2.7401,11.1813,-3.4021,-0.3039,2.0994,1.4489,5.7666,-2.153,-0.3835,-1.1374,2.9655,0.559,1.0572,1.8911,0.3125,1.1176,3.5763,0.181,0.3971,2.1945,1.493,2.0735,1.3888,0.479,0.9288,1.939,0.0105,4.1247,-0.169,-0.5225,0.447,TASCA_DESTRA_DAVANTI_PANTALONI
1.9684,1.6624,1.2893,5.0544,-0.0069,-0.233,0.4717,0.6868,2.9057,-1.5179,-1.4738,4.3765,2.092,7.8673,-1.9014,3.2772,1.8717,1.3681,4.8727,0.1372,-8.4484,-1.3356,0.6006,0.1581,-0.0711,-0.4497,1.8774,0.6163,0.9424,0.3283,0.502,1.5291,3.5247,0.3798,0.8882,0.1078,0.252,2.3382,0.0196,0.0067,-0.0444,0.3398,-2.2605,-6.6534,4.3501,1.8513,0.8889,0.4256,0.2043,0.4801,1.7395,0.6425,1.0373,0.3693,0.5963,1.6146,0.0281,4.7922,0.0239,0.2065,0.7053,-0.2876,0.0971,-0.3886,2.4634,3.0905,1.758,5.5469,0.0743,2.3542,0.1092,0.3305,0.9199,0.6729,7.9211,0.5088,0.7133,3.2969,0.644,1.0464,0.311,0.2972,5.3197,2.4647,0.4633,28.2989,6.0746,0.2147,0.2353,0.0747,0.3173,2.1306,0.647,0.3037,6.0297,1.6825,0.279,0.098,12.7387,-0.9454,-0.8147,0.6122,0.4745,0.3151,0.5614,2.237,-0.2576,-1.3505,0.9877,0.9938,3.7813,-37.6875,1.0351,0.2082,0.4563,1.6066,0.1991,-0.3514,0.4584,-1.3047,0.5648,1.2303,2.1781,0.3191,1.5137,4.7443,0.1244,-1.1468,-9.2202,18.2,0.8867,0.0487,0.5916,1.3924,2.3536,0.0201,2.9788,-0.5542,0.7894,-0.3562,TASCA_DESTRA_DAVANTI_PANTALONI
0.0356,2.5985,1.612,6.9735,-1.4948,-0.2559,8.8148,2.969,10.5047,-0.6794,0.1852,0.6801,0.8247,3.5916,-0.3908,3.1262,2.4215,1.5561,7.3569,0.0593,-0.1392,0.1924,0.0114,-1.3819,-0.0819,0.0592,0.5429,1.9547,1.0359,3.6002,1.9079,0.53,0.2948,3.821,1.0731,12.9617,3.6403,0.2808,0.9832,4.1404,-9.0155,4.2113,-9.1698,-2.1774,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6638,1.9416,0.9479,2.9248,1.4279,0.4882,0.0031,4.6475,-0.9315,-0.8032,-0.4314,0.8191,0.3333,0.2805,-5.6918,0.0292,0.1709,5.9308,?,7.7722,0.0168,0.1298,0.4191,0.9475,1.8286,0.0425,0.2062,0.7056,0.6664,-0.7323,-3.1126,4.2503,1.3173,0.8288,0.6292,1.7353,0.6869,0.3958,-0.7847,-4.2083,5.3633,0,0,3.772,14.1504,8.405,0.594,0.0971,15.2926,0.9302,0.1139,-0.2587,0.1048,0.0328,0.1811,0.7504,-0.7087,-0.1256,0.0392,0.198,0.8079,-2.31,-0.0805,0.0454,0.213,0.7877,-1.0302,-0.8348,-1.3026,1.5604,0.9148,0.8503,0.9295,0.8368,0.723,0.864,0.552,0.7787,1.4107,1.7991,1.1319,0.6291,0.9288,0.9526,1.0257,0.0018,0.5297,0.1272,-0.2255,-0.0728,TASCA_DESTRA_DAVANTI_PANTALONI
0.3701,1.8949,1.3765,6.5171,-0.6676,0.0063,2.9854,1.7278,7.5532,-1.7608,0.2985,1.7291,1.315,6.4805,-0.8202,2.1458,2.2312,1.4937,5.8308,0.0345,58.9843,1.2399,0.1725,0.021,0.0029,0.1391,0.7967,1.0468,0.9215,1.314,1.1567,0.8803,0.6347,1.0958,0.8492,1.7265,1.338,0.775,0.5416,0.8934,-12.541,1.6497,-23.1557,-14.0366,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1177,1.1655,1.2954,1.1114,0.0047,3.3332,-0.6506,0.2323,0.4919,-0.2866,-0.6571,0.389,7.149,0.3855,0.6209,2.1362,0.7445,-6.6234,0.5222,0.7226,7.55,?,0.5461,0.0509,0.2255,1.1242,0.1492,-1.0794,13.0906,-12.128,0.8591,2.753,3.2043,0.7381,7.579,10.2678,-0.8243,31.568,-38.2976,0,6.3267,0,0.2829,1.9003,6.7161,0.0966,14.3185,0.9916,0.2717,0.3836,-0.7432,0.9897,0.9948,3.8051,-3.6065,0.7217,0.5939,0.7706,3.6548,-0.1166,-0.3281,0.4801,0.6929,2.3161,-1.3827,-1.0298,2.2655,-2.1999,1.2909,1.4358,1.1122,1.6665,2.0614,1.237,7.8073,2.2165,0.2839,0.2524,0.8498,3.3673,1.0411,1.6429,1.578,0.0108,2.3535,-0.9378,0.5455,-0.5714,TASCA_DESTRA_DAVANTI_PANTALONI
-0.6656,11.3813,3.3736,16.9932,-0.638,1.8838,8.2448,2.8714,12.172,-0.7537,-2.1842,9.8448,3.1376,14.1144,-1.3211,5.8466,4.0509,2.0127,10.7078,0.1054,-0.3533,0.3047,-0.1138,-0.8624,0.3222,-0.3736,1.1749,1.0752,1.6762,0.9151,1.4266,1.5589,1.3804,1.1561,2.8096,0.8375,2.0353,2.4303,1.2652,0.8239,-5.2462,0.6512,-4.1466,-6.3678,1.4947,1.7061,0.8668,1.1414,0.5799,0.508,1.3961,1.204,1.587,0.8624,1.1367,1.3181,0.0158,9.032,-0.3751,0.224,0.155,-0.3267,0.0921,-0.4369,7.9148,2.451,1.5656,5.4854,0.4202,2.8562,12.9744,3.602,11.0952,-0.2909,0.3049,9.849,3.1383,8.4517,-0.8664,2.771,25.9581,9.3676,0.4346,0.4989,1.1478,0.1889,0.2489,1.3173,-1.5902,-1.0133,0.6372,1.1008,2.0894,1.8981,0.4944,0.649,1.3128,0.045,14.613,-0.8503,0.7223,-0.9303,-0.8459,0.7318,0.8555,4.5021,-4.3089,-0.8159,3.2664,1.8073,6.3692,-1.4756,-1.6685,0.6549,0.8093,4.0097,-18.5725,1.0368,0.507,0.489,0.4733,1.0571,2.2333,0.224,1.1174,4.9877,0.9625,0.9604,0.9978,0.3296,4.1394,12.5587,0.7069,1.1228,1.5884,0.0109,4.2194,-0.0042,-0.1243,0.3268,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.2948,0.2989,0.5467,3.7641,-0.5859,-0.4495,0.2967,0.5447,2.9866,-0.774,0.3052,0.1092,0.3305,1.3901,-0.288,0.9673,0.1513,0.389,2.4091,0.1052,0.6558,-0.9658,-0.3048,-1.4727,-0.4647,0.3156,1.0037,1.6541,1.4053,1.648,1.4002,0.8496,1.0074,2.7359,1.975,2.7158,1.9605,0.7219,1.0673,4.474,-4.9076,4.192,-4.5983,-1.0969,1.4098,2.1991,0.8815,1.5599,0.6253,0.4008,1.2603,2.7078,1.5625,2.1485,1.2397,0.577,0.0033,1.477,-0.0457,0.2583,0.0904,-0.2034,0.1473,0.1685,7.3916,0.001,0.0323,0.1572,0.9789,6.3381,0.0013,0.036,0.1429,0.9777,-1.162,0.0119,0.1089,1.3374,?,1.1662,-6.3611,-5.4544,0.8967,0.2962,0.3303,0.8042,0.0877,0.1091,1.1619,-5.4527,-4.6929,1.1605,0,0,1.0996,0.1175,0.1069,0.053,14.8916,-0.8514,0.3331,0.2162,-0.0274,0.0305,0.1746,0.799,-2.0414,0.0062,0.0174,0.1319,0.6142,-1.1718,-0.003,0.0106,0.1029,0.5992,-1.5996,-4.3975,9.2584,-2.1054,1.3235,1.6967,1.282,1.7516,2.8789,1.6435,1.6183,1.4544,0.8987,0.9289,1.1397,1.2269,1.3009,1.3333,1.025,0.0002,0.3281,0.7132,-0.1375,-0.12,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.8652,23.1744,4.814,24.4951,-2.0628,2.0778,16.9558,4.1177,17.0867,-0.3693,-1.4984,5.6228,2.3712,11.8766,-1.2117,6.9086,8.065,2.8399,15.4315,0.0752,-0.8977,1.2448,-0.27,-1.3867,0.3008,-0.2169,1.1691,2.0301,1.6951,1.7365,1.45,0.835,1.3668,4.1215,2.8735,3.0155,2.1024,0.6972,3.58,2.5354,-13.1501,0.7082,-3.6733,-5.1865,0.6409,1.4894,0.4793,2.3238,0.7478,0.3218,1.4336,2.0625,1.5873,1.4387,1.1073,0.7696,0.017,10.1124,0.1802,0.0208,-0.4872,-0.1715,0.4413,0.0158,7.149,3.8061,1.9509,6.6428,0.269,5.2972,8.7804,2.9632,10.2437,-0.0792,0.4375,4.2399,2.0591,6.6431,-0.3682,1.3496,16.3414,12.1085,0.6584,0.9475,1.4391,0.4335,0.8977,2.0709,-3.2512,-1.3674,0.4206,0.9574,1.8717,1.9549,0.6485,0.9999,1.542,0.0479,14.1331,-0.8068,0.3536,-0.8002,-0.1922,0.5033,0.7094,4.1849,-1.7172,-0.5227,2.1693,1.4729,6.0872,-1.0436,-1.5674,1.4327,1.197,4.2094,-6.9328,0.3677,0.1226,0.3335,0.4817,0.5927,1.2305,0.232,0.3513,1.5141,0.8508,0.7189,0.845,0.5171,2.9025,5.6134,0.6875,0.9942,1.4461,0.0089,3.4804,-0.0907,-0.2082,0.0767,TASCA_SINISTRA_DAVANTI_PANTALONI
