@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_|V|_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_R_|V|_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.071,3.2872,1.8131,11.1762,-0.6105,1.4211,5.754,2.3988,15.2468,-0.6086,9.5755,14.6875,3.8324,20.146,0.0064,10.2501,12.3788,3.5184,18.4604,0.1065,-0.0499,-0.0074,-0.0069,0.1484,0.1386,0.9342,0.7558,0.4731,0.5153,0.6259,0.6818,1.0893,0.5713,0.2238,0.2655,0.3918,0.4648,1.1865,0.7344,-32.8304,-1.9257,-44.7039,-2.6222,0.0587,0.7322,0.3423,0.3359,0.4675,0.4588,0.9813,0.733,0.5548,0.6054,0.7568,0.8259,1.0913,0.0504,13.1686,0.2428,-0.4114,-0.3151,0.1179,0.1009,0.9735,2.1159,9.9606,3.156,9.578,0.0028,5.6233,5.9841,2.4462,8.7636,-0.2052,6.4841,2.0763,1.4409,6.2412,0.1877,0.3763,0.3263,0.8672,1.2902,2.1903,1.6977,1.6645,4.7973,2.8821,-0.018,0.0186,-1.0343,1.3208,1.25,0.9464,1.0929,1.5346,1.4042,0.046,14.3456,-0.9836,-0.8181,0.8778,-11.6164,53.3832,7.3064,28.4393,?,-8.3188,47.6846,6.9054,27.5375,-0.9205,-28.5411,58.1859,7.628,33.0597,?,1.3964,0.407,0.2915,1.0581,0.9578,0.9053,1.1195,0.9175,0.8195,2.1547,0.8602,0.3992,0,1,0,1.0327,0.8602,0.833,0.1662,50.6067,-0.9156,-0.9169,0.9833,TASCA_DESTRA_DAVANTI_PANTALONI
0.2708,2.6296,1.6216,9.8197,-0.9745,7.9738,23.0006,4.7959,27.3808,-0.3149,9.4587,6.9448,2.6353,14.9528,0.213,13.0753,14.732,3.8382,22.7697,0.1929,0.034,0.0286,0.0207,0.843,0.6098,0.7234,0.3381,0.6153,0.4225,1.8199,1.2495,0.6866,0.1143,0.3786,0.1785,3.3119,1.5613,0.4714,0.739,-1.1979,-0.8903,-1.6209,-1.2047,0.7432,0.2388,0.2618,0.1763,1.096,0.7381,0.6734,0.3586,0.6567,0.4313,1.8312,1.2025,0.6567,0.0655,19.0596,-0.3706,0.1792,-0.0932,0.4162,0.7418,0.8927,1.6262,8.2879,2.8789,9.42,-0.0144,5.361,4.7458,2.1785,9.0534,-0.3452,7.0928,1.436,1.1983,4.9751,0.3786,0.3033,0.2293,0.7558,1.3215,2.4024,1.818,1.7463,5.7716,3.305,0.0575,-0.0441,-0.7665,1.3798,1.1599,0.8407,1.0405,1.8934,1.8198,0.0478,14.3197,-0.9417,-0.8788,0.9151,11.595,123.5942,11.1173,45.0577,-1.4704,-30.7396,33.6379,5.7998,34.4986,?,-18.269,15.8939,3.9867,28.1998,?,-0.3772,-0.6347,1.6826,1.9168,2.7886,1.4548,3.6743,7.7762,2.1164,0.7774,0.951,1.2234,0,0,1,1.3061,1.5978,1.2234,0.1989,64.4206,-0.9095,0.5717,-0.4804,TASCA_DESTRA_DAVANTI_PANTALONI
0.125,6.0167,2.4529,15.9944,-0.7211,8.6528,21.5511,4.6423,25.7587,-0.2758,9.6637,13.7232,3.7045,14.7856,0.1104,13.6036,24.5094,4.9507,21.1076,0.1014,0.0145,0.0129,0.0092,0.8954,0.6361,0.7104,0.5284,0.6621,0.4955,1.2532,0.9377,0.7483,0.2792,0.4384,0.2455,1.5704,0.8793,0.5599,1.2034,-3.6509,-2.8129,-3.0339,-2.3376,0.7705,0.4603,0.5591,0.3956,1.2147,0.8595,0.7076,0.6209,1.0818,0.7578,1.7422,1.2204,0.7005,0.0683,20.1818,-0.4839,0.0296,-0.1891,0.56,0.8259,0.8965,1.1644,8.7157,2.9522,10.5834,-0.1088,6.0912,3.2633,1.8065,7.9874,-0.0861,6.6683,1.2576,1.1214,5.6232,0.2777,0.1912,0.1746,0.9135,1.6343,2.6326,1.6109,2.6708,6.9305,2.5949,1.6399,-0.4806,-0.2931,1.2979,1.2261,0.9447,1.325,1.8821,1.4204,0.0479,14.3756,-0.9132,-0.8948,0.8627,15.0853,119.9897,10.954,48.2391,-1.2585,-30.0369,12.7545,3.5714,33.7799,?,-23.1336,12.0329,3.4688,30.6,?,-0.5022,-0.6521,1.2984,3.0672,3.1578,1.0296,9.4076,9.9718,1.06,0.7957,0.8784,1.1039,0,0,1,1.428,1.5764,1.1039,0.2148,71.3055,-0.7129,0.4909,-0.5672,TASCA_DESTRA_DAVANTI_PANTALONI
0.1156,7.9927,2.8271,25.0521,-0.345,3.2152,14.3059,3.7823,24.2033,-0.4935,10.055,17.7414,4.212,28.0127,0.0431,11.4632,20.0901,4.4822,32.2834,0.0918,0.036,0.0115,0.0101,0.3198,0.2805,0.8772,0.7475,0.6712,0.6307,0.898,0.8439,0.9397,0.5587,0.4505,0.3978,0.8064,0.7121,0.8831,0.8035,-5.0959,-1.97,-6.3419,-2.4516,0.3866,1.1493,0.6363,0.524,0.5536,0.4559,0.8236,1.0351,0.8943,0.776,0.864,0.7497,0.8677,0.055,15.8665,0.4121,0.1651,0.2545,-0.0807,0.1751,0.9203,0.9414,6.5552,2.5603,10.236,-0.347,2.3893,1.2131,1.1014,6.3013,0.0959,8.9099,2.4244,1.557,6.6579,0.3182,0.394,0.1057,0.2682,2.3246,1.6443,0.7074,5.4038,2.7038,0.5004,-3.9468,-0.8485,0.215,1.0904,0.7782,0.7137,1.6244,1.5374,0.9464,0.0483,12.7756,0.6284,-0.9122,-0.7533,-27.6159,41.6142,6.4509,43.6875,?,-16.8005,9.5239,3.0861,26.3125,?,-36.1257,93.2474,9.6565,44.5,?,1.6438,0.7644,0.4651,2.0903,0.668,0.3196,4.3694,0.4463,0.1021,1.6603,0.9817,0.5913,1,1,1,1.6603,0.9817,0.5913,0.2525,80.542,0.6375,-0.8716,-0.5551,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0066,0.4704,0.6859,3.5885,-1.2743,4.0563,1.5714,1.2535,7.4112,0.04,9.4388,3.7832,1.945,10.2165,0.337,10.3503,4.2409,2.0594,10.2453,0.3865,-0.0016,-0.0007,-0.0006,0.4297,0.3919,0.9119,0.5472,0.3526,0.3331,0.6445,0.6087,0.9445,0.2994,0.1243,0.1109,0.4154,0.3705,0.8921,-6.516,-0.3872,-0.3115,0.0594,0.0478,0.8045,0.2044,0.1024,0.0945,0.501,0.4622,0.9227,0.4842,0.3512,0.3503,0.7254,0.7234,0.9972,0.0587,14.0325,-0.1987,0.4259,0.3151,0.4897,0.6441,0.9806,1.3742,2.7812,1.6677,6.0684,-0.0127,2.4771,0.0811,0.2848,0.9922,0.6561,8.6086,0.8523,0.9232,4.0215,0.5973,0.5547,0.1596,0.2877,5.8557,1.8065,0.3085,34.2891,3.2633,0.0952,-0.0402,-0.0128,0.3173,2.0772,0.6,0.2889,6.1161,1.509,0.2467,0.0518,12.4708,-0.8581,-0.7943,0.6779,10.0254,318.5383,17.8476,62.9375,-1.7589,-34.3768,10.3033,3.2099,40.6875,?,-31.7514,16.8224,4.1015,35.375,?,-0.2916,-0.3157,1.0827,5.5602,4.3515,0.7826,30.9161,18.9354,0.6125,0.9862,1.1343,1.1502,0,0,1,1.5469,1.7792,1.1502,0.2735,85.3043,0.8675,-0.725,-0.3379,TASCA_DESTRA_DAVANTI_PANTALONI
0.3245,0.326,0.5709,2.7131,-0.4358,10.3042,9.8672,3.1412,12.4584,0.2921,9.2409,8.304,2.8817,11.582,0.3084,13.8577,18.1361,4.2587,16.9594,0.3021,0.0315,0.0351,0.0234,1.1151,0.7436,0.6668,0.1818,0.1981,0.1341,1.0901,0.7376,0.6767,0.033,0.0393,0.018,1.1882,0.5441,0.4579,-0.1602,-0.1594,-0.1122,0.9953,0.7002,0.7036,0.1074,0.1128,0.0778,1.0509,0.7242,0.6892,0.2178,0.2342,0.16,1.0757,0.7346,0.6829,0.0689,20.0501,0.4078,0.323,0.3735,0.9913,0.9984,0.9972,-5.6671,0.0452,0.2125,6.0753,?,7.8193,0.0295,0.1718,0.6155,0.9244,1.6878,0.0543,0.2331,0.8377,0.6039,-0.7248,-3.3576,4.6327,1.2372,0.9117,0.7369,1.5306,0.8311,0.543,-0.8075,-4.7564,5.8905,0,0,3.8485,9.8701,7.2527,0.7348,0.0488,15.1743,0.9577,-0.212,-0.4823,4.7532,1.2756,1.1294,4.6,0.3034,-41.4189,0.6802,0.8248,42.8177,?,-22.8797,2.3155,1.5217,25.6384,?,-0.1148,-0.2077,1.8103,1.3694,0.7422,0.542,1.8753,0.5509,0.2938,-0.0468,-0.0781,1.6701,0,0,1,0.1074,0.1794,1.6701,0.2366,69.0517,0.5835,-0.2844,-0.8661,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3938,1.4848,1.2185,5.6958,-1.6171,-8.1603,2.3487,1.5325,15.3738,?,9.8876,2.4075,1.5516,7.6452,0.5093,12.9078,4.141,2.035,10.8956,0.4747,0.0483,-0.0398,-0.0305,-0.8253,-0.6322,0.766,0.7951,0.7853,0.5988,0.9877,0.7531,0.7625,0.6322,0.6167,0.3585,0.9756,0.5672,0.5814,0.2289,-0.4435,-0.3574,-1.9373,-1.5613,0.8059,0,0.1397,0.1049,0,0,0.7512,0.3705,0.745,0.5228,2.0109,1.411,0.7017,0.0638,19.0768,0.5466,-0.1578,-0.3736,-0.6968,-0.906,0.9333,7.0393,0.2924,0.5407,2.1745,0.7399,-6.7684,0.368,0.6067,7.6126,?,0.3771,0.0707,0.2658,1.5744,-0.1916,-1.04,18.6687,-17.9503,0.8913,2.0341,2.2822,0.7944,4.1375,5.2085,-0.8125,-24.4347,30.0745,0,6.3267,0,0.2856,1.3812,4.8351,0.0486,14.206,0.9909,0.3071,0.3895,-32.1335,36.9407,6.0779,45.9345,?,26.2592,43.2567,6.577,28.4002,0.1978,15.3132,7.4096,2.7221,14.3517,0.2634,-1.2237,-2.0984,1.7148,0.9241,2.2328,2.4162,0.854,4.9855,5.8379,-6.561,-8.9519,1.3644,0,0,1.817,1.6174,3.2006,1.9789,0.2201,73.7059,0.981,0.7763,0.7696,TASCA_DESTRA_DAVANTI_PANTALONI
0.5209,2.788,1.6697,8.9669,-0.7653,-0.0936,22.2144,4.7132,30.5656,-0.9001,9.9299,13.3544,3.6544,22.8646,0.1138,10.9685,16.9323,4.1149,26.9301,0.1154,-5.5644,0.0525,0.0475,-0.0094,-0.0085,0.9053,0.3543,0.4569,0.4058,1.2897,1.1454,0.8881,0.1255,0.2088,0.1647,1.6635,1.3119,0.7887,0.2685,-1.3235,-1.1065,-4.9294,-4.121,0.836,0.3158,0.1969,0.1668,0.6235,0.5284,0.8475,0.2934,0.3922,0.333,1.3368,1.135,0.849,0.0532,14.7273,-0.5162,0.068,0.1958,-0.3107,-0.2907,0.9491,4.9919,16.5347,4.0663,11.3123,-0.196,2.3078,10.2734,3.2052,11.3778,-0.333,4.2418,21.1089,4.5944,13.1683,-0.4244,2.163,1.1768,0.5441,1.2686,0.885,0.6976,1.6095,0.7833,0.4867,0.6522,0.4725,0.7244,1.1081,1.0231,0.9233,0.9942,0.8591,0.864,0.0371,14.5909,-0.3944,-0.6261,-0.404,-18.89,256.3407,16.0106,47.0398,-13.7927,4.7808,84.9757,9.2182,42.4179,-1.0316,-27.8846,195.2996,13.975,42.4789,-12.113,-3.9512,0.6774,-0.1715,1.7368,1.1457,0.6596,3.0166,1.3126,0.4351,2.0363,1.1177,0.5489,0.1523,0.9816,6.4451,1.109,1.1074,0.9986,0.1819,56.7764,0.4793,-0.8859,-0.7617,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.4341,0.1625,0.4032,1.4211,-3.3965,11.1561,1.3914,1.1796,6.3094,0.5729,9.5658,0.9346,0.9667,5.5471,0.5713,14.7087,2.2916,1.5138,8.376,0.5736,-0.0389,-0.0454,-0.0295,1.1662,0.7585,0.6503,0.3418,0.417,0.2663,1.2202,0.7792,0.6386,0.1168,0.1739,0.0709,1.4888,0.6072,0.4078,-0.1297,-0.1485,-0.0974,1.145,0.7512,0.6561,0.0219,0.025,0.0165,1.1417,0.7521,0.6587,0.2252,0.2562,0.1697,1.1374,0.7533,0.6623,0.0795,21.1924,0.0422,-0.0165,0.0098,0.9757,0.9956,0.9919,7.2656,0.033,0.1817,0.6365,0.9146,6.47,0.0387,0.1967,0.6808,0.9021,-1.2007,0.0086,0.0925,1.342,?,1.123,-6.0513,-5.3888,0.9239,1.9645,2.1263,0.8537,3.8594,4.521,1.0856,-5.0767,-4.6763,1.0709,0,0,0.935,0.4743,0.5073,0.053,14.9363,-0.9957,0.1535,-0.0745,-11.4826,1.7214,1.312,13.3194,?,-37.6686,0.4083,0.6389,38.6398,?,19.7317,3.0981,1.7601,5.0995,0.769,0.3048,-0.5819,-1.909,2.0534,0.7454,0.363,4.2166,0.5556,0.1318,0.3447,-0.7844,-2.2756,1,0,0,0.3447,2.6119,7.5772,0.2381,68.8829,0.7302,0.8617,0.8965,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0339,3.6695,1.9156,11.3379,-0.6279,2.7275,38.7965,6.2287,33.9618,-0.1937,10.0388,21.1615,4.6002,26.2409,-0.0641,11.7294,34.2665,5.8538,30.7535,0.0867,-0.0124,-0.0034,-0.0029,0.2717,0.2325,0.8559,0.3075,0.4164,0.3272,1.354,1.064,0.7858,0.0946,0.1734,0.1071,1.8334,1.1322,0.6176,0.7936,2.7673,-1.4978,3.4869,-1.8874,-0.5413,0.2448,0.2824,0.2068,1.1537,0.8449,0.7323,0.3338,0.4321,0.3687,1.2942,1.1043,0.8533,0.0559,15.8516,-0.0187,-0.0683,-0.0481,0.2651,0.6486,0.8649,6.204,7.9945,2.8275,9.6296,-0.029,3.3335,11.552,3.3988,12.5405,-0.3228,3.6079,13.9986,3.7415,10.7485,-0.1995,1.8611,1.7196,0.924,0.8319,0.7557,0.9084,0.692,0.5711,0.8252,0.0886,0.1517,1.7119,0.9872,1.0444,1.0579,0.7679,0.8959,1.1667,0.0425,14.2897,-0.3751,-0.4804,-0.5762,-31.8654,182.6262,13.5139,51.7197,?,7.699,181.9834,13.4901,56.8771,-0.848,-23.0957,158.9279,12.6067,37.8586,?,-4.1389,1.3797,-0.3334,1.0018,1.072,1.0701,1.0035,1.1491,1.1451,1.9817,1.3661,0.6894,0,1,0,0.9093,1.3661,1.5024,0.2156,67.2474,0.412,-0.9366,-0.4603,TASCA_SINISTRA_DAVANTI_PANTALONI
