@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.1958,3.5678,1.8889,9.7714,-0.8139,-0.9479,7.7561,2.785,12.7742,-1.9775,0.4123,19.4483,4.41,21.0955,-0.9584,4.9077,7.7941,2.7918,11.2351,0.0565,0.2065,-0.4748,-0.0399,-2.299,-0.1932,0.084,0.6782,0.4283,0.6766,0.6315,0.9976,1.5796,0.46,0.1834,0.4578,0.3988,0.9951,2.4953,0.5168,0.4247,-6.5226,0.8218,-12.6213,-15.3584,1.2556,0.5001,0.4524,0.3983,0.3603,0.9046,0.7649,0.4632,0.8697,0.6055,1.137,1.8777,0.0073,7.1423,-0.0108,-0.4511,0.0812,0.3973,-0.447,-0.0488,-13.0176,63.2819,7.955,28.4393,?,-7.2733,59.1509,7.691,27.5375,-0.9205,-27.3109,71.5079,8.4562,33.0597,?,1.7898,0.4766,0.2663,1.0343,0.9407,0.9095,1.0698,0.885,0.8272,2.1547,0.8602,0.3992,0,1,0,1.0327,0.8602,0.833,0.2161,50.4422,-0.9106,-0.9105,0.9831,TASCA_DESTRA_DAVANTI_PANTALONI
0.3746,3.997,1.9992,11.2053,-0.7626,-0.9999,8.7376,2.956,14.8877,-1.7747,-0.4438,4.998,2.2356,10.87,-1.0266,3.7854,4.7406,2.1773,11.5545,0.022,-0.3746,-0.844,0.099,2.2528,-0.2642,-0.1173,0.6763,0.8943,0.9182,1.3222,1.3576,1.0268,0.4574,0.7997,0.8431,1.7482,1.8432,1.0543,0.5091,0.8804,-18.6311,1.7293,-36.595,-21.1616,1.1849,1.1853,0.5381,1.0004,0.4541,0.454,0.7527,1.0309,0.9698,1.3696,1.2885,0.9408,0.0081,5.9464,-0.6676,0.0435,0.3752,0.6851,-0.3527,-0.1544,9.9325,152.8082,12.3616,43.7378,-1.5851,-29.6879,40.2872,6.3472,33.8989,?,-19.7434,12.3144,3.5092,28.1998,?,-0.3346,-0.5031,1.5037,1.9476,3.5226,1.8087,3.793,12.4089,3.2715,0.7911,0.951,1.2021,0,0,1,1.2902,1.551,1.2021,0.2606,64.4442,-0.9067,0.5522,-0.3819,TASCA_DESTRA_DAVANTI_PANTALONI
0.1953,7.1397,2.672,15.9401,-0.7155,-0.0002,20.387,4.5152,25.2906,-1.2741,0.0287,13.9413,3.7338,14.6335,-1.0984,5.7887,7.998,2.8281,17.3819,0.0372,-1089.4763,6.7981,0.0337,-0.0062,-0,0.005,0.5918,0.7156,0.9448,1.2093,1.5966,1.3203,0.3502,0.5121,0.8927,1.4623,2.549,1.7431,0.4692,0.868,-9.9092,1.8498,-21.1186,-11.4165,0.8355,1.3324,0.5147,1.5948,0.616,0.3863,0.6303,1.0893,0.9171,1.7283,1.455,0.8419,0.0014,8.9534,-0.6755,-0.0327,0.1699,0.7025,-0.0987,-0.0201,13.2787,157.4667,12.5486,48.1796,-1.262,-29.7253,17.2482,4.1531,33.7799,?,-24.0277,12.3642,3.5163,30.6,?,-0.4467,-0.5526,1.2371,3.0215,3.5687,1.1811,9.1294,12.7357,1.395,0.7957,0.8784,1.1039,0,0,1,1.4263,1.5745,1.1039,0.283,71.3834,-0.745,0.4418,-0.5562,TASCA_DESTRA_DAVANTI_PANTALONI
0.2093,9.6659,3.109,24.0089,-0.3552,0.495,12.6533,3.5571,25.0715,-0.4422,0.1332,21.5612,4.6434,29.1037,-0.4152,5.2559,16.5627,4.0697,28.3094,0.0163,0.4229,1.5711,0.0398,3.715,0.0942,0.0253,0.874,0.6696,0.7639,0.7661,0.874,1.141,0.7639,0.4483,0.5836,0.5869,0.764,1.3018,0.8186,0.7369,-13.4058,0.9002,-16.3764,-18.1912,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.8481,0.8615,0.8856,1.0281,0.0038,7.9924,0.5792,0.2931,0.3912,0.1507,0.3274,0.5872,-27.3416,55.0787,7.4215,43.6875,?,-16.329,11.6385,3.4115,26.3125,?,-34.9909,118.9864,10.9081,44.5,?,1.6744,0.7814,0.4667,2.1754,0.6804,0.3128,4.7325,0.4629,0.0978,1.6603,0.9817,0.5913,1,1,1,1.6603,0.9817,0.5913,0.3286,78.6615,0.6521,-0.911,-0.6458,TASCA_DESTRA_DAVANTI_PANTALONI
-1.5346,2.1918,1.4805,4.6046,-16.5587,0.3369,0.8453,0.9194,4.2149,-0.449,0.5995,4.084,2.0209,8.3219,-0.9341,2.7289,2.5018,1.5817,4.8776,0.0714,-4.5556,-2.5597,-0.5623,0.5619,0.1234,0.2197,1.6103,0.7326,0.936,0.4549,0.5813,1.2777,2.593,0.5367,0.8761,0.207,0.3379,1.6324,3.3249,1.0804,-11.5868,0.3249,-3.4849,-10.7246,0.0902,0.0609,0.0499,0.6761,0.5538,0.8192,1.0924,0.5533,0.944,0.5065,0.8641,1.7061,0.051,4.0344,0.0456,-0.3642,-0.7279,0.5019,0.1684,0.4385,6.697,380.8897,19.5164,62.9375,-1.7589,-35.0167,11.6081,3.4071,40.6875,?,-31.7877,22.4024,4.7331,35.375,?,-0.1913,-0.2107,1.1016,5.7282,4.1234,0.7198,32.8124,17.0022,0.5182,0.9862,1.1343,1.1502,0,0,1,1.5469,1.7792,1.1502,0.3646,85.7257,0.8629,-0.7713,-0.3653,TASCA_DESTRA_DAVANTI_PANTALONI
0.2435,0.3348,0.5787,2.7356,-0.4473,-0.7039,9.5544,3.091,12.7511,-0.9017,-0.6728,7.6128,2.7591,11.5549,-0.6657,3.8697,3.5348,1.8801,9.2982,0.038,-0.346,-0.3619,0.0629,1.0461,-0.1819,-0.1739,0.1872,0.2097,0.3078,1.1203,1.6441,1.4675,0.035,0.044,0.0947,1.255,2.703,2.1537,0.1398,0.1831,-2.3037,1.3093,-16.474,-12.5822,0.2819,0.2725,0.1956,0.9665,0.6937,0.7177,0.2145,0.2367,0.2942,1.1035,1.3713,1.2427,0.0066,5.8215,0.5114,0.3982,-0.0458,0.9889,0.1383,0.1575,4.8743,1.1092,1.0532,4.3,0.3488,-41.2974,0.8272,0.9095,42.8177,?,-22.9706,2.9555,1.7192,25.6384,?,-0.118,-0.2122,1.7978,1.158,0.6126,0.529,1.341,0.3753,0.2799,-0.0538,-0.0898,1.6701,0,0,1,0.1004,0.1677,1.6701,0.3146,69.1423,0.6016,-0.3319,-0.8914,TASCA_DESTRA_DAVANTI_PANTALONI
-0.4189,1.8726,1.3684,5.6957,-1.617,-0.7184,3.3295,1.8247,10.3213,-3.5322,0.2695,3.0279,1.7401,7.6495,-0.3258,2.4406,3.0376,1.7429,9.3448,0.0177,0.5831,-1.5546,-0.1717,-2.6659,-0.2944,0.1104,0.7499,0.7864,0.7852,1.0486,1.047,0.9984,0.5624,0.6184,0.6165,1.0996,1.0961,0.9968,0.4375,1.8722,-20.8667,4.2792,-47.6944,-11.1457,0.9557,0.3772,0.2288,0.3947,0.2394,0.6065,0.5518,0.7446,0.6095,1.3493,1.1045,0.8186,0.0058,3.7923,0.6371,-0.1612,-0.4398,-0.609,-0.7965,0.7609,-30.4795,34.9062,5.9081,45.9345,?,27.8645,43.5327,6.5979,28.4002,0.1978,15.9397,6.7107,2.5905,14.3517,0.2634,-1.0938,-1.9122,1.7481,0.8955,2.2807,2.547,0.8018,5.2016,6.4871,-6.561,-8.9519,1.3644,0,0,1.817,1.6174,3.2006,1.9789,0.2932,74.2837,0.9766,0.7052,0.702,TASCA_DESTRA_DAVANTI_PANTALONI
0.7151,3.3489,1.83,9.175,-0.7842,-1.9323,14.0541,3.7489,20.7491,-1.1569,-0.2312,14.0562,3.7492,21.3995,-0.5214,5.176,8.9665,2.9944,16.5989,0.0521,-0.3701,-3.0929,0.1382,8.358,-0.3733,-0.0447,0.4881,0.4881,0.6111,0.9999,1.252,1.2521,0.2383,0.2383,0.3735,0.9999,1.5674,1.5676,0.3624,0.5499,-4.42,1.5175,-12.1979,-8.0384,0.5345,0.3656,0.2937,0.6839,0.5494,0.8032,0.4422,0.4287,0.5527,0.9696,1.25,1.2892,0.0148,7.8364,-0.6237,0.1156,0.2475,0.024,-0.4603,0.2242,-25.2118,180.5462,13.4367,45.5399,-26.1072,4.6345,112.3338,10.5988,42.4179,-1.0316,-24.1635,205.7638,14.3445,42.2989,-12.0575,-5.44,1.0434,-0.1918,1.2678,0.9367,0.7389,1.6072,0.8774,0.5459,2.0363,1.1229,0.5514,0.0805,0.5186,6.4451,1.0736,1.0766,1.0028,0.2516,60.0968,0.6473,-0.8884,-0.8477,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.319,0.1567,0.3958,1.4568,-3.055,-0.328,1.4305,1.1961,6.2937,-0.9165,-0.035,0.9521,0.9757,5.1308,-0.6119,1.3368,0.9629,0.9813,4.5702,0.0055,0.9727,9.1046,-0.2387,9.3604,-0.2454,-0.0262,0.331,0.4057,0.4034,1.2258,1.2189,0.9943,0.1095,0.1646,0.1627,1.5026,1.4856,0.9887,0.3647,0.5635,-43.3986,1.5452,-119.0097,-77.0175,0.1094,0.1129,0.0782,1.0317,0.7146,0.6927,0.2315,0.2839,0.3188,1.2267,1.3771,1.1227,0.0033,2.0475,-0.0909,-0.2706,-0.4026,0.9755,-0.0561,0.0286,-12.1404,0.4529,0.673,13.3194,?,-37.861,0.375,0.6124,38.6398,?,19.0429,2.1987,1.4828,5.0995,0.769,0.3207,-0.6375,-1.9882,1.099,0.4539,0.413,1.2077,0.206,0.1706,0.3447,-0.7844,-2.2756,1,0,0,0.3447,2.6119,7.5772,0.3172,69.0443,0.8021,0.8601,0.8821,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2622,4.0194,2.0049,11.2417,-0.6224,-0.1534,29.8808,5.4663,29.5438,-0.7258,0.395,24.3692,4.9365,26.0313,-0.7783,6.7626,12.7853,3.5757,17.3004,0.0756,-1.7085,0.6638,0.0388,-0.3885,-0.0227,0.0584,0.3668,0.4061,0.5607,1.1073,1.5288,1.3806,0.1345,0.1649,0.3144,1.2262,2.3371,1.906,0.3471,0.3785,-3.0497,1.0906,-8.7865,-8.0563,0.4048,0.4733,0.3703,1.1694,0.9147,0.7822,0.3805,0.4319,0.6498,1.1349,1.7077,1.5047,0.0036,9.7964,0.1245,-0.1286,0.0001,0.3063,0.1833,0.3638,-36.3481,157.3803,12.5451,51.7197,?,9.6887,225.1326,15.0044,56.8771,-0.848,-18.8431,140.3646,11.8476,33.4198,?,-3.7516,1.929,-0.5142,0.8361,1.0589,1.2665,0.6991,1.1212,1.6039,1.9817,1.5476,0.7809,0,1,0,0.9093,1.5476,1.7019,0.3005,70.4305,0.7995,-0.9065,-0.8283,TASCA_SINISTRA_DAVANTI_PANTALONI
