@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.1425,4.8533,2.203,14.4644,-1.2126,-0.7034,7.1531,2.6745,13.053,-2.0814,-0.2872,7.9117,2.8128,12.6601,-1.1969,3.8914,5.3728,2.3179,11.6348,0.0266,0.2026,0.4962,-0.0366,2.4487,-0.1808,-0.0738,0.8237,0.7832,0.9504,0.9509,1.1538,1.2135,0.6785,0.6134,0.9033,0.9041,1.3314,1.4726,0.8991,1.1493,-24.9189,1.2783,-27.7157,-21.6818,1.5432,1.1344,0.5469,0.7351,0.3544,0.4821,1.1081,1.1425,1.2432,1.031,1.1219,1.0881,0.004,6.002,0.7763,-0.0518,-0.37,0.4874,-0.5729,-0.1758,2.2832,5.3986,2.3235,8.3085,0.0556,2.9878,4.6867,2.1649,10.9686,-1.5538,8.307,2.9347,1.7131,7.7367,0.1607,0.7642,0.2749,0.3597,1.0733,1.3563,1.2637,1.1519,1.8396,1.597,-0.0733,0.3303,-4.5064,2.0483,0.9544,0.466,0.7575,1.0739,1.4177,0.047,14.1846,-0.8312,-0.8965,0.9718,-0.0966,0.2807,0.5298,3.6676,-1.7094,-0.6737,1.5737,1.2545,5.3243,-8.1172,0.6964,1.6534,1.2859,5.2754,-0.0651,0.1433,-0.1386,-0.9673,0.4223,0.412,0.9756,0.1784,0.1698,0.9518,0.4881,7.1742,14.697,2.318,0.2733,0.1179,0.6888,0.6952,1.0093,0.005,1.9334,0.3276,-0.5824,-0.801,TASCA_DESTRA_DAVANTI_PANTALONI
1.069,3.451,1.8577,6.237,-0.1167,-0.8717,4.9044,2.2146,11.1126,-1.1325,0.5442,7.2368,2.6901,12.6746,-0.7795,3.3616,6.4908,2.5477,8.1481,0.0456,-1.2263,1.9643,0.318,-1.6019,-0.2593,0.1619,0.8388,0.6906,0.7292,0.8232,0.8693,1.0559,0.7036,0.4769,0.5317,0.6777,0.7556,1.1149,0.1105,0.1174,-1.6731,1.063,-15.1475,-14.2502,1.0718,0.7841,0.6542,0.7316,0.6104,0.8343,0.5613,0.4921,0.7655,0.8768,1.3638,1.5555,0.0337,5.1657,-0.2389,-0.0344,0.8833,0.3332,-0.1956,0.2392,1.8364,2.7957,1.672,7.0273,0.0774,1.6208,0.8708,0.9332,3.4121,-0.0711,8.7828,1.6205,1.273,5.5605,0.4663,1.133,0.2091,0.1845,1.7918,1.3135,0.7331,3.2104,1.7252,0.5374,-2.6034,0.1214,-0.0466,2.3912,0.7312,0.3058,2.0595,1.2638,0.6136,0.0524,12.2639,-0.7304,-0.8829,0.6556,0.191,0.5713,0.7558,3.4538,-0.449,-0.8747,2.6881,1.6395,6.6499,-9.0796,0.0929,0.7774,0.8817,3.6371,-0.3544,-0.2184,2.0568,-9.4172,0.461,0.8572,1.8595,0.2125,0.7348,3.4576,0.1787,1.1245,6.294,3.613,0.8876,0.2457,0.5194,0.9496,1.8284,0.0052,2.0219,-0.7935,0.5169,-0.5559,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2019,0.5185,0.7201,3.0271,-0.6714,-0.37,3.8957,1.9738,6.9414,-0.7511,-0.1801,3.8157,1.9534,7.1123,-0.6516,2.5966,1.6977,1.303,5.5366,0.0429,0.5455,1.1205,-0.0777,2.0541,-0.1425,-0.0694,0.3648,0.3686,0.5526,1.0104,1.5148,1.4992,0.1331,0.1359,0.3054,1.021,2.2946,2.2475,0.4084,0.4334,-4.9025,1.0611,-12.0041,-11.3126,0.4569,0.4206,0.3131,0.9205,0.6853,0.7445,0.4361,0.4256,0.5467,0.976,1.2537,1.2846,0.0023,4.0669,0.5132,0.3043,-0.0163,0.9648,0.3743,0.41,-7.0205,0.0653,0.2555,7.3092,?,6.6812,0.063,0.251,0.8251,0.8856,1.4757,0.0064,0.0801,0.4536,0.7491,-1.0508,-4.7575,4.5276,1.0176,3.1892,3.1339,1.0356,10.171,9.8213,-1.1443,-5.3985,4.7175,0,0,3.9902,8.8587,16.1152,1.8191,0.049,15.1773,0.9969,0.5308,0.4668,-0.0497,0.0431,0.2076,0.8452,-1.5255,0.039,0.0705,0.2656,1.0413,-0.6503,0.0306,0.0376,0.1938,0.9411,-1.6047,-1.2735,-1.6211,1.273,0.7815,1.0708,1.3702,0.6108,1.1466,1.8773,1.2442,0.8805,0.7077,0.5304,0.9263,1.7463,0.8117,0.8981,1.1065,0.0004,0.5523,-0.7463,-0.3129,0.2111,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0588,2.4306,1.559,7.598,-1.1526,0.0396,2.1997,1.4831,6.8712,-1.4009,-0.1287,6.9984,2.6454,12.6044,-1.6305,3.0787,2.172,1.4738,7.1237,0.1097,-1.485,0.4565,-0.0191,-0.3074,0.0129,-0.0418,1.0512,0.5893,1.0579,0.5606,1.0063,1.795,1.105,0.3473,1.1191,0.3143,1.0127,3.222,1.0147,0.5207,-4.6359,0.5132,-4.5687,-8.9029,1.2334,0.7367,0.4411,0.5973,0.3577,0.5989,1.1058,0.6028,1.0666,0.5451,0.9646,1.7694,0.0007,4.6853,-0.7889,-0.5286,0.0127,0.411,-0.3125,-0.11,2.3182,9.7047,3.1152,8.9223,-0.0366,2.1105,5.137,2.2665,6.9803,-0.9898,8.2546,3.4228,1.8501,5.9837,0.3577,1.0984,0.2808,0.2557,1.3745,1.6838,1.2251,1.8892,2.8353,1.5008,0.0907,-0.0946,-1.0421,2.4536,0.924,0.3766,1.2782,1.4911,1.1666,0.0439,13.6698,-0.93,-0.9469,0.9879,-0.0084,0.3165,0.5626,4.1856,-1.1708,-0.4993,1.1842,1.0882,5.4529,-4.6781,0.7618,0.3931,0.627,2.4824,0.0047,0.0168,-0.011,-0.6555,0.517,0.8973,1.7356,0.2673,0.8052,3.0123,0.5025,-192.5507,-383.1922,2.0078,0.7731,0.385,0.7676,1.6861,2.1967,0.0045,1.8502,0.0313,-0.4051,-0.7265,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3638,5.3723,2.3178,17.3633,-2.1671,-2.0306,33.4768,5.7859,36.3991,-1.5964,-0.1625,16.734,4.0907,22.8016,-0.5614,5.0941,33.9154,5.8237,22.3192,0.0107,0.1792,2.2396,-0.0714,12.499,-0.3986,-0.0319,0.4006,0.5666,0.398,1.4144,0.9935,0.7024,0.1605,0.321,0.1584,2.0005,0.9871,0.4934,0.5309,1.4491,-49.3401,2.7297,-92.9421,-34.048,0.3911,0.3754,0.243,0.96,0.6214,0.6473,0.477,0.7615,0.778,1.5963,1.6308,1.0216,0.0053,7.4142,0.3408,-0.4061,-0.476,0.2445,-0.7445,0.2257,1.3352,8.8505,2.975,10.315,-0.1072,3.5668,8.045,2.8364,13.6718,-1.423,7.8193,3.6278,1.9047,7.599,0.157,0.3743,0.1708,0.4562,1.0489,1.5619,1.4892,1.1001,2.4396,2.2176,0.1244,-0.7053,-5.6714,1.6511,1.0335,0.6259,0.7545,1.3574,1.7992,0.0224,14.0944,-0.7389,-0.8805,0.9193,-0.132,0.3689,0.6073,3.3464,-1.8546,-0.5003,2.7015,1.6436,9.7081,-1.3821,0.782,2.8225,1.68,7.2386,-0.1485,0.2638,-0.1688,-0.6397,0.3695,0.3615,0.9783,0.1365,0.1307,0.9571,0.386,2.3226,6.0174,0.2877,0.186,0.6466,0.3447,0.4623,1.3412,0.0024,2.4263,0.1066,-0.3084,-0.0731,TASCA_DESTRA_DIETRO_PANTALONI
0.6458,6.6917,2.5868,15.7921,-0.8029,-2.1856,29.2543,5.4087,29.8344,-3.4081,-0.0278,16.4108,4.051,22.2459,-0.617,5.5545,26.6991,5.1671,26.7483,0.0043,-0.2955,-23.2213,0.1163,78.5829,-0.3935,-0.005,0.4783,0.6386,0.5006,1.3352,1.0468,0.784,0.2287,0.4078,0.2506,1.7826,1.0957,0.6147,0.3049,0.8285,-61.5384,2.7175,-201.8388,-74.275,1.2942,0.6367,0.3261,0.492,0.252,0.5122,0.5293,0.7099,0.5904,1.3411,1.1154,0.8317,0.0059,8.6526,-0.5848,0.0735,0.3905,-0.1833,-0.7972,0.4407,1.7002,10.9553,3.3099,10.6984,-0.1414,4.4373,11.712,3.4223,14.7787,-1.3773,6.9626,2.422,1.5563,5.7342,0.3038,0.3832,0.2442,0.6373,0.9672,2.1268,2.199,0.9354,4.5233,4.8358,0.1548,-0.5297,-3.4225,1.5078,1.1381,0.7548,0.7239,1.8657,2.5773,0.0218,15.0216,-0.5833,-0.8428,0.8444,-0.1542,0.2622,0.512,2.697,-1.924,-0.5051,1.9015,1.3789,7.9596,-0.6985,0.871,4.5196,2.1259,9.7476,-0.2942,0.3053,-0.177,-0.58,0.3713,0.2409,0.6486,0.1379,0.058,0.4207,0.5422,0.8009,1.4773,0.1968,0.1225,0.6222,0.3388,0.2767,0.8166,0.0026,2.5185,0.427,-0.0247,0.3802,TASCA_DESTRA_DIETRO_PANTALONI
-0.5195,9.8424,3.1373,21.7549,-2.1949,-1.8823,39.0374,6.248,36.6787,-1.4447,0.3299,29.4463,5.4264,30.5416,-0.4609,6.3467,41.9668,6.4782,25.0967,0.0079,0.276,-1.5748,-0.0819,-5.7063,-0.2966,0.052,0.5021,0.5781,0.4843,1.1514,0.9645,0.8376,0.2521,0.3342,0.2345,1.3257,0.9302,0.7017,0.6895,1.551,-74.9801,2.2493,-108.7415,-48.3438,0.4538,0.3257,0.2692,0.7177,0.5931,0.8264,0.5931,0.7123,0.8668,1.2009,1.4615,1.217,0.0051,9.3484,0.5036,-0.4095,-0.545,0.3384,-0.4438,0.3848,1.9113,6.1778,2.4855,9.2926,0.0133,5.3378,15.5283,3.9406,15.7143,-1.0938,6.3884,1.5325,1.238,5.3352,0.2726,0.3581,0.2992,0.8355,0.6307,2.0078,3.1831,0.3978,4.0311,10.1324,-0.0153,0.0628,-4.1068,1.2549,1.2841,1.0233,0.5913,1.7418,2.9454,0.0221,14.7913,-0.6083,-0.8677,0.8086,-0.1507,0.4138,0.6433,3.8612,-1.7169,-0.2985,3.7794,1.9441,10.5177,-0.9351,0.9339,5.1329,2.2656,9.7102,-0.2003,0.5047,-0.1613,-0.3196,0.3309,0.2839,0.8581,0.1095,0.0806,0.7363,0.4801,1.5055,3.136,0.2615,0.1757,0.6719,0.3671,0.3976,1.0832,0.0026,2.7992,0.6599,-0.096,0.2025,TASCA_DESTRA_DIETRO_PANTALONI
0.0022,9.5277,3.0867,21.9074,-1.3285,-2.1491,25.1091,5.0109,29.7469,-6.0944,0.6658,23.9551,4.8944,28.1504,-0.4197,5.1747,36.8763,6.0726,31.3833,0.0143,-0.001,0.0033,0.0004,-3.228,-0.4153,0.1287,0.616,0.6307,0.5083,1.0238,0.8252,0.806,0.3794,0.3977,0.2584,1.0482,0.6809,0.6496,0.4891,1.5019,-27.4382,3.0706,-56.0967,-18.2687,2.2438,0.4745,0.2955,0.2115,0.1317,0.6228,0.7365,0.7782,0.6981,1.0567,0.9479,0.897,0.0116,7.925,-0.2782,-0.3267,0.1608,-0.5583,-0.8916,0.6302,1.5244,5.0324,2.2433,8.6495,-0.0439,2.1197,5.2949,2.3011,12.7285,-2.0268,8.7413,2.5863,1.6082,6.5183,0.3219,0.7192,0.1744,0.2425,0.9749,1.3949,1.4308,0.9504,1.9458,2.0473,0.0427,-0.1176,-2.7549,1.9703,0.862,0.4375,0.6795,1.327,1.9527,0.047,13.2177,-0.4434,-0.872,0.7778,-0.0955,1.2151,1.1023,7.2754,-3.5079,-0.5565,1.506,1.2272,6.1331,-2.3873,0.991,4.6761,2.1624,10.3395,-0.1118,0.1716,-0.0964,-0.5615,0.8982,0.5098,0.5675,0.8068,0.2599,0.3221,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.0059,2.4879,0.2327,-0.56,-0.4337,TASCA_DESTRA_DIETRO_PANTALONI
-0.6445,5.0932,2.2568,18.6184,-0.7517,-1.4413,9.9672,3.1571,21.4217,-0.9112,0.0413,12.9174,3.5941,26.2346,-0.4048,4.6979,8.4019,2.8986,19.0324,0.0364,0.4472,-15.6087,-0.1372,-34.9069,-0.3068,0.0088,0.7148,0.6279,0.7786,0.8784,1.0892,1.2399,0.511,0.3943,0.6062,0.7716,1.1863,1.5374,0.7823,1.057,-11.1065,1.3511,-14.1971,-10.5079,0.9483,0.5691,0.5381,0.6002,0.5675,0.9455,0.8691,0.7097,0.9782,0.8165,1.1255,1.3784,0.0042,6.9426,0.4891,-0.1113,-0.3169,0.2679,-0.1542,0.237,5.7794,10.1898,3.1922,10.3419,-0.1391,2.7993,10.0582,3.1715,10.6852,-0.2826,5.2312,7.312,2.7041,8.4552,0.0913,2.0646,1.1048,0.5351,1.0065,1.1805,1.1728,1.0131,1.3936,1.3756,0.5363,-1.4864,-2.7713,1.0898,0.9758,0.8954,0.9679,1.2231,1.2637,0.0222,14.7053,-0.3143,-0.6467,-0.3929,0.2859,0.8045,0.8969,5.1067,-0.6218,-0.515,2.3506,1.5332,6.5977,-1.3525,0.3182,5.5404,2.3538,10.8275,-0.5135,-0.5552,0.8987,-1.6187,0.585,0.3811,0.6514,0.3423,0.1452,0.4243,0.5162,0.533,1.0326,1.1227,0.4401,0.392,0.774,0.4716,0.6094,0.0018,3.8965,-0.1109,0.3969,-0.0946,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2166,0.8123,0.9013,4.0267,-0.3867,-0.3055,1.4813,1.2171,5.4961,-1.1475,-0.3161,1.0803,1.0394,5.543,-0.7313,1.6862,0.7708,0.8779,3.6285,0.0076,-0.7088,-0.6851,0.1284,0.9666,-0.1812,-0.1875,0.7405,0.8671,1.0265,1.171,1.3863,1.1839,0.5483,0.7519,1.0538,1.3712,1.9218,1.4015,0.3823,0.4796,-40.4545,1.2543,-105.8112,-84.3568,1.1347,0.907,0.7942,0.7994,0.7,0.8756,0.7327,0.7265,1.1097,0.9915,1.5147,1.5276,0.0013,2.4837,0.433,-0.1389,0.4479,0.4096,0.1518,0.155,7.3241,0.0567,0.2381,0.9076,0.8819,6.4335,0.0753,0.2744,1.0764,0.8481,-0.819,0.3327,0.5768,1.6264,-20.8728,1.1384,-8.9423,-7.855,0.8677,0.4128,0.4758,0.7529,0.1704,0.2264,1.127,-4.3659,-3.8738,1.0839,103.3346,95.333,0.8431,0.558,0.6619,0.0264,14.585,-0.9724,-0.214,0.4339,0.311,0.285,0.5338,2.0102,-0.8097,0.1867,0.2232,0.4725,1.4323,-0.6747,-0.024,0.0467,0.2162,1.0596,-1.38,1.6662,-12.9683,-7.7831,1.1299,2.4693,2.1853,1.2768,6.0974,4.7757,1.5587,1.4639,0.9392,1.2987,2.4951,1.9212,1.4034,1.8972,1.3518,0.001,1.1851,0.9486,-0.6709,-0.6996,TASCA_SINISTRA_DAVANTI_PANTALONI
