@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
0.8919,8.1036,2.8467,12.8417,-1.1139,0.6336,6.7193,2.5922,15.6014,-0.308,-0.2178,28.2155,5.3118,23.6902,-0.9442,6.0417,7.7813,2.7895,12.7552,0.101,1.4077,-4.0961,0.1476,-2.9099,0.1049,-0.036,1.0982,0.5359,1.0205,0.488,0.9293,1.9042,1.206,0.2872,1.0414,0.2381,0.8635,3.6261,1.8418,0.5881,-4.7222,0.3193,-2.5639,-8.029,0.5093,0.4986,0.4282,0.9789,0.8407,0.8588,0.8231,0.5421,1.0068,0.6586,1.2231,1.8573,0.012,8.5855,-0.5637,0.3285,-0.3064,-0.2986,0.2742,0.0965,0.1871,0.0228,0.1511,0.4629,-0.0238,-0.0109,0.0078,0.0886,0.3633,-0.7917,-0.4673,0.0041,0.0641,0.5837,?,-17.2371,-0.4003,0.0232,1.7054,2.3581,1.3827,2.9084,5.5606,1.9119,0.0669,0.0184,0.275,2.23,0,0,1.2742,0.793,0.6223,0.0054,0.7308,-0.3862,-0.9135,0.6369,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3948,29.482,5.4297,27.4349,-2.8032,-0.8677,7.8242,2.7972,11.5988,-1.9786,0.0867,6.9289,2.6323,15.291,-1.3374,5.726,12.3645,3.5163,20.4521,0.0445,-0.455,4.5534,0.0689,-10.0081,-0.1515,0.0151,1.9411,2.0627,1.5442,1.0626,0.7955,0.7486,3.7681,4.2549,2.3844,1.1292,0.6328,0.5604,2.6245,2.3112,-21.229,0.8806,-8.0887,-9.1851,1.8525,1.1027,0.337,0.5953,0.1819,0.3056,2.3653,1.7942,1.3414,0.7585,0.5671,0.7477,0.01,8.3907,-0.3779,0.105,-0.5666,0.0522,0.041,-0.3546,-0.7388,0.0019,0.044,0.7991,?,-0.5558,0.0063,0.0795,0.7105,?,-0.1749,0.004,0.0634,0.3033,?,1.3293,4.2252,3.1786,0.553,0.693,1.2533,0.3058,0.4803,1.5706,1.1247,2.6343,2.3422,1,1,1,1.1247,2.6343,2.3422,0.0098,1.4695,-0.9375,0.392,-0.6285,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.9726,1.5648,1.2509,4.1337,0.005,0.3244,0.6589,0.8117,3.9134,-1.2275,-2.477,4.4094,2.0999,6.5475,-24.0267,3.5729,3.9993,1.9998,6.5112,0.0226,6.0798,-0.7963,0.5521,-0.131,0.0908,-0.6933,1.5411,0.5957,0.6255,0.3866,0.4059,1.05,2.375,0.3549,0.3913,0.1494,0.1647,1.1025,-0.0097,-0.0033,0.139,0.3431,-14.3461,-41.8163,2.3647,15.8803,0.6237,6.7155,0.2637,0.0393,1.0563,0.6313,0.6349,0.5977,0.601,1.0056,0.0366,5.2086,0.5649,-0.2732,0.5323,0.2764,-0.1031,-0.9502,-0.0688,0.0189,0.1374,0.3821,-3.9811,-0.4044,0.0609,0.2468,0.8031,?,-0.6423,0.0134,0.1159,0.7358,?,0.17,0.107,0.6295,0.5568,1.1857,2.1294,0.3101,1.4059,4.5343,0.3803,0.415,1.0914,0,0,1,0.4758,0.5193,1.0914,0.0088,1.1691,0.9911,-0.9241,-0.9007,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3292,0.5571,0.7464,4.8472,-0.2558,-0.5199,0.8052,0.8973,5.3164,-7.7123,-0.3074,0.4473,0.6688,4.7215,-2.653,0.9534,1.3738,1.1721,5.4859,0.0153,-0.6332,-1.0708,0.3453,1.6911,-0.5453,-0.3225,0.8317,1.116,0.6368,1.3418,0.7656,0.5706,0.6918,1.2455,0.4055,1.8004,0.5861,0.3256,0.2098,0.288,-11.561,1.3725,-55.0982,-40.1454,6.3252,2.9863,0.6928,0.4721,0.1095,0.232,0.9118,1.0266,0.8836,1.126,0.9691,0.8607,0.0068,1.4533,-0.5963,-0.6597,0.8536,0.2747,-0.8488,-0.5848,0.3566,0.0003,0.0164,0.075,0.8231,-0.8599,0,0.0048,0.8673,?,-0.2708,0.0015,0.0388,0.3023,?,-0.4146,-1.3168,3.1756,3.3859,0.4229,0.1249,11.4642,0.1788,0.0156,-0.402,-1.1536,2.8695,0,0,1,0.0864,0.248,2.8695,0.0096,1.4872,0.506,0.9497,0.2519,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.0005,0.0107,0.1034,0.502,-1.2752,-0.0033,0.0136,0.1166,0.5807,-0.7825,0.0005,0.0126,0.1124,0.5908,-0.8101,0.1793,0.0048,0.0692,0.3553,0.1045,-0.1627,0.9929,0.003,-6.1031,-0.0183,0.003,0.8872,0.9205,1.4954,1.0375,1.6856,1.6247,0.7871,0.8472,2.2363,1.0764,2.8411,2.6395,1.1037,1.0641,-6.7877,0.9642,-6.1502,-6.3786,0.6773,0.6761,0.5562,0.9982,0.8212,0.8226,0.8644,0.8498,1.413,0.983,1.6345,1.6628,0,0.2684,-0.0378,0.0528,-0.1132,0.157,0.0873,0.1475,-0.0453,0,0.0055,0.0542,?,0.6339,0,0.0005,0.0014,0.9978,0.4801,0,0.0017,0.0056,0.9883,-0.0715,-0.0944,1.3203,11.4394,3.2452,0.2837,130.86,10.5314,0.0805,-0.0855,-0.1135,1.3266,0,0,1.314,38.3784,9.6198,0.2507,0.008,1.1593,0.9554,-0.9936,-1.068,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.5395,4.8435,2.2008,9.0955,-0.1625,0.1708,0.9713,0.9855,4.1967,-0.789,-1.8272,10.8594,3.2954,13.7457,-3.9812,3.3021,11.5076,3.3923,11.9232,0.0125,9.0156,-0.8425,0.4662,-0.0935,0.0517,-0.5533,2.2331,0.6678,0.6488,0.2991,0.2905,0.9714,4.9868,0.446,0.4209,0.0894,0.0844,0.9437,0.6871,0.1158,-8.4013,0.1685,-12.2274,-72.5784,3.3351,2.8352,0.648,0.8501,0.1943,0.2285,2.1673,0.6617,0.7628,0.3053,0.352,1.1529,0.0237,4.8953,0.6269,-0.6864,0.8736,-0.5785,0.6593,-0.9035,-0.1784,0.0468,0.2164,0.6392,?,-0.1952,0.011,0.1048,0.4734,?,-0.8811,0.0149,0.122,0.9483,?,0.9139,0.2025,0.2216,2.0641,1.7733,0.8592,4.2603,3.1447,0.7381,1.3503,0.6741,0.4992,1,1,1,1.3503,0.6741,0.4992,0.0091,1.2547,0.9821,-0.9314,-0.9422,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.2571,3.1771,1.7824,8.6998,-0.3043,0.4947,2.3631,1.5372,7.4486,-0.9536,-2.1937,6.8393,2.6152,12.5278,-4.5902,3.6522,5.6782,2.3829,11.2566,0.0226,2.5409,-0.5731,0.3442,-0.2255,0.1355,-0.6006,1.1595,0.6816,0.748,0.5878,0.6451,1.0975,1.3445,0.4645,0.5595,0.3455,0.4162,1.2045,0.5582,0.1973,-7.7901,0.3535,-13.9562,-39.4851,1.7495,2.9764,0.5792,1.7013,0.331,0.1946,1.168,0.6944,0.7729,0.5946,0.6617,1.1129,0.0255,5.5417,0.5866,-0.4358,0.6697,-0.1549,0.322,-0.8871,0.3253,0.0007,0.0269,0.1181,0.6963,-0.4265,0.0457,0.2138,0.7345,?,-0.4471,0.0079,0.0887,0.568,?,-0.7628,-0.7276,0.9538,0.1256,0.3028,2.41,0.0158,0.0917,5.808,-0.3686,-0.4767,1.2932,0,0,1,0.1608,0.2079,1.2932,0.0069,1.199,-0.3055,0.7811,-0.6814,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0078,0.0065,0.0809,0.3791,-1.1101,-0.014,0.004,0.0629,0.3003,-1.0086,-0.0033,0.0098,0.0988,0.5053,-1.589,0.1305,0.0035,0.0592,0.3237,0.0374,0.5569,2.346,-0.0596,4.2122,-0.1069,-0.0254,1.2867,0.8185,1.3676,0.6361,1.0629,1.6709,1.6557,0.6699,1.8703,0.4046,1.1297,2.7919,1.3225,0.6432,-15.871,0.4863,-12.0006,-24.6767,1.2016,0.9206,0.5344,0.7662,0.4447,0.5804,1.2623,0.7503,1.1713,0.5944,0.9279,1.561,0.0002,0.1962,0.5232,-0.0238,-0.0939,-0.0791,-0.0863,-0.275,-0.0265,0,0.0029,0.0312,?,0.7517,0,0.0003,0.0011,0.9985,0.4187,0,0.0022,0.0066,0.9843,-0.0353,-0.0633,1.7952,9.9412,1.3118,0.132,98.8267,1.7209,0.0174,-0.0416,-0.0753,1.8097,0,0,1.784,28.5928,4.7286,0.1654,0.0086,1.1969,-0.2265,-0.979,0,28.1877,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
2.1177,30.9543,5.5637,24.5587,-0.4368,-0.7752,4.2649,2.0652,9.7274,-2.5491,-1.6766,12.9344,3.5964,14.142,-1.6572,6.3828,15.3102,3.9128,16.9324,0.0097,-2.7318,-1.2631,0.3318,0.4624,-0.1215,-0.2627,2.6941,1.547,1.4219,0.5742,0.5278,0.9191,7.2579,2.3932,2.0218,0.3297,0.2786,0.8448,1.0686,0.8465,-44.7926,0.7921,-41.9178,-52.9167,6.2365,3.2117,0.9996,0.515,0.1603,0.3113,2.5247,1.7366,1.4504,0.6878,0.5745,0.8352,0.0278,9.0228,-0.433,0.5614,0.6427,-0.3149,-0.4021,-0.0158,0.0621,0.0535,0.2313,0.9735,-0.7752,-0.4492,0.0105,0.1026,0.7404,?,-0.7322,0.0128,0.1132,0.8207,?,-0.1383,-0.0848,0.6135,2.2553,2.0433,0.906,5.0863,4.1749,0.8208,0.5742,0.518,0.9021,0,0,1,1.3148,1.1861,0.9021,0.0085,1.3845,0.1701,-0.4143,-0.7924,27.693,0.0086,0.0927,0.2095,0.9924,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0739,0.0254,0.1593,0.7943,-1.9954,-0.0103,0.0337,0.1835,1.2199,-0.8464,0.2183,0.0809,0.2844,1.1502,-0.1573,0.3519,0.0694,0.2634,1.06,0.0268,7.1386,-0.3383,-0.2099,-0.0474,-0.0294,0.6206,0.8677,0.56,0.6047,0.6454,0.6969,1.0798,0.7528,0.3136,0.3656,0.4165,0.4857,1.166,0.9463,3.3846,-18.1364,3.5768,-19.1663,-5.3586,0.4014,0.2668,0.2435,0.6648,0.6066,0.9124,0.6512,0.6906,0.7494,1.0606,1.1508,1.085,0.0023,0.5235,0.3914,-0.589,-0.5924,-0.1086,-0.1398,0.9215,-0.4673,0,0.0037,0.4798,?,-0.384,0,0.002,0.391,?,0.0484,0,0.0036,0.0125,0.7652,1.217,-9.651,-7.9304,1.8609,1.0208,0.5485,3.463,1.0421,0.3009,1.2272,-11.7775,-9.5972,1,0,0,1.2272,38.3764,31.2721,0.006,0.8997,0.3615,0.8849,0.1736,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-0.2871,0.118,0.3435,3.4947,-1.4129,0.192,0.1751,0.4184,4.077,-1.0794,1.0652,0.9979,0.9989,4.3589,-0.1218,1.3144,0.8173,0.904,4.1884,0.022,-1.4949,-0.2695,-0.2184,0.1803,0.1461,0.8104,0.821,0.3439,0.38,0.4189,0.4629,1.105,0.674,0.1183,0.1444,0.1755,0.2142,1.221,0.9669,4.3238,-21.7263,4.4716,-22.4692,-5.0248,0.7387,0.3727,0.3382,0.5046,0.4578,0.9073,0.8572,0.8017,0.8344,0.9353,0.9734,1.0407,0.0057,1.7983,0.0531,-0.2619,-0.1582,-0.0052,0.0238,0.9232,-0.5101,0.0017,0.0415,0.6311,?,-0.1598,0.0008,0.0284,0.2222,?,0.0435,0,0.0049,0.0204,0.5966,3.1927,-11.7379,-3.6764,1.46,8.4729,5.8034,2.1316,71.7908,33.6796,2.8401,-20.8796,-7.3517,1,0,0,2.8401,30.8763,10.8716,0.0027,0.7133,0.9246,0.1278,-0.2155,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
2.0515,9.574,3.0942,24.8411,-0.1818,-0.9437,6.1638,2.4827,16.5074,-0.4915,-1.0446,5.5673,2.3595,19.6386,-0.9872,4.4681,7.5322,2.7445,22.3007,0.0447,-2.174,-1.9638,0.4592,0.9033,-0.2112,-0.2338,1.2463,1.3114,1.1274,1.0522,0.9046,0.8597,1.5533,1.7197,1.2711,1.1071,0.8183,0.7391,0.7025,0.3917,-3.666,0.5576,-5.2185,-9.3589,1.8992,2.127,0.9005,1.1199,0.4741,0.4234,1.5048,1.2649,1.1139,0.8406,0.7402,0.8806,0.0131,6.5843,0.1875,0.2275,0.6867,-0.0458,-0.06,0.0375,0.0227,0.0063,0.0791,0.2475,-0.9982,-0.3073,0.0109,0.1046,0.7011,?,-0.5426,0.074,0.2721,0.8825,?,-0.074,-0.0419,0.5663,0.7564,0.2908,0.3845,0.5721,0.0846,0.1478,0.1763,0.1401,0.7945,0,0,1,0.353,0.2804,0.7945,0.0033,0.9231,0.4984,-0.8257,-0.8747,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0206,0.0378,0.1943,2.6784,-1.4569,-0.02,0.0818,0.286,3.9484,-1.2108,0.0444,0.0047,0.0685,0.5652,-0.6779,0.176,0.0961,0.3099,2.6743,0.0069,-1.0282,0.4633,0.117,-0.4506,-0.1138,0.2525,0.6795,2.8367,0.6269,4.1748,0.9227,0.221,0.4617,8.0467,0.3931,17.4293,0.8514,0.0488,0.7345,6.9557,-85.896,9.4705,-116.9508,-12.349,0.6104,3.2364,0.4048,5.3021,0.6632,0.1251,0.6783,4.7391,1.0015,6.9862,1.4764,0.2113,0.0003,0.2644,0.8721,0.4773,-0.0475,0.28,0.059,0.0036,0.4002,0,0.0027,0.0088,0.9782,-0.6241,0,0.0037,0.6307,?,0.1224,0,0.0059,0.0193,0.8516,-0.6413,3.2704,-5.0994,0.7359,0.4587,0.6234,0.5415,0.2104,0.3886,-0.6266,3.5744,-5.7047,0,3.1117,0,0.014,0.457,32.7262,0.004,1.1467,0.9969,0.9932,0.9988,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.5198,8.0994,2.8459,19.2553,-0.1913,-2.1442,5.8667,2.4221,10.9923,-1.3414,-0.6226,1.6039,1.2665,5.2846,-1.5391,3.9365,7.3691,2.7146,16.4798,0.0062,-0.7088,-2.441,0.3861,3.444,-0.5447,-0.1582,1.175,2.2472,1.0484,1.9125,0.8923,0.4665,1.3806,5.0497,1.0991,3.6577,0.7961,0.2177,0.491,0.9653,-30.0739,1.966,-61.2496,-31.1545,3.4428,7.7658,0.9747,2.2557,0.2831,0.1255,1.7517,3.6437,1.1684,2.0801,0.667,0.3207,0.0141,5.9771,-0.4669,-0.0845,0.8181,0.179,-0.6856,-0.1235,0.1061,0.0098,0.099,0.2784,-0.2995,-0.2359,0.0178,0.1334,0.3992,?,0.0537,0.1682,0.4102,1.1096,-0.4843,-0.4499,1.9765,-4.3934,0.7422,0.2414,0.3252,0.5509,0.0583,0.1057,0.1608,0.1772,1.1025,0,0.2866,0,0.6975,0.2509,0.3597,0.0014,0.7318,0.8781,-0.881,-0.9052,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
