@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-1.5778,5.9582,2.4409,8.0107,-2.3522,1.3744,22.5499,4.7487,14.4383,-0.8744,2.0111,13.5104,3.6757,12.4115,-0.4351,6.7975,4.2357,2.0581,8.6758,0.2089,-1.148,-0.7845,-0.2321,0.6834,0.2022,0.2959,0.514,0.6641,1.186,1.2919,2.3073,1.786,0.2642,0.441,1.4067,1.6691,5.3238,3.1897,0.8345,1.4937,-2.4531,1.7899,-2.9394,-1.6422,0.3102,0.2763,0.2179,0.8907,0.7023,0.7886,0.5548,0.6454,0.9233,1.1633,1.6642,1.4306,0.058,10.3622,-0.7909,0.4272,-0.4133,-0.7926,0.257,-0.0152,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.159,9.8396,3.1368,9.841,-2.1832,-2.9202,2.0462,1.4305,7.4124,-2.223,1.5583,29.2481,5.4081,17.3552,-0.406,6.5454,9.2723,3.045,12.5493,0.1235,-0.0545,0.1021,0.0243,-1.874,-0.4461,0.2381,2.1929,0.58,1.0301,0.2645,0.4698,1.776,4.8086,0.3364,1.0612,0.07,0.2207,3.1543,1.3202,1.3468,-3.8187,1.0202,-2.8926,-2.8354,1.3442,0.2505,0.2159,0.1863,0.1606,0.8622,1.3276,0.567,0.7842,0.4271,0.5907,1.383,0.0663,10.2234,-0.2308,-0.8803,-0.8386,-0.0314,-0.1411,0.8152,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.628,1.573,1.2542,4.5999,-1.0534,0.0782,2.8316,1.6827,7.0803,-0.7898,1.2872,13.306,3.6477,14.581,-0.4904,3.9921,3.8306,1.9572,8.2264,0.1648,-8.0296,-0.4879,-0.1573,0.0608,0.0196,0.3224,0.7453,0.3438,0.6408,0.4613,0.8598,1.8638,0.5555,0.1182,0.4106,0.2128,0.7392,3.4736,0.7553,0.4919,-1.4535,0.6512,-1.9244,-2.955,0.5663,0.229,0.2274,0.4044,0.4016,0.9932,0.6497,0.3155,0.5592,0.4856,0.8607,1.7725,0.0287,5.7544,-0.2001,0.3122,0.3659,-0.5546,-0.4143,0.7314,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.8852,4.7964,2.1901,10.672,-1.1396,1.5548,2.016,1.4199,5.3401,-0.4671,1.819,22.8138,4.7764,17.7168,-0.5544,4.9914,11.2221,3.3499,12.4875,0.0573,-0.5693,-0.4866,-0.1773,0.8547,0.3115,0.3644,1.5425,0.4585,0.6538,0.2973,0.4238,1.4258,2.3792,0.2102,0.4274,0.0884,0.1796,2.0329,3.3432,0.8995,-7.4916,0.2691,-2.2409,-8.3285,1.3703,0.4376,0.3765,0.3193,0.2748,0.8604,1.9985,0.6024,0.8546,0.3014,0.4276,1.4188,0.051,7.5611,-0.1452,-0.6222,-0.5767,0.0797,0.5913,0.7114,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3332,2.4185,1.5552,7.4659,-1.5033,-0.8196,60.2479,7.762,24.683,-0.8672,1.0332,17.1217,4.1378,13.7663,-0.9374,8.1869,14.6138,3.8228,11.7035,0.192,0.4066,-0.3225,-0.0407,-0.7933,-0.1001,0.1262,0.2004,0.3758,0.4068,1.8758,2.0304,1.0824,0.0401,0.1413,0.1655,3.5188,4.1227,1.1716,0.3911,0.6731,-1.6126,1.7211,-4.1233,-2.3957,0.2256,0.4197,0.2059,1.8604,0.9127,0.4906,0.3025,0.5423,0.6379,1.793,2.109,1.1763,0.0272,11.6745,0.4445,0.2327,0.1358,0.8755,0.3286,0.1021,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.9423,4.2297,2.0566,7.5591,-2.2445,-0.0263,4.8664,2.206,10.1991,-0.7232,0.9783,26.7973,5.1766,17.3103,-0.5721,5.6677,5.6161,2.3698,11.1409,0.1257,35.8519,-0.9632,-0.1663,-0.0269,-0.0046,0.1726,0.9323,0.3973,0.8678,0.4261,0.9309,2.1844,0.8692,0.1578,0.7531,0.1816,0.8665,4.7715,1.2217,0.8301,-3.2654,0.6795,-2.6729,-3.9336,0.3936,0.2116,0.1828,0.5375,0.4645,0.8641,0.7412,0.4367,0.6785,0.5892,0.9155,1.5538,0.0272,8.2176,-0.2044,-0.7622,-0.6527,0.192,0.0456,0.6971,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.854,1.923,1.3867,7.8938,-1.505,-1.7541,3.3844,1.8397,6.8843,-1.503,-0.0145,6.1744,2.4848,7.8632,-0.6007,3.7107,1.5186,1.2323,5.2395,0.1449,0.4869,58.9041,-0.2301,120.9893,-0.4727,-0.0039,0.7538,0.5581,1.1253,0.7404,1.4929,2.0164,0.5682,0.3115,1.2664,0.5481,2.2287,4.066,1.1472,1.6072,-5.3404,1.4009,-4.655,-3.3229,1.1457,0.6415,0.5143,0.5599,0.4489,0.8017,1.1466,1.0039,1.5066,0.8755,1.3139,1.5007,0.039,5.6122,0.2832,0.2839,0.155,0.8131,-0.2676,0.1277,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2802,21.6417,4.6521,13.1453,-0.7342,-2.3508,29.5225,5.4335,18.8719,-1.6085,1.7475,28.6503,5.3526,20.1273,-0.9727,8.9466,8.4317,2.9037,10.2655,0.2418,0.1192,-0.1603,-0.0313,-1.3452,-0.2628,0.1953,0.8562,0.8691,1.6021,1.0151,1.8712,1.8434,0.7331,0.7554,2.5667,1.0304,3.5014,3.3979,0.4782,0.5608,-1.7002,1.1726,-3.5552,-3.032,1.0477,0.7429,0.5599,0.7091,0.5344,0.7536,0.6966,0.6531,1.2805,0.9376,1.8384,1.9607,0.0613,13.993,-0.726,-0.5033,0.5521,-0.0717,-0.8212,0.0793,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.4473,14.1946,3.7676,14.3842,-1.0593,-0.6724,82.588,9.0878,36.058,-0.7644,1.8816,54.3529,7.3724,22.982,-0.6069,11.7923,16.2699,4.0336,14.9251,0.295,0.6653,-0.2377,-0.0379,-0.3573,-0.057,0.1596,0.4146,0.511,0.934,1.2327,2.253,1.8278,0.1719,0.2612,0.8724,1.5195,5.0761,3.3407,0.4736,0.8524,-1.1846,1.7997,-2.5011,-1.3897,0.3418,0.4884,0.3299,1.4289,0.9653,0.6755,0.3989,0.6259,0.9638,1.569,2.4159,1.5398,0.0418,17.452,-0.2011,-0.5189,0.1155,-0.5677,-0.2571,0.4359,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0574,6.4358,2.5369,9.9357,-1.0996,-1.782,48.7766,6.984,26.5763,-1.6325,-0.0198,18.6311,4.3164,16.656,-1.2243,8.2927,8.2533,2.8729,14.0254,0.178,0.0322,2.9033,-0.0069,90.072,-0.2149,-0.0024,0.3632,0.5877,0.8831,1.618,2.431,1.5025,0.1319,0.3454,0.7798,2.618,5.9099,2.2574,0.3157,0.5676,-1.7129,1.7977,-5.425,-3.0178,0.4687,0.632,0.2773,1.3482,0.5916,0.4388,0.3739,0.5965,0.7084,1.5956,1.8949,1.1876,0.0379,11.6864,0.2498,0.0427,-0.5826,-0.191,-0.4121,0.2244,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
