@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
0.9107,6.196,2.4892,15.2847,-1.5819,0.0264,9.9629,3.1564,11.5376,-1.2344,0.8021,12.1889,3.4913,20.6015,-1.5712,4.9901,4.9204,2.2182,15.0906,0.0683,34.5105,1.1355,0.1825,0.0329,0.0053,0.1607,0.7886,0.713,1.1222,0.9041,1.423,1.5739,0.6219,0.5083,1.2593,0.8174,2.0248,2.4772,1.4692,0.7439,-8.4588,0.5063,-5.7572,-11.371,1.1465,0.7388,0.3655,0.6444,0.3188,0.4947,1.3248,0.7419,1.0129,0.56,0.7646,1.3652,0.0121,7.4017,-0.0758,0.643,0.0867,0.1518,-0.0504,-0.081,-10.583,194.9953,13.9641,36.1,-2.5743,-0.4001,191.62,13.8427,36.2817,-0.9064,-31.0676,9.8198,3.1337,36.6577,?,26.4528,0.3406,0.0129,1.0088,4.4562,4.4174,1.0176,19.8573,19.5135,1.5072,0.7093,0.4706,0.5307,0,0,0.995,0.9848,0.9897,0.3282,59.4042,-0.905,-0.1847,0.5346,TASCA_DESTRA_DAVANTI_PANTALONI
0.9526,8.8086,2.9679,14.0469,-0.4348,-1.1763,2.9422,1.7153,7.7861,-1.1057,0.2406,13.9826,3.7393,15.4193,-0.5132,4.4704,8.098,2.8457,13.5048,0.0459,-0.8098,3.9596,0.2131,-4.8894,-0.2631,0.0538,1.7303,0.7937,1.043,0.4587,0.6028,1.314,2.9938,0.63,1.0877,0.2104,0.3633,1.7267,1.0412,0.814,-6.5532,0.7818,-6.2939,-8.0501,2.6477,0.9607,0.6917,0.3629,0.2612,0.7199,1.8041,0.911,1.0401,0.505,0.5765,1.1418,0.0153,6.7125,0.1296,0.8454,0.7515,0.3845,-0.042,0.6645,-13.686,186.8358,13.6688,36.1,-5.2241,-6.5404,130.715,11.4331,37.0106,-0.8353,-29.1415,11.4362,3.3817,33.38,?,2.0925,0.4696,0.2244,1.1955,4.0419,3.3808,1.4293,16.3372,11.4299,1.7987,0.9077,0.5046,0.2876,0,0,0.9754,1.0815,1.1088,0.3285,57.4576,-0.7272,-0.4295,0.9022,TASCA_DESTRA_DAVANTI_PANTALONI
0.2553,1.7766,1.3329,5.7464,-0.8745,0.0617,4.9004,2.2137,8.7551,-0.9541,0.5593,12.6906,3.5624,16.4503,-0.7861,4.014,3.6374,1.9072,8.9323,0.1347,4.1379,0.4566,0.0636,0.1103,0.0154,0.1393,0.6021,0.3742,0.6989,0.6214,1.1607,1.8679,0.3626,0.14,0.4884,0.3861,1.3472,3.4889,0.6271,0.3703,-1.9288,0.5904,-3.0756,-5.209,0.6842,0.3328,0.297,0.4864,0.434,0.8923,0.6563,0.3493,0.6433,0.5322,0.9802,1.8417,0.0062,6.0103,-0.1804,0.2169,0.4838,0.6742,0.124,0.382,-2.352,138.2406,11.7576,29.7,-2.4941,-17.5894,10.7486,3.2785,24.7817,?,-30.6113,2.8497,1.6881,33.5525,?,0.1337,0.0768,0.5746,3.5863,6.9649,1.9421,12.8613,48.5098,3.7718,0.8555,0.6318,0.7386,0,0,1,1.1985,0.8852,0.7386,0.3538,58.5367,-0.4908,0.2892,-0.9105,TASCA_DESTRA_DAVANTI_PANTALONI
0.0672,2.3067,1.5188,9.4048,-0.6157,0.5405,3.2019,1.7894,8.6917,-0.3849,0.5137,22.0384,4.6945,19.2085,-0.6158,4.4846,7.9957,2.8277,12.0627,0.0558,0.1243,0.1308,0.015,1.052,0.1205,0.1146,0.8488,0.3235,0.5371,0.3812,0.6328,1.6602,0.7204,0.1047,0.2885,0.1453,0.4005,2.7563,1.4836,0.4896,-5.0279,0.33,-3.389,-10.2704,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.082,0.4896,0.7797,0.4525,0.7205,1.5924,0.0075,6.2537,0.109,0.1244,0.0297,0.7081,0.5942,0.4648,-9.377,50.6706,7.1183,26.5,-15.5624,-3.8371,13.2904,3.6456,13.2007,-11.5385,-20.7526,6.7054,2.5895,24.2372,?,2.4438,0.4518,0.1849,1.9526,2.749,1.4079,3.8126,7.5567,1.9821,2.0497,1.0273,0.5012,1.5197,0,0,2.0075,1.0934,0.5446,0.2309,34.2656,0.3458,0.7107,-0.0493,TASCA_DESTRA_DAVANTI_PANTALONI
0.9662,7.492,2.7371,11.7898,-0.4848,-0.5198,7.9553,2.8205,11.184,-1.3929,0.8261,18.1012,4.2545,16.5619,-0.8972,5.2014,8.3797,2.8948,11.2513,0.02,-1.8588,1.1696,0.1857,-0.6292,-0.0999,0.1588,0.9704,0.6433,0.9455,0.6629,0.9743,1.4697,0.9418,0.4139,0.8941,0.4395,0.9493,2.1601,0.5913,0.4915,-16.7414,0.8312,-28.3142,-34.0642,1.6989,0.9096,0.6916,0.5354,0.4071,0.7603,1.0542,0.7119,1.0479,0.6753,0.994,1.472,0.0137,7.7552,0.6945,0.7115,0.5618,0.5603,0.1809,0.415,-12.268,63.2782,7.9548,29.3,?,1.2075,129.9574,11.3999,34.9859,-0.2857,-19.1103,10.0029,3.1627,22.1671,?,-10.1598,0.642,-0.0632,0.6978,2.5151,3.6044,0.4869,6.326,12.9919,3.7687,1.3218,0.3507,0,1,0,0.8375,1.3218,1.5783,0.2274,40.2584,-0.3885,-0.3504,0.9797,TASCA_DESTRA_DAVANTI_PANTALONI
1.4115,6.7069,2.5898,10.3951,-0.4805,-0.6457,3.4462,1.8564,7.1717,-0.878,0.2465,14.9576,3.8675,16.0502,-0.55,4.7555,4.9656,2.2284,11.9346,0.0477,-2.1859,5.7269,0.2968,-2.62,-0.1358,0.0518,1.395,0.6696,1.1622,0.48,0.8331,1.7356,1.9461,0.4484,1.3507,0.2304,0.694,3.0122,1.0062,0.5923,-5.6463,0.5887,-5.6117,-9.5326,1.8387,0.6781,0.5603,0.3688,0.3047,0.8263,1.4495,0.6477,0.871,0.4468,0.6009,1.3448,0.0157,7.2241,0.4141,0.7282,0.6469,0.6335,0.1569,0.5008,-12.5229,154.4877,12.4293,32.9,-15.0712,-4.2417,220.6447,14.8541,44.6238,-0.7097,-35.8397,26.3787,5.136,40.7848,?,2.9523,0.3494,0.1184,0.8368,2.42,2.8921,0.7002,5.8565,8.3645,1.6656,0.7565,0.4542,0.0784,0,0,0.7373,0.8067,1.0941,0.382,63.0138,-0.9017,-0.7525,0.9334,TASCA_DESTRA_DAVANTI_PANTALONI
0.2184,1.4044,1.1851,6.9885,-0.4438,-0.7963,1.0854,1.0418,4.8197,-4.7527,0.1506,2.8145,1.6776,7.0005,-0.5285,2.103,1.5863,1.2595,5.5112,0.0368,-0.2743,1.4499,0.1039,-5.2865,-0.3787,0.0716,1.1375,0.7064,0.9409,0.621,0.8272,1.332,1.2939,0.499,0.8853,0.3857,0.6842,1.7743,0.5395,0.8874,-10.2135,1.6451,-18.933,-11.5089,5.7776,1.0569,0.846,0.1829,0.1464,0.8005,1.45,0.9983,1.2681,0.6885,0.8745,1.2702,0.0084,3.0252,0.256,0.4873,0.4845,0.0612,-0.4793,0.399,-30.063,65.2916,8.0803,42.917,?,-9.3365,227.758,15.0917,54.691,-0.7021,-21.0618,140.8344,11.8674,34.299,?,3.2199,1.4274,0.4433,0.5354,0.6809,1.2717,0.2867,0.4636,1.6172,1.9024,1.2513,0.6577,0,1,0,0.7847,1.2513,1.5945,0.3788,67.7917,-0.3495,-0.9268,0.6142,TASCA_DESTRA_DAVANTI_PANTALONI
1.2457,12.5002,3.5356,16.1277,-0.5917,-1.7209,9.9594,3.1558,11.6933,-2.3499,-0.0006,11.309,3.3629,16.0124,-1.1878,5.3748,9.3936,3.0649,11.3445,0.0213,-0.7239,-2112.6797,0.2318,2918.5312,-0.3202,-0.0001,1.1203,1.0513,1.1536,0.9384,1.0297,1.0972,1.2551,1.1053,1.3307,0.8807,1.0602,1.2039,0.7309,0.6897,-24.2673,0.9436,-33.2004,-35.1861,2.9026,1.3843,0.8741,0.4769,0.3011,0.6314,1.3792,1.0072,1.4216,0.7303,1.0307,1.4115,0.0224,8.1024,0.4896,0.6466,0.2324,0.1584,-0.5499,0.131,-5.5015,96.3357,9.8151,27.5986,-2.1292,-0.6887,202.4047,14.2269,39.5386,-0.4142,-40.8511,16.3221,4.0401,44.7586,?,7.9876,0.1347,0.0169,0.6899,2.4294,3.5215,0.476,5.9022,12.4007,1.6217,0.4196,0.2587,0.3155,0,0,0.698,0.6166,0.8834,0.434,63.4247,-0.6045,-0.7521,0.9729,TASCA_DESTRA_DAVANTI_PANTALONI
1.3432,21.4652,4.6331,19.0396,-0.4648,-1.6089,20.4363,4.5207,17.0038,-1.1962,0.1499,18.4183,4.2917,21.7394,-1.1164,7.4292,9.5413,3.0889,13.8688,0.1273,-0.8348,8.9613,0.1808,-10.7343,-0.2166,0.0202,1.0249,1.0795,1.4999,1.0534,1.4635,1.3894,1.0503,1.1654,2.2497,1.1096,2.1419,1.9304,0.6524,0.5269,-2.9873,0.8076,-4.5792,-5.67,1.6788,1.2654,0.8179,0.7537,0.4872,0.6464,1.1197,0.8758,1.3728,0.7822,1.226,1.5675,0.0217,11.5916,-0.0642,0.5753,0.6235,-0.0797,-0.2747,0.2725,-7.9765,104.4459,10.2199,29.3381,-3.3275,2.353,446.2735,21.1252,54.8996,-0.5722,-33.8702,67.7648,8.2319,42.4194,?,-3.39,0.2355,-0.0695,0.4838,1.2415,2.5662,0.234,1.5413,6.5856,1.1291,0.5318,0.471,0.1941,0,0,0.5344,0.6916,1.2942,0.3595,63.7586,-0.4328,-0.5018,0.9661,TASCA_DESTRA_DAVANTI_PANTALONI
0.9486,8.5054,2.9164,14.2467,-0.5932,-1.2714,10.1547,3.1866,13.0493,-1.6068,-0.1805,10.7537,3.2793,13.6809,-1.2393,5.2681,4.21,2.0518,9.5543,0.0724,-0.7461,-5.2554,0.1801,7.044,-0.2413,-0.0343,0.9152,0.8893,1.4214,0.9717,1.5531,1.5982,0.8376,0.7909,2.0203,0.9443,2.4121,2.5544,0.6595,0.7006,-7.1145,1.0623,-10.7875,-10.1546,1.7863,1.4636,0.8682,0.8194,0.486,0.5931,1.0918,1.0414,1.4911,0.9538,1.3658,1.4319,0.017,7.9671,0.4709,0.1625,0.0536,0.0955,-0.4094,-0.0391,-10.8768,103.5266,10.1748,36.6577,-3.9677,-2.5605,262.8036,16.2112,53.5187,-0.441,-36.8003,60.2345,7.7611,43.9194,?,4.2479,0.2956,0.0696,0.6276,1.311,2.0888,0.3939,1.7187,4.363,1.7876,0.6666,0.3729,0.1987,0,0,0.685,0.8347,1.2186,0.4091,62.3263,-0.2059,-0.6052,0.8775,TASCA_DESTRA_DAVANTI_PANTALONI
