@RELATION WhereIsSmartphone
@ATTRIBUTE RATIO_X_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_X_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_X_R_STD NUMERIC
@ATTRIBUTE RATIO_X_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_X_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Y_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Y_R_STD NUMERIC
@ATTRIBUTE RATIO_Y_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Z_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Z_R_STD NUMERIC
@ATTRIBUTE RATIO_Z_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_R_AVERAGE NUMERIC
@ATTRIBUTE RATIO_|V|_R_VARIANCE NUMERIC
@ATTRIBUTE RATIO_|V|_R_STD NUMERIC
@ATTRIBUTE RATIO_|V|_R_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_|V|_R_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_X_R_Y_R_Z_R_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_X_R_Y_R_Z_R_SIGNAL_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_R_Y_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_R_Z_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_R_Z_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_R_|V|_R NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Z_R_|V|_R NUMERIC
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.53017,0.55901,0.74767,0.90708,6.32468,-0.2298,1.72485,1.31333,0.87769,0.35472,0.89198,1.03134,1.01555,0.86141,1.11275,0.8564,1.04656,1.02302,0.85276,1.07568,2.30707,-0.59438,-0.61907,-0.25763,-0.26834,1.04154,0.56929,0.73622,0.73085,1.29322,1.28379,0.9927,0.32409,0.54202,0.53414,1.67243,1.6481,0.98546,4.88699,2.53656,2.70563,0.51904,0.55364,1.06665,0.27408,0.44628,0.46016,1.62824,1.67891,1.03112,1.03348,1.05301,1.06369,1.0189,1.02923,1.01014,0.83735,0.79944,-0.0075,0.44255,0.41462,-1.17202,-1.31453,1.00343, TASCA_DESTRA_DAVANTI_PANTALONI
1.27743,13.48984,3.67285,1.57185,0.37624,0.58588,1.822,1.34981,0.86261,0,1.14922,11.56144,3.40021,2.22913,0.03463,0.92595,2.66631,1.63288,1.09448,0.47631,2.18034,1.11156,1.37958,0.50981,0.63274,1.24112,2.721,1.08018,2.24931,0.39698,0.82665,2.08234,7.40386,1.1668,5.05937,0.15759,0.68334,4.33612,1.55268,21.85585,2.39686,14.07618,1.54369,0.10967,0,2.0114,3.03433,0,0,1.50856,1.82221,0.70514,1.43617,0.38697,0.78814,2.0367,0.84867,1.01036,-0.45182,-1.62024,-0.99343,0.91405,0.90314,1.03718, TASCA_DESTRA_DAVANTI_PANTALONI
-0.80434,0.19559,0.44225,0.41419,0.0214,-0.48977,6.05037,2.45975,1.59511,0,0.98095,4.19572,2.04835,1.77682,0.61297,0.96924,3.70043,1.92365,1.55143,0.74137,1.6423,-0.81996,-0.82987,-0.49928,-0.50531,1.01209,0.1798,0.21591,0.2299,1.20085,1.27869,1.06482,0.03233,0.04662,0.05286,1.44203,1.63504,1.13385,0.0806,0.08078,0.06781,1.00223,0.84131,0.83944,0,2.31435,2.34972,0,0,1.01528,0.25967,0.23311,0.26698,0.89773,1.02816,1.14528,0.94102,0.93804,0.03901,56.92349,-3.33086,-4.1936,-5.63735,1.07332, TASCA_DESTRA_DAVANTI_PANTALONI
1.01428,0.00437,0.06611,0.14629,0,0.98211,0.32876,0.57337,0.50123,1.05709,0.99728,0.05116,0.2262,0.23579,1.11426,0.98302,0.32329,0.56858,0.60115,1.02721,1.03275,1.01705,1.03181,0.98479,0.99908,1.01451,0.1153,0.29227,0.11627,2.53485,1.00842,0.39782,0.01329,0.08542,0.01352,6.42545,1.01692,0.15826,0.22761,0.21744,0.23106,0.95535,1.01517,1.06262,0,0,0,1.00702,0.98648,0.9796,0.29187,0.62045,0.24335,2.12576,0.83378,0.39222,0.98982,0.95109,0.53615,0.02857,-0.37528,-0.94732,-2.63387,1.03861, TASCA_DESTRA_DAVANTI_PANTALONI
0.93897,0.00315,0.0561,0.15007,0,0.99701,1.12407,1.06022,0.8925,1.00704,0.99877,0.07498,0.27382,0.28592,1.13271,0.99145,0.3224,0.5678,0.57076,1.0417,0.94178,0.94013,0.94707,0.99825,1.00562,1.00738,0.05291,0.20487,0.09879,3.87202,1.86724,0.48224,0.0028,0.04197,0.00976,14.99251,3.4866,0.23256,0.24631,0.23137,0.24475,0.93937,0.99368,1.05782,0,0,0,1.0566,1.02788,0.97282,0.16815,0.52488,0.26294,3.1215,1.56371,0.50095,0.99769,0.95504,0.79817,-0.22741,-0.39105,-3.00814,-43.80751,1.0566, TASCA_DESTRA_DAVANTI_PANTALONI
0.05277,0.78798,0.88768,0.93801,1.3332,1.10839,0.38095,0.61721,0.53574,6.36533,1.40343,0.32163,0.56712,0.74634,4.40387,1.18126,0.2195,0.46851,0.45421,4.17353,0.04761,0.0376,0.04467,0.78978,0.93831,1.18807,1.43822,1.56523,1.8947,1.08831,1.31739,1.21049,2.06848,2.44994,3.58988,1.18442,1.73552,1.46529,1.66189,0.27091,0.36618,0.16301,0.22034,1.35166,7.93468,0.89488,1.14631,0.11278,0.14447,1.28096,1.75086,1.25682,2.06517,0.71783,1.17952,1.64317,1.31606,1.14338,0.43449,0.60936,-2.85934,-0.64944,0.77115,0.89115, TASCA_DESTRA_DAVANTI_PANTALONI
0.98311,0.0049,0.07003,0.09567,-0.0951,0.98436,0.43875,0.66238,0.8432,1.05107,0.99523,0.13777,0.37117,0.41137,1.07193,0.98447,0.49123,0.70088,0.80263,1.01834,0.99872,0.98781,0.99861,0.98908,0.99989,1.01093,0.10572,0.18867,0.09991,1.78458,0.94508,0.52958,0.01118,0.03559,0.00998,3.18471,0.89317,0.28046,-0.01949,-0.01876,-0.01936,0.9626,0.99346,1.03205,0.2154,0.21146,0.20733,0.98171,0.96252,0.98046,0.11346,0.23257,0.1192,2.04976,1.05055,0.51252,0.99366,0.93037,-0.1249,0.17693,0.27807,-0.53384,-3.10296,1.0171, TASCA_DESTRA_DAVANTI_PANTALONI
-3.43828,0.56499,0.75166,0.57142,1.36025,-0.1414,0.28301,0.53198,0.51254,0.84767,1.05607,2.48377,1.576,1.16508,0.93642,0.93835,1.28339,1.13287,1.09924,0.89909,24.31652,-3.25574,-3.66417,-0.13389,-0.15069,1.12545,1.41294,0.47694,0.6635,0.33755,0.46959,1.39116,1.99639,0.22747,0.44023,0.11394,0.22052,1.93532,1.45543,0.67224,0.79209,0.46189,0.54423,1.17828,0.90698,0.46278,0.52355,0.51024,0.57724,1.13131,1.11489,0.49046,0.51984,0.43992,0.46627,1.0599,0.97541,0.82716,1.35656,8.34922,-36.1441,-1.56903,0.00518,1.49813, TASCA_DESTRA_DAVANTI_PANTALONI
-0.26365,1.98388,1.4085,1.0167,5.75306,-0.05031,2.53258,1.59141,1.80997,0.00194,1.02945,11.85968,3.44379,3.1959,0.31484,1.02247,8.06161,2.8393,2.049,0.59322,5.24055,-0.2561,-0.25785,-0.04887,-0.0492,1.00682,0.88507,0.409,0.49607,0.46211,0.56049,1.2129,0.78334,0.16728,0.24609,0.21355,0.31415,1.47113,2.59443,6.63418,3.96164,2.55708,1.52698,0.59716,0.00087,0.36306,0.4085,415.22122,467.19394,1.12517,0.56173,0.31813,0.4962,0.56634,0.88334,1.55974,0.99429,0.98235,-0.25522,-9.09983,9.6194,2.26945,0.49072,1.11264, TASCA_DESTRA_DAVANTI_PANTALONI
0.18214,1.27897,1.13092,0.63803,0.73011,-0.18825,1.31321,1.14596,1.35436,0,1.17623,6.91672,2.62997,1.45838,0.80216,1.11748,5.22471,2.28576,1.65685,0.65387,-0.96757,0.15485,0.16299,-0.16004,-0.16846,1.05258,0.98688,0.43001,0.49477,0.43573,0.50134,1.15059,0.97393,0.18491,0.24479,0.18986,0.25135,1.32385,0.67985,0.50471,0.67684,0.74238,0.99558,1.34106,0,0.55451,0.60616,0,0,1.09315,0.4711,0.4375,0.38509,0.92868,0.81743,0.88021,1.10067,1.07802,0.3182,-0.01344,-0.01334,-2.08749,1.15186,1.46199, TASCA_DESTRA_DAVANTI_PANTALONI
